Time(micros),Thread, Start(micros),Delay (micros),Value
126126196843,W-0,443,49946,126126196843
126126196843,R-0,444,3602,null
126126196843,R-0,16028,16806,126126196843
126126196843,R-1,2292,5671,126126196843
126126196843,R-2,4242,6540,126126196843
126126196843,R-3,6305,8627,126126196843
126126196843,R-4,11764,14124,126126196843
126127696843,W-0,295,23375,126127696843
126127696843,R-0,339,1416,null
126127696843,R-0,11661,12383,126127696843
126127696843,R-1,2272,3112,126127696843
126127696843,R-2,4251,5697,126127696843
126127696843,R-3,6242,7116,126127696843
126127696843,R-4,8268,9086,126127696843
126128696843,W-0,309,22374,126128696843
126128696843,R-0,255,1097,null
126128696843,R-0,11315,11964,126128696843
126128696843,R-1,2221,3041,126128696843
126128696843,R-2,4228,4948,126128696843
126128696843,R-3,6217,6931,126128696843
126128696843,R-4,8228,8972,126128696843
126129696843,W-0,308,91960,126129696843
126129696843,R-0,326,1317,null
126129696843,R-0,11541,12235,126129696843
126129696843,R-1,2125,2917,126129696843
126129696843,R-2,4238,5042,126129696843
126129696843,R-3,6217,7054,126129696843
126129696843,R-4,8271,9318,126129696843
126130696843,W-0,252,78680,126130696843
126130696843,R-0,677,34520,126130696843
126130696843,R-1,2233,34325,126130696843
126130696843,R-2,4227,34970,126130696843
126130696843,R-3,6229,34817,126130696843
126130696843,R-4,8295,35531,126130696843
126131196843,W-0,270,13443,126131196843
126131196843,R-0,253,1061,null
126131196843,R-0,11336,12141,126131196843
126131196843,R-1,2271,3437,126131196843
126131196843,R-2,4231,5119,126131196843
126131196843,R-3,6235,6928,126131196843
126131196843,R-4,8219,9050,126131196843
126131696843,W-0,246,28482,126131696843
126131696843,R-0,319,1374,126131696843
126131696843,R-1,2225,2938,126131696843
126131696843,R-2,4239,5017,126131696843
126131696843,R-3,6287,6945,126131696843
126131696843,R-4,8241,8896,126131696843
126132196843,W-0,259,38417,126132196843
126132196843,R-0,363,1512,126132196843
126132196843,R-1,2348,3728,126132196843
126132196843,R-2,4222,5278,126132196843
126132196843,R-3,6279,7198,126132196843
126132196843,R-4,8292,8971,126132196843
126132696843,W-0,277,54400,126132696843
126132696843,R-0,314,1022,null
126132696843,R-0,11247,12064,126132696843
126132696843,R-1,2226,3445,126132696843
126132696843,R-2,4156,4962,126132696843
126132696843,R-3,6225,6999,126132696843
126132696843,R-4,8225,8920,126132696843
126133196843,W-0,301,39792,126133196843
126133196843,R-0,259,1145,null
126133196843,R-0,11421,12017,126133196843
126133196843,R-1,2231,3008,126133196843
126133196843,R-2,4231,5145,126133196843
126133196843,R-3,6284,7121,126133196843
126133196843,R-4,8231,8987,126133196843
126134696843,W-0,558,10150,126134696843
126134696843,R-0,329,931,null
126134696843,R-0,11199,11921,126134696843
126134696843,R-1,2236,2979,126134696843
126134696843,R-2,4262,5140,126134696843
126134696843,R-3,6238,7033,126134696843
126134696843,R-4,8231,8900,126134696843
126135696843,W-0,234,39549,126135696843
126135696843,R-0,347,1603,126135696843
126135696843,R-1,2237,3074,126135696843
126135696843,R-2,4233,4920,126135696843
126135696843,R-3,6240,6870,126135696843
126135696843,R-4,8190,8807,126135696843
126136196843,W-0,254,55008,126136196843
126136196843,R-0,361,1363,126136196843
126136196843,R-1,2285,3006,126136196843
126136196843,R-2,4275,5021,126136196843
126136196843,R-3,6230,6890,126136196843
126136196843,R-4,8208,8863,126136196843
126136696843,W-0,263,13491,126136696843
126136696843,R-0,369,1403,126136696843
126136696843,R-1,2234,2865,126136696843
126136696843,R-2,4237,4881,126136696843
126136696843,R-3,6235,6935,126136696843
126136696843,R-4,8279,9302,126136696843
126137196843,W-0,246,22074,126137196843
126137196843,R-0,485,1407,126137196843
