Time(micros),Thread, Start(micros),Delay (micros),Value
127317500212,W-0,404,30337,127317500212
127317500212,R-0,3727,11342,127317500212
127317500212,R-1,2421,11576,127317500212
127317500212,R-2,4223,7736,127317500212
127317500212,R-3,6222,9325,127317500212
127317500212,R-4,8250,11036,127317500212
127319000212,W-0,227,13371,127319000212
127319000212,R-0,245,1157,null
127319000212,R-0,11431,12618,127319000212
127319000212,R-1,2181,3119,127319000212
127319000212,R-2,4184,5133,127319000212
127319000212,R-3,6171,7036,127319000212
127319000212,R-4,8194,9160,127319000212
127320000212,W-0,203,21754,127320000212
127320000212,R-0,665,1438,127320000212
127320000212,R-1,2397,3452,127320000212
127320000212,R-2,4253,6721,127320000212
127320000212,R-3,6434,7149,127320000212
127320000212,R-4,8660,9395,127320000212
127321000212,W-0,171,12277,127321000212
127321000212,R-0,532,1355,127321000212
127321000212,R-1,2294,3161,127321000212
127321000212,R-2,4193,5079,127321000212
127321000212,R-3,6197,7089,127321000212
127321000212,R-4,8191,9100,127321000212
127322000212,W-0,203,66750,127322000212
127322000212,R-0,1111,1963,127322000212
127322000212,R-1,2247,2959,127322000212
127322000212,R-2,4193,4943,127322000212
127322000212,R-3,6222,7047,127322000212
127322000212,R-4,8266,9043,127322000212
127322500212,W-0,219,15538,127322500212
127322500212,R-0,525,1563,127322500212
127322500212,R-1,2165,3087,127322500212
127322500212,R-2,4240,5090,127322500212
127322500212,R-3,6211,7065,127322500212
127322500212,R-4,8185,9059,127322500212
127323000212,W-0,227,46444,127323000212
127323000212,R-0,509,1598,127323000212
127323000212,R-1,2178,3019,127323000212
127323000212,R-2,4186,5047,127323000212
127323000212,R-3,6201,6920,127323000212
127323000212,R-4,8204,8912,127323000212
127323500212,W-0,229,73094,127323500212
127323500212,R-0,545,1612,127323500212
127323500212,R-1,2172,3542,127323500212
127323500212,R-2,5421,7305,127323500212
127323500212,R-3,6296,17485,127323500212
127323500212,R-4,8304,17728,127323500212
127324000212,W-0,344,182298,127324000212
127324000212,R-0,734,2498,127324000212
127324000212,R-1,2204,3014,127324000212
127324000212,R-2,4237,5112,127324000212
127324000212,R-3,6243,7021,127324000212
127324000212,R-4,8211,9030,127324000212
127324500212,W-0,226,11252,127324500212
127324500212,R-0,694,1842,127324500212
127324500212,R-1,2209,3041,127324500212
127324500212,R-2,4192,4902,127324500212
127324500212,R-3,6196,7923,127324500212
127324500212,R-4,8531,9628,127324500212
127326000212,W-0,451,40413,127326000212
127326000212,R-0,218,1300,null
127326000212,R-0,11514,12276,127326000212
127326000212,R-1,2222,3096,127326000212
127326000212,R-2,4185,4908,127326000212
127326000212,R-3,6184,6926,127326000212
127326000212,R-4,8197,8943,127326000212
127327000212,W-0,206,34432,127327000212
127327000212,R-0,511,1456,127327000212
127327000212,R-1,2194,2923,127327000212
127327000212,R-2,4211,5037,127327000212
127327000212,R-3,6199,7053,127327000212
127327000212,R-4,8200,9066,127327000212
127327500212,W-0,466,21605,127327500212
127327500212,R-0,233,1050,null
127327500212,R-0,11270,11952,127327500212
127327500212,R-1,2187,2919,127327500212
127327500212,R-2,4215,4971,127327500212
127327500212,R-3,6204,6959,127327500212
127327500212,R-4,8221,9077,127327500212
127328000212,W-0,219,48143,127328000212
127328000212,R-0,561,1620,127328000212
127328000212,R-1,2136,2970,127328000212
127328000212,R-2,4218,5004,127328000212
127328000212,R-3,6209,6943,127328000212
127328000212,R-4,8205,9022,127328000212
127328500212,W-0,224,56701,127328500212
127328500212,R-0,617,1457,127328500212
127328500212,R-1,2199,3151,127328500212
127328500212,R-2,4215,4990,127328500212
127328500212,R-3,6185,6981,127328500212
127328500212,R-4,8215,8987,127328500212
127329000212,W-0,208,8296,127329000212
127329000212,R-0,556,1292,127329000212
127329000212,R-1,2172,2976,127329000212
127329000212,R-2,4200,4999,127329000212
127329000212,R-3,6210,6988,127329000212
127329000212,R-4,8227,8907,127329000212
127329500212,W-0,231,29349,127329500212
127329500212,R-0,587,1353,127329500212
127329500212,R-1,2190,3108,127329500212
127329500212,R-2,4198,4905,127329500212
127329500212,R-3,6190,6941,127329500212
127329500212,R-4,8238,8967,127329500212
127330000212,W-0,217,21948,127330000212
127330000212,R-0,734,1495,127330000212
127330000212,R-1,2167,3055,127330000212
127330000212,R-2,4223,5001,127330000212
127330000212,R-3,6184,6952,127330000212
127330000212,R-4,8180,9006,127330000212
127331000212,W-0,299,68397,127331000212
127331000212,R-0,996,1743,null
127331000212,R-0,12063,12784,127331000212
127331000212,R-1,2181,2875,127331000212
127331000212,R-2,4196,4964,127331000212
127331000212,R-3,6227,6913,127331000212
127331000212,R-4,8194,8886,127331000212
127331500212,W-0,224,21701,127331500212
127331500212,R-0,538,1328,127331500212
127331500212,R-1,2200,2938,127331500212
127331500212,R-2,4298,5144,127331500212
127331500212,R-3,6220,6986,127331500212
127331500212,R-4,8202,8958,127331500212
127332000212,W-0,999,41728,127332000212
127332000212,R-0,1246,2592,127332000212
127332000212,R-1,2330,3183,127332000212
127332000212,R-2,4225,6030,127332000212
127332000212,R-3,6235,7135,127332000212
127332000212,R-4,8207,9088,127332000212
127332500212,W-0,181,51347,127332500212
127332500212,R-0,556,1316,127332500212
127332500212,R-1,2200,2977,127332500212
127332500212,R-2,4214,5088,127332500212
127332500212,R-3,6214,7416,127332500212
127332500212,R-4,8192,9204,127332500212
127333500212,W-0,234,41079,127333500212
127333500212,R-0,244,1299,null
127333500212,R-0,11553,12113,127333500212
127333500212,R-1,2194,2997,127333500212
127333500212,R-2,4208,5578,127333500212
127333500212,R-3,6203,7212,127333500212
127333500212,R-4,8210,8957,127333500212
127334500212,W-0,217,8718,127334500212
127334500212,R-0,522,1766,127334500212
127334500212,R-1,2188,2970,127334500212
127334500212,R-2,4234,5075,127334500212
127334500212,R-3,6182,7076,127334500212
127334500212,R-4,8298,10024,127334500212
127335000212,W-0,216,34203,127335000212
127335000212,R-0,217,1424,null
127335000212,R-0,11712,12363,127335000212
127335000212,R-1,2194,3098,127335000212
127335000212,R-2,4199,4863,127335000212
127335000212,R-3,6198,6914,127335000212
127335000212,R-4,8250,9041,127335000212
127337000212,W-0,212,31525,127337000212
127337000212,R-0,498,1533,127337000212
127337000212,R-1,2206,2984,127337000212
127337000212,R-2,4209,4884,127337000212
127337000212,R-3,6200,6883,127337000212
127337000212,R-4,8225,8870,127337000212
127337500212,W-0,556,30026,127337500212
127337500212,R-0,246,959,null
127337500212,R-0,11205,11865,127337500212
127337500212,R-1,2308,3589,127337500212
127337500212,R-2,4200,4975,127337500212
127337500212,R-3,6216,6979,127337500212
127337500212,R-4,8219,8880,127337500212
127338000212,W-0,224,33322,127338000212
