Time(micros),Thread, Start(micros),Delay (micros),Value
129104557067,W-0,534,45019,129104557067
129104557067,R-0,3053,6111,null
129104557067,R-0,22414,24904,129104557067
129104557067,R-1,2567,7290,null
129104557067,R-1,21080,23331,null
129104557067,R-1,33472,34096,null
129104557067,R-1,45600,46190,null
129104557067,R-1,56337,57287,129104557067
129104557067,R-2,4447,10993,129104557067
129104557067,R-3,6176,9165,null
129104557067,R-3,20827,21621,null
129104557067,R-3,31770,32545,null
129104557067,R-3,42725,45479,129104557067
129104557067,R-4,8195,11650,129104557067
129106057067,W-0,228,47402,129106057067
129106057067,R-0,716,1611,null
129106057067,R-0,11812,12733,129106057067
129106057067,R-1,2189,3133,129106057067
129106057067,R-2,4197,5068,129106057067
129106057067,R-3,6190,7335,129106057067
129106057067,R-4,8188,8974,129106057067
129107057067,W-0,231,14124,129107057067
129107057067,R-0,207,1134,null
129107057067,R-0,11351,12169,129107057067
129107057067,R-1,2170,2996,null
129107057067,R-1,13760,15028,129107057067
129107057067,R-2,4187,5086,129107057067
129107057067,R-3,6190,6922,null
129107057067,R-3,17393,24211,129107057067
129107057067,R-4,8173,8984,null
129107057067,R-4,22519,25675,129107057067
129108057067,W-0,227,36076,129108057067
129108057067,R-0,720,1552,null
129108057067,R-0,11777,12549,129108057067
129108057067,R-1,2218,3051,null
129108057067,R-1,13268,14041,129108057067
129108057067,R-2,4209,5024,null
129108057067,R-2,15223,16214,129108057067
129108057067,R-3,6192,6972,129108057067
129108057067,R-4,8253,9066,129108057067
129109057067,W-0,239,37216,129109057067
129109057067,R-0,746,1445,null
129109057067,R-0,11684,12377,129109057067
129109057067,R-1,2203,2897,129109057067
129109057067,R-2,4182,4874,null
129109057067,R-2,15082,15674,129109057067
129109057067,R-3,6299,7062,null
129109057067,R-3,17272,18221,129109057067
129109057067,R-4,8186,8973,129109057067
129109557067,W-0,175,47674,129109557067
129109557067,R-0,496,1291,null
129109557067,R-0,11516,12118,129109557067
129109557067,R-1,2211,3925,129109557067
129109557067,R-2,4185,4930,129109557067
129109557067,R-3,6204,6883,129109557067
129109557067,R-4,8193,8813,129109557067
129110057067,W-0,209,92296,129110057067
129110057067,R-0,433,1200,null
129110057067,R-0,11405,12058,129110057067
129110057067,R-1,2198,3050,null
129110057067,R-1,13260,13897,129110057067
129110057067,R-2,4190,5064,129110057067
129110057067,R-3,6261,7053,129110057067
129110057067,R-4,8229,8999,129110057067
129110557067,W-0,228,49120,129110557067
129110557067,R-0,565,1454,null
129110557067,R-0,11699,12379,129110557067
129110557067,R-1,2235,3180,129110557067
129110557067,R-2,4199,5110,129110557067
129110557067,R-3,6222,7202,129110557067
129110557067,R-4,8464,9155,129110557067
129111057067,W-0,238,22991,129111057067
129111057067,R-0,380,1313,null
129111057067,R-0,11548,12175,129111057067
129111057067,R-1,2203,2993,null
129111057067,R-1,13309,13978,129111057067
129111057067,R-2,4220,5010,129111057067
129111057067,R-3,6189,6806,129111057067
129111057067,R-4,8177,8895,129111057067
129111557067,W-0,218,39229,129111557067
129111557067,R-0,562,1298,null
129111557067,R-0,11540,12666,129111557067
129111557067,R-1,2158,3122,129111557067
129111557067,R-2,4155,4929,129111557067
129111557067,R-3,6246,6888,129111557067
129111557067,R-4,8192,8983,129111557067
129113057067,W-0,236,38829,129113057067
129113057067,R-0,550,1548,null
129113057067,R-0,11778,12604,129113057067
129113057067,R-1,2169,3075,129113057067
129113057067,R-2,4202,5002,129113057067
129113057067,R-3,6220,6824,129113057067
129113057067,R-4,8197,9172,129113057067
129114057067,W-0,221,44042,129114057067
129114057067,R-0,526,1208,null
129114057067,R-0,11390,12145,129114057067
129114057067,R-1,2205,3025,129114057067
129114057067,R-2,4191,4895,129114057067
129114057067,R-3,6187,6787,129114057067
129114057067,R-4,8143,8870,129114057067
129114557067,W-0,220,21359,129114557067
129114557067,R-0,533,1370,null
129114557067,R-0,12105,12932,129114557067
129114557067,R-1,2205,3070,129114557067
129114557067,R-2,4193,4884,129114557067
129114557067,R-3,6215,6810,129114557067
129114557067,R-4,8191,8899,129114557067
129115057067,W-0,234,41548,129115057067
129115057067,R-0,569,1634,null
129115057067,R-0,11861,12724,129115057067
129115057067,R-1,2240,5422,129115057067
129115057067,R-2,4205,5684,129115057067
129115057067,R-3,6450,7298,129115057067
129115057067,R-4,8202,9011,129115057067
129115557067,W-0,230,129874,129115557067
129115557067,R-0,234,1287,null
129115557067,R-0,11513,12247,129115557067
129115557067,R-1,2446,3414,null
129115557067,R-1,13624,14423,129115557067
129115557067,R-2,4191,5152,129115557067
129115557067,R-3,6200,6978,null
129115557067,R-3,17210,17981,129115557067
129115557067,R-4,8207,9113,129115557067
129116057067,W-0,458,17689,129116057067
129116057067,R-0,209,1095,null
129116057067,R-0,11341,12070,129116057067
129116057067,R-1,2195,3093,129116057067
129116057067,R-2,4202,5164,129116057067
129116057067,R-3,6196,7034,129116057067
129116057067,R-4,8172,9097,129116057067
129116557067,W-0,211,33486,129116557067
129116557067,R-0,513,1241,null
129116557067,R-0,11466,12446,129116557067
129116557067,R-1,2199,2928,129116557067
129116557067,R-2,4186,5054,129116557067
129116557067,R-3,6190,6930,129116557067
129116557067,R-4,8246,8885,129116557067
129117057067,W-0,465,42608,129117057067
129117057067,R-0,194,927,null
129117057067,R-0,11251,11932,129117057067
129117057067,R-1,2194,3008,129117057067
129117057067,R-2,4190,4889,129117057067
129117057067,R-3,6190,6891,129117057067
129117057067,R-4,8186,8901,129117057067
129118057067,W-0,207,38299,129118057067
129118057067,R-0,216,1137,null
129118057067,R-0,11429,12275,129118057067
129118057067,R-1,2192,3210,129118057067
129118057067,R-2,4191,4863,129118057067
129118057067,R-3,6214,6986,129118057067
129118057067,R-4,8209,8872,129118057067
129118557067,W-0,223,43462,129118557067
129118557067,R-0,543,1307,null
129118557067,R-0,11602,12325,129118557067
129118557067,R-1,2286,2983,129118557067
129118557067,R-2,4234,5035,129118557067
129118557067,R-3,6211,6809,129118557067
129118557067,R-4,8184,9111,129118557067
129119057067,W-0,212,16481,129119057067
129119057067,R-0,471,1166,null
129119057067,R-0,11464,12075,129119057067
129119057067,R-1,2227,3014,null
129119057067,R-1,13256,13880,129119057067
129119057067,R-2,4198,4990,129119057067
129119057067,R-3,6232,7066,129119057067
129119057067,R-4,8191,8889,129119057067
129119557067,W-0,216,22352,129119557067
129119557067,R-0,464,1127,null
129119557067,R-0,11359,11989,129119557067
129119557067,R-1,2197,2916,129119557067
129119557067,R-2,4190,5063,129119557067
129119557067,R-3,6190,6842,129119557067
129119557067,R-4,8218,8905,129119557067
129120557067,W-0,232,39331,129120557067
129120557067,R-0,573,1491,null
129120557067,R-0,11746,12505,129120557067
129120557067,R-1,2221,3109,129120557067
129120557067,R-2,4197,5024,129120557067
129120557067,R-3,6193,7022,129120557067
129120557067,R-4,8187,8881,129120557067
129121557067,W-0,218,40243,129121557067
129121557067,R-0,481,1209,null
129121557067,R-0,11441,12248,129121557067
129121557067,R-1,2198,2779,null
129121557067,R-1,13054,14000,129121557067
129121557067,R-2,4176,4922,129121557067
129121557067,R-3,6188,7024,129121557067
129121557067,R-4,8190,8906,129121557067
129122057067,W-0,193,28798,129122057067
129122057067,R-0,494,1562,null
129122057067,R-0,12000,12759,129122057067
129122057067,R-1,2217,3200,129122057067
129122057067,R-2,4222,5181,129122057067
129122057067,R-3,6202,6998,129122057067
129122057067,R-4,8202,9026,129122057067
129124057067,W-0,310,35238,129124057067
129124057067,R-0,806,1849,null
129124057067,R-0,12268,13046,129124057067
129124057067,R-1,2217,2899,129124057067
129124057067,R-2,4219,4851,null
129124057067,R-2,15090,15749,129124057067
129124057067,R-3,6220,6895,null
129124057067,R-3,17210,17811,129124057067
129124057067,R-4,8198,8844,129124057067
129124557067,W-0,235,50069,129124557067
129124557067,R-0,529,1298,null
129124557067,R-0,11523,12168,129124557067
129124557067,R-1,2190,5238,null
129124557067,R-1,15487,16465,129124557067
129124557067,R-2,4200,5170,null
129124557067,R-2,15426,16243,129124557067
129124557067,R-3,6222,7147,129124557067
129124557067,R-4,8197,8816,129124557067
129125057067,W-0,234,111428,129125057067
129125057067,R-0,489,1117,null
129125057067,R-0,11435,12150,129125057067
129125057067,R-1,2201,2898,129125057067
129125057067,R-2,4226,5151,129125057067
129125057067,R-3,6206,7132,129125057067
129125057067,R-4,8513,9426,129125057067
129125557067,W-0,234,23015,129125557067
129125557067,R-0,295,1060,null
129125557067,R-0,11286,11828,129125557067
129125557067,R-1,2217,2870,129125557067
129125557067,R-2,4226,5025,129125557067
129125557067,R-3,6219,6884,129125557067
129125557067,R-4,8204,8851,129125557067
129126057067,W-0,555,16532,129126057067
129126057067,R-0,1234,1819,null
129126057067,R-0,12313,12977,129126057067
129126057067,R-1,2243,3307,129126057067
129126057067,R-2,4206,4891,129126057067
129126057067,R-3,6198,6983,129126057067
129126057067,R-4,8224,8895,129126057067
129128557067,W-0,247,21666,129128557067
129128557067,R-0,568,1404,null
129128557067,R-0,11652,12461,129128557067
