Time(micros),Thread, Start(micros),Delay (micros),Value
129698699198,W-0,360,47503,129698699198
129698699198,R-0,7746,11579,129698699198
129698699198,R-1,2263,6045,129698699198
129698699198,R-2,4149,10540,129698699198
129698699198,R-3,6198,10548,129698699198
129698699198,R-4,8987,11884,129698699198
129700199198,W-0,898516,null,null
129700199198,R-0,220,1598,null
129700199198,R-0,11870,12763,null
129700199198,R-0,22954,23638,null
129700199198,R-0,33848,34589,null
129700199198,R-0,44872,45602,null
129700199198,R-0,55836,56476,null
129700199198,R-0,66659,67535,null
129700199198,R-0,77731,78513,null
129700199198,R-0,88759,89665,null
129700199198,R-0,99905,100795,null
129700199198,R-0,111111,112460,null
129700199198,R-0,122759,123699,null
129700199198,R-0,133935,134881,null
129700199198,R-0,145128,146081,null
129700199198,R-0,156308,157041,null
129700199198,R-0,167280,168077,null
129700199198,R-0,178322,179188,null
129700199198,R-0,189423,190162,null
129700199198,R-0,200374,201302,null
129700199198,R-0,211510,212516,null
129700199198,R-0,222724,223906,null
129700199198,R-0,234148,234996,null
129700199198,R-0,245203,246087,null
129700199198,R-0,256437,257280,null
129700199198,R-0,267719,268552,null
129700199198,R-0,279269,280019,null
129700199198,R-0,290207,291230,null
129700199198,R-0,301601,302272,null
129700199198,R-0,312510,313547,null
129700199198,R-0,323854,325905,null
129700199198,R-0,336220,337143,null
129700199198,R-0,347474,348405,null
129700199198,R-0,358606,359467,null
129700199198,R-0,369657,370366,null
129700199198,R-0,380551,381313,null
129700199198,R-0,394326,395185,null
129700199198,R-0,405403,406113,null
129700199198,R-0,416471,417564,null
129700199198,R-0,427782,428533,null
129700199198,R-0,438726,439627,null
129700199198,R-0,449853,451276,null
129700199198,R-0,461697,462759,null
129700199198,R-0,473291,473961,null
129700199198,R-0,484298,484977,null
129700199198,R-0,495319,496010,null
129700199198,R-0,506596,507306,null
129700199198,R-0,517700,518358,null
129700199198,R-0,528792,529770,null
129700199198,R-0,540187,540716,null
129700199198,R-0,551157,551696,null
129700199198,R-0,562280,563295,null
129700199198,R-0,573481,574294,null
129700199198,R-0,584510,585392,null
129700199198,R-0,595868,596534,null
129700199198,R-0,607019,608244,null
129700199198,R-0,618485,620314,null
129700199198,R-0,630562,631583,null
129700199198,R-0,641774,642713,null
129700199198,R-0,653018,653938,null
129700199198,R-0,664125,665095,null
129700199198,R-0,675286,676174,null
129700199198,R-0,686429,687244,null
129700199198,R-0,697433,698425,null
129700199198,R-0,708611,709495,null
129700199198,R-0,719691,720693,null
129700199198,R-0,730905,731698,null
129700199198,R-0,741877,742752,null
129700199198,R-0,752931,753599,null
129700199198,R-0,763771,764500,null
129700199198,R-0,774684,775469,null
129700199198,R-0,785942,787388,null
129700199198,R-0,798659,799369,null
129700199198,R-0,809660,810356,null
129700199198,R-0,820572,821296,null
129700199198,R-0,831580,832354,null
129700199198,R-0,842693,843515,null
129700199198,R-0,853739,854446,null
129700199198,R-0,865119,865678,null
129700199198,R-0,876431,877692,null
129700199198,R-0,888311,889284,null
129700199198,R-0,900007,901101,null
129700199198,R-0,911360,912067,null
129700199198,R-0,922651,923292,null
129700199198,R-0,936635,937390,null
129700199198,R-0,947856,948422,null
129700199198,R-0,959138,959975,null
129700199198,R-0,970162,970973,null
129700199198,R-0,981626,982424,null
129700199198,R-0,993351,994376,null
129700199198,R-0,1006067,1007167,null
129700199198,R-0,1017620,1018368,null
129700199198,R-0,1029078,1029666,null
129700199198,R-0,1040081,1040986,null
129700199198,R-0,1051228,1051844,null
129700199198,R-0,1062455,1063087,null
129700199198,R-0,1073341,1074015,null
129700199198,R-0,1084635,1085328,null
129700199198,R-0,1095568,1096292,null
129700199198,R-0,1106674,1107403,null
129700199198,R-0,1118008,1118734,null
129700199198,R-0,1129111,1129981,null
129700199198,R-0,1140121,1140745,null
129700199198,R-0,1151459,1152025,null
129700199198,R-0,1162730,1163622,null
129700199198,R-0,1174138,1174968,null
129700199198,R-0,1185285,1186107,null
129700199198,R-0,1196447,1198021,null
129700199198,R-0,1208283,1208909,null
129700199198,R-0,1219128,1219718,null
129700199198,R-0,1229896,1230660,null
129700199198,R-0,1240882,1241561,null
129700199198,R-0,1252088,1252916,null
129700199198,R-0,1263280,1264400,null
129700199198,R-0,1274589,1275460,null
129700199198,R-0,1286093,1287325,null
129700199198,R-0,1297505,1298316,null
129700199198,R-0,1308517,1309125,null
129700199198,R-0,1319522,1320160,null
129700199198,R-0,1330726,1331535,null
129700199198,R-0,1342288,1342928,null
129700199198,R-0,1353114,1353732,null
129700199198,R-0,1363903,1364412,null
129700199198,R-0,1374720,1375534,null
129700199198,R-0,1385870,1386566,null
129700199198,R-0,1396749,1397455,null
129700199198,R-0,1407772,1408594,null
129700199198,R-0,1437402,1443746,null
129700199198,R-0,1456062,1457065,null
129700199198,R-0,1467565,1469187,null
129700199198,R-0,1479495,1480348,null
129700199198,R-0,1490562,1491350,null
129700199198,R-0,1501882,1503355,null
129700199198,R-0,1513409,1514337,null
129700199198,R-0,1524617,1525362,null
129700199198,R-0,1535521,1537058,null
129700199198,R-0,1547475,1548303,null
129700199198,R-0,1558635,1559145,null
129700199198,R-0,1569510,1571065,null
129700199198,R-0,1581624,1582269,null
129700199198,R-0,1592763,1594120,null
129700199198,R-0,1605715,1606562,null
129700199198,R-0,1616934,1617613,null
129700199198,R-0,1627877,1629637,null
129700199198,R-0,1639830,1640493,null
129700199198,R-0,1650740,1651419,null
129700199198,R-0,1661734,1662325,null
129700199198,R-0,1672501,1674009,null
129700199198,R-0,1684651,1685239,null
129700199198,R-0,1695740,1697267,null
129700199198,R-0,1707923,1708433,null
129700199198,R-0,1719104,1720237,null
129700199198,R-0,1730932,1731738,null
129700199198,R-0,1742272,1743180,null
129700199198,R-0,1753464,1754426,null
129700199198,R-0,1764724,1765511,null
129700199198,R-0,1775771,1792404,null
129700199198,R-0,1802639,1803463,null
129700199198,R-0,1813694,1814379,null
129700199198,R-0,1824594,1825423,null
129700199198,R-0,1835658,1836232,null
129700199198,R-0,1846404,1847222,null
129700199198,R-0,1859090,1862991,null
129700199198,R-0,1873408,1874134,null
129700199198,R-0,1884322,1885101,null
129700199198,R-0,1895379,1896118,null
129700199198,R-0,1906391,1907096,null
129700199198,R-0,1917333,1918020,null
129700199198,R-0,1928199,1928743,null
129700199198,R-0,1938915,1939666,null
129700199198,R-0,1949860,1950535,null
129700199198,R-0,1960733,1961423,null
129700199198,R-0,1971590,1972254,null
129700199198,R-0,1982432,1983216,null
129700199198,R-0,2003091,2004449,null
129700199198,R-0,2014771,2015629,null
129700199198,R-0,2026082,2027404,null
129700199198,R-0,2037884,2038592,null
129700199198,R-0,2048832,2050906,null
129700199198,R-0,2061449,2062178,null
129700199198,R-0,2072511,2073148,null
129700199198,R-0,2083462,2084049,null
129700199198,R-0,2094689,2095756,null
129700199198,R-0,2105999,2106971,null
129700199198,R-0,2117361,2118186,null
129700199198,R-0,2128536,2129530,null
129700199198,R-0,2139756,2141451,null
129700199198,R-0,2152135,2153079,null
129700199198,R-0,2163408,2164181,null
129700199198,R-0,2174369,2175104,null
129700199198,R-0,2185724,2186923,null
129700199198,R-0,2197348,2197976,null
129700199198,R-0,2208282,2209934,null
129700199198,R-0,2220118,null,null
129700199198,R-1,2192,3124,null
129700199198,R-1,13338,14060,null
129700199198,R-1,24251,24957,null
129700199198,R-1,35151,35931,null
129700199198,R-1,46131,46900,null
129700199198,R-1,57091,57783,null
129700199198,R-1,68068,68890,null
129700199198,R-1,79093,79764,null
129700199198,R-1,89952,90709,null
129700199198,R-1,100972,101744,null
129700199198,R-1,112089,113132,null
129700199198,R-1,123437,124324,null
129700199198,R-1,134526,135324,null
129700199198,R-1,145552,146249,null
129700199198,R-1,156616,157542,null
129700199198,R-1,167745,168570,null
129700199198,R-1,178768,179628,null
129700199198,R-1,189860,190658,null
129700199198,R-1,200920,201613,null
129700199198,R-1,211794,212682,null
129700199198,R-1,222948,223897,null
129700199198,R-1,234157,235025,null
129700199198,R-1,245280,246267,null
129700199198,R-1,256697,257476,null
129700199198,R-1,268003,268746,null
129700199198,R-1,279007,280163,null
129700199198,R-1,290485,291143,null
129700199198,R-1,301343,302449,null
129700199198,R-1,312787,313735,null
129700199198,R-1,324285,326569,null
129700199198,R-1,343948,344949,null
129700199198,R-1,355158,355991,null
129700199198,R-1,366195,367037,null
129700199198,R-1,377234,378053,null
129700199198,R-1,388559,393772,null
129700199198,R-1,404043,404738,null
129700199198,R-1,415017,415792,null
129700199198,R-1,426086,427022,null
129700199198,R-1,437219,437896,null
129700199198,R-1,448105,448769,null
129700199198,R-1,458968,459857,null
129700199198,R-1,470053,471006,null
129700199198,R-1,481194,481937,null
129700199198,R-1,492133,493046,null
129700199198,R-1,503229,504148,null
129700199198,R-1,514338,515162,null
129700199198,R-1,525352,526868,null
129700199198,R-1,537068,537698,null
129700199198,R-1,547893,548848,null
129700199198,R-1,559074,559938,null
129700199198,R-1,570112,570839,null
129700199198,R-1,581017,581888,null
129700199198,R-1,592066,592957,null
129700199198,R-1,603130,603901,null
129700199198,R-1,614125,614943,null
129700199198,R-1,625140,626333,null
129700199198,R-1,636569,637507,null
129700199198,R-1,647698,648552,null
129700199198,R-1,658792,659631,null
129700199198,R-1,669866,670764,null
129700199198,R-1,681002,681693,null
129700199198,R-1,691879,692752,null
129700199198,R-1,702983,703753,null
129700199198,R-1,713931,714603,null
129700199198,R-1,724831,725486,null
129700199198,R-1,735681,736439,null
129700199198,R-1,746607,747224,null
129700199198,R-1,757645,758446,null
129700199198,R-1,768663,769324,null
129700199198,R-1,779517,780088,null
129700199198,R-1,791737,792529,null
129700199198,R-1,802712,803462,null
129700199198,R-1,813655,814413,null
129700199198,R-1,824744,825578,null
129700199198,R-1,836016,836692,null
129700199198,R-1,847172,847923,null
129700199198,R-1,858317,859066,null
129700199198,R-1,869268,869976,null
129700199198,R-1,880550,881450,null
129700199198,R-1,891555,892127,null
129700199198,R-1,902850,903491,null
129700199198,R-1,913715,914517,null
