Time(micros),Thread, Start(micros),Delay (micros),Value
137449843050,W-0,357,7359,137449843050
137449843050,R-0,5044,14246,137449843050
137449843050,R-1,7561,14018,137449843050
137449843050,R-2,4316,8085,137449843050
137449843050,R-3,6720,13497,137449843050
137449843050,R-4,8843,13790,137449843050
137451343050,W-0,327,4278,137451343050
137451343050,R-0,232,1246,null
137451343050,R-0,11567,12508,137451343050
137451343050,R-1,2213,5557,137451343050
137451343050,R-2,4228,5302,137451343050
137451343050,R-3,6200,7227,137451343050
137451343050,R-4,8199,9286,137451343050
137452343050,W-0,208,3638,137452343050
137452343050,R-0,753,1757,137452343050
137452343050,R-1,2289,3868,137452343050
137452343050,R-2,4174,5042,137452343050
137452343050,R-3,6184,6900,137452343050
137452343050,R-4,8209,12167,137452343050
137453343050,W-0,287,150094,137453343050
137453343050,R-0,684,1611,null
137453343050,R-0,11828,12696,137453343050
137453343050,R-1,2193,2866,137453343050
137453343050,R-2,4222,4942,137453343050
137453343050,R-3,6187,7089,137453343050
137453343050,R-4,8187,8901,137453343050
137454343050,W-0,198,3772,137454343050
137454343050,R-0,629,1399,null
137454343050,R-0,11611,12315,137454343050
137454343050,R-1,2213,3020,137454343050
137454343050,R-2,4194,4900,137454343050
137454343050,R-3,6214,7045,137454343050
137454343050,R-4,8185,8948,137454343050
137454843050,W-0,200,4062,137454843050
137454843050,R-0,504,1743,null
137454843050,R-0,12465,13305,137454843050
137454843050,R-1,2199,3058,null
137454843050,R-1,13330,14903,137454843050
137454843050,R-2,4239,5206,null
137454843050,R-2,15457,17074,137454843050
137454843050,R-3,6188,7213,137454843050
137454843050,R-4,8227,9318,137454843050
137455343050,W-0,197,3473,137455343050
137455343050,R-0,198,1084,null
137455343050,R-0,11302,12069,137455343050
137455343050,R-1,2204,2903,137455343050
137455343050,R-2,4220,4870,137455343050
137455343050,R-3,6205,6983,137455343050
137455343050,R-4,8198,8861,137455343050
137455843050,W-0,218,2726,137455843050
137455843050,R-0,549,1333,null
137455843050,R-0,11616,13153,137455843050
137455843050,R-1,2180,2910,137455843050
137455843050,R-2,4242,5061,137455843050
137455843050,R-3,6207,7016,137455843050
137455843050,R-4,8222,9074,137455843050
137456343050,W-0,256,3748,137456343050
137456343050,R-0,694,1374,null
137456343050,R-0,11598,12235,137456343050
137456343050,R-1,2304,3110,137456343050
137456343050,R-2,4201,5036,137456343050
137456343050,R-3,6199,7025,137456343050
137456343050,R-4,8194,8939,137456343050
137456843050,W-0,243,3746,137456843050
137456843050,R-0,546,1506,null
137456843050,R-0,11743,12596,137456843050
137456843050,R-1,2184,3067,137456843050
137456843050,R-2,4200,4852,137456843050
137456843050,R-3,6199,7125,137456843050
137456843050,R-4,8206,9137,137456843050
137458343050,W-0,235,4533,137458343050
137458343050,R-0,563,1430,null
137458343050,R-0,11706,12415,137458343050
137458343050,R-1,2205,3377,137458343050
137458343050,R-2,4218,5023,137458343050
137458343050,R-3,6193,7007,137458343050
137458343050,R-4,8189,9702,137458343050
137459343050,W-0,232,3884,137459343050
137459343050,R-0,617,1578,null
137459343050,R-0,11795,12762,null
137459343050,R-0,22984,23865,137459343050
137459343050,R-1,2192,3218,137459343050
137459343050,R-2,4203,5019,137459343050
137459343050,R-3,6189,7037,null
137459343050,R-3,17392,18270,137459343050
137459343050,R-4,8188,9183,137459343050
137459843050,W-0,520,3929,137459843050
137459843050,R-0,240,1083,null
137459843050,R-0,11312,12034,137459843050
137459843050,R-1,2209,3134,137459843050
137459843050,R-2,4188,4920,137459843050
137459843050,R-3,6183,6875,137459843050
137459843050,R-4,8186,8870,137459843050
137460343050,W-0,221,3397,137460343050
137460343050,R-0,514,1284,null
137460343050,R-0,11524,12296,137460343050
137460343050,R-1,2193,3095,137460343050
137460343050,R-2,4210,5122,137460343050
137460343050,R-3,6188,6990,137460343050
137460343050,R-4,8195,9099,137460343050
137460843050,W-0,266,3624,137460843050
137460843050,R-0,560,1527,137460843050
137460843050,R-1,2173,3087,null
137460843050,R-1,13330,14014,137460843050
137460843050,R-2,4191,5017,137460843050
137460843050,R-3,6209,6916,137460843050
137460843050,R-4,8186,9061,137460843050
137461343050,W-0,201,4174,137461343050
137461343050,R-0,503,1417,null
137461343050,R-0,11674,12567,137461343050
137461343050,R-1,2180,3104,137461343050
137461343050,R-2,4410,5348,137461343050
137461343050,R-3,6258,7135,137461343050
137461343050,R-4,8195,9121,137461343050
137461843050,W-0,522,24141,137461843050
137461843050,R-0,277,1316,null
137461843050,R-0,11542,12450,137461843050
137461843050,R-1,2176,2863,null
137461843050,R-1,13115,14165,137461843050
137461843050,R-2,4182,5779,137461843050
137461843050,R-3,6173,7056,137461843050
137461843050,R-4,8184,9028,137461843050
137462343050,W-0,212,3091,137462343050
