Time(micros),Thread, Start(micros),Delay (micros),Value
138045327441,W-0,1945,7879,138045327441
138045327441,R-0,349,6874,138045327441
138045327441,R-1,2278,4325,null
138045327441,R-1,16480,17660,138045327441
138045327441,R-2,4263,7391,138045327441
138045327441,R-3,9884,11912,138045327441
138045327441,R-4,8259,10234,138045327441
138046827441,W-0,248,3841,138046827441
138046827441,R-0,752,1540,138046827441
138046827441,R-1,2228,3050,138046827441
138046827441,R-2,4207,4923,138046827441
138046827441,R-3,6196,6908,138046827441
138046827441,R-4,8313,9412,138046827441
138047827441,W-0,229,6741,138047827441
138047827441,R-0,670,1449,138047827441
138047827441,R-1,2479,3941,138047827441
138047827441,R-2,4342,5306,138047827441
138047827441,R-3,6400,8703,138047827441
138047827441,R-4,8197,8987,138047827441
138048827441,W-0,200,3661,138048827441
138048827441,R-0,342,1456,138048827441
138048827441,R-1,2154,3042,138048827441
138048827441,R-2,4136,4862,138048827441
138048827441,R-3,6190,6936,138048827441
138048827441,R-4,8189,8830,138048827441
138049827441,W-0,218,3814,138049827441
138049827441,R-0,644,1471,138049827441
138049827441,R-1,2183,2806,138049827441
138049827441,R-2,4200,4883,138049827441
138049827441,R-3,6212,6931,138049827441
138049827441,R-4,8189,8812,138049827441
138050327441,W-0,285,10386,138050327441
138050327441,R-0,789,1926,138050327441
138050327441,R-1,2175,2995,138050327441
138050327441,R-2,4246,5092,138050327441
138050327441,R-3,6218,7046,138050327441
138050327441,R-4,8207,9070,138050327441
138050827441,W-0,238,3937,138050827441
138050827441,R-0,615,1649,138050827441
138050827441,R-1,2188,3070,138050827441
138050827441,R-2,4122,4924,138050827441
138050827441,R-3,6206,6952,138050827441
138050827441,R-4,8186,8910,138050827441
138051327441,W-0,237,12484,138051327441
138051327441,R-0,591,1405,138051327441
138051327441,R-1,2187,2890,138051327441
138051327441,R-2,4192,4987,138051327441
138051327441,R-3,6229,7042,138051327441
138051327441,R-4,8200,8846,138051327441
138051827441,W-0,625,4610,138051827441
138051827441,R-0,304,1130,null
138051827441,R-0,11416,12267,138051827441
138051827441,R-1,2171,3056,138051827441
138051827441,R-2,4195,5016,138051827441
138051827441,R-3,6201,6940,138051827441
138051827441,R-4,8214,9052,138051827441
138052327441,W-0,196,4153,138052327441
138052327441,R-0,497,1556,138052327441
138052327441,R-1,2213,3005,138052327441
138052327441,R-2,4322,5065,138052327441
138052327441,R-3,6198,6859,138052327441
138052327441,R-4,8148,8812,138052327441
138053827441,W-0,207,4794,138053827441
138053827441,R-0,516,2558,138053827441
