Time(micros),Thread, Start(micros),Delay (micros),Value
139830711533,W-0,403,6367,139830711533
139830711533,R-0,3887,13135,139830711533
139830711533,R-1,2224,4791,139830711533
139830711533,R-2,4745,13680,139830711533
139830711533,R-3,6178,15706,139830711533
139830711533,R-4,12253,14372,139830711533
139832211533,W-0,238,2744,139832211533
139832211533,R-0,270,1682,null
139832211533,R-0,12015,12697,139832211533
139832211533,R-1,2194,3099,139832211533
139832211533,R-2,4203,5099,139832211533
139832211533,R-3,6208,7027,139832211533
139832211533,R-4,8190,9089,139832211533
139833211533,W-0,557,11043,139833211533
139833211533,R-0,205,1284,null
139833211533,R-0,11521,12192,139833211533
139833211533,R-1,2182,2948,139833211533
139833211533,R-2,4280,5329,139833211533
139833211533,R-3,6212,7027,139833211533
139833211533,R-4,8175,9107,139833211533
139834211533,W-0,186,3639,139834211533
139834211533,R-0,277,1614,139834211533
139834211533,R-1,2195,2973,139834211533
139834211533,R-2,4216,4921,139834211533
139834211533,R-3,6198,6904,139834211533
139834211533,R-4,8224,8925,139834211533
139835211533,W-0,216,18245,139835211533
139835211533,R-0,688,1440,139835211533
139835211533,R-1,2209,3002,139835211533
139835211533,R-2,4189,5729,139835211533
139835211533,R-3,6198,6961,139835211533
139835211533,R-4,8190,8959,139835211533
139835711533,W-0,238,3817,139835711533
139835711533,R-0,595,1918,139835711533
139835711533,R-1,2207,3167,139835711533
139835711533,R-2,4210,4942,139835711533
139835711533,R-3,6274,7098,139835711533
139835711533,R-4,8190,8883,139835711533
139836211533,W-0,221,40619,139836211533
139836211533,R-0,577,34440,139836211533
139836211533,R-1,2190,33967,139836211533
139836211533,R-2,4217,34261,139836211533
139836211533,R-3,6197,35026,139836211533
139836211533,R-4,8220,34792,139836211533
139836711533,W-0,236,20926,139836711533
139836711533,R-0,603,1464,139836711533
139836711533,R-1,2143,2891,139836711533
139836711533,R-2,4242,5304,139836711533
139836711533,R-3,6207,7122,139836711533
139836711533,R-4,8193,8910,139836711533
139837211533,W-0,601,3367,139837211533
139837211533,R-0,229,1026,null
139837211533,R-0,11242,11975,139837211533
139837211533,R-1,2198,3051,139837211533
139837211533,R-2,4244,5067,139837211533
139837211533,R-3,6203,6931,139837211533
139837211533,R-4,8185,8878,139837211533
139837711533,W-0,234,5073,139837711533
139837711533,R-0,572,1466,139837711533
139837711533,R-1,2170,2864,139837711533
139837711533,R-2,4286,5300,139837711533
139837711533,R-3,6269,6910,139837711533
139837711533,R-4,8206,8897,139837711533
139839211533,W-0,211,15738,139839211533
139839211533,R-0,600,1589,139839211533
139839211533,R-1,2155,2904,139839211533
139839211533,R-2,4187,4801,139839211533
139839211533,R-3,6209,7102,139839211533
139839211533,R-4,8199,8983,139839211533
139840211533,W-0,261,3750,139840211533
139840211533,R-0,637,1462,139840211533
139840211533,R-1,2197,3024,139840211533
139840211533,R-2,4201,4822,139840211533
139840211533,R-3,6187,7031,139840211533
139840211533,R-4,8196,9011,139840211533
139840711533,W-0,212,4168,139840711533
139840711533,R-0,549,1412,139840711533
139840711533,R-1,2215,2919,139840711533
139840711533,R-2,4347,5203,139840711533
139840711533,R-3,6189,7043,139840711533
139840711533,R-4,8243,9128,139840711533
139841211533,W-0,203,3730,139841211533
139841211533,R-0,529,1316,139841211533
139841211533,R-1,2157,2961,139841211533
139841211533,R-2,4218,5017,139841211533
139841211533,R-3,6205,6932,139841211533
139841211533,R-4,8211,8988,139841211533
139841711533,W-0,203,5023,139841711533
139841711533,R-0,568,1381,139841711533
139841711533,R-1,2188,3345,139841711533
139841711533,R-2,4179,4844,139841711533
139841711533,R-3,6220,7030,139841711533
139841711533,R-4,8248,9039,139841711533
139842211533,W-0,243,9705,139842211533
139842211533,R-0,524,1385,null
139842211533,R-0,11693,12337,139842211533
139842211533,R-1,2189,2985,139842211533
139842211533,R-2,4191,4949,139842211533
139842211533,R-3,6206,6987,139842211533
139842211533,R-4,8228,9035,139842211533
139842711533,W-0,226,3770,139842711533
139842711533,R-0,567,1318,139842711533
139842711533,R-1,2192,2882,139842711533
139842711533,R-2,4201,4942,139842711533
139842711533,R-3,6184,6805,139842711533
139842711533,R-4,8227,8842,139842711533
139843211533,W-0,218,4238,139843211533
139843211533,R-0,743,1849,139843211533
139843211533,R-1,2199,2971,139843211533
139843211533,R-2,4422,5117,139843211533
139843211533,R-3,6182,6886,139843211533
139843211533,R-4,8177,8867,139843211533
139844211533,W-0,213,77170,139844211533
139844211533,R-0,622,75723,139844211533
139844211533,R-1,2226,76576,139844211533
139844211533,R-2,4259,76808,139844211533
139844211533,R-3,6216,76095,139844211533
139844211533,R-4,8219,76321,139844211533
139844711533,W-0,542,4012,139844711533
139844711533,R-0,235,1274,null
139844711533,R-0,11547,12114,139844711533
139844711533,R-1,2347,3239,139844711533
139844711533,R-2,4217,5019,139844711533
139844711533,R-3,6225,7148,139844711533
139844711533,R-4,8223,9060,139844711533
139845211533,W-0,217,4731,139845211533
139845211533,R-0,502,1382,139845211533
139845211533,R-1,2184,3055,139845211533
139845211533,R-2,4188,5169,139845211533
139845211533,R-3,6190,7246,139845211533
139845211533,R-4,8181,8832,139845211533
139845711533,W-0,220,3160,139845711533
139845711533,R-0,511,1226,139845711533
139845711533,R-1,2185,2884,139845711533
139845711533,R-2,4188,4861,139845711533
139845711533,R-3,6139,6848,139845711533
139845711533,R-4,8152,8829,139845711533
139846711533,W-0,319,3760,139846711533
139846711533,R-0,600,1395,139846711533
139846711533,R-1,2169,3065,139846711533
139846711533,R-2,4199,4975,139846711533
139846711533,R-3,6222,6870,139846711533
139846711533,R-4,8149,8761,139846711533
139847711533,W-0,234,5177,139847711533
139847711533,R-0,553,2056,139847711533
139847711533,R-1,2287,2934,139847711533
139847711533,R-2,4191,4881,139847711533
139847711533,R-3,6171,6786,139847711533
139847711533,R-4,8213,8814,139847711533
139848211533,W-0,274,4022,139848211533
139848211533,R-0,462,2056,139848211533
139848211533,R-1,2274,3036,139848211533
139848211533,R-2,4212,4941,139848211533
139848211533,R-3,6194,6871,139848211533
139848211533,R-4,8190,8811,139848211533
139850211533,W-0,216,3661,139850211533
139850211533,R-0,578,1242,139850211533
139850211533,R-1,2201,2932,139850211533
139850211533,R-2,4199,4821,139850211533
139850211533,R-3,6197,6938,139850211533
139850211533,R-4,8196,8917,139850211533
139850711533,W-0,225,10399,139850711533
139850711533,R-0,543,1451,139850711533
139850711533,R-1,2222,3336,139850711533
139850711533,R-2,4185,4962,139850711533
139850711533,R-3,6247,7158,139850711533
139850711533,R-4,8208,8860,139850711533
139851211533,W-0,584,3656,139851211533
139851211533,R-0,600,1730,139851211533
139851211533,R-1,2272,2926,139851211533
139851211533,R-2,4202,4772,139851211533
139851211533,R-3,6207,6768,139851211533
139851211533,R-4,8219,8829,139851211533
139851711533,W-0,239,3737,139851711533
139851711533,R-0,566,1351,139851711533
139851711533,R-1,2236,3047,139851711533
139851711533,R-2,4196,4849,139851711533
139851711533,R-3,6196,6968,139851711533
139851711533,R-4,8412,9254,139851711533
139852211533,W-0,241,4437,139852211533
139852211533,R-0,588,2008,139852211533
139852211533,R-1,2234,2993,139852211533
139852211533,R-2,4226,4909,139852211533
139852211533,R-3,6222,6913,139852211533
139852211533,R-4,8227,8993,139852211533
139854711533,W-0,618,3886,139854711533
139854711533,R-0,282,1032,null
139854711533,R-0,11234,11811,139854711533
139854711533,R-1,2303,2905,139854711533
139854711533,R-2,4194,4816,139854711533
139854711533,R-3,6213,6944,139854711533
139854711533,R-4,8207,8827,139854711533
139855711533,W-0,394,4434,139855711533
139855711533,R-0,215,1084,null
139855711533,R-0,11351,12060,139855711533
139855711533,R-1,2190,3328,139855711533
139855711533,R-2,4198,4810,139855711533
139855711533,R-3,6138,6746,139855711533
139855711533,R-4,8199,9186,139855711533
139856211533,W-0,199,3754,139856211533
139856211533,R-0,463,1310,139856211533
139856211533,R-1,2177,2933,139856211533
139856211533,R-2,4226,4887,139856211533
139856211533,R-3,6185,6900,139856211533
139856211533,R-4,8184,8875,139856211533
139856711533,W-0,159,3343,139856711533
139856711533,R-0,530,1257,139856711533
139856711533,R-1,2194,2923,139856711533
139856711533,R-2,4199,4884,139856711533
139856711533,R-3,6189,6952,139856711533
139856711533,R-4,8213,9095,139856711533
139857211533,W-0,428,7746,139857211533
139857211533,R-0,205,882,null
139857211533,R-0,11135,11759,139857211533
139857211533,R-1,2410,3284,139857211533
139857211533,R-2,4340,5216,139857211533
139857211533,R-3,6193,6883,139857211533
139857211533,R-4,8201,8848,139857211533
139857711533,W-0,228,3286,139857711533
139857711533,R-0,507,1279,139857711533
139857711533,R-1,2173,3012,139857711533
