Time(micros),Thread, Start(micros),Delay (micros),Value
140425411376,W-0,393,9176,140425411376
140425411376,R-0,319,3547,null
140425411376,R-0,15235,17558,140425411376
140425411376,R-1,6731,11198,140425411376
140425411376,R-2,4203,8459,140425411376
140425411376,R-3,6287,9027,140425411376
140425411376,R-4,8845,11292,140425411376
140426911376,W-0,229,9498,140426911376
140426911376,R-0,1905,3890,140426911376
140426911376,R-1,2428,3600,140426911376
140426911376,R-2,4220,5157,140426911376
140426911376,R-3,6225,7596,140426911376
140426911376,R-4,8317,9191,140426911376
140427911376,W-0,210,11546,140427911376
140427911376,R-0,208,1098,null
140427911376,R-0,11302,12097,140427911376
140427911376,R-1,2237,3016,140427911376
140427911376,R-2,4214,5016,140427911376
140427911376,R-3,6208,7190,140427911376
140427911376,R-4,8197,9085,140427911376
140428911376,W-0,206,28237,140428911376
140428911376,R-0,477,1169,null
140428911376,R-0,11410,12079,140428911376
140428911376,R-1,2198,2989,null
140428911376,R-1,13258,14017,null
140428911376,R-1,24239,25008,140428911376
140428911376,R-2,4245,5027,140428911376
140428911376,R-3,6243,7098,140428911376
140428911376,R-4,8245,8988,140428911376
140429911376,W-0,211,4209,140429911376
140429911376,R-0,517,1603,null
140429911376,R-0,11991,12854,140429911376
140429911376,R-1,2197,3203,140429911376
140429911376,R-2,4395,5089,140429911376
140429911376,R-3,6195,7074,140429911376
140429911376,R-4,8193,9000,140429911376
140430411376,W-0,372,4303,140430411376
140430411376,R-0,234,1727,null
140430411376,R-0,12559,13384,140430411376
140430411376,R-1,2225,3127,140430411376
140430411376,R-2,4255,6305,140430411376
140430411376,R-3,6405,7722,140430411376
140430411376,R-4,8234,9016,140430411376
140430911376,W-0,219,150203,140430911376
140430911376,R-0,524,1588,null
140430911376,R-0,11916,12873,null
140430911376,R-0,23056,23885,null
140430911376,R-0,34111,34909,140430911376
140430911376,R-1,2263,3297,null
140430911376,R-1,13520,14563,null
140430911376,R-1,24797,25432,null
140430911376,R-1,35686,36458,140430911376
140430911376,R-2,4245,5201,null
140430911376,R-2,15604,16512,null
140430911376,R-2,26830,27463,null
140430911376,R-2,37681,38555,140430911376
140430911376,R-3,6222,6924,null
140430911376,R-3,17107,17949,null
140430911376,R-3,28130,28868,140430911376
140430911376,R-4,8209,8964,null
140430911376,R-4,19167,19814,140430911376
140431411376,W-0,225,3003,140431411376
140431411376,R-0,571,1301,null
140431411376,R-0,11520,12388,140431411376
140431411376,R-1,2179,2823,null
140431411376,R-1,13102,14344,140431411376
140431411376,R-2,4220,4888,null
140431411376,R-2,15178,15854,140431411376
140431411376,R-3,6183,6919,null
140431411376,R-3,17136,17861,140431411376
140431411376,R-4,8188,8960,null
140431411376,R-4,19201,20011,140431411376
140431911376,W-0,220,4365,140431911376
140431911376,R-0,528,1377,null
140431911376,R-0,11785,13087,140431911376
140431911376,R-1,2184,2969,140431911376
140431911376,R-2,4200,5086,140431911376
140431911376,R-3,6180,7015,140431911376
140431911376,R-4,8208,8937,140431911376
140432411376,W-0,237,40167,140432411376
140432411376,R-0,192,1092,null
140432411376,R-0,11369,12268,null
140432411376,R-0,22512,23272,null
140432411376,R-0,33456,34009,null
140432411376,R-0,44207,44873,null
140432411376,R-0,55090,55717,null
140432411376,R-0,65904,66531,140432411376
140432411376,R-1,2188,3129,null
140432411376,R-1,13396,14337,null
140432411376,R-1,24548,25361,140432411376
140432411376,R-2,4206,5226,null
140432411376,R-2,15464,16199,null
140432411376,R-2,26439,27341,140432411376
140432411376,R-3,6190,7048,null
140432411376,R-3,17264,18091,null
140432411376,R-3,28331,29208,null
140432411376,R-3,40197,40998,140432411376
140432411376,R-4,8222,9146,null
140432411376,R-4,19377,20073,null
140432411376,R-4,30311,31038,null
140432411376,R-4,41263,42141,140432411376
140433911376,W-0,180,3940,140433911376
140433911376,R-0,526,1590,null
140433911376,R-0,11883,12599,140433911376
140433911376,R-1,2211,3055,null
140433911376,R-1,13386,14190,140433911376
140433911376,R-2,4206,5112,140433911376
140433911376,R-3,6196,7025,140433911376
140433911376,R-4,8233,8971,140433911376
140434911376,W-0,515,5241,140434911376
140434911376,R-0,261,1032,null
140434911376,R-0,11261,11888,140434911376
140434911376,R-1,2320,3116,null
140434911376,R-1,13331,14020,140434911376
140434911376,R-2,4189,5102,140434911376
140434911376,R-3,6201,6970,140434911376
140434911376,R-4,8257,8993,140434911376
140435411376,W-0,212,34209,140435411376
140435411376,R-0,231,1152,null
140435411376,R-0,11387,12019,140435411376
140435411376,R-1,2195,3061,140435411376
140435411376,R-2,4205,5397,140435411376
140435411376,R-3,6214,6836,140435411376
140435411376,R-4,8184,8833,140435411376
140435911376,W-0,539,3504,140435911376
140435911376,R-0,288,1307,null
140435911376,R-0,11807,12577,140435911376
140435911376,R-1,2177,3071,140435911376
140435911376,R-2,4202,5093,140435911376
140435911376,R-3,6193,7052,140435911376
140435911376,R-4,8282,9260,140435911376
140436411376,W-0,200,3729,140436411376
140436411376,R-0,537,1397,null
140436411376,R-0,11622,12337,140436411376
140436411376,R-1,2193,3242,140436411376
140436411376,R-2,4172,4897,140436411376
140436411376,R-3,6191,6868,140436411376
140436411376,R-4,8200,9090,140436411376
140436911376,W-0,224,4601,140436911376
140436911376,R-0,521,1585,null
140436911376,R-0,11988,12756,140436911376
140436911376,R-1,2173,3184,140436911376
140436911376,R-2,4258,5247,140436911376
140436911376,R-3,6188,6964,140436911376
140436911376,R-4,8260,9058,140436911376
140437411376,W-0,204,25871,140437411376
140437411376,R-0,241,1247,null
140437411376,R-0,11500,12358,null
140437411376,R-0,22580,23351,null
140437411376,R-0,33570,34347,140437411376
140437411376,R-1,2238,3198,null
140437411376,R-1,13418,14219,null
140437411376,R-1,25336,26954,140437411376
140437411376,R-2,4205,5246,null
140437411376,R-2,15515,16389,null
140437411376,R-2,26594,27394,140437411376
140437411376,R-3,6211,7166,null
140437411376,R-3,17386,18090,null
140437411376,R-3,28540,29300,140437411376
140437411376,R-4,8209,9087,null
140437411376,R-4,19312,19999,null
140437411376,R-4,30272,31055,140437411376
140437911376,W-0,192,2513,140437911376
140437911376,R-0,617,1349,null
140437911376,R-0,11599,12380,null
