Time(micros),Thread, Start(micros),Delay (micros),Value
142211423147,W-0,354,12931,142211423147
142211423147,R-0,7660,14433,142211423147
142211423147,R-1,2370,6512,142211423147
142211423147,R-2,4189,6976,142211423147
142211423147,R-3,6535,14599,142211423147
142211423147,R-4,8226,15241,142211423147
142212923147,W-0,266,4076,142212923147
142212923147,R-0,238,4256,142212923147
142212923147,R-1,2179,3795,142212923147
142212923147,R-2,4412,5241,142212923147
142212923147,R-3,6213,7182,142212923147
142212923147,R-4,8193,9090,142212923147
142213923147,W-0,207,2785,142213923147
142213923147,R-0,590,1510,null
142213923147,R-0,11728,12690,142213923147
142213923147,R-1,2204,3185,null
142213923147,R-1,13376,14181,142213923147
142213923147,R-2,4235,4992,142213923147
142213923147,R-3,6199,7095,null
142213923147,R-3,17297,19017,142213923147
142213923147,R-4,8167,9012,142213923147
142214923147,W-0,161,8184,142214923147
142214923147,R-0,502,1224,null
142214923147,R-0,11388,12009,142214923147
142214923147,R-1,2147,2902,142214923147
142214923147,R-2,4232,4927,142214923147
142214923147,R-3,6194,6902,142214923147
142214923147,R-4,8323,9030,142214923147
142215923147,W-0,210,3702,142215923147
142215923147,R-0,558,1369,null
142215923147,R-0,11580,12377,142215923147
142215923147,R-1,2189,3126,142215923147
142215923147,R-2,4193,4952,142215923147
142215923147,R-3,6188,6981,142215923147
142215923147,R-4,8183,9033,142215923147
142216423147,W-0,233,3636,142216423147
142216423147,R-0,528,1374,null
142216423147,R-0,11601,12529,142216423147
142216423147,R-1,2202,3106,142216423147
142216423147,R-2,4195,4973,142216423147
142216423147,R-3,6215,6994,142216423147
142216423147,R-4,8211,8953,142216423147
142216923147,W-0,221,300000,142216923147
142216923147,R-0,409,1218,null
142216923147,R-0,11536,12352,null
142216923147,R-0,22543,23186,null
142216923147,R-0,33371,33995,null
142216923147,R-0,44182,44758,null
142216923147,R-0,54945,55573,null
142216923147,R-0,65757,66423,null
142216923147,R-0,76539,77071,null
142216923147,R-0,87296,88059,null
142216923147,R-0,98262,98837,null
142216923147,R-0,109053,109755,null
142216923147,R-0,119966,120585,null
142216923147,R-0,131021,131762,null
142216923147,R-0,146187,146895,null
142216923147,R-0,157097,157736,null
142216923147,R-0,167946,168502,null
142216923147,R-0,178738,179607,null
142216923147,R-0,189878,190516,null
142216923147,R-0,200758,201558,null
142216923147,R-0,211740,212486,null
142216923147,R-0,222682,223697,null
142216923147,R-0,233947,234822,null
142216923147,R-0,245089,246005,null
142216923147,R-0,256293,257119,null
142216923147,R-0,267346,268063,null
142216923147,R-0,278325,279103,null
142216923147,R-0,289350,290015,null
142216923147,R-0,300250,300987,null
