Time(micros),Thread, Start(micros),Delay (micros),Value
119580568487,W-0,364,5921,119580568487
119580568487,R-0,3914,10695,119580568487
119580568487,R-1,2279,7135,null
119580568487,R-1,22897,23897,119580568487
119580568487,R-2,4487,7432,null
119580568487,R-2,23985,26062,119580568487
119580568487,R-3,6213,10067,119580568487
119580568487,R-4,9907,12977,119580568487
119582068487,W-0,2020,3340,119582068487
119582068487,R-0,217,3871,null
119582068487,R-0,14211,14953,119582068487
119582068487,R-1,2743,3685,null
119582068487,R-1,13917,14660,119582068487
119582068487,R-2,4163,5098,119582068487
119582068487,R-3,6222,7090,119582068487
119582068487,R-4,8188,10774,119582068487
119583068487,W-0,189,1459,119583068487
119583068487,R-0,699,1380,null
119583068487,R-0,11620,12836,119583068487
119583068487,R-1,2201,3064,119583068487
119583068487,R-2,4175,5050,119583068487
119583068487,R-3,6190,7500,119583068487
119583068487,R-4,8417,9225,119583068487
119584068487,W-0,210,1578,119584068487
119584068487,R-0,511,1269,null
119584068487,R-0,11576,12218,119584068487
119584068487,R-1,2222,2936,119584068487
119584068487,R-2,4244,5037,119584068487
119584068487,R-3,6196,6932,119584068487
119584068487,R-4,8207,8893,119584068487
119585068487,W-0,459,1861,119585068487
119585068487,R-0,221,883,null
119585068487,R-0,11117,11759,119585068487
119585068487,R-1,2205,2967,119585068487
119585068487,R-2,4191,4827,119585068487
119585068487,R-3,6187,6949,119585068487
119585068487,R-4,8178,8853,119585068487
119585568487,W-0,677,1716,119585568487
119585568487,R-0,179,1309,null
119585568487,R-0,11606,12428,119585568487
119585568487,R-1,2198,2917,null
119585568487,R-1,13119,13859,119585568487
119585568487,R-2,4192,4930,119585568487
119585568487,R-3,6284,7058,null
119585568487,R-3,17271,17940,119585568487
119585568487,R-4,8247,9073,119585568487
119586068487,W-0,165,1598,119586068487
119586068487,R-0,481,1373,null
119586068487,R-0,11602,12242,null
119586068487,R-0,22431,23223,119586068487
119586068487,R-1,2174,3006,119586068487
119586068487,R-2,4198,5030,null
119586068487,R-2,15220,15781,null
119586068487,R-2,25971,26815,119586068487
119586068487,R-3,6217,6962,119586068487
119586068487,R-4,8189,8964,119586068487
119586568487,W-0,209,219021,119586568487
119586568487,R-0,640,1774,null
119586568487,R-0,12023,12923,119586568487
119586568487,R-1,2253,3123,null
119586568487,R-1,13341,14190,119586568487
119586568487,R-2,4254,5193,null
119586568487,R-2,15420,16219,null
119586568487,R-2,26427,27292,null
119586568487,R-2,37481,38654,null
119586568487,R-2,48850,49922,119586568487
119586568487,R-3,6244,7102,null
119586568487,R-3,17330,18131,119586568487
119586568487,R-4,8202,9198,119586568487
119587068487,W-0,342,1577,119587068487
119587068487,R-0,242,1197,null
