Time(micros),Thread, Start(micros),Delay (micros),Value
120769784084,W-0,730,102115,120769784084
120769784084,R-0,357,110357,120769784084
120769784084,R-1,2185,103686,120769784084
120769784084,R-2,4198,105802,120769784084
120769784084,R-3,9046,106321,120769784084
120769784084,R-4,8211,110998,120769784084
120771284084,W-0,233,1397,120771284084
120771284084,R-0,884,2105,120771284084
120771284084,R-1,2219,3247,120771284084
120771284084,R-2,4136,5168,120771284084
120771284084,R-3,6504,7237,120771284084
120771284084,R-4,8193,9019,120771284084
120772284084,W-0,211,1576,120772284084
120772284084,R-0,610,1773,120772284084
120772284084,R-1,2185,3159,120772284084
120772284084,R-2,4176,4994,120772284084
120772284084,R-3,6181,6987,120772284084
120772284084,R-4,9031,10797,120772284084
120773284084,W-0,262,1489,120773284084
120773284084,R-0,614,1737,120773284084
120773284084,R-1,2216,3002,120773284084
120773284084,R-2,4241,4994,120773284084
120773284084,R-3,6210,6894,120773284084
120773284084,R-4,8264,9105,120773284084
120774284084,W-0,180,1390,120774284084
120774284084,R-0,568,1666,120774284084
120774284084,R-1,2185,3166,120774284084
120774284084,R-2,4188,5003,120774284084
120774284084,R-3,6182,7110,120774284084
120774284084,R-4,8183,9163,120774284084
120774784084,W-0,150,1803,120774784084
120774784084,R-0,534,1558,120774784084
120774784084,R-1,2200,2994,120774784084
120774784084,R-2,4210,5010,120774784084
120774784084,R-3,6198,7051,120774784084
120774784084,R-4,8200,9070,120774784084
120775284084,W-0,477,1461,120775284084
120775284084,R-0,237,1655,null
120775284084,R-0,11887,12869,120775284084
120775284084,R-1,2194,3061,120775284084
120775284084,R-2,4205,5060,120775284084
120775284084,R-3,6288,7306,120775284084
120775284084,R-4,8210,9219,120775284084
120775784084,W-0,272,1681,120775784084
120775784084,R-0,570,1392,120775784084
120775784084,R-1,2240,3132,120775784084
120775784084,R-2,4177,4898,120775784084
120775784084,R-3,6209,7652,120775784084
120775784084,R-4,8202,9089,120775784084
120776284084,W-0,158,1198,120776284084
120776284084,R-0,298,1423,120776284084
120776284084,R-1,2197,2800,120776284084
120776284084,R-2,4190,4881,120776284084
120776284084,R-3,6252,6909,120776284084
120776284084,R-4,8209,8860,120776284084
120776784084,W-0,212,51233,120776784084
120776784084,R-0,464,2427,120776784084
120776784084,R-1,2230,3375,120776784084
120776784084,R-2,4180,5147,120776784084
120776784084,R-3,6207,7226,120776784084
120776784084,R-4,8197,9139,120776784084
120778284084,W-0,242,1543,120778284084
120778284084,R-0,220,1085,null
120778284084,R-0,11322,12214,120778284084
120778284084,R-1,2250,3180,120778284084
120778284084,R-2,4196,5242,120778284084
120778284084,R-3,6230,7254,120778284084
120778284084,R-4,8187,9071,120778284084
120779284084,W-0,212,9402,120779284084
120779284084,R-0,525,1719,120779284084
120779284084,R-1,2169,2979,120779284084
120779284084,R-2,4211,5259,120779284084
120779284084,R-3,6190,7043,120779284084
120779284084,R-4,8121,8833,120779284084
120779784084,W-0,208,1622,120779784084
120779784084,R-0,549,1820,120779784084
120779784084,R-1,2228,3142,120779784084
120779784084,R-2,4203,4861,120779784084
120779784084,R-3,6199,6887,120779784084
120779784084,R-4,8190,8872,120779784084
120780284084,W-0,429,2054,120780284084
120780284084,R-0,355,1697,120780284084
120780284084,R-1,2252,4057,120780284084
120780284084,R-2,4274,5147,120780284084
120780284084,R-3,6201,7117,120780284084
120780284084,R-4,8140,8791,120780284084
120780784084,W-0,207,1609,120780784084
120780784084,R-0,542,1318,120780784084
120780784084,R-1,2170,2952,120780784084
120780784084,R-2,4184,4823,120780784084
120780784084,R-3,6194,6871,120780784084
120780784084,R-4,8364,9093,120780784084
120781284084,W-0,214,8196,120781284084
120781284084,R-0,573,1699,120781284084
120781284084,R-1,2180,3075,120781284084
120781284084,R-2,4227,5023,120781284084
120781284084,R-3,6203,7139,120781284084
120781284084,R-4,8348,9110,120781284084
120781784084,W-0,1024,2608,120781784084
120781784084,R-0,208,1355,null
120781784084,R-0,11615,12279,120781784084
120781784084,R-1,2289,3069,120781784084
120781784084,R-2,4180,4954,120781784084
120781784084,R-3,7047,7681,120781784084
120781784084,R-4,8180,9047,120781784084
120782284084,W-0,205,20491,120782284084
120782284084,R-0,1122,2600,120782284084
120782284084,R-1,2218,2910,120782284084
120782284084,R-2,4213,4817,120782284084
120782284084,R-3,6220,6873,120782284084
120782284084,R-4,8193,8872,120782284084
120783284084,W-0,280,2066,120783284084
120783284084,R-0,692,1814,120783284084
120783284084,R-1,2249,3281,120783284084
120783284084,R-2,4348,5194,120783284084
120783284084,R-3,6197,7180,120783284084
120783284084,R-4,8189,9243,120783284084
120783784084,W-0,241,68646,120783784084
120783784084,R-0,525,1333,120783784084
120783784084,R-1,2193,2805,120783784084
120783784084,R-2,4193,4846,120783784084
120783784084,R-3,6217,6883,120783784084
120783784084,R-4,8211,9452,120783784084
120784284084,W-0,523,1563,120784284084
120784284084,R-0,226,1113,null
120784284084,R-0,11394,12089,120784284084
120784284084,R-1,2186,3017,120784284084
120784284084,R-2,4190,4978,120784284084
120784284084,R-3,6211,7207,120784284084
120784284084,R-4,8186,9013,120784284084
120784784084,W-0,214,1609,120784784084
120784784084,R-0,518,1305,120784784084
120784784084,R-1,2178,3479,120784784084
120784784084,R-2,4184,5070,120784784084
120784784084,R-3,6204,7131,120784784084
