Time(micros),Thread, Start(micros),Delay (micros),Value
121364767910,W-0,368,4694,121364767910
121364767910,R-0,368,3424,null
121364767910,R-0,21305,22264,121364767910
121364767910,R-1,2921,7248,121364767910
121364767910,R-2,4213,9465,121364767910
121364767910,R-3,7812,9962,121364767910
121364767910,R-4,11085,13923,121364767910
121366267910,W-0,204,1504,121366267910
121366267910,R-0,649,1748,121366267910
121366267910,R-1,2261,3164,121366267910
121366267910,R-2,4239,5043,121366267910
121366267910,R-3,6239,7162,121366267910
121366267910,R-4,8238,9055,121366267910
121367267910,W-0,224,2780,121367267910
121367267910,R-0,611,1643,121367267910
121367267910,R-1,2262,3250,121367267910
121367267910,R-2,4280,5004,121367267910
121367267910,R-3,6207,7206,121367267910
121367267910,R-4,8737,9785,121367267910
121368267910,W-0,308,2544,121368267910
121368267910,R-0,642,2550,121368267910
121368267910,R-1,2282,3182,121368267910
121368267910,R-2,4322,5076,121368267910
121368267910,R-3,6192,7062,121368267910
121368267910,R-4,8234,9018,121368267910
121369267910,W-0,258,1764,121369267910
121369267910,R-0,728,1632,121369267910
121369267910,R-1,2283,3032,121369267910
121369267910,R-2,4197,4935,121369267910
121369267910,R-3,6222,7030,121369267910
121369267910,R-4,8189,9081,121369267910
121369767910,W-0,231,1558,121369767910
121369767910,R-0,571,1702,121369767910
121369767910,R-1,2210,2876,121369767910
121369767910,R-2,4192,4922,121369767910
121369767910,R-3,6220,7059,121369767910
121369767910,R-4,8207,8865,121369767910
121370267910,W-0,315,2180,121370267910
121370267910,R-0,794,1845,121370267910
121370267910,R-1,2328,3192,121370267910
121370267910,R-2,4298,5066,121370267910
121370267910,R-3,6209,6905,121370267910
121370267910,R-4,8206,8893,121370267910
121370767910,W-0,281,1276,121370767910
121370767910,R-0,351,1576,121370767910
121370767910,R-1,2234,2917,121370767910
121370767910,R-2,4202,4850,121370767910
121370767910,R-3,6172,7014,121370767910
121370767910,R-4,8188,8864,121370767910
121371267910,W-0,304,2929,121371267910
121371267910,R-0,246,2020,121371267910
121371267910,R-1,2341,3302,121371267910
121371267910,R-2,4191,4933,121371267910
121371267910,R-3,6237,6890,121371267910
121371267910,R-4,8232,11310,121371267910
121371767910,W-0,225,1810,121371767910
121371767910,R-0,540,1538,121371767910
121371767910,R-1,2226,2857,121371767910
121371767910,R-2,4204,4821,121371767910
121371767910,R-3,6339,7274,121371767910
121371767910,R-4,8195,8867,121371767910
121373267910,W-0,234,1702,121373267910
121373267910,R-0,375,1559,121373267910
121373267910,R-1,2210,2937,121373267910
121373267910,R-2,4188,4972,121373267910
121373267910,R-3,6234,6973,121373267910
121373267910,R-4,8238,8985,121373267910
121374267910,W-0,214,1389,121374267910
121374267910,R-0,699,1688,121374267910
121374267910,R-1,2185,2976,121374267910
121374267910,R-2,4211,5047,121374267910
121374267910,R-3,6195,6919,121374267910
121374267910,R-4,8224,8919,121374267910
121374767910,W-0,208,2538,121374767910
121374767910,R-0,345,1572,121374767910
121374767910,R-1,2191,3033,121374767910
121374767910,R-2,4204,4874,121374767910
121374767910,R-3,6209,7025,121374767910
121374767910,R-4,8253,9620,121374767910
121375267910,W-0,218,1838,121375267910
121375267910,R-0,669,1625,121375267910
121375267910,R-1,2236,3048,121375267910
121375267910,R-2,4218,5139,121375267910
121375267910,R-3,6202,7051,121375267910
121375267910,R-4,8213,9033,121375267910
121375767910,W-0,231,37858,121375767910
121375767910,R-0,612,38078,121375767910
121375767910,R-1,2184,39298,121375767910
121375767910,R-2,4229,38847,121375767910
121375767910,R-3,6212,38599,121375767910
121375767910,R-4,8222,39176,121375767910
121376267910,W-0,276,1878,121376267910
121376267910,R-0,601,1555,121376267910
121376267910,R-1,2200,3270,121376267910
121376267910,R-2,4196,5495,121376267910
121376267910,R-3,6196,6916,121376267910
121376267910,R-4,8260,8946,121376267910
121376767910,W-0,257,2199,121376767910
121376767910,R-0,574,1707,121376767910
121376767910,R-1,2287,3285,121376767910
121376767910,R-2,4246,4961,121376767910
121376767910,R-3,6221,6928,121376767910
121376767910,R-4,8221,8990,121376767910
121377267910,W-0,214,1548,121377267910
121377267910,R-0,385,1908,121377267910
121377267910,R-1,2196,2901,121377267910
121377267910,R-2,4265,5085,121377267910
121377267910,R-3,6190,7055,121377267910
121377267910,R-4,8228,9273,121377267910
121378267910,W-0,214,1787,121378267910
121378267910,R-0,402,1555,121378267910
121378267910,R-1,2255,3166,121378267910
121378267910,R-2,4239,5088,121378267910
121378267910,R-3,6283,7375,121378267910
121378267910,R-4,8244,9179,121378267910
121378767910,W-0,229,1458,121378767910
121378767910,R-0,228,1087,null
121378767910,R-0,11481,12361,121378767910
121378767910,R-1,2174,2902,121378767910
121378767910,R-2,4203,4950,121378767910
121378767910,R-3,6254,7042,121378767910
121378767910,R-4,8224,9182,121378767910
121379267910,W-0,184,1749,121379267910
121379267910,R-0,523,1392,121379267910
121379267910,R-1,2233,3033,121379267910
121379267910,R-2,4225,4854,121379267910
121379267910,R-3,6177,6908,121379267910
121379267910,R-4,8188,8849,121379267910
121379767910,W-0,267,1645,121379767910
121379767910,R-0,267,1213,null
121379767910,R-0,11437,12367,121379767910
121379767910,R-1,2241,2916,121379767910
121379767910,R-2,4216,4980,121379767910
121379767910,R-3,6194,6960,121379767910
121379767910,R-4,8250,9022,121379767910
121380767910,W-0,192,1269,121380767910
121380767910,R-0,452,1808,121380767910
121380767910,R-1,2257,3289,121380767910
121380767910,R-2,4206,4829,121380767910
121380767910,R-3,6195,6941,121380767910
121380767910,R-4,8296,9130,121380767910
121381767910,W-0,514,1474,121381767910
121381767910,R-0,261,981,null
121381767910,R-0,11226,11883,121381767910
121381767910,R-1,2252,2959,121381767910
121381767910,R-2,4199,4951,121381767910
121381767910,R-3,6207,6919,121381767910
121381767910,R-4,8210,9066,121381767910
121382267910,W-0,261,1469,121382267910
121382267910,R-0,280,1168,null
121382267910,R-0,11438,12053,121382267910
121382267910,R-1,2219,2969,121382267910
121382267910,R-2,4203,4934,121382267910
121382267910,R-3,6192,7511,121382267910
121382267910,R-4,8201,8851,121382267910
121384267910,W-0,241,2363,121384267910
121384267910,R-0,583,1887,121384267910
121384267910,R-1,2202,2884,121384267910
121384267910,R-2,4196,4923,121384267910
121384267910,R-3,6209,6991,121384267910
121384267910,R-4,8309,9452,121384267910
121384767910,W-0,203,1480,121384767910
121384767910,R-0,476,1346,121384767910
121384767910,R-1,2177,2721,121384767910
121384767910,R-2,4177,4825,121384767910
121384767910,R-3,6214,6885,121384767910
121384767910,R-4,8218,8846,121384767910
121385267910,W-0,453,1477,121385267910
121385267910,R-0,234,1185,null
121385267910,R-0,11437,12135,121385267910
121385267910,R-1,2250,3009,121385267910
121385267910,R-2,4191,4981,121385267910
121385267910,R-3,6218,6941,121385267910
121385267910,R-4,8202,9076,121385267910
121385767910,W-0,371,1851,121385767910
121385767910,R-0,624,1569,121385767910
121385767910,R-1,2183,2978,121385767910
121385767910,R-2,4269,5084,121385767910
121385767910,R-3,6191,6930,121385767910
121385767910,R-4,8193,8833,121385767910
121386267910,W-0,215,1834,121386267910
121386267910,R-0,398,1973,121386267910
121386267910,R-1,2236,3137,121386267910
121386267910,R-2,4235,4965,121386267910
121386267910,R-3,6371,7072,121386267910
121386267910,R-4,8205,9011,121386267910
121388767910,W-0,299,1254,121388767910
121388767910,R-0,557,1630,121388767910
121388767910,R-1,2244,2825,121388767910
121388767910,R-2,4209,5034,121388767910
121388767910,R-3,6255,6958,121388767910
121388767910,R-4,8249,9332,121388767910
121389767910,W-0,235,1468,121389767910
121389767910,R-0,249,1033,null
121389767910,R-0,11303,11978,121389767910
