Time(micros),Thread, Start(micros),Delay (micros),Value
122555423933,W-0,438,27656,122555423933
122555423933,R-0,5592,12026,null
122555423933,R-0,22350,28185,122555423933
122555423933,R-1,2250,6153,null
122555423933,R-1,20749,22612,122555423933
122555423933,R-2,4199,7537,null
122555423933,R-2,20993,24329,122555423933
122555423933,R-3,7109,13468,122555423933
122555423933,R-4,8580,11301,null
122555423933,R-4,22005,23024,122555423933
122556923933,W-0,236,4910,122556923933
122556923933,R-0,313,1146,null
122556923933,R-0,11375,12402,122556923933
122556923933,R-1,4203,5244,122556923933
122556923933,R-2,4460,5509,122556923933
122556923933,R-3,6185,6959,122556923933
122556923933,R-4,8198,8987,122556923933
122557923933,W-0,548,1651,122557923933
122557923933,R-0,266,1267,null
122557923933,R-0,12506,13327,122557923933
122557923933,R-1,2373,3058,null
122557923933,R-1,13461,14277,122557923933
122557923933,R-2,4393,5113,null
122557923933,R-2,15312,15999,122557923933
122557923933,R-3,6162,6938,null
122557923933,R-3,17172,17954,null
122557923933,R-3,28243,28871,null
122557923933,R-3,39054,39685,null
122557923933,R-3,49868,51803,null
122557923933,R-3,61996,62968,122557923933
122557923933,R-4,8182,8901,122557923933
122558923933,W-0,206,1258,122558923933
122558923933,R-0,206,1150,null
122558923933,R-0,11376,12233,122558923933
122558923933,R-1,2202,3142,122558923933
122558923933,R-2,4167,4848,122558923933
122558923933,R-3,6188,6920,122558923933
122558923933,R-4,8196,9025,122558923933
122559923933,W-0,201,1713,122559923933
122559923933,R-0,357,1154,null
122559923933,R-0,11441,12399,122559923933
122559923933,R-1,2270,3053,122559923933
122559923933,R-2,4194,4908,122559923933
122559923933,R-3,6306,7129,122559923933
122559923933,R-4,8190,8915,122559923933
122560423933,W-0,803,1818,122560423933
122560423933,R-0,322,1283,null
122560423933,R-0,11535,12227,122560423933
122560423933,R-1,2200,2958,122560423933
122560423933,R-2,4198,5013,122560423933
122560423933,R-3,6211,6961,122560423933
122560423933,R-4,8243,8990,122560423933
122560923933,W-0,225,1471,122560923933
122560923933,R-0,280,1323,null
122560923933,R-0,11556,12298,122560923933
122560923933,R-1,2166,2989,122560923933
122560923933,R-2,4199,5016,122560923933
122560923933,R-3,6202,6902,122560923933
122560923933,R-4,8240,9162,122560923933
122561423933,W-0,182,1536,122561423933
122561423933,R-0,182,1313,null
122561423933,R-0,11536,12374,122561423933
122561423933,R-1,2198,2924,null
122561423933,R-1,13129,13853,122561423933
122561423933,R-2,4243,5175,122561423933
122561423933,R-3,6195,6968,122561423933
122561423933,R-4,8184,9022,122561423933
122561923933,W-0,208,23536,122561923933
122561923933,R-0,496,1757,null
122561923933,R-0,12002,12714,122561923933
122561923933,R-1,2192,2907,122561923933
122561923933,R-2,4222,5003,122561923933
122561923933,R-3,6193,6856,122561923933
122561923933,R-4,8214,8877,122561923933
122562423933,W-0,191,1569,122562423933
122562423933,R-0,274,1283,null
122562423933,R-0,11506,12239,122562423933
122562423933,R-1,2335,3160,122562423933
122562423933,R-2,4185,4898,122562423933
122562423933,R-3,6213,6987,122562423933
122562423933,R-4,8185,8946,122562423933
122563923933,W-0,236,1651,122563923933
122563923933,R-0,241,1186,null
122563923933,R-0,11351,11977,122563923933
122563923933,R-1,2181,3301,122563923933
122563923933,R-2,4193,4953,122563923933
122563923933,R-3,6209,6914,122563923933
122563923933,R-4,8218,9366,122563923933
122564923933,W-0,236,111347,122564923933
122564923933,R-0,276,1164,null
122564923933,R-0,11414,12228,null
122564923933,R-0,22451,23174,null
122564923933,R-0,33371,33985,null
122564923933,R-0,44176,44783,null
122564923933,R-0,54975,55819,null
122564923933,R-0,66023,66653,null
122564923933,R-0,76836,77386,null
122564923933,R-0,87575,88343,null
122564923933,R-0,98576,99194,null
122564923933,R-0,109376,110019,null
122564923933,R-0,120209,121212,122564923933
122564923933,R-1,2268,3192,null
122564923933,R-1,13446,14193,null
122564923933,R-1,24433,25182,null
122564923933,R-1,35367,35959,null
122564923933,R-1,46182,46759,null
122564923933,R-1,57034,57853,null
122564923933,R-1,68038,68762,null
122564923933,R-1,78956,79669,null
122564923933,R-1,89854,90550,null
122564923933,R-1,100737,101508,null
122564923933,R-1,111724,112190,null
122564923933,R-1,122442,123269,122564923933
122564923933,R-2,4194,5143,null
122564923933,R-2,15370,15946,null
122564923933,R-2,26170,26871,null
122564923933,R-2,37064,37697,null
122564923933,R-2,47888,48548,null
122564923933,R-2,58678,59399,null
122564923933,R-2,69619,70207,null
122564923933,R-2,80365,80925,null
122564923933,R-2,91165,91846,null
122564923933,R-2,102041,102690,null
122564923933,R-2,112884,114225,null
122564923933,R-2,124504,125156,122564923933
122564923933,R-3,6206,7019,null
122564923933,R-3,17264,17862,null
122564923933,R-3,28274,28968,null
122564923933,R-3,39185,40252,null
122564923933,R-3,50563,51238,null
122564923933,R-3,61415,62174,null
122564923933,R-3,72377,73228,null
122564923933,R-3,83558,84164,null
122564923933,R-3,94329,94906,null
122564923933,R-3,105024,105658,null
122564923933,R-3,115839,116584,null
122564923933,R-3,126770,127379,122564923933
122564923933,R-4,8255,9128,null
122564923933,R-4,19340,19897,null
122564923933,R-4,30065,30720,null
122564923933,R-4,40902,41486,null
122564923933,R-4,51695,52414,null
122564923933,R-4,62604,63249,null
122564923933,R-4,73471,74104,null
122564923933,R-4,84346,85008,null
122564923933,R-4,95248,95831,null
122564923933,R-4,106019,106703,null
122564923933,R-4,116851,119551,122564923933
122565423933,W-0,712,2000,122565423933
122565423933,R-0,304,1244,null
122565423933,R-0,11477,12311,122565423933
122565423933,R-1,2791,3888,122565423933
122565423933,R-2,4290,5194,122565423933
122565423933,R-3,6196,7165,122565423933
122565423933,R-4,8216,8913,122565423933
122565923933,W-0,483,1667,122565923933
122565923933,R-0,229,913,null
122565923933,R-0,11142,11707,122565923933
122565923933,R-1,2206,2856,null
122565923933,R-1,13102,13738,122565923933
122565923933,R-2,4205,4867,122565923933
122565923933,R-3,6182,6799,122565923933
122565923933,R-4,8208,8901,122565923933
122566423933,W-0,209,1468,122566423933
122566423933,R-0,534,1215,null
122566423933,R-0,11427,12169,122566423933
122566423933,R-1,2194,2874,null
122566423933,R-1,13133,13943,122566423933
122566423933,R-2,4188,4930,122566423933
122566423933,R-3,6191,6989,122566423933
122566423933,R-4,8187,8955,122566423933
122566923933,W-0,308,1756,122566923933
122566923933,R-0,577,1472,null
122566923933,R-0,11753,12393,122566923933
122566923933,R-1,2265,3193,null
122566923933,R-1,13425,14173,122566923933
122566923933,R-2,4174,5355,122566923933
122566923933,R-3,6188,6767,122566923933
122566923933,R-4,8172,8905,122566923933
122567423933,W-0,208,42897,122567423933
122567423933,R-0,504,1308,null
122567423933,R-0,11544,12361,122567423933
122567423933,R-1,2203,3424,null
122567423933,R-1,13679,14336,122567423933
122567423933,R-2,4259,4991,122567423933
122567423933,R-3,6197,6905,122567423933
122567423933,R-4,8220,8944,122567423933
122567923933,W-0,270,1793,122567923933
122567923933,R-0,691,1430,null
122567923933,R-0,11759,12525,122567923933
122567923933,R-1,2197,2894,122567923933
122567923933,R-2,4222,5008,122567923933
122567923933,R-3,6214,6994,122567923933
122567923933,R-4,8429,9246,122567923933
122568923933,W-0,523,2031,122568923933
122568923933,R-0,251,1891,null
122568923933,R-0,12154,12808,122568923933
122568923933,R-1,2247,2998,122568923933
122568923933,R-2,4184,4791,122568923933
122568923933,R-3,6190,6796,122568923933
122568923933,R-4,8212,9107,122568923933
122569423933,W-0,273,1581,122569423933
122569423933,R-0,702,1394,null
122569423933,R-0,11619,12280,122569423933
122569423933,R-1,2264,2993,122569423933
122569423933,R-2,4195,4860,122569423933
122569423933,R-3,6194,6892,122569423933
122569423933,R-4,8187,8903,122569423933
122569923933,W-0,285,3390,122569923933
122569923933,R-0,613,1788,null
122569923933,R-0,12032,12780,122569923933
122569923933,R-1,2202,3058,122569923933
122569923933,R-2,4253,4865,122569923933
122569923933,R-3,6216,6975,122569923933
122569923933,R-4,8194,8945,122569923933
122570423933,W-0,290,1706,122570423933
122570423933,R-0,630,1466,null
122570423933,R-0,11711,12689,122570423933
122570423933,R-1,2181,3008,122570423933
122570423933,R-2,4185,5025,122570423933
122570423933,R-3,6229,7049,122570423933
122570423933,R-4,8182,8851,122570423933
122571423933,W-0,214,1483,122571423933
122571423933,R-0,253,935,null
122571423933,R-0,11550,12206,122571423933
122571423933,R-1,2226,3011,122571423933
122571423933,R-2,4186,5064,122571423933
122571423933,R-3,6185,6794,122571423933
