Time(micros),Thread, Start(micros),Delay (micros),Value
123745497445,W-0,22706,26248,123745497445
123745497445,R-0,354,3633,null
123745497445,R-0,19383,25303,null
123745497445,R-0,35487,36969,123745497445
123745497445,R-1,2221,4862,null
123745497445,R-1,17968,20680,null
123745497445,R-1,32069,32969,123745497445
123745497445,R-2,4193,7229,null
123745497445,R-2,18074,20454,null
123745497445,R-2,30645,31547,123745497445
123745497445,R-3,11611,13984,null
123745497445,R-3,24909,25857,null
123745497445,R-3,36410,37244,123745497445
123745497445,R-4,8172,10540,null
123745497445,R-4,20763,25719,null
123745497445,R-4,35905,36923,123745497445
123746997445,W-0,280,2157,123746997445
123746997445,R-0,757,1741,null
123746997445,R-0,12074,12890,123746997445
123746997445,R-1,2296,3527,123746997445
123746997445,R-2,4188,5419,123746997445
123746997445,R-3,6178,7103,123746997445
123746997445,R-4,8188,11435,123746997445
123747997445,W-0,241,1204,123747997445
123747997445,R-0,273,1115,null
123747997445,R-0,11372,12339,123747997445
123747997445,R-1,2226,3082,123747997445
123747997445,R-2,4211,4958,123747997445
123747997445,R-3,6199,7048,null
123747997445,R-3,17301,18137,123747997445
123747997445,R-4,8237,9135,123747997445
123748997445,W-0,186,1384,123748997445
123748997445,R-0,177,1462,null
123748997445,R-0,11791,12634,123748997445
123748997445,R-1,2286,2940,null
123748997445,R-1,13117,13719,null
123748997445,R-1,23875,24600,null
123748997445,R-1,34814,35522,123748997445
123748997445,R-2,4273,5032,123748997445
123748997445,R-3,6266,6969,null
123748997445,R-3,17191,17736,null
123748997445,R-3,27917,28549,null
123748997445,R-3,38819,39610,123748997445
123748997445,R-4,8224,8851,null
123748997445,R-4,19073,19778,123748997445
123749997445,W-0,894,2525,123749997445
123749997445,R-0,596,1348,null
123749997445,R-0,11636,12325,123749997445
123749997445,R-1,2335,3244,123749997445
123749997445,R-2,4188,5026,null
123749997445,R-2,15241,15903,123749997445
123749997445,R-3,6346,7299,123749997445
123749997445,R-4,8201,8899,123749997445
123750497445,W-0,272,1380,123750497445
123750497445,R-0,259,1137,null
123750497445,R-0,11369,12150,123750497445
123750497445,R-1,2203,3476,123750497445
123750497445,R-2,4167,5233,123750497445
123750497445,R-3,6193,7086,123750497445
123750497445,R-4,8187,9019,123750497445
123750997445,W-0,193,1286,123750997445
123750997445,R-0,201,955,null
123750997445,R-0,11259,12044,123750997445
123750997445,R-1,2214,3042,null
123750997445,R-1,13260,14056,123750997445
123750997445,R-2,4192,5012,123750997445
123750997445,R-3,6208,6863,123750997445
123750997445,R-4,8150,8917,123750997445
123751497445,W-0,194,1694,123751497445
123751497445,R-0,630,1393,null
123751497445,R-0,11638,12314,123751497445
123751497445,R-1,2177,2821,123751497445
123751497445,R-2,4207,4875,123751497445
123751497445,R-3,6225,7018,123751497445
123751497445,R-4,8202,8910,123751497445
123751997445,W-0,198,1733,123751997445
123751997445,R-0,517,1449,null
123751997445,R-0,11642,12333,123751997445
123751997445,R-1,2201,3040,null
123751997445,R-1,13264,13979,123751997445
123751997445,R-2,4183,5027,123751997445
123751997445,R-3,6251,7177,123751997445
123751997445,R-4,8189,8967,123751997445
123752497445,W-0,235,1506,123752497445
123752497445,R-0,534,1250,null
123752497445,R-0,11480,12284,123752497445
123752497445,R-1,2195,2911,123752497445
123752497445,R-2,4221,4860,123752497445
123752497445,R-3,6225,6957,123752497445
123752497445,R-4,8744,9434,123752497445
123753997445,W-0,225,1926,123753997445
123753997445,R-0,539,1663,null
123753997445,R-0,11895,12712,123753997445
123753997445,R-1,2183,3141,null
123753997445,R-1,13354,14037,123753997445
123753997445,R-2,4243,5277,123753997445
123753997445,R-3,6210,6980,123753997445
123753997445,R-4,8229,9023,123753997445
123754997445,W-0,164,1492,123754997445
123754997445,R-0,167,1034,null
123754997445,R-0,11302,11952,123754997445
123754997445,R-1,2198,3357,123754997445
123754997445,R-2,4203,4902,123754997445
123754997445,R-3,6206,6858,123754997445
123754997445,R-4,8147,8774,123754997445
123755497445,W-0,682,1765,123755497445
123755497445,R-0,324,1276,null
123755497445,R-0,11513,12257,123755497445
123755497445,R-1,2206,3135,null
123755497445,R-1,13301,13928,123755497445
123755497445,R-2,4151,4817,123755497445
123755497445,R-3,6189,7055,123755497445
123755497445,R-4,8642,9336,123755497445
123755997445,W-0,216,3907,123755997445
123755997445,R-0,602,4054,null
123755997445,R-0,14298,15089,123755997445
123755997445,R-1,3682,4677,123755997445
123755997445,R-2,4242,5013,123755997445
123755997445,R-3,6344,7291,123755997445
123755997445,R-4,8189,8917,123755997445
123756497445,W-0,220,1663,123756497445
123756497445,R-0,630,1453,null
123756497445,R-0,11687,12610,123756497445
123756497445,R-1,2215,3085,123756497445
123756497445,R-2,4194,5120,123756497445
123756497445,R-3,6304,8141,123756497445
123756497445,R-4,8419,9312,123756497445
123756997445,W-0,261,1413,123756997445
123756997445,R-0,357,1152,null
123756997445,R-0,11384,12156,123756997445
123756997445,R-1,2187,3124,123756997445
123756997445,R-2,4187,5062,123756997445
123756997445,R-3,6229,6888,123756997445
123756997445,R-4,8212,8900,123756997445
123757497445,W-0,208,1598,123757497445
123757497445,R-0,543,1283,null
123757497445,R-0,11621,12465,123757497445
123757497445,R-1,2196,2869,123757497445
123757497445,R-2,4222,5054,123757497445
123757497445,R-3,6205,6794,123757497445
123757497445,R-4,8181,8875,123757497445
123757997445,W-0,367,1817,123757997445
123757997445,R-0,799,1510,null
123757997445,R-0,11811,12545,123757997445
123757997445,R-1,2229,2975,123757997445
123757997445,R-2,4206,4993,123757997445
123757997445,R-3,6226,6964,123757997445
123757997445,R-4,8250,8996,123757997445
123758997445,W-0,251,46065,123758997445
123758997445,R-0,675,1648,null
123758997445,R-0,11874,12480,null
123758997445,R-0,22667,23262,123758997445
123758997445,R-1,2210,3055,null
123758997445,R-1,13245,13811,null
123758997445,R-1,24113,24752,null
123758997445,R-1,34954,35706,123758997445
123758997445,R-2,4209,4806,null
123758997445,R-2,15040,15683,null
123758997445,R-2,25863,26455,123758997445
123758997445,R-3,6196,6992,null
123758997445,R-3,17203,17847,null
123758997445,R-3,27994,28667,null
123758997445,R-3,38912,39639,null
123758997445,R-3,49820,50494,123758997445
123758997445,R-4,8267,9055,null
123758997445,R-4,19295,20037,null
123758997445,R-4,30230,30914,123758997445
123759497445,W-0,278,17021,123759497445
123759497445,R-0,284,984,null
123759497445,R-0,11370,12126,null
123759497445,R-0,23103,23673,123759497445
123759497445,R-1,2184,2998,null
123759497445,R-1,13251,13919,null
123759497445,R-1,24112,24677,123759497445
123759497445,R-2,4204,4892,null
123759497445,R-2,15151,16048,null
123759497445,R-2,26248,26964,123759497445
123759497445,R-3,6205,6913,null
123759497445,R-3,17118,17878,null
123759497445,R-3,28070,28763,123759497445
123759497445,R-4,8223,8993,null
123759497445,R-4,19207,19927,null
123759497445,R-4,30095,30788,123759497445
123759997445,W-0,205,1053,123759997445
123759997445,R-0,220,1320,null
123759997445,R-0,11534,12236,123759997445
123759997445,R-1,2188,3120,null
123759997445,R-1,13329,14191,123759997445
123759997445,R-2,4252,5150,123759997445
123759997445,R-3,6220,6942,123759997445
123759997445,R-4,8210,9047,123759997445
123760497445,W-0,454,1535,123760497445
123760497445,R-0,158,832,null
123760497445,R-0,11086,11791,123760497445
123760497445,R-1,2228,2887,123760497445
123760497445,R-2,4193,4863,123760497445
123760497445,R-3,6151,6992,123760497445
123760497445,R-4,8226,8959,123760497445
123761497445,W-0,231,1548,123761497445
123761497445,R-0,554,1286,null
123761497445,R-0,11591,12254,123761497445
123761497445,R-1,2215,2851,null
123761497445,R-1,13007,13730,123761497445
123761497445,R-2,4192,4882,123761497445
123761497445,R-3,6195,6849,null
123761497445,R-3,17127,17780,123761497445
123761497445,R-4,8186,8904,123761497445
123762497445,W-0,229,1233,123762497445
123762497445,R-0,492,1440,null
123762497445,R-0,11666,12667,123762497445
123762497445,R-1,2176,3008,null
123762497445,R-1,13260,14035,123762497445
123762497445,R-2,4185,4909,null
123762497445,R-2,15248,16345,123762497445
123762497445,R-3,6204,7043,123762497445
123762497445,R-4,8203,8971,123762497445
123762997445,W-0,215,1422,123762997445
123762997445,R-0,466,1171,null
123762997445,R-0,11421,12069,123762997445
123762997445,R-1,2191,3006,123762997445
123762997445,R-2,4235,4975,123762997445
123762997445,R-3,6206,6908,123762997445
123762997445,R-4,8245,8948,123762997445
123764997445,W-0,237,6216,123764997445
123764997445,R-0,482,1391,null
123764997445,R-0,11629,12365,123764997445
123764997445,R-1,2180,2854,123764997445
123764997445,R-2,4225,4836,123764997445
123764997445,R-3,6303,7009,123764997445
123764997445,R-4,8187,8800,123764997445
123765497445,W-0,529,1664,123765497445
123765497445,R-0,303,960,null
123765497445,R-0,11222,11926,123765497445
123765497445,R-1,2203,2914,123765497445
123765497445,R-2,4299,5102,123765497445
123765497445,R-3,6241,6990,123765497445
123765497445,R-4,8248,8980,123765497445
123765997445,W-0,226,1185,123765997445
123765997445,R-0,513,1397,null
123765997445,R-0,11665,12424,123765997445
123765997445,R-1,2188,2940,123765997445
123765997445,R-2,4219,4969,123765997445
123765997445,R-3,6211,6916,123765997445
123765997445,R-4,8209,9046,123765997445
123766497445,W-0,205,1602,123766497445
123766497445,R-0,476,1283,null
123766497445,R-0,11519,12235,123766497445
123766497445,R-1,2197,3034,123766497445
123766497445,R-2,4191,4895,123766497445
123766497445,R-3,6193,6852,123766497445
123766497445,R-4,8133,8846,123766497445
123766997445,W-0,656,2513,123766997445
123766997445,R-0,383,1271,null
123766997445,R-0,11465,12141,123766997445
123766997445,R-1,2166,2894,123766997445
123766997445,R-2,4582,5360,123766997445
123766997445,R-3,6178,6769,123766997445
123766997445,R-4,8154,8780,123766997445
123769497445,W-0,218,11887,123769497445
123769497445,R-0,473,1290,null
123769497445,R-0,11527,12262,123769497445
123769497445,R-1,2195,3139,123769497445
123769497445,R-2,4200,4918,123769497445
123769497445,R-3,6216,7133,123769497445
123769497445,R-4,8188,8864,123769497445
123770497445,W-0,230,1271,123770497445
123770497445,R-0,295,941,null
123770497445,R-0,11243,11834,123770497445
123770497445,R-1,2202,2931,123770497445
123770497445,R-2,4233,4927,123770497445
123770497445,R-3,6223,6842,123770497445
123770497445,R-4,8202,8932,123770497445
123770997445,W-0,209,1447,123770997445
123770997445,R-0,453,1193,null
123770997445,R-0,11466,12062,123770997445
123770997445,R-1,2234,2910,123770997445
123770997445,R-2,4210,4834,123770997445
123770997445,R-3,6160,6802,123770997445
123770997445,R-4,8200,8794,123770997445
123771497445,W-0,175,1275,123771497445
123771497445,R-0,431,1796,null
123771497445,R-0,12130,12756,123771497445
123771497445,R-1,2183,3073,null
123771497445,R-1,13316,13877,123771497445
123771497445,R-2,4217,4838,123771497445
123771497445,R-3,6207,6933,123771497445
123771497445,R-4,8185,8806,123771497445
123771997445,W-0,230,1621,123771997445
123771997445,R-0,493,1382,null
123771997445,R-0,11679,12466,123771997445
123771997445,R-1,2205,2942,123771997445
123771997445,R-2,4232,4899,123771997445
123771997445,R-3,6220,6887,123771997445
123771997445,R-4,8190,8791,123771997445
123772497445,W-0,235,1481,123772497445
123772497445,R-0,525,1232,null
123772497445,R-0,11493,12206,123772497445
123772497445,R-1,2154,2845,123772497445
123772497445,R-2,4142,4915,123772497445
123772497445,R-3,6243,7108,123772497445
123772497445,R-4,8228,9780,123772497445
123773497445,W-0,247,1517,123773497445
123773497445,R-0,273,1051,null
123773497445,R-0,11332,12027,123773497445
123773497445,R-1,2228,3311,123773497445
123773497445,R-2,4196,4985,123773497445
123773497445,R-3,6251,7023,123773497445
123773497445,R-4,8244,8999,123773497445
123773997445,W-0,213,1380,123773997445
123773997445,R-0,467,1179,null
123773997445,R-0,11432,11962,123773997445
123773997445,R-1,2243,2869,123773997445
123773997445,R-2,4211,4902,123773997445
123773997445,R-3,6205,6997,123773997445
123773997445,R-4,8313,9089,123773997445
123774497445,W-0,244,1849,123774497445
123774497445,R-0,423,1203,null
123774497445,R-0,11537,12168,123774497445
123774497445,R-1,2178,3019,123774497445
123774497445,R-2,4190,4895,123774497445
123774497445,R-3,6236,6924,123774497445
123774497445,R-4,8185,8836,123774497445
123776497445,W-0,244,1393,123776497445
123776497445,R-0,488,1146,null
123776497445,R-0,11385,11967,123776497445
123776497445,R-1,2232,2859,123776497445
123776497445,R-2,4208,4911,123776497445
123776497445,R-3,6197,6868,123776497445
123776497445,R-4,8212,8874,123776497445
123776997445,W-0,211,1400,123776997445
123776997445,R-0,445,1160,null
123776997445,R-0,11421,12137,123776997445
123776997445,R-1,2232,3280,123776997445
123776997445,R-2,4209,4870,123776997445
123776997445,R-3,6214,6949,123776997445
123776997445,R-4,8236,8938,123776997445
123778497445,W-0,233,1589,123778497445
123778497445,R-0,219,1232,null
123778497445,R-0,11596,12230,123778497445
123778497445,R-1,2213,3228,123778497445
123778497445,R-2,4195,5075,123778497445
123778497445,R-3,6209,7151,123778497445
123778497445,R-4,8190,8885,123778497445
123778997445,W-0,231,55240,123778997445
123778997445,R-0,498,1362,null
123778997445,R-0,11649,12340,null
123778997445,R-0,22627,23280,null
123778997445,R-0,33512,34234,null
123778997445,R-0,44607,45488,123778997445
123778997445,R-1,2207,2960,123778997445
123778997445,R-2,4213,4892,123778997445
123778997445,R-3,6209,6900,null
123778997445,R-3,17162,17925,123778997445
123778997445,R-4,8275,8898,null
123778997445,R-4,19149,20061,123778997445
123779497445,W-0,167,1139,123779497445
123779497445,R-0,237,881,null
123779497445,R-0,11134,12697,123779497445
123779497445,R-1,2218,2850,123779497445
123779497445,R-2,4150,4726,123779497445
