Time(micros),Thread, Start(micros),Delay (micros),Value
130889725805,W-0,398,11613,130889725805
130889725805,R-0,397,3164,null
130889725805,R-0,22305,27995,130889725805
130889725805,R-1,2306,4869,null
130889725805,R-1,22317,25436,130889725805
130889725805,R-2,24772,28790,130889725805
130889725805,R-3,9622,13170,130889725805
130889725805,R-4,8178,10886,130889725805
130891225805,W-0,243,5273,130891225805
130891225805,R-0,795,1746,130891225805
130891225805,R-1,2250,3492,null
130891225805,R-1,13686,14527,130891225805
130891225805,R-2,4232,4998,130891225805
130891225805,R-3,6190,9747,130891225805
130891225805,R-4,8532,9464,130891225805
130892225805,W-0,560,5996,130892225805
130892225805,R-0,253,1062,null
130892225805,R-0,11282,12104,130892225805
130892225805,R-1,2225,3273,130892225805
130892225805,R-2,4316,5369,130892225805
130892225805,R-3,6175,6835,130892225805
130892225805,R-4,8342,9083,130892225805
130893225805,W-0,244,3338,130893225805
130893225805,R-0,565,1581,130893225805
130893225805,R-1,2230,3139,130893225805
130893225805,R-2,4222,5080,130893225805
130893225805,R-3,6232,7147,130893225805
130893225805,R-4,8295,9570,null
130893225805,R-4,19806,20499,130893225805
130894225805,W-0,157,3945,130894225805
130894225805,R-0,363,1170,null
130894225805,R-0,11409,12042,130894225805
130894225805,R-1,2363,3514,130894225805
130894225805,R-2,4226,5043,130894225805
130894225805,R-3,6193,7173,130894225805
130894225805,R-4,8191,9187,130894225805
130894725805,W-0,313,4020,130894725805
130894725805,R-0,388,1359,null
130894725805,R-0,11588,12344,130894725805
130894725805,R-1,2192,3057,130894725805
130894725805,R-2,4241,4928,130894725805
130894725805,R-3,6241,6920,130894725805
130894725805,R-4,8191,8883,130894725805
130895225805,W-0,369,3373,130895225805
130895225805,R-0,173,1064,null
130895225805,R-0,11313,11983,130895225805
130895225805,R-1,2229,2997,130895225805
130895225805,R-2,4245,5158,130895225805
130895225805,R-3,6194,7035,130895225805
130895225805,R-4,8186,8996,130895225805
130895725805,W-0,239,41141,130895725805
130895725805,R-0,405,1240,null
130895725805,R-0,11525,12386,null
130895725805,R-0,22574,23315,130895725805
130895725805,R-1,2192,2991,null
130895725805,R-1,13248,14132,130895725805
130895725805,R-2,4245,4955,null
130895725805,R-2,15184,15965,130895725805
130895725805,R-3,6235,6966,130895725805
130895725805,R-4,8281,9138,null
130895725805,R-4,19457,20441,130895725805
130896225805,W-0,264,2604,130896225805
130896225805,R-0,351,1104,null
130896225805,R-0,11352,12160,130896225805
130896225805,R-1,2231,3046,130896225805
130896225805,R-2,4237,5001,130896225805
130896225805,R-3,6231,6983,130896225805
130896225805,R-4,8191,8994,130896225805
130896725805,W-0,261,3173,130896725805
130896725805,R-0,541,1373,130896725805
130896725805,R-1,2193,3240,130896725805
130896725805,R-2,4194,5011,130896725805
130896725805,R-3,6282,6992,130896725805
130896725805,R-4,8182,8886,130896725805
130898225805,W-0,269,3820,130898225805
130898225805,R-0,556,1319,null
130898225805,R-0,11545,12608,130898225805
130898225805,R-1,2273,3044,130898225805
130898225805,R-2,4267,5141,130898225805
130898225805,R-3,6238,7002,130898225805
130898225805,R-4,8240,9022,130898225805
130899225805,W-0,674,4145,130899225805
130899225805,R-0,386,1347,null
130899225805,R-0,11573,12318,130899225805
130899225805,R-1,2233,2866,130899225805
130899225805,R-2,4343,5027,130899225805
130899225805,R-3,6272,6936,130899225805
130899225805,R-4,8236,9061,130899225805
130899725805,W-0,251,3564,130899725805
130899725805,R-0,384,1264,null
130899725805,R-0,11491,12290,130899725805
130899725805,R-1,2254,3053,130899725805
130899725805,R-2,4233,5124,130899725805
130899725805,R-3,6239,6868,130899725805
130899725805,R-4,8271,9040,130899725805
130900225805,W-0,243,5713,130900225805
130900225805,R-0,350,1535,null
130900225805,R-0,11823,12765,130900225805
130900225805,R-1,2166,2985,null
130900225805,R-1,13259,14180,130900225805
130900225805,R-2,4230,5189,130900225805
130900225805,R-3,6221,7026,130900225805
