Time(micros),Thread, Start(micros),Delay (micros),Value
132083232513,W-0,1965,10813,132083232513
132083232513,R-0,381,7248,null
132083232513,R-0,19637,20452,132083232513
132083232513,R-1,3273,5944,132083232513
132083232513,R-2,11034,13871,132083232513
132083232513,R-3,6231,12197,132083232513
132083232513,R-4,10148,13189,132083232513
132084732513,W-0,203,12444,132084732513
132084732513,R-0,392,1373,null
132084732513,R-0,12016,12935,132084732513
132084732513,R-1,2168,3144,132084732513
132084732513,R-2,4242,5994,132084732513
132084732513,R-3,6178,7031,132084732513
132084732513,R-4,8220,8971,132084732513
132085732513,W-0,321,15060,132085732513
132085732513,R-0,709,1469,132085732513
132085732513,R-1,2920,3708,132085732513
132085732513,R-2,4229,5004,132085732513
132085732513,R-3,6387,7152,132085732513
132085732513,R-4,8208,8931,132085732513
132086732513,W-0,222,29747,132086732513
132086732513,R-0,582,25948,132086732513
132086732513,R-1,2139,26244,132086732513
132086732513,R-2,4223,26802,132086732513
132086732513,R-3,6244,27598,132086732513
132086732513,R-4,8246,27070,132086732513
132087732513,W-0,273,3236,132087732513
132087732513,R-0,584,1357,132087732513
132087732513,R-1,2412,3117,132087732513
132087732513,R-2,4192,4796,132087732513
132087732513,R-3,6130,7163,132087732513
132087732513,R-4,8250,9176,132087732513
132088232513,W-0,194,3270,132088232513
132088232513,R-0,538,1576,132088232513
132088232513,R-1,2221,2984,132088232513
132088232513,R-2,4227,4963,132088232513
132088232513,R-3,6188,6883,132088232513
132088232513,R-4,8188,8941,132088232513
132088732513,W-0,207,3366,132088732513
132088732513,R-0,566,1641,132088732513
132088732513,R-1,2179,3474,132088732513
132088732513,R-2,4189,4861,132088732513
132088732513,R-3,6246,6876,132088732513
132088732513,R-4,8187,8937,132088732513
132089232513,W-0,205,3267,132089232513
132089232513,R-0,574,1308,132089232513
132089232513,R-1,2190,2916,132089232513
132089232513,R-2,4191,4952,132089232513
132089232513,R-3,6291,6938,132089232513
132089232513,R-4,8199,8941,132089232513
132089732513,W-0,226,4680,132089732513
132089732513,R-0,702,1701,132089732513
132089732513,R-1,2239,3164,132089732513
132089732513,R-2,4271,5244,132089732513
132089732513,R-3,6210,7201,132089732513
132089732513,R-4,8215,9029,132089732513
132090232513,W-0,220,5372,132090232513
132090232513,R-0,565,1484,132090232513
132090232513,R-1,2193,3063,132090232513
132090232513,R-2,4188,5100,132090232513
132090232513,R-3,6197,6887,132090232513
132090232513,R-4,8167,8948,132090232513
132091732513,W-0,223,3715,132091732513
132091732513,R-0,577,1284,132091732513
132091732513,R-1,2190,3111,132091732513
132091732513,R-2,4209,5064,132091732513
132091732513,R-3,6191,7020,132091732513
132091732513,R-4,8218,9022,132091732513
132092732513,W-0,152,4228,132092732513
132092732513,R-0,207,1451,null
132092732513,R-0,11658,12315,132092732513
132092732513,R-1,2173,3226,132092732513
132092732513,R-2,4380,5183,132092732513
132092732513,R-3,6198,6848,132092732513
132092732513,R-4,8146,8873,132092732513
132093232513,W-0,213,3847,132093232513
132093232513,R-0,566,1398,132093232513
132093232513,R-1,2199,3119,132093232513
132093232513,R-2,4196,9597,132093232513
132093232513,R-3,6192,10368,132093232513
132093232513,R-4,8191,10210,132093232513
132093732513,W-0,194,30035,132093732513
132093732513,R-0,571,1432,132093732513
132093732513,R-1,2190,3090,132093732513
132093732513,R-2,4200,5098,132093732513
132093732513,R-3,6263,7231,132093732513
132093732513,R-4,8213,9114,132093732513
132094232513,W-0,221,4634,132094232513
