Time(micros),Thread, Start(micros),Delay (micros),Value
133871809984,W-0,393,8657,133871809984
133871809984,R-0,4070,8260,133871809984
133871809984,R-1,2235,5795,133871809984
133871809984,R-2,4212,7819,133871809984
133871809984,R-3,6270,9203,133871809984
133871809984,R-4,8149,10110,133871809984
133873309984,W-0,166,5405,133873309984
133873309984,R-0,676,1890,133873309984
133873309984,R-1,2175,3164,133873309984
133873309984,R-2,4208,5137,133873309984
133873309984,R-3,6196,7205,133873309984
133873309984,R-4,8188,9632,133873309984
133874309984,W-0,203,4692,133874309984
133874309984,R-0,521,1860,133874309984
133874309984,R-1,2386,3952,133874309984
133874309984,R-2,4242,6095,133874309984
133874309984,R-3,6258,7177,133874309984
133874309984,R-4,8200,9058,133874309984
133875309984,W-0,201,300000,133875309984
133875309984,R-0,478,1314,133875309984
133875309984,R-1,2164,2915,133875309984
133875309984,R-2,4195,4976,133875309984
133875309984,R-3,6188,6958,133875309984
133875309984,R-4,8177,8819,133875309984
133876309984,W-0,154435,164934,133876309984
133876309984,R-0,162,950,null
133876309984,R-0,11166,12001,null
133876309984,R-0,22256,22962,null
133876309984,R-0,33151,33873,null
133876309984,R-0,44083,44716,null
133876309984,R-0,54896,55552,null
133876309984,R-0,65764,66525,null
133876309984,R-0,76699,77345,null
133876309984,R-0,87595,88441,null
133876309984,R-0,98642,99307,null
133876309984,R-0,109492,110112,null
133876309984,R-0,120317,121859,null
133876309984,R-0,132136,132855,null
133876309984,R-0,143149,143778,null
133876309984,R-0,163458,181416,133876309984
133876309984,R-1,2516,3886,null
133876309984,R-1,14314,15092,null
133876309984,R-1,25280,26671,null
133876309984,R-1,36865,37898,null
133876309984,R-1,48139,49367,null
133876309984,R-1,59582,61058,null
133876309984,R-1,71364,72176,null
133876309984,R-1,82397,82946,null
133876309984,R-1,93222,94067,null
133876309984,R-1,104346,105232,null
133876309984,R-1,115465,116096,null
133876309984,R-1,126363,127115,null
133876309984,R-1,137883,138466,null
133876309984,R-1,148759,149660,null
133876309984,R-1,182941,186338,133876309984
133876309984,R-2,4236,4890,null
133876309984,R-2,15225,15918,null
133876309984,R-2,26337,27066,null
133876309984,R-2,37657,38410,null
133876309984,R-2,48582,49186,null
133876309984,R-2,60248,61390,null
133876309984,R-2,71618,72526,null
133876309984,R-2,82706,83477,null
133876309984,R-2,93651,94181,null
133876309984,R-2,104264,104882,null
133876309984,R-2,115208,115796,null
133876309984,R-2,126910,128936,null
133876309984,R-2,139822,140439,null
133876309984,R-2,161368,180882,133876309984
133876309984,R-3,6396,7161,null
133876309984,R-3,17676,18315,null
133876309984,R-3,28820,29519,null
133876309984,R-3,40229,41097,null
133876309984,R-3,51499,52586,null
133876309984,R-3,63559,64441,null
133876309984,R-3,74862,75588,null
133876309984,R-3,85806,86470,null
133876309984,R-3,97224,98071,null
133876309984,R-3,108320,108868,null
133876309984,R-3,119306,121250,null
133876309984,R-3,131492,132347,null
133876309984,R-3,142526,143360,null
133876309984,R-3,181924,578776,133876309984
133876309984,R-4,8173,8934,null
133876309984,R-4,19174,19870,null
133876309984,R-4,30076,30702,null
133876309984,R-4,40871,41508,null
133876309984,R-4,51712,52485,null
133876309984,R-4,62677,63200,null
133876309984,R-4,73371,74166,null
133876309984,R-4,84597,85165,null
133876309984,R-4,95551,96555,null
133876309984,R-4,106732,107418,null
133876309984,R-4,117636,118405,null
133876309984,R-4,128728,129540,null
133876309984,R-4,140294,141471,null
133876309984,R-4,161149,180724,133876309984
133876809984,W-0,181,82963,133876809984
133876809984,R-0,80964,83252,133876809984
133876809984,R-1,78943,84757,133876809984
133876809984,R-2,80661,85474,133876809984
133876809984,R-3,80696,83665,133876809984
133876809984,R-4,79488,83087,133876809984
133877309984,W-0,202,300000,133877309984
133877309984,R-0,234,1429,null
133877309984,R-0,11661,12390,133877309984
133877309984,R-1,2279,3286,133877309984
133877309984,R-2,4283,5070,133877309984
133877309984,R-3,6215,6897,133877309984
133877309984,R-4,8141,8916,133877309984
133877809984,W-0,1214168,null,null
133877809984,R-0,268,1494,null
133877809984,R-0,11740,12542,null
133877809984,R-0,22761,23526,null
133877809984,R-0,33769,34513,null
133877809984,R-0,44779,45440,null
133877809984,R-0,55628,56292,null
133877809984,R-0,66473,67133,null
133877809984,R-0,77340,78190,null
133877809984,R-0,88404,89193,null
133877809984,R-0,99387,100112,null
133877809984,R-0,110352,111015,null
133877809984,R-0,121248,122101,null
133877809984,R-0,132295,133141,null
133877809984,R-0,143353,144229,null
133877809984,R-0,154421,155193,null
133877809984,R-0,165384,166169,null
133877809984,R-0,176361,177307,null
133877809984,R-0,187590,188364,null
133877809984,R-0,198575,199407,null
133877809984,R-0,209604,210528,null
133877809984,R-0,220725,221527,null
133877809984,R-0,231719,232582,null
133877809984,R-0,242780,243654,null
133877809984,R-0,253839,254552,null
133877809984,R-0,264747,265392,null
133877809984,R-0,275583,276280,null
133877809984,R-0,286485,287171,null
133877809984,R-0,297401,298106,null
133877809984,R-0,308299,309094,null
133877809984,R-0,319379,320276,null
133877809984,R-0,330515,331234,null
133877809984,R-0,341437,342335,null
133877809984,R-0,352521,353345,null
133877809984,R-0,363559,364315,null
133877809984,R-0,374518,375323,null
133877809984,R-0,385519,386285,null
133877809984,R-0,396468,397219,null
133877809984,R-0,407394,408301,null
133877809984,R-0,418483,419384,null
133877809984,R-0,429590,430533,null
133877809984,R-0,440728,441623,null
133877809984,R-0,451865,452943,null
133877809984,R-0,463127,463889,null
133877809984,R-0,474101,474783,null
133877809984,R-0,484970,486122,null
133877809984,R-0,496309,497067,null
133877809984,R-0,507275,508202,null
133877809984,R-0,518452,519007,null
133877809984,R-0,529224,529752,null
133877809984,R-0,539932,540487,null
133877809984,R-0,550610,551203,null
133877809984,R-0,561383,561890,null
133877809984,R-0,572249,572823,null
133877809984,R-0,583007,583568,null
133877809984,R-0,593897,594599,null
133877809984,R-0,605046,606208,null
133877809984,R-0,616656,617568,null
133877809984,R-0,627881,628660,null
133877809984,R-0,638836,639371,null
133877809984,R-0,649584,650913,null
133877809984,R-0,661163,662155,null
133877809984,R-0,672352,672945,null
133877809984,R-0,683142,683843,null
133877809984,R-0,694015,694683,null
133877809984,R-0,704868,705529,null
133877809984,R-0,715722,716310,null
133877809984,R-0,726570,727214,null
133877809984,R-0,737403,738366,null
133877809984,R-0,748678,749656,null
133877809984,R-0,759844,760572,null
133877809984,R-0,770794,771598,null
133877809984,R-0,781874,782679,null
133877809984,R-0,792911,793746,null
133877809984,R-0,803915,804828,null
133877809984,R-0,814999,815731,null
133877809984,R-0,825893,826408,null
133877809984,R-0,836592,837140,null
133877809984,R-0,847322,847993,null
133877809984,R-0,858400,858949,null
133877809984,R-0,869129,869687,null
133877809984,R-0,879841,880637,null
133877809984,R-0,890830,891785,null
133877809984,R-0,901974,902749,null
133877809984,R-0,913108,913754,null
133877809984,R-0,924118,925056,null
133877809984,R-0,935229,935759,null
133877809984,R-0,945962,946623,null
133877809984,R-0,956796,957376,null
133877809984,R-0,967549,968249,null
133877809984,R-0,978447,979109,null
133877809984,R-0,989301,989855,null
133877809984,R-0,1000165,1000855,null
133877809984,R-0,1011074,1011791,null
133877809984,R-0,1021940,1022602,null
133877809984,R-0,1032793,1033303,null
133877809984,R-0,1043508,1044183,null
133877809984,R-0,1054361,1055092,null
133877809984,R-0,1065268,1065942,null
133877809984,R-0,1076172,1076940,null
133877809984,R-0,1087123,1087711,null
133877809984,R-0,1097854,1098492,null
133877809984,R-0,1108672,1109234,null
133877809984,R-0,1119412,1119970,null
133877809984,R-0,1130151,1130661,null
133877809984,R-0,1140933,1141487,null
133877809984,R-0,1151738,1152276,null
133877809984,R-0,1162463,1163150,null
133877809984,R-0,1173427,1174649,null
133877809984,R-0,1184806,1185437,null
133877809984,R-0,1195780,1196612,null
133877809984,R-0,1206807,1207492,null
133877809984,R-0,1217684,1219396,null
133877809984,R-0,1229682,1230300,null
133877809984,R-0,1240692,1245947,null
133877809984,R-0,1256168,1259239,null
133877809984,R-0,1270620,1287935,null
133877809984,R-0,1302696,1303382,null
133877809984,R-0,1315659,1316790,null
133877809984,R-0,1326979,1328177,null
133877809984,R-0,1340584,1344354,null
133877809984,R-0,1354795,1355688,null
133877809984,R-0,1368396,1373348,null
133877809984,R-0,1383580,1384359,null
133877809984,R-0,1394556,1395176,null
133877809984,R-0,1409527,1410802,null
133877809984,R-0,1421102,1422370,null
133877809984,R-0,1432590,1433501,null
133877809984,R-0,1444091,1444870,null
133877809984,R-0,1455732,1456512,null
133877809984,R-0,1466708,1467582,null
133877809984,R-0,1477772,1478696,null
133877809984,R-0,1488873,1489507,null
133877809984,R-0,1499852,1500464,null
133877809984,R-0,1511370,1512367,null
133877809984,R-0,1523489,1524860,null
133877809984,R-0,1535877,1536687,null
133877809984,R-0,1546860,1547556,null
133877809984,R-0,1557806,1559086,null
133877809984,R-0,1569725,1570569,null
133877809984,R-0,1580691,1581681,null
133877809984,R-0,1592227,1592828,null
133877809984,R-0,1603758,1606872,null
133877809984,R-0,1617010,1617557,null
133877809984,R-0,1627716,1628414,null
133877809984,R-0,1638592,1639220,null
133877809984,R-0,1649381,1650374,null
133877809984,R-0,1660582,1661432,null
133877809984,R-0,1672820,1673459,null
133877809984,R-0,1685049,1685783,null
133877809984,R-0,1701122,1703572,null
133877809984,R-0,1713983,1714606,null
133877809984,R-0,1725235,1726538,null
133877809984,R-0,1737836,1739746,null
133877809984,R-0,1749943,1752308,null
133877809984,R-0,1762665,1763279,null
133877809984,R-0,1773503,1774263,null
133877809984,R-0,1784420,1785154,null
133877809984,R-0,1795353,1796292,null
133877809984,R-0,1806433,1807698,null
133877809984,R-0,1817852,1818422,null
133877809984,R-0,1828611,1829145,null
133877809984,R-0,1839358,1840090,null
133877809984,R-0,1850434,1850909,null
133877809984,R-0,1861193,1861890,null
133877809984,R-0,1872117,1875222,null
133877809984,R-0,1885414,1886059,null
133877809984,R-0,1896241,1897194,null
133877809984,R-0,1907356,1907933,null
133877809984,R-0,1918108,1918865,null
133877809984,R-0,1929069,1929720,null
133877809984,R-0,1939903,1940514,null
133877809984,R-0,1950770,1951624,null
133877809984,R-0,1961881,1962544,null
133877809984,R-0,1972880,1974065,null
133877809984,R-0,1984487,1985746,null
133877809984,R-0,1996505,1997530,null
133877809984,R-0,2008308,2009154,null
133877809984,R-0,2019628,2020544,null
133877809984,R-0,2030842,2031941,null
133877809984,R-0,2042118,2042796,null
133877809984,R-0,2052959,2053846,null
133877809984,R-0,2064096,2064684,null
133877809984,R-0,2075357,2076127,null
133877809984,R-0,2086276,2086750,null
133877809984,R-0,2097229,2098140,null
133877809984,R-0,2108247,2109292,null
133877809984,R-0,2119706,2120555,null
133877809984,R-0,2132073,2133111,null
133877809984,R-0,2143278,2143967,null
133877809984,R-0,2154618,2155588,null
133877809984,R-0,2166906,2167899,null
133877809984,R-0,2178079,2180907,null
