Time(micros),Thread, Start(micros),Delay (micros),Value
134467828070,W-0,2561,9000,134467828070
134467828070,R-0,338,9202,134467828070
134467828070,R-1,3818,6143,null
134467828070,R-1,18729,21150,134467828070
134467828070,R-2,12150,14921,134467828070
134467828070,R-3,6197,9912,134467828070
134467828070,R-4,8243,11099,134467828070
134469328070,W-0,223,4679,134469328070
134469328070,R-0,791,1672,null
134469328070,R-0,12002,12891,134469328070
134469328070,R-1,2187,4140,134469328070
134469328070,R-2,4309,5267,134469328070
134469328070,R-3,6185,7173,134469328070
134469328070,R-4,8181,9025,134469328070
134470328070,W-0,218,4163,134470328070
134470328070,R-0,510,1472,null
134470328070,R-0,11724,12606,134470328070
134470328070,R-1,2692,3881,134470328070
134470328070,R-2,4332,5370,134470328070
134470328070,R-3,6203,7144,134470328070
134470328070,R-4,8274,12092,134470328070
134471328070,W-0,157,3124,134471328070
134471328070,R-0,501,1218,null
134471328070,R-0,11398,12167,134471328070
134471328070,R-1,2209,2875,134471328070
134471328070,R-2,4187,4995,134471328070
134471328070,R-3,6209,7106,134471328070
134471328070,R-4,8197,9032,134471328070
134472328070,W-0,594,3777,134472328070
134472328070,R-0,204,1099,null
134472328070,R-0,11360,12347,134472328070
134472328070,R-1,2182,2929,134472328070
134472328070,R-2,4228,5055,134472328070
134472328070,R-3,6176,7011,134472328070
134472328070,R-4,8198,9121,134472328070
134472828070,W-0,243,3892,134472828070
134472828070,R-0,546,1341,null
134472828070,R-0,11570,12449,134472828070
134472828070,R-1,2212,2984,134472828070
134472828070,R-2,4201,5007,134472828070
134472828070,R-3,6191,7003,134472828070
134472828070,R-4,8183,9058,134472828070
134473328070,W-0,212,23245,134473328070
134473328070,R-0,212,1191,null
134473328070,R-0,11421,12134,134473328070
134473328070,R-1,2307,3236,134473328070
134473328070,R-2,4227,5190,134473328070
134473328070,R-3,6213,7293,134473328070
134473328070,R-4,8157,9204,134473328070
134473828070,W-0,548,6520,134473828070
134473828070,R-0,275,1142,null
134473828070,R-0,11599,12341,134473828070
134473828070,R-1,2425,3219,null
134473828070,R-1,13465,14266,134473828070
134473828070,R-2,4179,5254,134473828070
134473828070,R-3,6211,6896,134473828070
134473828070,R-4,8205,8894,134473828070
134474328070,W-0,246,4069,134474328070
134474328070,R-0,568,1442,null
134474328070,R-0,11758,13041,null
134474328070,R-0,23244,23981,null
134474328070,R-0,34173,35185,null
134474328070,R-0,45490,47889,134474328070
134474328070,R-1,2190,3100,134474328070
134474328070,R-2,4245,4927,134474328070
134474328070,R-3,6237,7118,134474328070
134474328070,R-4,8252,9219,134474328070
134474828070,W-0,212,5688,134474828070
134474828070,R-0,685,1525,null
134474828070,R-0,11771,12478,134474828070
134474828070,R-1,2158,2866,null
134474828070,R-1,13045,13757,null
134474828070,R-1,23992,24760,null
134474828070,R-1,35071,35740,134474828070
134474828070,R-2,4228,5120,134474828070
134474828070,R-3,6174,7001,null
134474828070,R-3,17248,18045,null
134474828070,R-3,28285,29021,null
134474828070,R-3,39206,39832,null
134474828070,R-3,50004,50792,null
134474828070,R-3,61005,62009,134474828070
134474828070,R-4,8252,8873,null
134474828070,R-4,19112,19799,134474828070
134476328070,W-0,232,10230,134476328070
134476328070,R-0,275,1097,null
134476328070,R-0,12241,13139,134476328070
134476328070,R-1,2186,3013,134476328070
134476328070,R-2,4262,5113,134476328070
134476328070,R-3,6180,7068,134476328070
134476328070,R-4,8185,9205,134476328070
134477328070,W-0,229,33673,134477328070
134477328070,R-0,506,1252,null
134477328070,R-0,11544,12473,134477328070
134477328070,R-1,2227,3170,null
134477328070,R-1,13429,14146,null
134477328070,R-1,24370,25054,134477328070
134477328070,R-2,4139,4972,null
134477328070,R-2,15215,16276,134477328070
134477328070,R-3,6308,7206,null
134477328070,R-3,17440,18162,134477328070
134477328070,R-4,8213,8927,null
134477328070,R-4,19193,19776,null
134477328070,R-4,30070,30829,134477328070
134477828070,W-0,221,3652,134477828070
134477828070,R-0,246,1321,null
134477828070,R-0,11595,12419,134477828070
134477828070,R-1,2195,3136,134477828070
134477828070,R-2,4310,5054,134477828070
134477828070,R-3,6198,7219,134477828070
134477828070,R-4,8224,9385,134477828070
134478328070,W-0,221,300000,134478328070
134478328070,R-0,601,1565,null
134478328070,R-0,11831,12635,134478328070
134478328070,R-1,2165,2970,null
134478328070,R-1,13203,13877,134478328070
134478328070,R-2,4207,5063,null
134478328070,R-2,15286,15974,134478328070
134478328070,R-3,6202,7247,134478328070
134478328070,R-4,8195,9122,134478328070
134478828070,W-0,286266,292044,134478828070
134478828070,R-0,225,1640,null
134478828070,R-0,11887,12868,null
134478828070,R-0,23105,24014,null
134478828070,R-0,34260,35165,null
134478828070,R-0,45425,46142,null
134478828070,R-0,56388,57216,null
134478828070,R-0,67466,68255,null
134478828070,R-0,78485,79177,null
134478828070,R-0,89430,90226,null
134478828070,R-0,100432,101067,null
134478828070,R-0,111280,111904,null
134478828070,R-0,122163,123066,null
134478828070,R-0,133329,134306,null
134478828070,R-0,144511,145411,null
134478828070,R-0,155658,156503,null
134478828070,R-0,166691,167652,null
134478828070,R-0,177842,178835,null
134478828070,R-0,189142,190019,null
134478828070,R-0,200217,201024,null
134478828070,R-0,211232,212125,null
134478828070,R-0,222373,223239,null
134478828070,R-0,233458,234236,null
134478828070,R-0,244442,245415,null
134478828070,R-0,255610,256532,null
134478828070,R-0,266718,267756,null
