Time(micros),Thread, Start(micros),Delay (micros),Value
136258478304,W-0,393,16849,136258478304
136258478304,R-0,3782,7613,null
136258478304,R-0,21862,27202,136258478304
136258478304,R-1,2239,6524,null
136258478304,R-1,22074,27494,136258478304
136258478304,R-2,4484,7050,null
136258478304,R-2,21623,28421,136258478304
136258478304,R-3,6320,14756,null
136258478304,R-3,25004,27350,136258478304
136258478304,R-4,15093,18304,136258478304
136259978304,W-0,177,25924,136259978304
136259978304,R-0,640,1675,null
136259978304,R-0,11931,12829,null
136259978304,R-0,23455,25224,136259978304
136259978304,R-1,2206,3094,null
136259978304,R-1,13332,14197,null
136259978304,R-1,24382,25378,136259978304
136259978304,R-2,4150,4948,null
136259978304,R-2,15209,15969,null
136259978304,R-2,26454,27512,136259978304
136259978304,R-3,6202,7011,null
136259978304,R-3,17192,18069,null
136259978304,R-3,28326,29275,136259978304
136259978304,R-4,8449,9263,null
136259978304,R-4,19451,20343,null
136259978304,R-4,30592,31342,136259978304
136260978304,W-0,226,2869,136260978304
136260978304,R-0,232,1000,null
136260978304,R-0,11344,12405,136260978304
136260978304,R-1,2224,3276,136260978304
136260978304,R-2,4200,5013,136260978304
136260978304,R-3,6206,7004,136260978304
136260978304,R-4,8202,9175,136260978304
136261978304,W-0,430,3892,136261978304
136261978304,R-0,335,1483,null
136261978304,R-0,11694,12470,null
136261978304,R-0,22669,23584,136261978304
136261978304,R-1,2157,3195,136261978304
136261978304,R-2,4132,4994,136261978304
136261978304,R-3,6211,7199,null
136261978304,R-3,17411,18347,136261978304
136261978304,R-4,8188,9151,136261978304
136262978304,W-0,502,4590,136262978304
136262978304,R-0,253,1483,null
136262978304,R-0,11753,12668,136262978304
136262978304,R-1,2208,2952,null
136262978304,R-1,13845,14621,136262978304
136262978304,R-2,4241,5034,null
136262978304,R-2,15214,15918,136262978304
136262978304,R-3,6207,7100,136262978304
136262978304,R-4,8221,8947,136262978304
136263478304,W-0,225,3477,136263478304
136263478304,R-0,250,1154,null
136263478304,R-0,11399,12106,136263478304
136263478304,R-1,2239,3013,136263478304
136263478304,R-2,4193,5051,136263478304
136263478304,R-3,6204,7033,136263478304
136263478304,R-4,8189,9045,136263478304
136263978304,W-0,221,3627,136263978304
136263978304,R-0,503,1400,null
136263978304,R-0,11620,12238,136263978304
136263978304,R-1,2192,3106,136263978304
136263978304,R-2,4196,5021,null
136263978304,R-2,15215,15883,136263978304
136263978304,R-3,6241,6932,null
136263978304,R-3,17116,17903,136263978304
136263978304,R-4,8184,8964,136263978304
136264478304,W-0,339,3897,136264478304
136264478304,R-0,648,1431,null
136264478304,R-0,11742,12598,136264478304
136264478304,R-1,2197,3037,null
136264478304,R-1,13305,14096,136264478304
136264478304,R-2,4198,4882,136264478304
136264478304,R-3,6193,6944,null
136264478304,R-3,17154,17944,136264478304
136264478304,R-4,8209,8980,136264478304
136264978304,W-0,257,3554,136264978304
136264978304,R-0,318,1207,null
136264978304,R-0,11509,12198,136264978304
136264978304,R-1,2207,2917,136264978304
136264978304,R-2,4194,5086,136264978304
136264978304,R-3,6236,6991,136264978304
136264978304,R-4,8269,9051,136264978304
136265478304,W-0,203,3337,136265478304
136265478304,R-0,527,1281,null
136265478304,R-0,11541,12462,136265478304
136265478304,R-1,2190,3011,null
136265478304,R-1,13244,14028,136265478304
136265478304,R-2,4195,4946,136265478304
136265478304,R-3,6197,6991,136265478304
136265478304,R-4,8185,9247,136265478304
136266978304,W-0,215,3212,136266978304
136266978304,R-0,504,1521,null
136266978304,R-0,11777,12465,136266978304
136266978304,R-1,2211,3807,136266978304
136266978304,R-2,4194,5196,136266978304
136266978304,R-3,6298,7039,136266978304
136266978304,R-4,8207,8891,136266978304
136267978304,W-0,210,70583,136267978304
136267978304,R-0,237,1078,null
136267978304,R-0,11345,11927,null
136267978304,R-0,22129,22782,null
136267978304,R-0,32954,33619,null
136267978304,R-0,43803,44583,null
136267978304,R-0,54892,55895,null
136267978304,R-0,66102,66847,136267978304
136267978304,R-1,2204,3059,null
136267978304,R-1,13322,14197,null
136267978304,R-1,24439,25120,null
136267978304,R-1,35339,36144,null
136267978304,R-1,46331,47000,null
136267978304,R-1,57187,58084,null
136267978304,R-1,68326,69192,136267978304
136267978304,R-2,4203,4868,null
136267978304,R-2,15105,15796,null
136267978304,R-2,25986,26634,null
136267978304,R-2,36860,37566,null
136267978304,R-2,47773,48489,null
136267978304,R-2,58690,59515,null
136267978304,R-2,69947,70923,136267978304
136267978304,R-3,6278,6969,null
136267978304,R-3,17182,17791,null
136267978304,R-3,27999,28686,null
136267978304,R-3,38919,39608,null
136267978304,R-3,49854,50557,null
136267978304,R-3,60868,61684,null
136267978304,R-3,72086,73051,null
136267978304,R-3,83229,83879,136267978304
136267978304,R-4,8214,8896,null
136267978304,R-4,19111,19763,null
136267978304,R-4,29965,30601,null
136267978304,R-4,40790,41443,null
136267978304,R-4,51630,52538,null
136267978304,R-4,62769,63361,null
136267978304,R-4,73562,74240,136267978304
136268478304,W-0,431,10925,136268478304
136268478304,R-0,195,966,null
136268478304,R-0,11239,11949,136268478304
136268478304,R-1,2274,3289,136268478304
136268478304,R-2,4212,5011,136268478304
136268478304,R-3,6206,6970,136268478304
136268478304,R-4,8186,8886,136268478304
136268978304,W-0,441,3268,136268978304
136268978304,R-0,202,936,null
136268978304,R-0,11171,11938,136268978304
136268978304,R-1,2225,2899,136268978304
136268978304,R-2,4210,5077,136268978304
136268978304,R-3,6213,7145,136268978304
136268978304,R-4,8193,8954,136268978304
136269478304,W-0,198,2649,136269478304
136269478304,R-0,514,1378,null
136269478304,R-0,11601,12468,136269478304
136269478304,R-1,2280,3078,136269478304
136269478304,R-2,4221,4984,136269478304
136269478304,R-3,6218,6923,136269478304
136269478304,R-4,8195,9045,136269478304
136269978304,W-0,222,3381,136269978304
136269978304,R-0,530,1369,null
136269978304,R-0,11605,12484,136269978304
136269978304,R-1,2195,3230,136269978304
136269978304,R-2,4170,4923,136269978304
136269978304,R-3,6195,6955,136269978304
136269978304,R-4,8224,9087,136269978304
136270478304,W-0,208,2593,136270478304
136270478304,R-0,527,1293,null
136270478304,R-0,11518,12207,136270478304
136270478304,R-1,2193,3141,136270478304
136270478304,R-2,4196,5025,136270478304
136270478304,R-3,6294,7138,136270478304
136270478304,R-4,8227,8960,136270478304
136270978304,W-0,438,3262,136270978304
136270978304,R-0,165,1365,null
136270978304,R-0,11599,12379,136270978304
136270978304,R-1,2845,3847,136270978304
136270978304,R-2,4253,5120,136270978304
136270978304,R-3,6201,7008,136270978304
136270978304,R-4,8195,9013,136270978304
136271978304,W-0,194,5228,136271978304
136271978304,R-0,576,1603,null
136271978304,R-0,11853,12553,136271978304
136271978304,R-1,2206,3324,136271978304
136271978304,R-2,4281,4987,136271978304
136271978304,R-3,6194,6998,136271978304
136271978304,R-4,8204,9020,136271978304
136272478304,W-0,223,5903,136272478304
136272478304,R-0,670,1508,null
136272478304,R-0,11844,12438,136272478304
136272478304,R-1,2321,3107,null
136272478304,R-1,13338,14083,136272478304
136272478304,R-2,4409,5282,136272478304
136272478304,R-3,6195,6907,136272478304
136272478304,R-4,8234,9037,136272478304
136272978304,W-0,227,2526,136272978304
136272978304,R-0,532,1421,null
136272978304,R-0,11681,12336,136272978304
136272978304,R-1,2130,2890,136272978304
136272978304,R-2,4181,4903,136272978304
136272978304,R-3,6184,6864,136272978304
136272978304,R-4,8202,8864,136272978304
136273478304,W-0,493,2668,136273478304
136273478304,R-0,190,879,null
136273478304,R-0,11108,11913,136273478304
136273478304,R-1,2200,2937,136273478304
136273478304,R-2,4200,4993,136273478304
136273478304,R-3,6205,6964,136273478304
136273478304,R-4,8216,9011,136273478304
136274478304,W-0,221,3669,136274478304
136274478304,R-0,564,1318,null
136274478304,R-0,11556,12164,136274478304
136274478304,R-1,2214,2958,136274478304
136274478304,R-2,4198,4877,136274478304
136274478304,R-3,6191,6921,136274478304
136274478304,R-4,8187,8953,136274478304
136275478304,W-0,398,3751,136275478304
136275478304,R-0,195,974,null
136275478304,R-0,11221,11882,136275478304
136275478304,R-1,2186,2927,136275478304
136275478304,R-2,4132,5075,136275478304
136275478304,R-3,6184,7008,136275478304
136275478304,R-4,8201,8960,136275478304
136275978304,W-0,202,3403,136275978304
136275978304,R-0,458,1089,null
136275978304,R-0,11294,11981,136275978304
136275978304,R-1,2179,3108,136275978304
136275978304,R-2,4208,4978,136275978304
136275978304,R-3,6189,6957,136275978304
136275978304,R-4,8186,8918,136275978304
136277978304,W-0,201,3931,136277978304
136277978304,R-0,483,1381,null
136277978304,R-0,11673,12408,136277978304
136277978304,R-1,2179,2974,null
136277978304,R-1,13212,13919,136277978304
136277978304,R-2,4197,4944,136277978304
136277978304,R-3,6217,7009,136277978304
136277978304,R-4,8189,9015,136277978304
136278478304,W-0,211,2619,136278478304
136278478304,R-0,522,1244,null
136278478304,R-0,11495,12151,136278478304
136278478304,R-1,2188,2876,136278478304
136278478304,R-2,4204,4867,136278478304
136278478304,R-3,6251,6916,136278478304
136278478304,R-4,8198,8983,136278478304
136278978304,W-0,261,2608,136278978304
136278978304,R-0,609,1398,null
136278978304,R-0,11635,12364,136278978304
136278978304,R-1,2230,2870,null
136278978304,R-1,13093,13876,136278978304
136278978304,R-2,4208,4939,136278978304
136278978304,R-3,6208,6982,136278978304
136278978304,R-4,8202,8908,null
136278978304,R-4,19194,19817,null
136278978304,R-4,29983,30804,136278978304
136279478304,W-0,207,3503,136279478304
136279478304,R-0,501,1422,null
136279478304,R-0,11677,12508,136279478304
136279478304,R-1,2202,3176,136279478304
136279478304,R-2,4216,8519,136279478304
136279478304,R-3,7964,9103,136279478304
136279478304,R-4,8224,9257,136279478304
136279978304,W-0,220,2908,136279978304
136279978304,R-0,474,2070,null
136279978304,R-0,14059,14946,136279978304
136279978304,R-1,2463,3596,136279978304
136279978304,R-2,4391,5142,136279978304
136279978304,R-3,6205,6938,136279978304
136279978304,R-4,8218,9005,136279978304
136282478304,W-0,226,3603,136282478304
136282478304,R-0,499,1192,null
136282478304,R-0,11420,11996,136282478304
136282478304,R-1,2212,3009,136282478304
136282478304,R-2,4191,4905,136282478304
136282478304,R-3,6193,6886,136282478304
136282478304,R-4,8213,8934,136282478304
136283478304,W-0,159,2549,136283478304
136283478304,R-0,458,1250,null
136283478304,R-0,11502,12055,136283478304
136283478304,R-1,2184,2884,136283478304
136283478304,R-2,4229,4976,136283478304
136283478304,R-3,6228,6964,136283478304
136283478304,R-4,8208,8868,136283478304
136283978304,W-0,208,2588,136283978304
136283978304,R-0,473,1159,null
136283978304,R-0,11394,12015,136283978304
136283978304,R-1,2220,2888,136283978304
136283978304,R-2,4226,4852,136283978304
136283978304,R-3,6187,6881,136283978304
136283978304,R-4,8183,8857,136283978304
136284478304,W-0,477,3664,136284478304
136284478304,R-0,249,1162,null
136284478304,R-0,11465,12125,136284478304
136284478304,R-1,2229,3016,136284478304
136284478304,R-2,4189,5001,136284478304
136284478304,R-3,6214,6936,136284478304
136284478304,R-4,8226,8961,136284478304
136284978304,W-0,206,3882,136284978304
136284978304,R-0,493,1305,null
136284978304,R-0,11534,12282,136284978304
136284978304,R-1,2192,3000,136284978304
136284978304,R-2,4222,4936,136284978304
136284978304,R-3,6225,6942,136284978304
136284978304,R-4,8189,8879,null
136284978304,R-4,19104,19820,136284978304
136285478304,W-0,177,2892,136285478304
136285478304,R-0,449,1276,null
136285478304,R-0,11506,12166,136285478304
136285478304,R-1,2153,2824,null
136285478304,R-1,13045,13567,136285478304
136285478304,R-2,4203,5008,136285478304
136285478304,R-3,6203,6834,136285478304
136285478304,R-4,8152,8934,136285478304
136286478304,W-0,205,3780,136286478304
136286478304,R-0,458,1361,null
136286478304,R-0,11613,12629,136286478304
136286478304,R-1,2243,3166,136286478304
136286478304,R-2,4195,5255,136286478304
136286478304,R-3,6270,7237,136286478304
136286478304,R-4,8185,9116,136286478304
136286978304,W-0,204,2633,136286978304
136286978304,R-0,511,1195,null
136286978304,R-0,11462,12297,136286978304
136286978304,R-1,2206,2906,136286978304
136286978304,R-2,4245,5201,136286978304
136286978304,R-3,6212,6951,136286978304
136286978304,R-4,8253,9025,136286978304
136287478304,W-0,169,5886,136287478304
136287478304,R-0,418,1182,null
136287478304,R-0,11402,12025,null
136287478304,R-0,22215,22888,136287478304
136287478304,R-1,2186,2809,null
136287478304,R-1,13019,13528,null
136287478304,R-1,23796,24404,136287478304
136287478304,R-2,4180,4846,136287478304
136287478304,R-3,6228,6883,136287478304
136287478304,R-4,8173,8830,136287478304
136289478304,W-0,207,2585,136289478304
136289478304,R-0,513,1227,null
136289478304,R-0,11475,12086,null
136289478304,R-0,22290,22920,136289478304
136289478304,R-1,2227,2917,null
136289478304,R-1,13187,13835,136289478304
136289478304,R-2,4255,4896,null
136289478304,R-2,15148,15831,136289478304
136289478304,R-3,6201,6856,null
136289478304,R-3,17077,17771,136289478304
136289478304,R-4,8144,8861,null
136289478304,R-4,19089,19965,136289478304
136289978304,W-0,214,4009,136289978304
136289978304,R-0,480,1193,null
136289978304,R-0,11427,12154,136289978304
136289978304,R-1,2211,2986,136289978304
136289978304,R-2,4216,4894,136289978304
136289978304,R-3,6249,6976,136289978304
136289978304,R-4,8186,8814,136289978304
136291478304,W-0,218,3501,136291478304
136291478304,R-0,450,1318,null
136291478304,R-0,11569,12187,136291478304
136291478304,R-1,2201,3084,136291478304
136291478304,R-2,4223,4937,136291478304
136291478304,R-3,6196,6981,136291478304
136291478304,R-4,8195,8878,136291478304
136291978304,W-0,456,3780,136291978304
136291978304,R-0,224,1043,null
136291978304,R-0,11277,11942,136291978304
136291978304,R-1,2197,3135,136291978304
136291978304,R-2,4184,4907,136291978304
136291978304,R-3,6193,6980,136291978304
136291978304,R-4,8215,8890,136291978304
136292478304,W-0,215,4656,136292478304
136292478304,R-0,448,1114,null
136292478304,R-0,11303,11848,null
136292478304,R-0,23062,23682,null
136292478304,R-0,33969,34632,136292478304
136292478304,R-1,2208,2848,null
136292478304,R-1,13104,13749,136292478304
136292478304,R-2,4181,4850,null
136292478304,R-2,15021,15541,null
136292478304,R-2,25771,26347,null
136292478304,R-2,36531,37173,null
136292478304,R-2,47462,48194,136292478304
136292478304,R-3,6182,6813,null
136292478304,R-3,16987,17458,null
136292478304,R-3,27744,28397,136292478304
136292478304,R-4,8188,8889,136292478304
136292978304,W-0,433,9293,136292978304
136292978304,R-0,225,1211,null
136292978304,R-0,11452,12036,null
136292978304,R-0,22258,22965,136292978304
136292978304,R-1,2208,2806,null
136292978304,R-1,13013,13566,136292978304
136292978304,R-2,4157,4790,null
136292978304,R-2,15024,15767,136292978304
136292978304,R-3,6190,6787,null
136292978304,R-3,17040,17750,136292978304
136292978304,R-4,8118,8807,136292978304
136293978304,W-0,228,3627,136293978304
136293978304,R-0,500,1313,null
136293978304,R-0,11552,12192,null
136293978304,R-0,22496,23053,null
136293978304,R-0,33358,33948,136293978304
136293978304,R-1,2171,3178,null
136293978304,R-1,13400,14187,136293978304
136293978304,R-2,4216,4919,null
136293978304,R-2,15169,15959,136293978304
136293978304,R-3,6182,6853,null
136293978304,R-3,17095,17906,136293978304
136293978304,R-4,8200,9011,null
136293978304,R-4,19252,19883,null
136293978304,R-4,30079,30667,136293978304
136295478304,W-0,500,143853,136295478304
136295478304,R-0,233,1000,null
136295478304,R-0,11260,11842,136295478304
136295478304,R-1,2328,3838,136295478304
136295478304,R-2,4210,4966,136295478304
136295478304,R-3,6206,6840,136295478304
136295478304,R-4,8367,9560,136295478304
136295978304,W-0,449,26977,136295978304
136295978304,R-0,216,891,null
136295978304,R-0,11296,11981,null
136295978304,R-0,22227,22857,null
136295978304,R-0,33333,34021,136295978304
136295978304,R-1,2219,2957,null
136295978304,R-1,13238,14101,null
136295978304,R-1,24327,25584,136295978304
136295978304,R-2,4207,4828,null
136295978304,R-2,15140,15828,null
136295978304,R-2,26114,27210,136295978304
136295978304,R-3,6204,6888,null
136295978304,R-3,17141,17796,null
136295978304,R-3,28004,28558,136295978304
136295978304,R-4,8198,8947,null
136295978304,R-4,19216,19871,null
136295978304,R-4,30078,30576,136295978304
136296478304,W-0,228,3482,136296478304
136296478304,R-0,468,1188,null
136296478304,R-0,11423,12286,136296478304
136296478304,R-1,2236,3163,136296478304
136296478304,R-2,4194,4949,136296478304
136296478304,R-3,6195,7008,136296478304
136296478304,R-4,8228,8988,136296478304
136297478304,W-0,273,3820,136297478304
136297478304,R-0,235,1072,null
136297478304,R-0,11388,12238,136297478304
136297478304,R-1,2232,2882,null
136297478304,R-1,13136,13789,136297478304
136297478304,R-2,4203,4805,null
136297478304,R-2,15076,16003,136297478304
136297478304,R-3,6243,6846,null
136297478304,R-3,17125,18170,136297478304
136297478304,R-4,8214,8987,136297478304
136298978304,W-0,224,3894,136298978304
136298978304,R-0,390,1176,null
136298978304,R-0,11407,12052,136298978304
136298978304,R-1,2214,3093,136298978304
136298978304,R-2,4230,4956,136298978304
136298978304,R-3,6211,6830,136298978304
136298978304,R-4,8182,8860,136298978304
136299978304,W-0,203,2492,136299978304
136299978304,R-0,547,1275,null
136299978304,R-0,11543,12143,136299978304
136299978304,R-1,2208,3204,136299978304
136299978304,R-2,4251,4863,136299978304
136299978304,R-3,6208,6837,136299978304
136299978304,R-4,8133,8893,136299978304
136301478304,W-0,259,2601,136301478304
136301478304,R-0,500,1151,null
136301478304,R-0,11382,11987,136301478304
136301478304,R-1,2195,2882,136301478304
136301478304,R-2,5854,6637,136301478304
136301478304,R-3,6179,6851,136301478304
136301478304,R-4,9400,10032,136301478304
136301978304,W-0,278,13146,136301978304
136301978304,R-0,554,1365,null
136301978304,R-0,11600,12408,136301978304
136301978304,R-1,2178,2901,null
136301978304,R-1,13336,14010,136301978304
136301978304,R-2,4205,4804,null
136301978304,R-2,15050,15871,136301978304
136301978304,R-3,6172,6767,null
136301978304,R-3,17062,17739,136301978304
136301978304,R-4,8179,8905,null
136301978304,R-4,19086,19656,136301978304
136302978304,W-0,220,3571,136302978304
136302978304,R-0,430,1058,null
136302978304,R-0,11325,12096,136302978304
136302978304,R-1,2219,2981,136302978304
136302978304,R-2,4215,4980,136302978304
136302978304,R-3,6220,6891,136302978304
136302978304,R-4,8217,9546,136302978304
136303478304,W-0,213,5437,136303478304
136303478304,R-0,463,3022,null
136303478304,R-0,13272,14358,136303478304
136303478304,R-1,2125,3616,136303478304
136303478304,R-2,4191,5058,136303478304
136303478304,R-3,6187,6947,136303478304
136303478304,R-4,8181,8834,136303478304
136304978304,W-0,200,5897,136304978304
136304978304,R-0,429,1204,null
136304978304,R-0,11455,12034,null
136304978304,R-0,22208,22802,136304978304
136304978304,R-1,2181,2825,null
136304978304,R-1,13053,13774,136304978304
136304978304,R-2,4203,5119,null
136304978304,R-2,15337,16068,136304978304
136304978304,R-3,6594,7422,136304978304
136304978304,R-4,8201,8832,null
136304978304,R-4,19043,19741,136304978304
136305478304,W-0,527,5201,136305478304
136305478304,R-0,279,1186,null
136305478304,R-0,11486,12012,136305478304
136305478304,R-1,2248,3311,null
