Time(micros),Thread, Start(micros),Delay (micros),Value
113033212228,W-0,1915,7527,113033212228
113033212228,R-0,390,6959,null
113033212228,R-0,24763,36109,113033212228
113033212228,R-1,3476,6169,null
113033212228,R-1,24582,25575,113033212228
113033212228,R-2,7968,34935,113033212228
113033212228,R-3,6437,22055,113033212228
113033212228,R-4,8851,35747,113033212228
113034712228,W-0,197,2083,113034712228
113034712228,R-0,757,1762,null
113034712228,R-0,12018,15431,113034712228
113034712228,R-1,2234,3285,null
113034712228,R-1,13495,15949,113034712228
113034712228,R-2,4206,5138,113034712228
113034712228,R-3,6191,7007,113034712228
113034712228,R-4,8212,11050,113034712228
113035712228,W-0,341,1313,113035712228
113035712228,R-0,496,1570,113035712228
113035712228,R-1,2558,3269,113035712228
113035712228,R-2,4190,7727,113035712228
113035712228,R-3,6323,8570,113035712228
113035712228,R-4,8200,9040,113035712228
113036712228,W-0,230,3551,113036712228
113036712228,R-0,213,1145,null
113036712228,R-0,11458,12285,113036712228
113036712228,R-1,2298,3250,113036712228
113036712228,R-2,4230,5102,113036712228
113036712228,R-3,6227,7112,113036712228
113036712228,R-4,8243,9237,113036712228
113037712228,W-0,529,2018,113037712228
113037712228,R-0,234,1055,null
113037712228,R-0,11279,12000,null
113037712228,R-0,22186,22861,null
113037712228,R-0,33054,33866,113037712228
113037712228,R-1,2193,3252,113037712228
113037712228,R-2,4177,4947,null
113037712228,R-2,15147,15705,null
113037712228,R-2,25961,26520,null
113037712228,R-2,36726,37448,113037712228
113037712228,R-3,6193,6940,113037712228
113037712228,R-4,8215,9037,113037712228
113038212228,W-0,679,1969,113038212228
113038212228,R-0,229,1296,null
113038212228,R-0,11550,12252,113038212228
113038212228,R-1,2194,2922,113038212228
113038212228,R-2,4193,5181,113038212228
113038212228,R-3,6190,7173,null
113038212228,R-3,17365,18298,113038212228
113038212228,R-4,8188,9187,113038212228
113038712228,W-0,238,25281,113038712228
113038712228,R-0,543,1453,113038712228
113038712228,R-1,2198,2920,null
113038712228,R-1,13131,13976,113038712228
113038712228,R-2,4393,5245,113038712228
113038712228,R-3,6188,6829,null
