Time(micros),Thread, Start(micros),Delay (micros),Value
114818059309,W-0,981,4846,114818059309
114818059309,R-0,376,3544,null
114818059309,R-0,21498,22575,114818059309
114818059309,R-1,2492,5498,114818059309
114818059309,R-2,4206,10524,114818059309
114818059309,R-3,8284,10603,114818059309
114818059309,R-4,27609,30199,114818059309
114819559309,W-0,213,3661,114819559309
114819559309,R-0,767,1889,114819559309
114819559309,R-1,2187,3123,114819559309
114819559309,R-2,4191,5003,114819559309
114819559309,R-3,6236,7114,114819559309
114819559309,R-4,8360,9095,114819559309
114820559309,W-0,204,1471,114820559309
114820559309,R-0,802,1740,114820559309
114820559309,R-1,2239,3310,114820559309
114820559309,R-2,4204,4943,114820559309
114820559309,R-3,6193,6937,114820559309
114820559309,R-4,8182,10393,114820559309
114821559309,W-0,264,1897,114821559309
114821559309,R-0,579,1577,114821559309
114821559309,R-1,2233,2917,114821559309
114821559309,R-2,4202,4959,114821559309
114821559309,R-3,6203,7139,114821559309
114821559309,R-4,8230,9002,114821559309
114822559309,W-0,224,1370,114822559309
114822559309,R-0,614,1918,114822559309
114822559309,R-1,2175,2953,114822559309
114822559309,R-2,4201,4990,114822559309
114822559309,R-3,6225,7436,114822559309
114822559309,R-4,8199,8900,114822559309
114823059309,W-0,283,1242,114823059309
114823059309,R-0,571,1534,114823059309
114823059309,R-1,2218,3102,114823059309
114823059309,R-2,4190,5146,114823059309
114823059309,R-3,6207,6975,114823059309
114823059309,R-4,8202,8927,114823059309
114823559309,W-0,212,1813,114823559309
114823559309,R-0,644,1631,114823559309
114823559309,R-1,2222,3211,114823559309
114823559309,R-2,4193,5044,114823559309
114823559309,R-3,6194,6952,114823559309
114823559309,R-4,8234,9118,114823559309
114824059309,W-0,226,1616,114824059309
114824059309,R-0,354,1821,114824059309
114824059309,R-1,2214,3262,114824059309
114824059309,R-2,4200,5801,114824059309
114824059309,R-3,6211,6955,114824059309
114824059309,R-4,8213,8965,114824059309
114824559309,W-0,210,1511,114824559309
114824559309,R-0,262,1213,null
114824559309,R-0,11535,12358,114824559309
114824559309,R-1,2222,3105,114824559309
114824559309,R-2,4191,5060,114824559309
114824559309,R-3,6244,7152,114824559309
114824559309,R-4,8192,8983,114824559309
114825059309,W-0,231,1897,114825059309
114825059309,R-0,552,1654,114825059309
114825059309,R-1,2188,3139,114825059309
114825059309,R-2,4186,4861,114825059309
114825059309,R-3,6192,6892,114825059309
114825059309,R-4,8170,9022,114825059309
