Time(micros),Thread, Start(micros),Delay (micros),Value
116007760623,W-0,347,5850,116007760623
116007760623,R-0,3810,6364,116007760623
116007760623,R-1,2689,7285,116007760623
116007760623,R-2,4206,9623,116007760623
116007760623,R-3,6186,9809,116007760623
116007760623,R-4,9968,11935,116007760623
116009260623,W-0,216,2091,116009260623
116009260623,R-0,785,1757,116009260623
116009260623,R-1,2229,3290,116009260623
116009260623,R-2,4187,4903,116009260623
116009260623,R-3,6191,6925,116009260623
116009260623,R-4,8194,8923,116009260623
116010260623,W-0,247,6997,116010260623
116010260623,R-0,580,14703,116010260623
116010260623,R-1,13933,15654,116010260623
116010260623,R-2,13648,15443,116010260623
116010260623,R-3,6248,7286,116010260623
116010260623,R-4,8207,9046,116010260623
116011260623,W-0,1009,6072,116011260623
116011260623,R-0,1374,2426,116011260623
116011260623,R-1,2595,3546,116011260623
116011260623,R-2,4188,4786,116011260623
116011260623,R-3,11187,11982,116011260623
116011260623,R-4,9427,10426,116011260623
116012260623,W-0,197,5781,116012260623
116012260623,R-0,526,1302,116012260623
116012260623,R-1,2169,2975,116012260623
116012260623,R-2,4184,4925,116012260623
116012260623,R-3,6199,7094,116012260623
116012260623,R-4,8523,10188,116012260623
116012760623,W-0,306,1876,116012760623
116012760623,R-0,573,1624,116012760623
116012760623,R-1,2203,3071,116012760623
116012760623,R-2,4200,4924,116012760623
116012760623,R-3,6200,6980,116012760623
116012760623,R-4,8223,8979,116012760623
116013260623,W-0,227,1462,116013260623
116013260623,R-0,584,1553,116013260623
116013260623,R-1,2215,3049,116013260623
116013260623,R-2,4206,4975,116013260623
116013260623,R-3,6275,7050,116013260623
116013260623,R-4,8204,8907,116013260623
116013760623,W-0,217,150181,116013760623
116013760623,R-0,211,1374,null
116013760623,R-0,11709,12337,116013760623
116013760623,R-1,2142,3031,116013760623
116013760623,R-2,4236,5273,116013760623
116013760623,R-3,6223,7071,116013760623
116013760623,R-4,8235,9288,116013760623
116014260623,W-0,231,43524,116014260623
116014260623,R-0,598,1558,116014260623
116014260623,R-1,2181,3181,116014260623
116014260623,R-2,4194,4917,116014260623
