Time(micros),Thread, Start(micros),Delay (micros),Value
116602154829,W-0,1077,4097,116602154829
116602154829,R-0,512,9610,116602154829
116602154829,R-1,2279,6684,null
116602154829,R-1,19263,21953,116602154829
116602154829,R-2,4300,9805,116602154829
116602154829,R-3,6355,10397,116602154829
116602154829,R-4,13824,16380,116602154829
116603654829,W-0,239,1808,116603654829
116603654829,R-0,763,1492,null
116603654829,R-0,11777,13720,116603654829
116603654829,R-1,2240,3004,116603654829
116603654829,R-2,4234,4942,116603654829
116603654829,R-3,6260,7054,116603654829
116603654829,R-4,8275,9248,116603654829
116604654829,W-0,279,1488,116604654829
116604654829,R-0,318,1151,null
116604654829,R-0,11500,12244,null
116604654829,R-0,22464,23316,null
116604654829,R-0,33659,35081,116604654829
116604654829,R-1,2278,3039,null
116604654829,R-1,13253,13920,116604654829
116604654829,R-2,4252,4926,116604654829
116604654829,R-3,6266,6998,null
116604654829,R-3,17232,17988,null
116604654829,R-3,28232,29240,null
116604654829,R-3,39440,40111,116604654829
116604654829,R-4,8218,8904,116604654829
116605654829,W-0,248,9719,116605654829
116605654829,R-0,716,1578,null
116605654829,R-0,11797,12623,116605654829
116605654829,R-1,2252,3001,null
116605654829,R-1,13242,13918,null
116605654829,R-1,24551,25406,116605654829
116605654829,R-2,4285,5118,null
116605654829,R-2,15328,16033,116605654829
116605654829,R-3,6243,7215,null
116605654829,R-3,17389,18051,116605654829
116605654829,R-4,8260,9116,null
116605654829,R-4,19415,20059,116605654829
116606654829,W-0,227,1828,116606654829
116606654829,R-0,393,1567,null
116606654829,R-0,11984,12830,116606654829
116606654829,R-1,2251,3355,116606654829
116606654829,R-2,4232,4943,116606654829
116606654829,R-3,6235,7126,116606654829
116606654829,R-4,8230,9060,116606654829
116607154829,W-0,251,1638,116607154829
116607154829,R-0,251,971,null
116607154829,R-0,11516,12245,116607154829
116607154829,R-1,2224,3210,116607154829
116607154829,R-2,4270,5146,116607154829
116607154829,R-3,6296,7112,116607154829
116607154829,R-4,8229,9386,116607154829
116607654829,W-0,266,1390,116607654829
116607654829,R-0,822,1652,null
116607654829,R-0,11836,12691,116607654829
116607654829,R-1,2257,3288,116607654829
116607654829,R-2,4273,5108,116607654829
116607654829,R-3,6229,7021,116607654829
116607654829,R-4,8248,8993,116607654829
116608154829,W-0,244,1584,116608154829
116608154829,R-0,328,1314,null
116608154829,R-0,11537,12280,116608154829
116608154829,R-1,2228,3134,116608154829
116608154829,R-2,4221,5108,116608154829
116608154829,R-3,6227,6978,116608154829
116608154829,R-4,8243,9014,116608154829
116608654829,W-0,247,1533,116608654829
116608654829,R-0,354,1256,null
116608654829,R-0,11629,12375,null
116608654829,R-0,22520,23298,null
116608654829,R-0,33513,34110,null
116608654829,R-0,44325,44898,null
116608654829,R-0,55140,61333,116608654829
116608654829,R-1,2232,3233,116608654829
116608654829,R-2,4234,4966,null
116608654829,R-2,15256,16001,null
116608654829,R-2,26247,26934,null
116608654829,R-2,37107,37778,null
116608654829,R-2,48026,48773,null
116608654829,R-2,60873,61680,116608654829
116608654829,R-3,6293,7389,116608654829
116608654829,R-4,8320,9072,null
116608654829,R-4,19291,19990,null
116608654829,R-4,30225,30965,null
116608654829,R-4,41151,41851,116608654829
116609154829,W-0,622,1788,116609154829
116609154829,R-0,371,1282,null
116609154829,R-0,11514,12376,116609154829
116609154829,R-1,2170,3144,116609154829
116609154829,R-2,4226,4923,116609154829
116609154829,R-3,6227,6989,116609154829
116609154829,R-4,8324,9234,116609154829
116610654829,W-0,242,3635,116610654829
116610654829,R-0,245,1125,null
116610654829,R-0,11385,12115,116610654829
116610654829,R-1,2229,3102,116610654829
116610654829,R-2,4283,5216,116610654829
116610654829,R-3,6238,6928,116610654829
116610654829,R-4,8245,9132,116610654829
116611654829,W-0,251,1657,116611654829
116611654829,R-0,568,1382,null
116611654829,R-0,11649,12372,116611654829
116611654829,R-1,2214,3033,116611654829
116611654829,R-2,4237,4955,116611654829
116611654829,R-3,6267,6966,116611654829
116611654829,R-4,8363,9352,116611654829
116612154829,W-0,219,1464,116612154829
116612154829,R-0,495,1243,null
116612154829,R-0,11493,12255,116612154829
116612154829,R-1,2296,3033,116612154829
116612154829,R-2,4236,4887,116612154829
116612154829,R-3,6223,6998,116612154829
116612154829,R-4,12547,13360,116612154829
116612654829,W-0,238,1578,116612654829
116612654829,R-0,336,1115,null
116612654829,R-0,11495,12080,116612654829
116612654829,R-1,2216,3037,116612654829
116612654829,R-2,4226,4853,null
116612654829,R-2,15076,15841,116612654829
116612654829,R-3,6220,7059,116612654829
116612654829,R-4,8278,8987,116612654829
116613154829,W-0,230,1731,116613154829
116613154829,R-0,544,1565,null
116613154829,R-0,11818,12480,null
116613154829,R-0,22730,23396,116613154829
116613154829,R-1,2221,3261,null
116613154829,R-1,13473,14507,116613154829
116613154829,R-2,4168,5245,null
116613154829,R-2,15461,16268,116613154829
116613154829,R-3,6279,6961,null
116613154829,R-3,17200,17944,116613154829
116613154829,R-4,8233,9095,116613154829
116613654829,W-0,239,1789,116613654829
116613654829,R-0,618,1492,null
116613654829,R-0,11728,12432,116613654829
116613654829,R-1,2230,3129,116613654829
116613654829,R-2,4228,5072,116613654829
116613654829,R-3,6221,7049,116613654829
116613654829,R-4,8238,8872,116613654829
116614154829,W-0,312,1554,116614154829
116614154829,R-0,406,1284,null
116614154829,R-0,11577,12308,116614154829
116614154829,R-1,2286,3095,116614154829
116614154829,R-2,4250,4899,116614154829
116614154829,R-3,6287,7299,116614154829
