Time(micros),Thread, Start(micros),Delay (micros),Value
118388426706,W-0,407,6897,118388426706
118388426706,R-0,3186,8977,118388426706
118388426706,R-1,2282,6207,null
118388426706,R-1,19387,22592,118388426706
118388426706,R-2,4243,8753,118388426706
118388426706,R-3,6228,10839,118388426706
118388426706,R-4,9290,12100,118388426706
118389926706,W-0,197,1782,118389926706
118389926706,R-0,731,1531,null
118389926706,R-0,11786,12593,118389926706
118389926706,R-1,2210,3414,118389926706
118389926706,R-2,4261,5044,118389926706
118389926706,R-3,6193,7159,118389926706
118389926706,R-4,8165,9175,118389926706
118390926706,W-0,208,30974,118390926706
118390926706,R-0,208,1209,null
118390926706,R-0,11445,12106,118390926706
118390926706,R-1,2213,3415,118390926706
118390926706,R-2,4184,5289,118390926706
118390926706,R-3,6180,7224,118390926706
118390926706,R-4,8198,9109,118390926706
118391926706,W-0,222,1400,118391926706
118391926706,R-0,282,956,null
118391926706,R-0,11239,11954,null
118391926706,R-0,22169,22846,118391926706
118391926706,R-1,2233,3036,118391926706
118391926706,R-2,4190,5029,null
118391926706,R-2,15247,16105,118391926706
118391926706,R-3,6218,6975,null
118391926706,R-3,17185,18213,118391926706
118391926706,R-4,8194,9084,118391926706
118392926706,W-0,193,1270,118392926706
118392926706,R-0,225,1027,null
118392926706,R-0,11328,12061,118392926706
118392926706,R-1,2194,3027,118392926706
118392926706,R-2,4189,4943,118392926706
118392926706,R-3,6206,6966,118392926706
118392926706,R-4,8192,8935,118392926706
118393426706,W-0,213,1460,118393426706
118393426706,R-0,267,1089,null
118393426706,R-0,11335,12113,118393426706
118393426706,R-1,2194,3061,null
118393426706,R-1,13290,13978,118393426706
118393426706,R-2,4213,5135,118393426706
118393426706,R-3,6185,7038,118393426706
118393426706,R-4,8194,9105,118393426706
118393926706,W-0,256,300000,118393926706
118393926706,R-0,523,1438,null
118393926706,R-0,11661,12373,118393926706
118393926706,R-1,2197,3125,118393926706
118393926706,R-2,4154,4894,null
118393926706,R-2,15123,16121,118393926706
118393926706,R-3,6215,7005,118393926706
118393926706,R-4,8212,9038,118393926706
118394426706,W-0,1595064,null,null
118394426706,R-0,223,1463,null
118394426706,R-0,11747,12738,null
118394426706,R-0,22989,23978,null
118394426706,R-0,34221,35124,null
118394426706,R-0,45356,46430,null
118394426706,R-0,56652,57406,null
118394426706,R-0,67583,68483,null
118394426706,R-0,78678,79531,null
118394426706,R-0,89714,90683,null
118394426706,R-0,100893,101862,null
118394426706,R-0,112067,112838,null
118394426706,R-0,123061,124127,null
118394426706,R-0,134415,135396,null
118394426706,R-0,145598,146400,null
118394426706,R-0,156676,157457,null
118394426706,R-0,167699,168457,null
118394426706,R-0,178653,179541,null
118394426706,R-0,189738,190382,null
118394426706,R-0,200591,201345,null
118394426706,R-0,211533,212201,null
118394426706,R-0,222438,223099,null
118394426706,R-0,233372,234173,null
118394426706,R-0,244376,245474,null
118394426706,R-0,255682,256696,null
118394426706,R-0,266889,267565,null
118394426706,R-0,277756,278939,null
118394426706,R-0,289226,290064,null
118394426706,R-0,300269,300984,null
118394426706,R-0,311183,311869,null
118394426706,R-0,322093,322879,null
118394426706,R-0,333569,334261,null
118394426706,R-0,344538,345234,null
118394426706,R-0,355434,356019,null
118394426706,R-0,366219,367132,null
118394426706,R-0,377541,378158,null
118394426706,R-0,388460,389117,null
118394426706,R-0,399530,400130,null
118394426706,R-0,410626,411464,null
118394426706,R-0,421653,422403,null
118394426706,R-0,432603,433236,null
118394426706,R-0,443486,444131,null
118394426706,R-0,454430,455172,null
118394426706,R-0,465383,466005,null
118394426706,R-0,476193,476842,null
118394426706,R-0,487050,487622,null
118394426706,R-0,497815,498380,null
118394426706,R-0,508923,509563,null
118394426706,R-0,519745,520393,null
118394426706,R-0,530642,531252,null
118394426706,R-0,541669,542453,null
118394426706,R-0,552642,553285,null
118394426706,R-0,563534,564196,null
118394426706,R-0,574383,575271,null
118394426706,R-0,585450,587813,null
118394426706,R-0,598019,598535,null
118394426706,R-0,608720,609421,null
118394426706,R-0,619555,620360,null
118394426706,R-0,630556,631380,null
118394426706,R-0,641566,642228,null
118394426706,R-0,652416,653137,null
118394426706,R-0,663367,664112,null
118394426706,R-0,674277,674955,null
118394426706,R-0,685155,685804,null
118394426706,R-0,696038,696554,null
118394426706,R-0,706804,707501,null
118394426706,R-0,717685,718433,null
118394426706,R-0,728621,729147,null
118394426706,R-0,739462,740120,null
118394426706,R-0,750476,751260,null
118394426706,R-0,761497,762266,null
118394426706,R-0,772460,773149,null
118394426706,R-0,783446,784148,null
118394426706,R-0,794396,795082,null
118394426706,R-0,805359,806063,null
118394426706,R-0,816320,817254,null
118394426706,R-0,827408,828367,null
118394426706,R-0,838803,839526,null
118394426706,R-0,849708,850481,null
118394426706,R-0,860649,861331,null
118394426706,R-0,871547,872195,null
118394426706,R-0,882427,882985,null
118394426706,R-0,893243,894099,null
118394426706,R-0,904610,905213,null
118394426706,R-0,915413,916070,null
118394426706,R-0,926562,927382,null
118394426706,R-0,937602,938247,null
118394426706,R-0,948460,949245,null
118394426706,R-0,959699,960441,null
118394426706,R-0,970629,971455,null
118394426706,R-0,981734,982412,null
118394426706,R-0,992621,993352,null
118394426706,R-0,1003565,1004438,null
118394426706,R-0,1014802,1015405,null
118394426706,R-0,1025651,1026347,null
118394426706,R-0,1036867,1037593,null
118394426706,R-0,1047888,1048453,null
118394426706,R-0,1058629,1059087,null
118394426706,R-0,1069270,1069948,null
118394426706,R-0,1080666,1081292,null
118394426706,R-0,1091561,1092027,null
118394426706,R-0,1102253,1102840,null
118394426706,R-0,1113023,1113532,null
118394426706,R-0,1123723,1124246,null
118394426706,R-0,1134519,1135058,null
118394426706,R-0,1145279,1145873,null
118394426706,R-0,1156066,1156740,null
118394426706,R-0,1166929,1167585,null
118394426706,R-0,1177768,1178351,null
118394426706,R-0,1191093,1191852,null
118394426706,R-0,1202221,1203783,null
118394426706,R-0,1214222,1214926,null
118394426706,R-0,1225574,1226785,null
118394426706,R-0,1236972,1237535,null
118394426706,R-0,1247828,1248357,null
118394426706,R-0,1258794,1259390,null
118394426706,R-0,1269555,1270498,null
118394426706,R-0,1280729,1281425,null
118394426706,R-0,1291500,1292028,null
118394426706,R-0,1302195,1303009,null
118394426706,R-0,1313058,1313658,null
118394426706,R-0,1323821,1324483,null
118394426706,R-0,1337683,1338485,null
118394426706,R-0,1348636,1349433,null
118394426706,R-0,1359612,1360424,null
118394426706,R-0,1370707,1371415,null
118394426706,R-0,1381616,1382330,null
118394426706,R-0,1392429,1393050,null
118394426706,R-0,1403453,1404270,null
118394426706,R-0,1414566,1415273,null
118394426706,R-0,1425472,1426198,null
118394426706,R-0,1436395,1437102,null
118394426706,R-0,1447408,1448078,null
118394426706,R-0,1458447,1459143,null
118394426706,R-0,1469722,1470540,null
118394426706,R-0,1480713,1481431,null
118394426706,R-0,1491757,1492342,null
118394426706,R-0,1502593,1503417,null
118394426706,R-0,1513596,1514189,null
118394426706,R-0,1524606,1525896,null
118394426706,R-0,1537214,1538952,null
118394426706,R-0,1549434,1557576,null
118394426706,R-0,1567771,1568598,null
118394426706,R-0,1578786,1579271,null
118394426706,R-0,1589517,1590111,null
118394426706,R-0,1627823,1628768,null
118394426706,R-0,1639180,1640031,null
118394426706,R-0,1702403,1708952,null
118394426706,R-0,1750810,1752497,null
118394426706,R-0,1793888,null,null
118394426706,R-1,2192,3097,null
118394426706,R-1,13367,14084,null
118394426706,R-1,24284,25365,null
118394426706,R-1,35564,36426,null
118394426706,R-1,46604,47538,null
118394426706,R-1,57740,58646,null
118394426706,R-1,68865,69656,null
118394426706,R-1,79881,80634,null
118394426706,R-1,90867,91848,null
118394426706,R-1,102031,103049,null
118394426706,R-1,113250,114048,null
118394426706,R-1,124337,125337,null
118394426706,R-1,135568,136497,null
118394426706,R-1,146696,147481,null
118394426706,R-1,157717,158458,null
118394426706,R-1,168643,169399,null
118394426706,R-1,179675,180476,null
118394426706,R-1,190669,191421,null
118394426706,R-1,201612,202228,null
118394426706,R-1,212410,213097,null
118394426706,R-1,223273,223955,null
118394426706,R-1,234151,234990,null
118394426706,R-1,245181,246178,null
118394426706,R-1,256453,257087,null
118394426706,R-1,267285,267883,null
118394426706,R-1,278100,278777,null
118394426706,R-1,288969,289817,null
118394426706,R-1,300010,300727,null
118394426706,R-1,310911,311512,null
118394426706,R-1,321705,322420,null
118394426706,R-1,332632,333398,null
118394426706,R-1,343694,344439,null
118394426706,R-1,354636,355645,null
118394426706,R-1,365831,366456,null
118394426706,R-1,376661,377390,null
118394426706,R-1,387616,388331,null
118394426706,R-1,398571,399253,null
118394426706,R-1,409611,410471,null
118394426706,R-1,420704,421487,null
118394426706,R-1,431712,432415,null
118394426706,R-1,442656,443366,null
118394426706,R-1,453572,454187,null
118394426706,R-1,464390,465002,null
118394426706,R-1,475515,476450,null
118394426706,R-1,486641,487281,null
118394426706,R-1,497518,498069,null
118394426706,R-1,508447,509117,null
118394426706,R-1,519340,520053,null
118394426706,R-1,530423,531079,null
118394426706,R-1,541440,542148,null
118394426706,R-1,552430,553423,null
118394426706,R-1,563749,564460,null
118394426706,R-1,574645,575451,null
118394426706,R-1,585633,586547,null
118394426706,R-1,596736,597436,null
118394426706,R-1,607616,608337,null
118394426706,R-1,618532,619358,null
118394426706,R-1,629602,630265,null
118394426706,R-1,640456,641222,null
118394426706,R-1,651402,652208,null
118394426706,R-1,662398,663106,null
118394426706,R-1,673335,673957,null
118394426706,R-1,684212,684999,null
118394426706,R-1,695480,696241,null
118394426706,R-1,706411,707068,null
118394426706,R-1,717258,717944,null
118394426706,R-1,728373,728944,null
118394426706,R-1,739212,740267,null
118394426706,R-1,750419,751460,null
118394426706,R-1,761756,762557,null
118394426706,R-1,772749,773453,null
118394426706,R-1,783823,784852,null
118394426706,R-1,795264,795898,null
118394426706,R-1,806188,806838,null
118394426706,R-1,817032,817639,null
118394426706,R-1,827878,831059,null
118394426706,R-1,841518,842212,null
118394426706,R-1,852394,853429,null
118394426706,R-1,863610,864343,null
118394426706,R-1,874536,875169,null
118394426706,R-1,885391,885922,null
118394426706,R-1,896396,897197,null
118394426706,R-1,907449,908203,null
118394426706,R-1,918449,919092,null
118394426706,R-1,929393,930146,null
118394426706,R-1,940425,941109,null
118394426706,R-1,951412,953335,null
118394426706,R-1,963516,964263,null
118394426706,R-1,974446,975140,null
118394426706,R-1,985442,986341,null
118394426706,R-1,996541,997480,null
118394426706,R-1,1007871,1008787,null
118394426706,R-1,1019034,1019679,null
118394426706,R-1,1029877,1030409,null
118394426706,R-1,1041041,1041764,null
118394426706,R-1,1051988,1052670,null
118394426706,R-1,1062899,1063539,null
118394426706,R-1,1073859,1074424,null
118394426706,R-1,1084612,1085985,null
118394426706,R-1,1096165,1096885,null
118394426706,R-1,1107054,1107751,null
118394426706,R-1,1117934,1119430,null
118394426706,R-1,1129982,1131080,null
118394426706,R-1,1141345,1142151,null
118394426706,R-1,1152370,1153264,null
118394426706,R-1,1163876,1165378,null
118394426706,R-1,1175657,1176369,null
118394426706,R-1,1187484,1191596,null
118394426706,R-1,1201964,1202881,null
118394426706,R-1,1213058,1213715,null
118394426706,R-1,1223894,1224718,null
118394426706,R-1,1234897,1235529,null
118394426706,R-1,1245747,1246401,null
118394426706,R-1,1256578,1257240,null
118394426706,R-1,1267423,1268004,null
118394426706,R-1,1278240,1279068,null
118394426706,R-1,1289244,1289938,null
118394426706,R-1,1300121,1300759,null
118394426706,R-1,1310939,1311488,null
118394426706,R-1,1321722,1322347,null
118394426706,R-1,1332544,1334572,null
118394426706,R-1,1344800,1345462,null
118394426706,R-1,1355679,1356361,null
118394426706,R-1,1366586,1367379,null
118394426706,R-1,1377556,1378195,null
118394426706,R-1,1388379,1388999,null
118394426706,R-1,1399186,1399799,null
118394426706,R-1,1409980,1410817,null
118394426706,R-1,1421558,1422245,null
118394426706,R-1,1432403,1432940,null
118394426706,R-1,1443121,1444112,null
118394426706,R-1,1454515,1455186,null
118394426706,R-1,1465492,1466123,null
118394426706,R-1,1476289,1476907,null
118394426706,R-1,1487142,1487638,null
118394426706,R-1,1498124,1499006,null
118394426706,R-1,1509378,1510105,null
118394426706,R-1,1520278,1520857,null
118394426706,R-1,1531346,1532956,null
118394426706,R-1,1543264,1548153,null
118394426706,R-1,1558436,1559273,null
118394426706,R-1,1569489,1571968,null
