,W-0,R-0,R-1,R-2,R-3,R-4,
124937279935,1,2,1,1,1,1,
124937779935,1,2,1,1,1,1,
124938779935,1,2,1,1,1,1,
124939779935,1,2,2,1,1,1,
124940779935,1,1,1,1,1,1,
124944279935,1,2,1,1,1,1,
124944779935,1,1,1,1,1,1,
124945779935,1,2,2,1,1,1,
124949779935,1,2,1,1,1,1,
124952279935,1,2,1,1,1,1,
124953279935,1,2,1,1,1,1,
124954779935,1,2,1,1,1,2,
124955279935,1,2,1,1,1,1,
124955779935,1,2,1,1,1,1,
124958779935,1,1,2,1,1,1,
124959279935,1,1,1,1,1,1,
124959779935,1,2,1,1,1,1,
124960279935,1,2,1,2,2,1,
124961279935,1,2,1,1,1,1,
124964279935,1,2,1,1,1,1,
124966279935,1,1,2,1,1,1,
124966779935,1,1,1,1,1,1,
124967279935,1,2,2,2,1,1,
124968779935,1,2,1,1,1,1,
124969279935,1,2,1,1,1,1,
124971779935,1,2,2,1,1,1,
124972779935,1,2,2,2,2,2,
124973279935,1,2,1,1,2,1,
124975279935,1,2,1,1,1,1,
124976279935,1,1,1,1,1,1,
124976779935,1,2,2,1,2,2,
124977779935,1,2,1,1,1,1,
124978779935,1,2,1,1,1,1,
124979279935,1,2,2,1,1,1,
124980779935,1,2,2,2,2,1,
124982279935,1,2,2,1,1,1,
124982779935,1,2,1,1,1,1,
124985279935,1,1,1,1,1,1,
124985779935,1,2,1,1,1,1,
124986279935,1,2,1,1,1,1,
124987279935,1,1,1,1,1,1,
124987779935,1,1,1,1,1,1,
124988279935,1,2,1,1,1,1,
124989779935,1,2,2,1,1,1,
124990279935,1,2,1,1,1,1,
124991279935,1,2,1,1,1,1,
124991779935,1,1,1,1,1,1,
124992779935,1,2,1,1,1,1,
124993279935,1,1,1,1,1,1,
124993779935,1,2,1,1,1,1,
124994279935,1,2,1,1,1,1,
124995779935,1,2,1,1,1,1,
124997779935,1,2,1,1,1,1,
124998779935,1,2,1,1,1,1,
124999279935,1,2,2,1,1,1,
124999779935,1,2,1,1,2,2,
125000279935,1,2,1,1,1,1,
125001779935,1,2,1,1,1,1,
125004279935,1,2,2,1,2,1,
125004779935,1,2,1,1,1,1,
125005279935,1,2,1,1,1,1,
125006279935,1,2,1,1,1,1,
125007279935,1,1,1,1,1,1,
125007779935,1,2,1,1,1,1,
125008279935,1,2,1,1,1,1,
125008779935,1,2,1,1,1,1,
125009779935,1,2,1,1,1,1,
125011279935,1,1,1,1,1,1,
125011779935,1,2,1,1,1,1,
125012279935,1,2,1,1,1,1,
125012779935,1,1,1,2,2,1,
125014279935,1,2,2,1,1,1,
125015279935,1,2,2,1,1,1,
125015779935,1,2,2,1,1,1,
125016279935,1,2,2,1,1,1,
125016779935,1,2,2,1,2,1,
125017779935,1,2,1,1,1,1,
125018279935,1,2,2,1,1,2,
125022279935,1,1,1,1,1,1,
125022779935,1,2,1,1,1,1,
125024779935,1,2,1,1,1,1,
125025279935,1,2,1,1,1,1,
125025779935,1,2,2,1,1,1,
125026279935,1,2,1,1,1,1,
125027779935,1,2,1,1,1,1,
125028779935,1,1,2,1,1,1,
125031279935,1,1,2,1,1,1,
125031779935,1,1,1,2,1,1,
125032279935,1,2,1,1,1,1,
125032779935,1,1,1,1,1,1,
125033779935,1,1,2,2,2,2,
125034279935,1,1,1,1,1,1,
125034779935,1,2,1,2,1,1,
125038279935,1,2,1,1,1,1,
125038779935,1,2,1,2,2,1,
125039779935,1,1,2,1,2,1,
125042279935,1,2,1,1,1,1,
125042779935,1,2,1,1,1,1,
125044279935,1,2,2,1,1,1,
125045279935,1,2,1,1,1,1,
125045779935,1,2,1,1,1,1,
125046279935,1,2,1,1,1,1,
125047279935,1,1,2,1,1,1,
125048279935,1,2,1,1,1,1,
125049279935,1,2,1,1,1,1,
125050779935,1,2,1,1,1,1,
125051279935,1,2,1,1,1,1,
125052279935,1,2,1,1,1,1,
125052779935,1,2,1,1,1,1,
125053279935,1,2,1,1,1,1,
125053779935,1,1,2,1,1,1,
125054779935,1,2,1,1,1,1,
125055779935,1,2,1,1,1,1,
125056279935,1,2,1,1,1,1,
125056779935,1,2,1,2,2,2,
125057279935,1,2,1,1,1,1,
125059779935,1,1,2,2,1,1,
125060279935,1,2,1,1,1,1,
125062279935,1,1,2,1,1,1,
125062779935,1,2,1,2,1,1,
125063279935,1,1,1,1,1,1,
125064279935,1,2,1,1,1,1,
125064779935,1,2,1,1,1,1,
125068779935,1,2,1,1,1,1,
125069279935,1,1,1,1,1,1,
125070279935,1,2,1,1,1,1,
125072779935,1,2,1,1,1,2,
125073779935,1,2,1,2,2,1,
125074779935,1,2,2,1,1,1,
125076779935,1,2,1,1,1,1,
125077279935,1,2,1,1,1,1,
125077779935,1,2,1,1,1,1,
125078279935,1,1,1,1,1,1,
125079279935,1,2,1,1,1,1,
125079779935,1,2,1,1,1,1,
125080279935,1,2,1,1,1,1,
125081279935,1,2,1,1,1,1,
125081779935,1,1,1,1,1,1,
125082779935,1,2,2,1,1,2,
125083279935,1,2,1,1,1,1,
125083779935,1,2,1,1,1,1,
125085279935,1,2,2,1,1,1,
125086279935,1,2,1,1,1,1,
125088279935,1,2,1,1,1,2,
125088779935,1,2,1,1,1,1,
125089279935,1,2,2,1,1,1,
125089779935,1,2,2,1,1,1,
125090779935,1,2,2,2,2,2,
125091779935,1,2,2,2,1,1,
125092279935,1,2,1,1,1,1,
125093279935,1,2,1,1,1,1,
125093779935,1,2,1,1,1,1,
125094279935,1,2,1,1,2,1,
125094779935,1,2,1,1,1,1,
125095779935,1,2,1,1,1,1,
125096279935,1,2,2,2,2,1,
125097279935,1,2,1,2,1,2,
125097779935,1,2,1,1,1,1,
125098779935,1,2,1,1,1,2,
125099279935,1,1,1,1,1,1,
125100279935,1,2,2,1,1,1,
125100779935,1,2,1,1,1,1,
125103779935,1,2,1,1,1,1,
125105779935,1,2,1,2,1,1,
125106779935,1,1,1,1,1,1,
125107279935,1,2,1,1,1,1,
125107779935,1,2,1,1,1,1,
125108779935,1,1,1,1,1,1,
125109779935,1,1,2,1,1,1,
125110279935,1,2,1,1,2,1,
125110779935,1,2,1,2,1,1,
125111279935,1,2,1,1,1,1,
125111779935,1,2,1,1,1,1,
125113279935,1,2,1,1,1,1,
125114279935,1,2,2,1,1,1,
125114779935,1,1,1,1,1,1,
125117279935,1,1,1,1,1,1,
125118279935,1,2,1,1,1,1,
125119779935,1,2,2,1,2,2,
125120779935,1,2,2,1,1,1,
125121279935,1,1,2,1,1,2,
125122779935,1,2,1,1,1,2,
125125279935,1,2,1,2,1,1,
125125779935,1,1,1,1,1,1,
125126279935,1,1,2,1,1,2,
125127779935,1,1,1,1,1,1,
125128279935,1,1,1,1,1,1,
125130279935,1,2,1,1,1,1,
125130779935,1,1,1,1,1,1,
125131279935,1,2,1,1,1,1,
125132279935,1,1,1,1,1,1,
125133279935,1,2,1,1,1,1,
125133779935,1,1,1,1,1,1,
125134279935,1,2,1,1,1,1,
125134779935,1,2,1,1,1,1,
125135279935,1,2,1,1,1,1,
125135779935,1,2,1,1,1,1,
125136279935,1,2,1,1,2,1,
125137779935,1,2,1,1,1,1,
125139279935,1,1,1,1,1,1,
125141279935,1,2,1,1,1,1,
125142779935,1,1,1,1,1,1,
125143279935,1,2,1,2,1,1,
125144779935,1,2,1,1,1,1,
125145279935,1,1,1,1,1,1,
125147279935,1,2,2,1,1,1,
125148279935,1,2,1,1,1,1,
125149279935,1,2,1,1,1,1,
125149779935,1,2,1,1,1,1,
125150779935,1,2,1,1,1,1,
125151779935,1,1,1,1,1,1,
125152279935,1,2,2,1,2,1,
125152779935,1,2,1,1,1,1,
125155279935,1,2,1,1,1,1,
125158779935,1,2,1,1,1,1,
125159279935,1,2,1,1,1,1,
125159779935,1,2,1,1,1,1,
125160779935,1,2,1,1,1,1,
125161779935,1,2,2,1,1,2,
125162279935,1,2,1,1,2,1,
125163279935,1,1,1,1,1,1,
125163779935,1,2,2,1,1,1,
125164279935,1,2,1,1,1,1,
125164779935,1,2,1,1,1,1,
125166779935,1,2,1,1,1,1,
125167279935,1,2,1,1,1,1,
125168779935,1,1,1,1,1,1,
125169779935,1,1,1,1,1,1,
125175279935,1,2,1,1,1,1,
125177279935,1,1,1,1,1,1,
125178779935,1,2,1,1,1,1,
125181279935,1,2,1,1,1,1,
125183779935,1,2,2,1,1,1,
125184279935,1,2,2,1,2,1,
125184779935,1,2,1,1,1,1,
125185279935,1,2,1,1,1,1,
125186779935,1,2,2,1,1,2,
125187279935,1,1,2,1,1,1,
125187779935,1,1,1,1,1,1,
125188779935,1,2,2,2,2,2,
125189279935,1,1,1,2,1,1,
125189779935,1,2,1,1,1,1,
125190279935,1,1,1,1,1,1,
125191279935,1,2,1,1,1,1,
125191779935,1,2,1,1,1,1,
125192279935,1,2,1,1,1,1,
125192779935,1,1,1,1,1,1,
125193279935,1,2,2,1,1,1,
125193779935,1,1,2,1,1,1,
125195279935,1,2,1,1,1,1,
125195779935,1,2,1,1,1,1,
125197779935,1,1,1,1,1,1,
125198279935,1,1,1,1,1,1,
125199779935,1,2,1,1,1,1,
125200779935,1,2,2,1,1,1,
125203279935,1,2,1,1,1,1,
125203779935,1,2,1,2,1,1,
125204779935,1,2,2,2,2,2,
125206279935,1,2,1,1,1,1,
125207279935,1,1,2,1,1,1,
125209279935,1,2,1,2,1,1,
125209779935,1,2,1,1,1,1,
125210279935,1,2,1,1,1,1,
125210779935,1,2,1,2,1,2,
125211279935,1,2,1,1,1,1,
125212279935,1,1,1,1,1,1,
125213279935,1,2,1,1,1,1,
125213779935,1,2,2,2,1,2,
125214779935,1,2,1,2,1,1,
125215779935,1,1,1,1,1,1,
125216779935,1,1,1,1,1,1,
125217279935,1,1,1,1,1,1,
125219279935,1,2,1,1,1,1,
125219779935,1,1,2,2,2,1,
125220279935,1,1,1,1,1,1,
125220779935,1,2,1,1,1,1,
125222279935,1,2,1,1,1,1,
125222779935,1,2,1,1,1,1,
125224779935,1,2,1,1,2,1,
125225279935,1,2,1,1,1,1,
125227279935,1,2,1,1,1,1,
125228279935,1,2,1,1,1,1,
125228779935,1,2,1,1,1,1,
125229279935,1,2,1,1,1,1,
125229779935,1,2,1,1,1,1,
125230279935,1,2,1,1,1,2,
125231779935,1,1,1,1,1,1,
125233279935,1,2,1,1,1,1,
125233779935,1,2,1,1,1,1,
125234779935,1,2,1,1,1,1,
125235779935,1,2,2,1,1,1,
125236279935,1,2,1,1,2,1,
125238279935,1,2,1,1,1,1,
125238779935,1,2,2,2,2,2,
125239279935,1,2,1,1,1,1,
125239779935,1,1,1,1,1,1,
125240779935,1,1,1,1,1,1,
125242279935,1,2,1,1,1,1,
125243279935,1,1,1,1,1,1,
125243779935,1,2,1,1,1,1,
125244279935,1,1,1,1,1,1,
125244779935,1,2,1,1,1,1,
125245279935,1,2,1,1,1,1,
125246779935,1,2,2,1,1,1,
125247779935,1,1,1,1,1,1,
125248279935,1,1,1,1,1,1,
125249279935,1,2,1,1,1,1,
125249779935,1,2,2,1,1,2,
125250279935,1,2,2,2,2,2,
125251779935,1,2,1,1,1,1,
125252279935,1,2,1,2,2,1,
125253279935,1,2,1,1,1,1,
125254779935,1,2,1,1,1,1,
125255779935,1,2,1,1,1,1,
125256279935,1,1,1,1,1,1,
125256779935,1,2,1,1,1,1,
125258279935,1,1,2,1,1,1,
125258779935,1,1,1,2,1,1,
125260279935,1,2,2,1,1,1,
125261279935,1,1,1,1,1,1,
125261779935,1,1,1,1,1,1,
125262779935,1,1,1,1,1,1,
125263779935,1,2,2,2,1,1,
125264279935,1,2,2,1,1,1,
125264779935,1,2,2,2,1,1,
125266779935,1,2,1,1,1,1,
125267779935,1,2,1,1,1,1,
125268279935,1,2,1,1,1,1,
125268779935,1,2,2,1,1,1,
125269279935,1,2,1,1,1,1,
125270279935,1,2,1,1,1,1,
125270779935,1,2,1,1,1,1,
125271279935,1,2,1,1,1,1,
125271779935,1,2,1,1,1,1,
125272279935,1,1,1,1,1,1,
125272779935,1,2,1,1,1,1,
125273279935,1,2,2,1,1,1,
125273779935,1,1,2,1,1,1,
125274279935,1,2,1,1,1,2,
125274779935,1,1,2,1,1,1,
125275279935,1,2,2,2,1,2,
125276779935,1,2,1,1,1,1,
125278279935,1,2,1,1,1,1,
125278779935,1,2,2,1,1,1,
125279279935,1,1,1,1,1,1,
125279779935,1,2,1,1,1,2,
125280279935,1,2,1,1,1,1,
125281279935,1,2,1,1,1,1,
125281779935,1,2,2,1,1,1,
125285279935,1,2,1,1,1,1,
125285779935,1,1,1,1,1,1,
125286279935,1,1,2,1,1,1,
125286779935,1,2,1,1,1,1,
125287779935,1,2,1,1,1,1,
125288279935,1,1,1,2,1,2,
125288779935,1,2,2,1,1,1,
125290279935,1,2,2,2,1,1,
125293279935,1,2,2,1,1,1,
125295279935,1,2,1,1,1,1,
125297279935,1,1,1,1,1,1,
125297779935,1,2,1,1,1,1,
125298279935,1,2,1,1,1,1,
125299279935,1,2,2,1,1,1,
125299779935,1,2,2,1,1,1,
125301279935,1,2,2,2,2,2,
125302779935,1,1,1,1,1,1,
125303279935,1,1,1,1,1,1,
125304279935,1,2,1,1,1,1,
125305279935,1,2,1,1,1,1,
125305779935,1,2,1,1,1,1,
125306779935,1,1,1,1,1,1,
125308779935,1,2,1,1,1,1,
125309279935,1,2,1,1,1,1,
125309779935,1,2,1,1,1,1,
125310279935,1,1,1,2,2,1,
125311779935,1,2,2,1,1,1,
125313279935,1,2,1,1,1,1,
125313779935,1,2,1,1,1,1,
125314779935,1,2,2,1,1,1,
125315779935,1,2,1,1,1,1,
125316279935,1,2,1,1,1,1,
125316779935,1,2,2,1,1,1,
125317779935,1,2,1,1,1,1,
125318279935,1,2,2,1,1,1,
125318779935,1,2,1,1,1,1,
125319279935,1,2,1,1,1,1,
125319779935,1,2,1,1,1,1,
125320279935,1,2,1,1,1,1,
125321279935,1,2,1,2,1,1,
125321779935,1,2,2,2,2,2,
125322279935,1,1,1,1,1,1,
125322779935,1,1,1,1,1,1,
125324779935,1,2,1,1,1,1,
125325779935,1,2,1,1,1,1,
125326779935,1,2,2,1,1,1,
125328779935,1,1,1,1,1,1,
125331279935,1,2,1,1,1,1,
125332279935,1,2,1,1,1,1,
125332779935,1,1,2,1,1,2,
125333279935,1,2,1,1,1,1,
125334279935,1,2,1,1,1,1,
125335279935,1,2,1,1,1,1,
125335779935,1,2,2,2,1,1,
125336279935,1,2,1,1,1,1,
125336779935,1,2,2,1,2,1,
125337279935,1,2,1,1,1,1,
125338279935,1,2,1,1,2,1,
125338779935,1,2,1,1,1,1,
125340279935,1,2,1,2,1,2,
125341279935,1,2,2,2,1,1,
125345779935,1,2,1,1,1,1,
125346279935,1,2,1,2,1,1,
125347279935,1,2,1,1,2,1,
125347779935,1,1,1,1,1,1,
125348279935,1,1,1,1,1,1,
125349279935,1,1,2,1,1,1,
125350779935,1,2,2,1,1,1,
125351279935,1,2,1,1,1,1,
125352279935,1,2,2,2,1,1,
125352779935,1,2,2,1,1,1,
125353279935,1,2,1,1,2,1,
125353779935,1,2,1,1,1,1,
125354279935,1,2,2,1,1,1,
125355279935,1,2,2,1,2,1,
125355779935,1,2,2,1,1,1,
125356279935,1,2,1,1,1,1,
125356779935,1,1,1,1,1,1,
125357279935,1,2,2,1,1,1,
125357779935,1,2,1,1,1,1,
125360779935,1,2,1,1,1,1,
125361779935,1,2,1,1,1,1,
125362279935,1,2,1,1,1,1,
125362779935,1,2,1,1,1,1,
125364279935,1,2,1,1,1,1,
125364779935,1,2,1,1,1,1,
125367279935,1,2,1,1,1,1,
125369279935,1,1,1,1,1,1,
125370279935,1,1,2,1,1,1,
