,W-0,R-0,R-1,R-2,R-3,R-4,
126126696843,1,2,1,1,1,1,
126127196843,1,1,1,1,1,1,
126128196843,1,1,1,1,1,1,
126129196843,1,1,1,1,1,1,
126130196843,1,2,1,1,1,1,
126133696843,1,2,1,1,1,1,
126134196843,1,1,1,1,1,1,
126135196843,1,1,1,1,1,1,
126139196843,1,2,1,1,1,1,
126141696843,1,1,1,1,1,1,
126142696843,1,2,1,1,1,1,
126144196843,1,2,1,1,1,1,
126144696843,1,2,1,1,1,1,
126145196843,1,2,1,1,1,1,
126148196843,1,2,1,1,1,1,
126148696843,1,2,1,1,1,1,
126149196843,1,1,1,1,1,1,
126149696843,1,1,1,1,1,1,
126150696843,1,2,1,1,1,1,
126153696843,1,1,1,1,1,1,
126155696843,1,1,1,1,1,1,
126156196843,1,1,1,1,1,1,
126156696843,1,1,1,1,1,1,
126158196843,1,2,2,2,2,2,
126158696843,1,1,1,1,1,1,
126161196843,1,1,1,1,1,1,
126162196843,1,1,1,1,1,1,
126162696843,1,1,1,1,1,1,
126164696843,1,1,1,1,1,1,
126165696843,1,1,1,1,1,1,
126166196843,1,2,1,1,1,1,
126167196843,1,2,1,1,1,1,
126168196843,1,2,1,1,1,1,
126168696843,1,2,1,1,1,1,
126170196843,1,2,1,1,1,1,
126171696843,1,2,1,1,1,1,
126172196843,1,2,1,1,1,1,
126174696843,1,2,1,1,1,1,
126175196843,1,2,2,2,2,2,
126175696843,1,2,2,2,2,2,
126176696843,1,1,1,1,1,1,
126177196843,1,1,1,1,1,1,
126177696843,1,2,2,2,2,2,
126179196843,1,2,1,1,1,1,
126179696843,1,2,1,1,1,1,
126180696843,1,1,1,1,1,1,
126181196843,1,2,1,1,1,1,
126182196843,1,2,1,1,1,1,
126182696843,1,1,1,1,1,1,
126183196843,1,2,1,1,1,1,
126183696843,1,1,1,1,1,1,
126185196843,1,1,1,1,1,1,
126187196843,1,2,1,1,1,1,
126188196843,1,1,1,1,1,1,
126188696843,1,1,1,1,1,1,
126189196843,1,2,1,1,1,1,
126189696843,1,2,1,1,1,1,
126191196843,1,2,1,1,1,1,
126193696843,1,2,1,1,1,1,
126194196843,1,2,1,1,1,1,
126194696843,1,1,1,1,1,1,
126195696843,1,1,1,1,1,1,
126196696843,1,2,1,1,1,1,
126197196843,1,2,1,1,1,1,
126197696843,1,1,1,1,1,1,
126198196843,1,1,1,1,1,1,
126199196843,1,2,1,1,1,1,
126200696843,1,2,1,1,1,1,
126201196843,1,1,1,1,1,1,
126201696843,1,2,1,1,1,1,
126202196843,1,2,1,1,1,1,
126203696843,1,1,1,1,1,1,
126204696843,1,1,1,1,1,1,
126205196843,1,2,1,1,1,1,
126205696843,1,2,1,1,1,1,
126206196843,1,2,1,1,1,1,
126207196843,1,1,1,1,1,1,
126207696843,1,1,1,1,1,1,
126211696843,1,2,1,1,1,1,
126212196843,1,1,1,1,1,1,
126214196843,1,1,1,1,1,1,
126214696843,1,2,1,1,1,1,
126215196843,1,1,1,1,1,1,
126215696843,1,1,1,1,1,1,
126217196843,1,2,1,1,1,1,
126218196843,1,1,1,1,1,1,
126220696843,1,1,1,1,1,1,
126221196843,1,2,1,1,1,1,
126221696843,1,1,1,1,1,1,
126222196843,1,1,1,1,1,1,
126223196843,1,2,1,1,1,1,
126223696843,1,1,1,1,1,1,
126224196843,1,2,1,1,1,1,
126227696843,1,2,1,1,1,1,
126228196843,1,2,1,1,1,1,
126229196843,1,2,1,1,1,1,
126231696843,1,2,1,1,1,1,
