,W-0,R-0,R-1,R-2,R-3,R-4,
127318000212,1,1,1,1,1,1,
127318500212,1,2,1,1,1,1,
127319500212,1,1,1,1,1,1,
127320500212,1,1,1,1,1,1,
127321500212,1,1,1,1,1,1,
127325000212,1,1,1,1,1,1,
127325500212,1,1,1,1,1,1,
127326500212,1,2,1,1,1,1,
127330500212,1,2,1,1,1,1,
127333000212,1,1,1,1,1,1,
127334000212,1,1,1,1,1,1,
127335500212,1,1,1,1,1,1,
127336000212,1,1,1,1,1,1,
127336500212,1,1,1,1,1,1,
127339500212,1,1,1,1,1,1,
127340000212,1,1,1,1,1,1,
127340500212,1,2,1,1,1,1,
127341000212,1,1,1,1,1,1,
127342000212,1,1,1,1,1,1,
127345000212,1,1,1,1,1,1,
127347000212,1,1,1,1,1,1,
127347500212,1,2,1,1,1,1,
127348000212,1,1,1,1,1,1,
127349500212,1,1,1,1,1,1,
127350000212,1,2,1,1,1,1,
127352500212,1,2,1,1,1,1,
127353500212,1,1,1,1,1,1,
127354000212,1,1,1,1,1,1,
127356000212,1,1,1,1,1,1,
127357000212,1,1,1,1,1,1,
127357500212,1,1,1,1,1,1,
127358500212,1,1,1,1,1,1,
127359500212,1,1,1,1,1,1,
127360000212,1,2,1,1,1,1,
127361500212,1,1,1,1,1,1,
127363000212,1,1,1,1,1,1,
127363500212,1,1,1,1,1,1,
127366000212,1,1,1,1,1,1,
127366500212,1,2,1,1,1,1,
127367000212,1,2,1,1,1,1,
127368000212,1,1,1,1,1,1,
127368500212,1,1,1,1,1,1,
127369000212,1,1,1,1,1,1,
127370500212,1,1,1,1,1,1,
127371000212,1,2,1,1,1,1,
127372000212,1,2,1,1,1,1,
127372500212,1,1,1,1,1,1,
127373500212,1,1,1,1,1,1,
127374000212,1,1,1,1,1,1,
127374500212,1,2,1,1,1,1,
127375000212,1,1,1,1,1,1,
127376500212,1,2,1,1,1,1,
127378500212,1,1,1,1,1,1,
127379500212,1,2,1,1,1,1,
127380000212,1,1,1,1,1,1,
127380500212,1,2,1,1,1,1,
127381000212,1,2,1,1,1,1,
127382500212,1,1,1,1,1,1,
127385000212,1,2,1,1,1,1,
127385500212,1,1,1,1,1,1,
127386000212,1,1,1,1,1,1,
127387000212,1,1,1,1,1,1,
127388000212,1,2,1,1,1,1,
127388500212,1,1,1,1,1,1,
127389000212,1,2,1,1,1,1,
127389500212,1,2,1,1,1,1,
127390500212,1,1,1,1,1,1,
127392000212,1,1,1,1,1,1,
127392500212,1,1,1,1,1,1,
127393000212,1,1,1,1,1,1,
127393500212,1,1,1,1,1,1,
127395000212,1,1,1,1,1,1,
127396000212,1,2,1,1,1,1,
127396500212,1,1,1,1,1,1,
127397000212,1,1,1,1,1,1,
127397500212,1,1,1,1,1,1,
127398500212,1,2,1,1,1,1,
127399000212,1,1,1,1,1,1,
127403000212,1,1,1,1,1,1,
127403500212,1,1,1,1,1,1,
127405500212,1,1,1,1,1,1,
127406000212,1,1,1,1,1,1,
127406500212,1,1,1,1,1,1,
127407000212,1,2,1,1,1,1,
127408500212,1,1,1,1,1,1,
127409500212,1,1,1,1,1,1,
127412000212,1,1,1,1,1,1,
127412500212,1,1,1,1,1,1,
127413000212,1,1,1,1,1,1,
127413500212,1,1,1,1,1,1,
127414500212,1,1,1,1,1,1,
127415000212,1,1,1,1,1,1,
127415500212,1,1,1,1,1,1,
127419000212,1,2,1,1,1,1,
127419500212,1,1,1,1,1,1,
127420500212,1,2,1,1,1,1,
127423000212,1,1,1,1,1,1,
127423500212,1,1,1,1,1,1,
127425000212,1,1,1,1,1,1,
127426000212,1,1,1,1,1,1,
127426500212,1,1,1,1,1,1,
127427000212,1,1,1,1,1,1,
127428000212,1,1,1,1,1,1,
127429000212,1,1,1,1,1,1,
127430000212,1,2,1,1,1,1,
127431500212,1,1,1,1,1,1,
127432000212,1,1,1,1,1,1,
127433000212,1,1,1,1,1,1,
127433500212,1,2,1,1,1,1,
127434000212,1,2,1,1,1,1,
127434500212,1,1,1,1,1,1,
127435500212,1,2,1,1,1,1,
127436500212,1,2,1,1,1,1,
127437000212,1,2,1,1,1,1,
127437500212,1,2,1,1,1,1,
127438000212,1,1,1,1,1,1,
127440500212,1,1,1,1,1,1,
127441000212,1,1,1,1,1,1,
127443000212,1,1,1,1,1,1,
127443500212,1,1,1,1,1,1,
127444000212,1,2,1,1,1,1,
127445000212,1,1,1,1,1,1,
127445500212,1,1,1,1,1,1,
127449500212,1,1,1,1,1,1,
127450000212,1,1,1,1,1,1,
127451000212,1,1,1,1,1,1,
127453500212,1,1,1,1,1,1,
127454500212,1,1,1,1,1,1,
127455500212,1,1,1,1,1,1,
127457500212,1,2,1,1,1,1,
127458000212,1,1,1,1,1,1,
127458500212,1,1,1,1,1,1,
127459000212,1,1,1,1,1,1,
127460000212,1,1,1,1,1,1,
127460500212,1,1,1,1,1,1,
127461000212,1,2,1,1,1,1,
127462000212,1,1,1,1,1,1,
127462500212,1,2,1,1,1,1,
127463500212,1,1,1,1,1,1,
127464000212,1,2,1,1,1,1,
127464500212,1,1,1,1,1,1,
127466000212,1,2,1,1,1,1,
127467000212,1,1,1,1,1,1,
127469000212,1,2,1,1,1,1,
127469500212,1,2,1,1,1,1,
127470000212,1,2,1,1,1,1,
127470500212,1,1,1,1,1,1,
127471500212,1,1,1,1,1,1,
127472500212,1,1,1,1,1,1,
127473000212,1,1,1,1,1,1,
127474000212,1,2,1,1,1,1,
127474500212,1,1,1,1,1,1,
127475000212,1,2,2,2,2,2,
127475500212,1,2,2,2,2,2,
127476500212,1,2,2,2,2,2,
127477000212,1,2,2,2,2,2,
