,W-0,R-0,R-1,R-2,R-3,R-4,
128509019665,1,2,1,1,1,1,
128509519665,1,2,1,1,1,1,
128510519665,1,2,1,1,1,1,
128511519665,1,2,1,1,1,1,
128512519665,1,2,1,1,1,1,
128516019665,1,2,1,1,1,1,
128516519665,1,2,1,1,1,1,
128517519665,1,2,1,1,1,1,
128521519665,1,2,2,1,2,2,
128524019665,1,2,2,1,1,1,
128525019665,1,2,1,1,1,1,
128526519665,1,2,1,1,1,1,
128527019665,1,2,1,1,1,1,
128527519665,1,2,1,1,1,1,
128530519665,1,2,1,1,1,1,
128531019665,1,2,1,1,1,1,
128531519665,1,2,1,1,1,1,
128532019665,1,2,2,1,1,1,
128533019665,1,2,1,1,1,1,
128536019665,1,2,1,1,1,1,
128538019665,1,2,2,2,2,2,
128538519665,1,2,1,1,1,1,
128539019665,1,2,2,1,1,2,
128540519665,1,2,1,1,1,1,
128541019665,1,2,1,1,1,1,
128543519665,1,2,2,1,1,1,
128544519665,1,2,2,1,1,1,
128545019665,1,2,1,2,2,1,
128547019665,1,2,1,1,1,1,
128548019665,1,2,1,1,1,1,
128548519665,1,2,1,1,1,1,
128549519665,1,2,1,1,1,1,
128550519665,1,2,2,1,1,1,
128551019665,1,2,1,1,1,1,
128552519665,1,2,1,1,1,1,
128554019665,1,2,1,1,1,1,
128554519665,1,2,2,2,2,1,
128557019665,1,2,1,2,1,1,
128557519665,1,2,1,1,1,1,
128558019665,1,2,1,1,1,1,
128559019665,1,2,1,1,1,1,
128559519665,1,2,1,1,1,1,
128560019665,1,2,2,1,1,1,
128561519665,1,2,1,1,2,1,
128562019665,1,2,1,1,1,1,
128563019665,1,2,1,1,1,1,
128563519665,1,2,1,1,1,1,
128564519665,1,2,1,1,1,1,
128565019665,1,2,1,1,1,1,
128565519665,1,2,1,1,1,1,
128566019665,1,2,2,1,1,2,
128567519665,1,2,1,1,1,1,
128569519665,1,2,2,1,1,1,
128570519665,1,2,1,1,1,1,
128571019665,1,2,2,2,2,1,
128571519665,1,2,1,1,1,1,
128572019665,1,2,2,1,1,1,
128573519665,1,2,1,1,2,1,
128576019665,1,2,1,1,1,1,
128576519665,1,2,1,1,1,1,
128577019665,1,2,1,1,1,1,
128578019665,1,2,2,1,1,1,
128579019665,1,2,1,1,1,1,
128579519665,1,2,1,1,1,1,
128580019665,1,2,2,2,1,1,
128580519665,1,2,1,1,1,1,
128581519665,1,2,2,1,2,2,
128583019665,1,2,1,1,1,1,
128583519665,1,2,1,1,1,1,
128584019665,1,2,1,1,1,1,
128584519665,1,2,2,1,1,1,
128586019665,1,2,1,1,1,1,
128587019665,1,2,1,1,1,1,
128587519665,1,2,1,1,1,1,
128588019665,1,2,2,1,1,1,
128588519665,1,2,1,1,1,1,
128589519665,1,2,1,1,1,1,
128590019665,1,2,1,1,1,1,
128594019665,1,2,1,1,1,1,
128594519665,1,2,2,2,1,1,
128596519665,1,2,1,1,1,1,
128597019665,1,2,2,2,2,2,
128597519665,1,2,2,1,1,1,
128598019665,1,2,1,1,1,1,
128599519665,1,2,1,1,1,1,
128600519665,1,2,1,1,1,1,
128603019665,1,2,1,1,1,1,
128603519665,1,2,1,1,1,1,
128604019665,1,2,2,2,2,2,
128604519665,1,2,1,1,1,1,
128605519665,1,2,1,1,1,1,
128606019665,1,2,1,1,1,1,
128606519665,1,2,1,1,1,1,
128610019665,1,2,2,1,1,1,
128610519665,1,2,1,1,1,1,
128611519665,1,2,1,1,2,1,
128614019665,1,2,1,1,1,1,
128614519665,1,2,1,1,1,1,
128616019665,1,2,1,1,1,1,
128617019665,1,2,1,1,1,1,
128617519665,1,2,1,1,1,1,
128618019665,1,2,1,2,1,1,
128619019665,1,2,1,1,1,1,
128620019665,1,2,1,1,1,1,
128621019665,1,2,1,1,1,1,
128622519665,1,2,2,2,1,1,
128623019665,1,2,2,1,1,1,
128624019665,1,2,1,2,2,1,
128624519665,1,2,1,2,1,1,
128625019665,1,2,1,1,1,1,
128625519665,1,2,1,1,1,1,
128626519665,1,2,2,1,1,1,
128627519665,1,2,2,1,1,1,
128628019665,1,2,2,1,1,1,
128628519665,1,2,1,1,1,1,
128629019665,1,2,1,1,1,1,
128631519665,1,2,1,1,1,1,
128632019665,1,2,1,1,1,1,
128634019665,1,2,1,1,2,1,
128634519665,1,2,1,1,1,1,
128635019665,1,2,1,1,1,1,
128636019665,1,2,2,1,1,1,
128636519665,1,2,2,1,1,1,
128640519665,1,2,1,1,1,1,
128641019665,1,2,2,1,2,2,
128642019665,1,2,2,2,2,2,
128644519665,1,2,1,1,1,1,
128645519665,1,2,1,2,2,2,
128646519665,1,2,1,2,1,2,
128648519665,1,2,1,1,1,1,
128649019665,1,2,1,1,1,1,
128649519665,1,2,1,1,1,1,
128650019665,1,2,1,1,1,1,
128651019665,1,2,1,1,1,1,
128651519665,1,2,1,1,2,2,
128652019665,1,2,1,1,1,1,
128653019665,1,2,1,1,1,1,
128653519665,1,2,2,1,1,1,
128654519665,1,2,1,1,1,1,
128655019665,1,2,1,1,1,1,
128655519665,1,2,1,1,1,1,
128657019665,1,2,1,1,1,1,
128658019665,1,2,1,1,1,1,
128660019665,1,2,2,1,1,1,
128660519665,1,2,1,1,1,1,
128661019665,1,2,2,2,1,1,
128661519665,1,2,2,1,1,1,
128662519665,1,2,2,2,1,1,
128663519665,1,2,1,1,1,1,
128664019665,1,2,1,1,1,1,
128665019665,1,2,1,2,1,1,
128665519665,1,2,2,1,1,1,
128666019665,1,2,1,1,1,1,
128666519665,1,2,1,1,1,1,
128667519665,1,2,2,1,1,1,
128668019665,1,2,2,2,2,2,
128669019665,1,2,2,2,2,2,
128669519665,1,2,2,2,2,2,
128670519665,1,2,2,2,2,2,
128671019665,1,2,2,2,2,2,
128672019665,1,2,1,1,1,1,
128672519665,1,2,1,1,1,2,
128675519665,1,2,2,2,1,1,
128677519665,1,2,2,2,2,2,
128678519665,1,2,1,1,1,1,
128679019665,1,2,2,2,2,2,
128679519665,1,2,1,1,1,1,
128680519665,1,2,1,1,1,1,
128681519665,1,2,1,1,1,1,
128682019665,1,2,2,2,2,1,
128682519665,1,2,1,1,1,1,
128683019665,1,2,1,1,1,1,
128683519665,1,2,2,2,2,2,
128685019665,1,2,1,1,1,1,
128686019665,1,2,1,1,1,1,
128686519665,1,2,1,1,1,1,
128689019665,1,2,1,1,1,1,
128690019665,1,2,1,1,1,1,
128691519665,1,2,1,1,1,1,
128692519665,1,2,2,2,2,2,
128693019665,1,2,2,2,1,1,
128694519665,1,2,1,1,1,1,
128697019665,1,2,2,2,1,2,
128697519665,1,2,1,1,1,1,
128698019665,1,2,2,1,1,1,
128699519665,1,2,2,2,2,1,
128700019665,1,2,2,2,2,2,
128702019665,1,2,2,1,1,1,
