,W-0,R-0,R-1,R-2,R-3,R-4,
129699199198,1,1,1,1,1,1,
129699699198,1,2,1,1,1,2,
129700699198,1,3,3,3,3,3,
129701699198,1,2,1,1,1,1,
129702699198,1,2,1,1,1,1,
129706199198,1,2,2,1,1,1,
129706699198,1,2,2,1,1,1,
129707699198,1,2,1,1,1,1,
129711699198,1,2,1,1,1,1,
129714199198,1,2,2,1,2,2,
129715199198,1,2,2,2,1,1,
129716699198,1,2,1,1,1,1,
129717199198,1,1,1,1,1,1,
129717699198,1,2,2,1,1,1,
129720699198,1,2,1,1,1,1,
129721199198,1,2,1,1,1,1,
129721699198,1,2,1,1,1,1,
129722199198,1,2,1,1,1,1,
129723199198,1,2,2,1,1,1,
129726199198,1,2,1,1,1,1,
129728199198,1,2,1,1,2,1,
129728699198,1,2,2,1,1,2,
129729199198,1,2,2,1,2,2,
129730699198,1,2,2,2,1,2,
129731199198,1,2,2,1,1,1,
129733699198,1,2,1,1,1,1,
129734699198,1,2,2,2,2,2,
129735199198,1,2,2,1,1,1,
129737199198,1,2,2,2,2,2,
129738199198,1,2,1,1,1,1,
129738699198,1,2,1,1,1,1,
129739699198,1,2,2,2,2,2,
129740699198,1,2,1,1,1,1,
129741199198,1,2,1,1,1,1,
129742699198,1,2,1,1,1,1,
129744199198,1,2,1,1,1,1,
129744699198,1,2,1,1,1,1,
129747199198,1,2,2,1,1,1,
129747699198,1,2,1,1,1,1,
129748199198,1,2,1,1,1,1,
129749199198,1,2,2,2,1,1,
129749699198,1,2,1,1,1,1,
129750199198,1,2,2,1,1,1,
129751699198,1,2,1,1,1,1,
129752199198,1,2,1,1,1,1,
129753199198,1,2,1,1,1,1,
129753699198,1,2,1,1,1,1,
129754699198,1,2,2,1,2,2,
129755199198,1,2,1,1,1,1,
129755699198,1,2,1,1,1,1,
129756199198,1,2,1,1,1,1,
129757699198,1,2,1,1,1,1,
129759699198,1,2,1,2,2,1,
129760699198,1,2,1,1,1,1,
129761199198,1,2,2,1,1,1,
129761699198,1,2,1,1,1,1,
129762199198,1,2,1,1,1,1,
129763699198,1,2,2,1,1,1,
129766199198,1,2,1,1,1,1,
129766699198,1,2,1,1,1,1,
129767199198,1,2,2,2,1,1,
129768199198,1,2,1,1,1,1,
129769199198,1,2,1,1,1,1,
129769699198,1,2,1,1,1,1,
129770199198,1,2,2,1,1,2,
129770699198,1,2,1,1,1,1,
129771699198,1,2,1,1,1,1,
129773199198,1,2,2,1,1,1,
129773699198,1,2,2,1,1,1,
129774199198,1,2,1,1,1,1,
129774699198,1,2,1,1,1,1,
129776199198,1,2,1,1,1,1,
129777199198,1,2,1,1,1,1,
129777699198,1,2,1,1,1,1,
129778199198,1,2,1,2,1,1,
129778699198,1,2,1,1,1,1,
129779699198,1,2,1,1,1,1,
129780199198,1,2,2,2,2,2,
129784199198,1,2,1,1,1,1,
129784699198,1,2,1,1,1,1,
129786699198,1,2,1,1,1,1,
129787199198,1,2,2,1,1,1,
129787699198,1,2,2,1,1,1,
129788199198,1,2,2,1,1,1,
129789699198,1,2,2,2,2,2,
129790699198,1,2,2,1,1,1,
129793199198,1,2,1,1,1,1,
129793699198,1,2,1,1,1,1,
129794199198,1,2,2,2,2,1,
129794699198,1,2,1,1,1,1,
129795699198,1,2,1,1,1,1,
129796199198,1,2,2,2,2,2,
129796699198,1,2,2,2,2,1,
129800199198,1,2,1,1,2,1,
129800699198,1,2,2,1,1,1,
129801699198,1,2,1,1,1,1,
129804199198,1,2,1,1,1,1,
129804699198,1,2,1,1,1,1,
129806199198,1,2,1,1,1,1,
129807199198,1,2,1,1,1,1,
129807699198,1,2,1,1,1,1,
129808199198,1,2,2,2,1,2,
129809199198,1,2,1,1,1,1,
129810199198,1,2,1,1,1,1,
129811199198,1,2,2,2,2,1,
129812699198,1,2,2,1,1,1,
129813199198,1,2,1,1,1,1,
129814199198,1,2,1,1,1,1,
129814699198,1,2,2,1,1,2,
129815199198,1,2,1,1,1,1,
129815699198,1,2,2,2,2,2,
129816699198,1,2,2,2,1,1,
129817699198,1,2,2,1,1,1,
129818199198,1,2,1,1,1,1,
129818699198,1,2,1,1,1,1,
129819199198,1,2,1,1,1,1,
129821699198,1,2,1,1,1,1,
129822199198,1,2,2,1,1,1,
129824199198,1,2,2,2,1,1,
129824699198,1,2,2,1,2,1,
129825199198,1,2,1,1,1,1,
129826199198,1,2,2,1,1,1,
129826699198,1,2,2,1,1,1,
129830699198,1,2,1,1,1,1,
129831199198,1,2,1,1,1,1,
129832199198,1,2,2,1,1,1,
129834699198,1,2,1,1,1,1,
129835699198,1,2,1,1,1,1,
129836699198,1,2,1,1,1,1,
129838699198,1,2,1,1,1,1,
129839199198,1,2,1,1,1,1,
