,W-0,R-0,R-1,R-2,R-3,R-4,
137450343050,1,2,2,1,1,1,
137450843050,1,2,1,1,1,1,
137451843050,1,1,1,1,1,1,
137452843050,1,1,1,1,1,1,
137453843050,1,2,2,1,1,1,
137457343050,1,2,2,2,1,1,
137457843050,1,1,1,1,1,1,
137458843050,1,2,1,1,1,1,
137462843050,1,2,1,1,1,1,
137465343050,1,1,1,1,1,1,
137466343050,1,1,1,1,1,1,
137467843050,1,1,1,1,1,1,
137468343050,1,1,1,1,1,2,
137468843050,1,2,1,1,1,1,
137471843050,1,2,2,2,2,1,
137472343050,1,2,1,1,1,1,
137472843050,1,2,1,1,2,1,
137473343050,1,2,2,1,2,2,
137474343050,1,2,1,1,1,1,
137477343050,1,2,1,1,1,1,
137479343050,1,2,1,1,2,1,
137479843050,1,2,2,1,1,1,
137480343050,1,2,1,1,1,1,
137481843050,1,2,1,1,1,1,
137482343050,1,2,1,2,2,1,
137484843050,1,2,2,1,1,1,
137485843050,1,2,1,1,1,1,
137486343050,1,2,1,1,1,1,
137488343050,1,2,1,1,1,1,
137489343050,1,2,1,1,1,1,
137489843050,1,2,2,1,1,1,
137490843050,1,2,1,1,1,1,
137491843050,1,1,1,1,1,1,
137492343050,1,1,1,1,1,1,
137493843050,1,2,2,1,1,1,
137495343050,1,2,1,1,1,1,
137495843050,1,1,2,1,2,2,
137498343050,1,2,1,1,1,1,
137498843050,1,2,1,1,1,1,
137499343050,1,2,1,1,1,1,
137500343050,1,1,1,1,2,2,
137500843050,1,2,1,1,1,1,
137501343050,1,2,2,1,2,1,
137502843050,1,2,1,1,1,1,
137503343050,1,2,2,1,1,1,
137504343050,1,2,1,1,1,1,
137504843050,1,1,1,1,1,1,
137505843050,1,1,1,1,1,1,
137506343050,1,2,1,1,1,1,
137506843050,1,2,1,1,2,1,
137507343050,1,1,1,1,1,1,
137508843050,1,2,1,1,1,1,
137510843050,1,2,1,1,1,1,
137511843050,1,2,1,1,1,1,
137512343050,1,2,2,1,1,1,
137512843050,1,2,2,2,1,1,
137513343050,1,2,1,1,1,1,
137514843050,1,2,2,1,1,1,
137517343050,1,2,1,1,2,1,
137517843050,1,1,1,1,1,1,
137518343050,1,2,1,1,1,1,
137519343050,1,2,2,1,1,2,
137520343050,1,2,1,1,1,1,
137520843050,1,2,1,1,1,1,
137521343050,1,2,1,1,1,1,
137521843050,1,2,1,1,1,1,
137522843050,1,1,2,1,1,1,
137524343050,1,2,1,1,1,1,
137524843050,1,2,1,1,1,1,
137525343050,1,2,1,1,1,1,
137525843050,1,2,1,1,1,1,
137527343050,1,1,1,1,1,1,
137528343050,1,2,1,1,1,1,
137528843050,1,2,1,1,1,1,
137529343050,1,2,1,1,1,1,
