,W-0,R-0,R-1,R-2,R-3,R-4,
138045827441,1,1,1,1,1,1,
138046327441,1,1,1,1,1,1,
138047327441,1,1,1,1,1,1,
138048327441,1,1,1,1,1,1,
138049327441,1,1,1,1,1,1,
138052827441,1,1,1,1,1,1,
138053327441,1,1,1,1,1,1,
138054327441,1,1,1,1,1,1,
138058327441,1,1,1,1,1,1,
138060827441,1,1,1,1,1,1,
138061827441,1,1,1,1,1,1,
138063327441,1,1,1,1,1,1,
138063827441,1,1,1,1,1,1,
138064327441,1,1,1,1,1,1,
138067327441,1,2,1,1,1,1,
138067827441,1,1,1,1,1,1,
138068327441,1,1,1,1,1,1,
138068827441,1,1,1,1,1,1,
138069827441,1,1,1,1,1,1,
138072827441,1,1,1,1,1,1,
138074827441,1,1,1,1,1,1,
138075327441,1,1,1,1,1,1,
138075827441,1,2,1,1,1,1,
138077327441,1,1,1,1,1,1,
138077827441,1,1,1,1,1,1,
138080327441,1,1,1,1,1,1,
138081327441,1,1,1,1,1,1,
138081827441,1,2,1,1,1,1,
138083827441,1,1,1,1,1,1,
138084827441,1,1,1,1,1,1,
138085327441,1,1,1,1,1,1,
138086327441,1,1,1,1,1,1,
138087327441,1,2,1,1,1,1,
138087827441,1,1,1,1,1,1,
138089327441,1,2,1,1,1,1,
138090827441,1,2,1,1,1,1,
138091327441,1,1,1,1,1,1,
138093827441,1,2,1,1,1,1,
138094327441,1,2,1,1,1,1,
138094827441,1,1,1,1,1,1,
138095827441,1,1,1,1,1,1,
138096327441,1,1,1,1,1,1,
138096827441,1,1,1,1,1,1,
138098327441,1,1,1,1,1,1,
138098827441,1,1,1,1,1,1,
138099827441,1,1,1,1,1,1,
138100327441,1,1,1,1,1,1,
138101327441,1,1,1,1,1,1,
138101827441,1,1,1,1,1,1,
138102327441,1,2,1,1,1,1,
138102827441,1,1,1,1,1,1,
138104327441,1,1,1,1,1,1,
138106327441,1,1,1,1,1,1,
138107327441,1,1,1,1,1,1,
138107827441,1,1,1,1,1,1,
138108327441,1,1,1,1,1,1,
138108827441,1,1,1,1,1,1,
138110327441,1,1,1,1,1,1,
138112827441,1,1,1,1,1,1,
138113327441,1,1,1,1,1,1,
138113827441,1,1,1,1,1,1,
138114827441,1,1,1,1,1,1,
138115827441,1,1,1,1,1,1,
138116327441,1,1,1,1,1,1,
138116827441,1,1,1,1,1,1,
138117327441,1,1,1,1,1,1,
138118327441,1,1,1,1,1,1,
138119827441,1,1,1,1,1,1,
138120327441,1,1,1,1,1,1,
138120827441,1,2,1,1,1,1,
138121327441,1,2,1,1,1,1,
138122827441,1,2,1,1,1,1,
138123827441,1,1,1,1,1,1,
138124327441,1,1,1,1,1,1,
138124827441,1,2,1,1,1,1,
138125327441,1,2,1,1,1,1,
138126327441,1,2,1,1,1,1,
138126827441,1,1,1,1,1,1,
138130827441,1,2,1,1,1,1,
138131327441,1,1,1,1,1,1,
138133327441,1,1,1,1,1,1,
138133827441,1,1,1,1,1,1,
138134327441,1,1,1,1,1,1,
138134827441,1,1,1,1,1,1,
138136327441,1,1,1,1,1,1,
138137327441,1,1,1,1,1,1,
138139827441,1,1,1,1,1,1,
138140327441,1,1,1,1,1,1,
138140827441,1,1,1,1,1,1,
138141327441,1,2,1,1,1,1,
138142327441,1,1,1,1,1,1,
138142827441,1,1,1,1,1,1,
138143327441,1,2,1,1,1,1,
