,W-0,R-0,R-1,R-2,R-3,R-4,
139236698589,1,1,1,1,1,1,
139237198589,1,2,1,1,1,1,
139238198589,1,1,1,1,1,1,
139239198589,1,1,1,1,1,1,
139240198589,1,2,1,1,1,1,
139243698589,1,1,1,1,1,1,
139244198589,1,1,1,1,1,1,
139245198589,1,1,1,1,1,1,
139249198589,1,2,1,1,1,1,
139251698589,1,1,1,1,1,1,
139252698589,1,1,1,1,1,1,
139254198589,1,1,1,1,1,1,
139254698589,1,1,1,1,1,1,
139255198589,1,1,1,1,1,1,
139258198589,1,1,1,1,1,1,
139258698589,1,1,1,1,1,1,
139259198589,1,1,1,1,1,1,
139259698589,1,2,1,1,1,1,
139260698589,1,1,1,1,1,1,
139263698589,1,1,1,1,1,1,
139265698589,1,1,1,1,1,1,
139266198589,1,2,1,1,1,1,
139266698589,1,1,1,1,1,1,
139268198589,1,1,1,1,1,1,
139268698589,1,1,1,1,1,1,
139271198589,1,1,1,1,1,1,
139272198589,1,1,1,1,1,1,
139272698589,1,1,1,1,1,1,
139274698589,1,1,1,1,1,1,
139275698589,1,2,1,1,1,1,
139276198589,1,1,1,1,1,1,
139277198589,1,1,1,1,1,1,
139278198589,1,1,1,1,1,1,
139278698589,1,1,1,1,1,1,
139280198589,1,1,1,1,1,1,
139281698589,1,1,1,1,1,1,
139282198589,1,2,1,1,1,1,
139284698589,1,1,1,1,1,1,
139285198589,1,1,1,1,1,1,
139285698589,1,2,1,1,1,1,
139286698589,1,1,1,1,1,1,
139287198589,1,1,1,1,1,1,
139287698589,1,2,1,1,1,1,
139289198589,1,1,1,1,1,1,
139289698589,1,1,1,1,1,1,
139290698589,1,1,1,1,1,1,
139291198589,1,2,1,1,1,1,
139292198589,1,1,1,1,1,1,
139292698589,1,2,1,1,1,1,
139293198589,1,1,1,1,1,1,
139293698589,1,1,1,1,1,1,
139295198589,1,1,1,1,1,1,
139297198589,1,2,1,1,1,1,
139298198589,1,1,1,1,1,1,
139298698589,1,2,1,1,1,1,
139299198589,1,2,1,1,1,1,
139299698589,1,2,1,1,1,1,
139301198589,1,1,1,1,1,1,
139303698589,1,1,1,1,1,1,
139304198589,1,2,1,1,1,1,
139304698589,1,2,1,1,1,1,
139305698589,1,2,1,1,1,1,
139306698589,1,1,1,1,1,1,
139307198589,1,2,1,1,1,1,
139307698589,1,1,1,1,1,1,
139308198589,1,1,1,1,1,1,
139309198589,1,1,1,1,1,1,
139310698589,1,1,1,1,1,1,
139311198589,1,1,1,1,1,1,
139311698589,1,1,1,1,1,1,
139312198589,1,1,1,1,1,1,
139313698589,1,1,1,1,1,1,
139314698589,1,1,1,1,1,1,
139315198589,1,2,1,1,1,1,
139315698589,1,1,1,1,1,1,
139316198589,1,1,1,1,1,1,
139317198589,1,2,1,1,1,1,
139317698589,1,2,1,1,1,1,
139321698589,1,1,1,1,1,1,
139322198589,1,1,1,1,1,1,
139324198589,1,2,1,1,1,1,
139324698589,1,2,1,1,1,1,
139325198589,1,1,1,1,1,1,
139325698589,1,2,1,1,1,1,
139327198589,1,2,1,1,1,1,
139328198589,1,1,1,1,1,1,
139330698589,1,1,1,1,1,1,
139331198589,1,1,1,1,1,1,
139331698589,1,2,1,1,1,1,
139332198589,1,2,1,1,1,1,
139333198589,1,2,1,1,1,1,
139333698589,1,1,1,1,1,1,
139334198589,1,1,1,1,1,1,
139337698589,1,1,1,1,1,1,
139338198589,1,2,1,1,1,1,
139339198589,1,1,1,1,1,1,
139341698589,1,2,1,1,1,1,
139342198589,1,1,1,1,1,1,
139343698589,1,1,1,1,1,1,
139344698589,1,2,1,1,1,1,
139345198589,1,1,1,1,1,1,
139345698589,1,1,1,1,1,1,
139346698589,1,2,1,1,1,1,
139347698589,1,1,1,1,1,1,
139348698589,1,1,1,1,1,1,
139350198589,1,2,1,1,1,1,
139350698589,1,1,1,1,1,1,
139351698589,1,1,1,1,1,1,
139352198589,1,1,1,1,1,1,
139352698589,1,1,1,1,1,1,
139353198589,1,1,1,1,1,1,
139354198589,1,1,1,1,1,1,
139355198589,1,2,1,1,1,1,
139355698589,1,2,1,1,1,1,
139356198589,1,2,1,1,1,1,
139356698589,1,1,1,1,1,1,
139359198589,1,1,1,1,1,1,
139359698589,1,2,1,1,1,1,
139361698589,1,1,1,1,1,1,
139362198589,1,2,1,1,1,1,
139362698589,1,1,1,1,1,1,
139363698589,1,2,1,1,1,1,
139364198589,1,1,1,1,1,1,
139368198589,1,2,1,1,1,1,
139368698589,1,2,1,1,1,1,
139369698589,1,2,1,1,1,1,
139372198589,1,1,1,1,1,1,
139373198589,1,1,1,1,1,1,
139374198589,1,2,1,1,1,1,
139376198589,1,1,1,1,1,1,
139376698589,1,2,2,1,1,1,
139377198589,1,1,1,1,1,1,
139377698589,1,2,1,1,1,1,
139378698589,1,1,1,1,1,1,
139379198589,1,1,1,1,1,1,
139379698589,1,1,1,1,1,1,
139380698589,1,1,1,1,1,1,
139381198589,1,2,1,1,1,1,
139382198589,1,1,1,1,1,1,
139382698589,1,2,1,1,1,1,
139383198589,1,1,1,1,1,1,
139384698589,1,1,1,1,1,1,
139385698589,1,2,1,1,1,1,
139387698589,1,1,1,1,1,1,
139388198589,1,1,1,1,1,1,
139388698589,1,1,1,1,1,1,
139389198589,1,1,1,1,1,1,
139390198589,1,2,1,1,1,1,
139391198589,1,2,1,1,1,1,
139391698589,1,2,1,1,1,1,
139392698589,1,1,1,1,1,1,
139393198589,1,1,1,1,1,1,
139393698589,1,2,1,1,1,1,
139394198589,1,2,1,1,1,1,
139395198589,1,1,1,1,1,1,
