,W-0,R-0,R-1,R-2,R-3,R-4,
140425911376,1,2,1,1,1,1,
140426411376,1,2,1,1,1,1,
140427411376,1,2,1,1,1,1,
140428411376,1,2,1,2,2,2,
140429411376,1,2,2,1,1,1,
140432911376,1,2,2,1,2,1,
140433411376,1,2,1,1,2,2,
140434411376,1,2,2,1,1,1,
140438411376,1,2,2,2,2,2,
140440911376,1,2,2,2,2,1,
140441911376,1,2,2,1,1,1,
140443411376,1,2,2,1,1,1,
140443911376,1,2,2,1,1,1,
140444411376,1,2,1,1,1,1,
140447411376,1,2,2,1,1,1,
140447911376,1,2,2,1,1,1,
140448411376,1,2,2,1,1,1,
140448911376,1,2,1,1,1,1,
140449911376,1,2,2,1,1,1,
140452911376,1,2,1,1,1,1,
140454911376,1,2,1,1,1,1,
140455411376,1,2,1,1,1,1,
140455911376,1,2,1,1,1,1,
140457411376,1,2,2,2,1,1,
140457911376,1,2,2,2,1,2,
140460411376,1,2,2,1,1,1,
140461411376,1,2,2,1,1,1,
140461911376,1,2,1,1,1,1,
140463911376,1,2,1,1,1,1,
140464911376,1,2,1,1,1,1,
140465411376,1,2,2,1,1,1,
140466411376,1,2,2,1,1,1,
140467411376,1,2,1,1,1,1,
140467911376,1,2,1,1,1,1,
140469411376,1,2,1,1,1,1,
140470911376,1,2,2,1,1,1,
140471411376,1,2,2,1,2,1,
140473911376,1,2,2,2,2,1,
140474411376,1,2,1,1,1,1,
140474911376,1,2,2,1,1,1,
140475911376,1,2,1,1,2,1,
140476411376,1,2,1,1,1,1,
140476911376,1,2,2,2,2,2,
140478411376,1,2,1,1,1,1,
140478911376,1,2,2,1,1,1,
140479911376,1,2,2,1,1,1,
140480411376,1,2,1,1,1,1,
140481411376,1,2,1,1,1,1,
140481911376,1,2,1,1,1,1,
140482411376,1,2,1,1,1,1,
140482911376,1,2,1,1,1,1,
140484411376,1,2,1,1,1,1,
140486411376,1,2,1,1,1,1,
140487411376,1,2,2,1,1,1,
140487911376,1,2,1,2,2,1,
140488411376,1,2,2,1,2,2,
140488911376,1,2,1,1,1,1,
140490411376,1,2,1,1,1,1,
140492911376,1,2,2,1,1,1,
140493411376,1,2,1,1,1,1,
140493911376,1,2,1,1,2,1,
140494911376,1,2,2,2,1,1,
140495911376,1,2,2,2,2,2,
140496411376,1,2,1,1,1,1,
140496911376,1,2,1,1,1,1,
140497411376,1,2,2,1,1,1,
140498411376,1,2,1,1,1,1,
140499911376,1,2,1,1,1,1,
140500411376,1,2,1,1,1,1,
140500911376,1,2,1,1,1,1,
140501411376,1,2,2,1,1,1,
140502911376,1,2,1,1,1,1,
140503911376,1,2,1,1,1,1,
140504411376,1,2,2,1,1,1,
140504911376,1,2,1,1,1,1,
140505411376,1,2,1,1,1,1,
140506411376,1,2,1,1,1,1,
140506911376,1,2,1,1,1,1,
140510911376,1,2,2,1,1,1,
140511411376,1,2,1,1,1,1,
140513411376,1,2,2,2,2,1,
140513911376,1,2,2,1,1,1,
140514411376,1,2,1,1,1,1,
140514911376,1,2,2,1,1,1,
140516411376,1,2,1,1,1,1,
140517411376,1,2,1,2,1,1,
140519911376,1,2,1,1,1,1,
140520411376,1,2,2,1,1,1,
140520911376,1,2,1,1,1,1,
140521411376,1,2,1,1,1,1,
140522411376,1,2,1,1,1,1,
140522911376,1,2,1,1,1,1,
140523411376,1,2,1,1,1,1,
140526911376,1,2,1,2,1,1,
140527411376,1,2,1,2,1,2,
140528411376,1,2,2,1,1,1,
140530911376,1,2,1,1,1,1,
140531411376,1,2,1,1,1,1,
140532911376,1,2,1,1,1,1,
140533911376,1,2,2,1,2,1,
140534411376,1,2,1,2,1,1,
140534911376,1,2,1,1,1,1,
140535911376,1,2,1,1,1,1,
140536911376,1,2,1,1,1,1,
140537911376,1,2,1,1,1,1,
140539411376,1,2,1,1,1,1,
140539911376,1,2,1,1,1,1,
140540911376,1,2,1,1,1,1,
140541411376,1,2,1,1,1,1,
140541911376,1,2,1,1,1,1,
140542411376,1,2,2,1,2,1,
140543411376,1,2,1,1,1,1,
140544411376,1,2,1,1,1,1,
140544911376,1,2,1,1,1,1,
140545411376,1,2,2,1,1,1,
140545911376,1,2,1,1,1,1,
140548411376,1,2,1,1,1,1,
140548911376,1,2,1,1,1,1,
140550911376,1,2,1,2,2,1,
140551411376,1,2,2,1,1,1,
140551911376,1,2,1,1,1,1,
140552911376,1,2,1,1,1,1,
140553411376,1,2,2,2,2,1,
140557411376,1,2,1,1,1,1,
140557911376,1,2,1,1,1,1,
140558911376,1,2,1,1,1,2,
140561411376,1,2,1,1,1,1,
140562411376,1,2,1,1,1,1,
140563411376,1,2,1,1,1,1,
140565411376,1,2,1,1,1,1,
140565911376,1,2,1,1,1,1,
140566411376,1,2,1,1,1,1,
140566911376,1,2,2,1,2,2,
140567911376,1,2,2,2,2,2,
140568411376,1,2,1,1,1,1,
140568911376,1,2,2,1,1,1,
140569911376,1,2,2,2,1,1,
140570411376,1,2,2,1,2,2,
140571411376,1,2,1,1,1,1,
140571911376,1,2,1,1,1,1,
140572411376,1,2,1,1,1,1,
140573911376,1,2,2,1,1,1,
140574911376,1,2,1,1,1,1,
140576911376,1,2,2,1,1,1,
140577411376,1,2,1,1,1,1,
140577911376,1,2,1,1,1,1,
140578411376,1,2,2,1,1,1,
140579411376,1,2,1,1,1,1,
140580411376,1,2,1,1,1,1,
140580911376,1,2,1,1,1,1,
140581911376,1,2,1,1,1,1,
140582411376,1,2,2,1,1,1,
140582911376,1,2,2,2,1,1,
140583411376,1,2,1,1,1,1,
140584411376,1,2,1,1,1,1,
140584911376,1,2,2,1,1,1,
140585911376,1,2,2,2,2,2,
140586411376,1,2,2,1,1,2,
140587411376,1,2,1,1,1,1,
140587911376,1,2,2,1,1,1,
140588911376,1,2,1,1,1,1,
140589411376,1,2,2,1,1,1,
140592411376,1,2,1,1,1,1,
140594411376,1,2,1,1,1,1,
140595411376,1,2,1,1,1,1,
140595911376,1,2,2,1,1,1,
140596411376,1,2,2,1,2,1,
140597411376,1,2,2,1,1,1,
140598411376,1,2,1,1,1,1,
140598911376,1,2,1,1,1,1,
140599411376,1,2,1,1,1,1,
140599911376,1,2,1,1,1,1,
140600411376,1,2,2,1,1,1,
140601911376,1,2,1,1,1,1,
140602911376,1,2,1,1,1,1,
140603411376,1,2,1,1,1,1,
140605911376,1,2,2,1,1,1,
140606911376,1,2,1,1,1,1,
140608411376,1,2,1,1,1,1,
140609411376,1,2,2,1,1,1,
140609911376,1,2,2,2,2,2,
140611411376,1,2,1,1,1,1,
140613911376,1,2,2,1,1,1,
140614411376,1,2,2,1,1,1,
140614911376,1,2,1,1,1,1,
140616411376,1,2,1,1,1,1,
140616911376,1,2,1,1,1,1,
140618911376,1,2,2,1,1,1,
140619411376,1,2,2,2,2,2,
140619911376,1,2,1,1,1,1,
140620911376,1,2,2,2,1,2,
140621911376,1,2,1,1,1,1,
140622411376,1,2,1,1,1,1,
140622911376,1,2,1,1,1,1,
140623411376,1,2,2,1,1,1,
140623911376,1,2,2,2,1,1,
140624411376,1,2,1,1,1,1,
140624911376,1,2,1,1,1,1,
140626411376,1,2,1,2,1,2,
140627911376,1,2,2,1,1,1,
140629911376,1,2,1,1,1,1,
140631411376,1,2,1,1,1,1,
140631911376,1,2,1,1,1,1,
140633411376,1,2,1,1,1,1,
140633911376,1,2,1,1,1,1,
140635911376,1,2,1,1,1,1,
140636911376,1,2,2,2,1,1,
140637911376,1,2,1,1,1,1,
140638411376,1,2,2,2,1,2,
140639411376,1,2,1,1,1,1,
140640411376,1,2,1,1,1,1,
140640911376,1,2,2,1,1,1,
140641411376,1,2,2,1,1,1,
140643911376,1,2,1,2,2,1,
140647411376,1,2,1,1,1,1,
140647911376,1,2,1,1,1,1,
140648411376,1,2,2,1,2,1,
140649411376,1,2,1,1,2,1,
140650411376,1,2,1,1,1,1,
140650911376,1,2,2,2,2,1,
140651911376,1,2,1,1,1,1,
140652411376,1,2,1,1,1,1,
140652911376,1,2,1,1,1,1,
140653411376,1,2,1,1,1,1,
140655411376,1,2,1,1,1,1,
140655911376,1,2,1,1,1,1,
140657411376,1,2,1,1,1,1,
140658411376,1,2,1,1,1,1,
140663911376,1,2,2,1,1,1,
140665911376,1,2,1,1,1,1,
140667411376,1,2,1,1,1,1,
140669911376,1,2,2,2,2,2,
140672411376,1,2,2,1,1,1,
140672911376,1,2,1,2,1,1,
140673411376,1,2,2,2,2,1,
140673911376,1,2,1,2,1,2,
140675411376,1,2,1,1,1,1,
140675911376,1,2,2,1,1,1,
140676411376,1,2,1,1,1,1,
140677411376,1,2,2,2,2,2,
140677911376,1,2,1,2,1,1,
140678411376,1,2,1,1,1,1,
140678911376,1,2,1,1,1,1,
140679911376,1,2,2,1,1,1,
140680411376,1,2,1,1,1,1,
140680911376,1,2,1,1,1,1,
140681411376,1,2,2,2,1,2,
140681911376,1,2,1,2,1,1,
140682411376,1,2,1,1,1,1,
140683911376,1,2,1,1,1,1,
140684411376,1,2,2,2,2,2,
140686411376,1,2,2,1,1,1,
140686911376,1,2,2,1,1,1,
140688411376,1,2,1,1,1,1,
140689411376,1,2,1,1,1,1,
140691911376,1,2,1,1,1,1,
140692411376,1,2,2,2,2,2,
140693411376,1,2,1,1,1,1,
140694911376,1,2,2,2,1,2,
140695911376,1,2,2,1,1,1,
140697911376,1,2,1,1,1,1,
140698411376,1,2,2,1,1,1,
140698911376,1,2,1,1,1,1,
140699411376,1,2,2,1,1,1,
140699911376,1,2,2,1,1,1,
140700911376,1,2,2,1,1,1,
140701911376,1,2,1,1,1,1,
140702411376,1,2,1,1,1,1,
140703411376,1,2,2,2,2,1,
140704411376,1,2,2,1,1,1,
140705411376,1,2,2,1,1,1,
140705911376,1,2,1,1,1,1,
140707911376,1,2,1,1,1,1,
140708411376,1,2,2,1,1,1,
140708911376,1,2,2,1,1,1,
140709411376,1,2,1,1,1,1,
140710911376,1,2,1,1,1,1,
140711411376,1,2,1,1,1,2,
140713411376,1,2,1,1,1,1,
140713911376,1,2,2,2,1,1,
140715911376,1,2,2,1,2,1,
140716911376,1,2,1,1,1,1,
140717411376,1,2,1,1,1,1,
140717911376,1,2,2,2,2,2,
140718411376,1,2,2,2,2,1,
140718911376,1,2,1,1,1,1,
140720411376,1,2,1,2,1,1,
140721911376,1,2,2,1,1,1,
140722411376,1,2,1,1,1,1,
140723411376,1,2,2,1,1,1,
140724411376,1,2,1,2,1,1,
140724911376,1,2,1,1,1,1,
140726911376,1,2,2,1,1,1,
140727411376,1,2,1,1,1,1,
140727911376,1,2,1,1,1,1,
140728411376,1,2,2,1,2,2,
140729411376,1,2,2,2,2,1,
140730911376,1,2,2,1,1,1,
140731911376,1,2,1,1,1,1,
140732411376,1,2,1,1,1,1,
140732911376,1,2,1,1,1,1,
140733411376,1,2,2,1,1,1,
140733911376,1,2,1,1,1,1,
140735411376,1,2,2,1,1,1,
140736411376,1,2,1,1,1,1,
140736911376,1,2,1,1,1,1,
140737911376,1,2,1,1,1,1,
140738411376,1,2,2,2,2,2,
140738911376,1,2,1,1,1,1,
140740411376,1,2,2,1,1,1,
140740911376,1,2,1,1,1,1,
140741911376,1,2,2,2,2,2,
140743411376,1,2,2,2,2,2,
140744411376,1,2,2,1,1,1,
140744911376,1,2,2,1,1,1,
140745411376,1,2,2,1,1,1,
140746911376,1,2,1,1,1,1,
140747411376,1,2,1,1,1,1,
140748911376,1,2,2,1,2,2,
140749911376,1,2,2,1,1,1,
140750411376,1,2,1,1,1,1,
140751411376,1,2,1,1,1,1,
140752411376,1,2,2,1,1,1,
140752911376,1,2,1,1,1,1,
140753411376,1,2,1,1,1,1,
140755411376,1,2,1,1,1,1,
140756411376,1,2,1,1,2,1,
140756911376,1,2,1,1,1,1,
140757411376,1,2,2,1,1,1,
140757911376,1,2,2,1,1,1,
140758911376,1,2,1,1,1,1,
140759411376,1,2,2,1,1,1,
140759911376,1,2,2,2,1,1,
140760411376,1,2,1,1,1,1,
140760911376,1,2,1,1,1,1,
140761411376,1,2,1,1,1,1,
140761911376,1,2,1,1,1,1,
140762411376,1,2,2,1,1,1,
140762911376,1,2,2,1,1,1,
140763411376,1,2,1,1,1,1,
140763911376,1,2,1,2,2,1,
140765411376,1,2,1,1,1,1,
140766911376,1,2,1,1,1,1,
140767411376,1,2,1,1,2,2,
140767911376,1,2,1,1,1,1,
140768411376,1,2,1,1,1,1,
140768911376,1,2,1,1,1,1,
140769911376,1,2,1,1,1,1,
140770411376,1,2,2,1,1,1,
140773911376,1,2,1,1,1,1,
140774411376,1,2,1,1,1,2,
140774911376,1,2,2,1,2,2,
140775411376,1,2,1,1,1,1,
140776411376,1,2,1,1,1,1,
140776911376,1,2,2,2,1,1,
140777411376,1,2,1,1,1,1,
140778911376,1,2,1,1,1,1,
140781911376,1,2,1,1,1,1,
140783911376,1,2,1,1,1,1,
140785911376,1,2,1,1,1,1,
140786411376,1,2,1,1,1,1,
140786911376,1,2,1,1,1,1,
140787911376,1,2,1,1,1,1,
140788411376,1,2,2,1,1,1,
140789911376,1,2,1,1,1,1,
140791411376,1,2,1,1,1,1,
140791911376,1,2,1,1,1,1,
140792911376,1,2,2,1,1,1,
140793911376,1,2,1,1,1,1,
140794411376,1,2,2,1,1,1,
140795411376,1,2,2,1,2,1,
140797411376,1,2,1,1,1,1,
140797911376,1,2,1,1,1,1,
140798411376,1,2,2,1,1,1,
140798911376,1,2,2,1,1,1,
140800411376,1,2,1,1,1,1,
140801911376,1,2,1,1,1,1,
140802411376,1,2,1,1,1,1,
140803411376,1,2,2,1,1,1,
140804411376,1,2,1,2,1,2,
140804911376,1,2,1,1,1,1,
140805411376,1,2,1,2,2,1,
140806411376,1,2,1,1,1,1,
140806911376,1,2,2,2,2,2,
140807411376,1,2,1,1,1,1,
140807911376,1,2,2,1,1,1,
140808411376,1,2,1,1,1,1,
140808911376,1,2,1,1,1,1,
140809911376,1,2,1,1,1,1,
140810411376,1,2,1,2,1,1,
140810911376,1,2,1,1,1,1,
140811411376,1,2,1,1,1,1,
140813411376,1,2,2,1,1,1,
140814411376,1,2,1,1,1,1,
140815411376,1,2,2,2,1,1,
140817411376,1,2,1,1,1,1,
140819911376,1,2,1,1,1,1,
140820911376,1,2,2,1,1,1,
140821411376,1,2,2,1,1,1,
140821911376,1,2,2,1,1,1,
140822911376,1,2,1,1,1,1,
140823911376,1,2,1,1,1,1,
140824411376,1,2,1,1,1,1,
140824911376,1,2,1,1,1,1,
140825411376,1,2,2,1,2,1,
140825911376,1,2,2,1,2,2,
140826911376,1,2,1,1,1,1,
140827411376,1,2,1,1,1,1,
140828911376,1,2,1,1,1,1,
140829911376,1,2,1,1,1,1,
140834411376,1,2,2,1,1,1,
140834911376,1,2,2,1,1,1,
140835911376,1,2,2,1,1,1,
140836411376,1,2,1,1,1,1,
140836911376,1,2,1,1,1,1,
140837911376,1,2,2,1,1,1,
140839411376,1,2,2,1,1,1,
140839911376,1,2,1,1,1,1,
140840911376,1,2,2,2,2,2,
140841411376,1,2,1,1,1,1,
140841911376,1,2,1,1,1,1,
140842411376,1,2,1,1,1,1,
140842911376,1,2,1,1,1,1,
140843911376,1,2,1,1,1,1,
140844411376,1,2,2,1,2,1,
140844911376,1,2,1,1,1,1,
140845411376,1,2,1,1,1,1,
140845911376,1,2,1,1,1,1,
140846411376,1,2,1,1,1,1,
140849411376,1,2,1,1,1,1,
140850411376,1,2,1,1,1,1,
140850911376,1,2,2,1,1,1,
140851411376,1,2,1,1,1,1,
140852911376,1,2,1,1,1,1,
140853411376,1,2,2,2,2,2,
140855911376,1,2,1,1,1,1,
140857911376,1,2,1,2,1,1,
140858911376,1,2,1,1,1,1,
140859411376,1,2,2,1,1,1,
140859911376,1,2,1,1,1,1,
140860911376,1,2,1,1,1,1,
140861411376,1,2,1,1,1,1,
140862911376,1,2,1,1,1,1,
140864411376,1,2,2,2,2,2,
140865411376,1,2,1,1,1,1,
140866411376,1,2,2,1,1,1,
140867911376,1,2,1,2,2,1,
140869911376,1,2,1,1,1,1,
140870911376,1,2,2,1,1,1,
140871911376,1,2,1,1,1,1,
140872411376,1,2,1,1,1,1,
140877911376,1,2,1,1,1,1,
140878911376,1,2,1,1,1,1,
140879411376,1,2,2,1,1,1,
140879911376,1,2,2,1,1,1,
140880911376,1,2,1,1,1,1,
140881411376,1,2,1,1,1,1,
140881911376,1,2,1,1,1,1,
140882411376,1,2,1,1,1,1,
