,W-0,R-0,R-1,R-2,R-3,R-4,
141616724412,1,2,1,1,1,1,
141617224412,1,2,2,1,1,1,
141618224412,1,2,1,1,1,1,
141619224412,1,2,2,1,2,2,
141620224412,1,2,1,1,1,1,
141623724412,1,2,1,1,1,1,
141624224412,1,2,2,1,1,1,
141625224412,1,2,2,2,2,2,
141629224412,1,2,1,1,1,1,
141631724412,1,2,2,2,1,1,
141632724412,1,2,1,1,1,1,
141634224412,1,2,1,1,1,1,
141634724412,1,2,1,1,1,1,
141635224412,1,2,2,1,1,1,
141638224412,1,2,1,1,1,1,
141638724412,1,2,1,1,1,1,
141639224412,1,2,1,1,1,1,
141639724412,1,2,2,1,1,1,
141640724412,1,2,1,1,1,1,
141643724412,1,2,1,1,1,1,
141645724412,1,2,2,1,1,1,
141646224412,1,2,1,1,1,1,
141646724412,1,2,2,1,1,1,
141648224412,1,2,1,1,1,1,
141648724412,1,2,2,1,1,1,
141651224412,1,2,2,1,1,1,
141652224412,1,2,1,1,1,1,
141652724412,1,2,1,1,1,1,
141654724412,1,2,1,1,1,1,
141655724412,1,2,1,1,1,1,
141656224412,1,2,2,2,2,2,
141657224412,1,2,1,1,1,1,
141658224412,1,2,1,1,1,1,
141658724412,1,2,1,1,1,1,
141660224412,1,2,1,1,1,1,
141661724412,1,2,1,1,1,1,
141662224412,1,2,1,2,1,1,
141664724412,1,2,2,2,2,2,
141665224412,1,2,2,1,1,1,
141665724412,1,2,1,1,1,1,
141666724412,1,2,1,1,1,1,
141667224412,1,2,1,1,1,1,
141667724412,1,2,2,2,1,1,
141669224412,1,2,1,1,1,1,
141669724412,1,2,2,1,1,1,
141670724412,1,2,2,2,1,1,
141671224412,1,2,1,1,1,1,
141672224412,1,2,1,1,1,1,
141672724412,1,2,2,2,1,1,
141673224412,1,2,1,1,1,1,
141673724412,1,2,2,1,1,1,
141675224412,1,2,2,1,2,2,
141677224412,1,2,1,1,1,1,
141678224412,1,2,2,1,1,1,
141678724412,1,2,1,1,1,1,
141679224412,1,2,1,1,1,1,
141679724412,1,2,1,1,2,1,
141681224412,1,2,1,1,1,1,
141683724412,1,2,2,1,1,1,
141684224412,1,2,2,2,1,2,
141684724412,1,2,1,1,1,1,
141685724412,1,2,2,1,1,1,
141686724412,1,2,2,2,2,2,
141687224412,1,2,1,1,1,1,
141687724412,1,2,1,1,1,1,
141688224412,1,2,2,2,1,1,
141689224412,1,2,2,1,1,1,
141690724412,1,2,1,1,1,1,
141691224412,1,2,2,1,1,1,
141691724412,1,2,2,1,1,1,
141692224412,1,2,1,1,1,1,
141693724412,1,2,1,1,1,1,
141694724412,1,2,1,1,1,1,
141695224412,1,2,2,1,1,1,
141695724412,1,2,1,1,1,1,
141696224412,1,2,1,1,1,1,
141697224412,1,2,1,1,1,1,
