,W-0,R-0,R-1,R-2,R-3,R-4,
118984972490,1,1,2,1,1,1,
118985472490,1,2,2,1,1,2,
118986472490,1,2,2,1,2,2,
118987472490,1,2,1,1,1,1,
118988472490,1,2,1,1,1,1,
118991972490,1,2,2,2,2,2,
118992472490,1,2,1,1,1,1,
118993472490,1,2,1,1,2,1,
118997472490,1,2,1,1,1,1,
118999972490,1,2,1,1,1,1,
119000972490,1,1,1,1,1,1,
119002472490,1,2,2,2,2,1,
119002972490,1,2,2,1,1,1,
119003472490,1,2,1,1,1,1,
119006472490,1,1,1,1,1,1,
119006972490,1,1,1,1,1,1,
119007472490,1,2,1,1,1,1,
119007972490,1,2,1,1,1,1,
119008972490,1,2,1,1,1,1,
119011972490,1,1,1,1,1,1,
119013972490,1,2,1,1,1,1,
119014472490,1,2,1,1,1,1,
119014972490,1,2,1,2,1,1,
119016472490,1,2,1,1,1,1,
119016972490,1,2,1,1,1,1,
119019472490,1,1,2,1,1,1,
119020472490,1,2,2,1,1,1,
119020972490,1,2,2,2,1,1,
119022972490,1,2,1,1,1,1,
119023972490,1,1,1,1,1,1,
119024472490,1,2,1,1,1,1,
119025472490,1,2,2,1,1,1,
119026472490,1,2,2,1,1,1,
119026972490,1,2,1,1,1,1,
119028472490,1,2,1,1,1,1,
119029972490,1,2,1,1,1,1,
119030472490,1,2,1,1,1,1,
119032972490,1,2,2,1,1,1,
119033472490,1,2,1,1,1,1,
119033972490,1,1,1,1,1,1,
119034972490,1,2,1,1,1,1,
119035472490,1,2,2,1,2,1,
119035972490,1,1,1,1,1,1,
119037472490,1,2,2,1,1,1,
119037972490,1,1,1,1,1,1,
119038972490,1,2,1,1,1,1,
119039472490,1,1,2,1,1,1,
119040472490,1,2,1,2,1,1,
119040972490,1,2,2,1,1,1,
119041472490,1,1,1,1,1,1,
119041972490,1,1,1,1,1,1,
119043472490,1,1,1,1,1,1,
119045472490,1,2,1,1,1,1,
119046472490,1,2,1,1,1,1,
119046972490,1,2,1,1,2,1,
119047472490,1,2,2,1,1,1,
119047972490,1,2,1,2,1,2,
119049472490,1,2,1,1,1,1,
119051972490,1,2,2,2,2,2,
119052472490,1,2,1,1,1,1,
119052972490,1,2,2,1,1,1,
119053972490,1,1,1,1,1,1,
119054972490,1,2,1,1,1,1,
119055472490,1,1,2,1,1,1,
119055972490,1,2,1,1,1,1,
119056472490,1,2,1,1,1,1,
119057472490,1,2,1,1,1,1,
119058972490,1,2,1,2,1,1,
119059472490,1,1,2,1,1,2,
119059972490,1,2,1,1,1,1,
119060472490,1,2,2,1,1,1,
119061972490,1,2,2,1,1,1,
119062972490,1,2,1,1,1,1,
119063472490,1,1,2,1,2,1,
119063972490,1,1,1,1,1,1,
119064472490,1,2,2,1,1,1,
119065472490,1,2,2,2,1,2,
119065972490,1,2,1,1,1,1,
119069972490,1,1,2,1,1,1,
119070472490,1,2,1,1,1,1,
119072472490,1,2,2,1,1,1,
119072972490,1,2,1,1,1,1,
119073472490,1,2,1,1,1,1,
119073972490,1,2,1,1,1,1,
119075472490,1,2,1,1,1,1,
119076472490,1,2,1,1,1,1,
119078972490,1,1,2,1,1,1,
119079472490,1,2,1,1,1,1,
119079972490,1,2,1,1,2,1,
119080472490,1,2,1,1,1,1,
119081472490,1,2,1,1,1,1,
119081972490,1,1,1,1,1,2,
119082472490,1,1,1,1,1,1,
119085972490,1,2,1,1,1,1,
119086472490,1,2,1,1,1,1,
119087472490,1,2,1,1,2,1,
119089972490,1,2,2,2,2,2,
119090472490,1,2,1,1,1,1,
119091972490,1,2,1,1,1,1,
119092972490,1,2,1,1,1,1,
119093472490,1,2,2,1,1,1,
119093972490,1,2,2,2,1,2,
119094972490,1,1,2,1,1,2,
119095972490,1,2,2,1,2,2,
119096972490,1,2,2,1,1,1,
119098472490,1,2,2,1,1,1,
119098972490,1,1,1,1,1,1,
119099972490,1,2,1,1,1,1,
119100472490,1,1,1,1,1,1,
119100972490,1,2,1,1,1,1,
119101472490,1,1,1,2,1,1,
119102472490,1,2,1,1,1,1,
119103472490,1,1,1,1,1,1,
119103972490,1,2,1,1,1,1,
119104472490,1,1,1,1,1,1,
119104972490,1,2,1,1,1,1,
119107472490,1,2,1,1,1,1,
119107972490,1,1,2,1,1,1,
119109972490,1,2,1,2,1,1,
119110472490,1,1,1,1,1,1,
119110972490,1,2,1,1,1,1,
119111972490,1,2,1,1,1,1,
119112472490,1,2,1,1,1,1,
119116472490,1,2,1,1,1,1,
119116972490,1,2,1,1,1,1,
119117972490,1,2,1,1,1,1,
119120472490,1,1,1,1,1,1,
119121472490,1,1,1,1,1,1,
119122472490,1,2,1,1,1,1,
119124472490,1,2,1,1,1,1,
119124972490,1,2,1,1,1,1,
119125472490,1,1,1,1,1,1,
119125972490,1,1,1,1,1,1,
119126972490,1,1,1,1,1,1,
119127472490,1,2,1,1,1,1,
119127972490,1,1,2,1,1,1,
119128972490,1,1,1,1,1,1,
119129472490,1,1,2,2,1,2,
119130472490,1,2,1,1,1,1,
119130972490,1,2,1,2,1,1,
119131472490,1,1,2,1,2,1,
119132972490,1,1,2,1,1,1,
119133972490,1,1,1,1,1,1,
119135972490,1,2,1,1,1,1,
