,W-0,R-0,R-1,R-2,R-3,R-4,
120770284084,1,2,1,1,1,1,
120770784084,1,1,1,1,1,1,
120771784084,1,2,1,1,1,1,
120772784084,1,2,1,1,1,1,
120773784084,1,1,1,1,1,1,
120777284084,1,1,1,1,1,1,
120777784084,1,2,1,1,1,1,
120778784084,1,1,1,1,1,1,
120782784084,1,1,1,1,1,1,
120785284084,1,1,1,1,1,1,
120786284084,1,1,1,1,1,1,
120787784084,1,1,1,1,1,1,
120788284084,1,2,1,1,1,1,
120788784084,1,2,1,1,1,1,
120791784084,1,1,1,1,1,1,
120792284084,1,1,1,1,1,1,
120792784084,1,1,1,1,1,1,
120793284084,1,1,1,1,1,1,
120794284084,1,1,1,1,1,1,
120797284084,1,2,1,1,1,1,
120799284084,1,1,1,1,1,1,
120799784084,1,2,1,1,1,1,
120800284084,1,2,1,1,1,1,
120801784084,1,1,1,1,1,1,
120802284084,1,2,1,1,1,1,
120804784084,1,2,1,1,1,1,
120805784084,1,1,1,1,1,1,
120806284084,1,1,1,1,1,1,
120808284084,1,1,1,1,1,1,
120809284084,1,1,1,1,1,1,
120809784084,1,1,1,1,1,1,
120810784084,1,1,1,1,1,1,
120811784084,1,1,1,1,1,1,
120812284084,1,2,1,1,1,1,
120813784084,1,1,1,1,1,1,
120815284084,1,1,1,1,1,1,
120815784084,1,2,1,1,1,1,
120818284084,1,1,1,1,1,1,
120818784084,1,1,1,1,1,1,
120819284084,1,2,1,1,1,1,
120820284084,1,2,1,1,1,1,
120820784084,1,2,1,1,1,1,
120821284084,1,1,1,1,1,1,
120822784084,1,1,1,1,1,1,
120823284084,1,2,1,1,1,1,
120824284084,1,1,1,1,1,1,
120824784084,1,1,1,1,1,1,
120825784084,1,1,1,1,1,1,
120826284084,1,2,1,1,1,1,
120826784084,1,2,1,1,1,1,
120827284084,1,1,1,1,1,1,
120828784084,1,2,1,1,1,1,
120830784084,1,1,1,1,1,1,
120831784084,1,1,1,1,1,1,
120832284084,1,1,1,1,1,1,
120832784084,1,2,1,1,1,1,
120833284084,1,1,1,1,1,1,
120834784084,1,1,1,1,1,1,
120837284084,1,2,1,1,1,1,
120837784084,1,1,1,1,1,1,
120838284084,1,1,1,1,1,1,
120839284084,1,2,1,1,1,1,
120840284084,1,2,1,1,1,1,
120840784084,1,1,1,1,1,1,
120841284084,1,1,1,1,1,1,
120841784084,1,1,1,1,1,1,
120842784084,1,1,1,1,1,1,
120844284084,1,1,1,1,1,1,
120844784084,1,1,1,1,1,1,
120845284084,1,1,1,1,1,1,
120845784084,1,1,1,1,1,1,
120847284084,1,1,1,1,1,1,
120848284084,1,1,1,1,1,1,
120848784084,1,1,1,1,1,1,
120849284084,1,2,1,1,1,1,
120849784084,1,1,1,1,1,1,
120850784084,1,1,1,1,1,1,
120851284084,1,2,1,1,1,1,
120855284084,1,1,1,1,1,1,
120855784084,1,2,1,1,1,1,
120857784084,1,1,1,1,1,1,
120858284084,1,2,1,1,1,1,
120858784084,1,1,1,1,1,1,
120859284084,1,1,1,1,1,1,
120860784084,1,1,1,1,1,1,
120861784084,1,1,1,1,1,1,
120864284084,1,1,1,1,1,1,
120864784084,1,1,1,1,1,1,
120865284084,1,1,1,1,1,1,
120865784084,1,2,1,1,1,1,
120866784084,1,1,1,1,1,1,
120867284084,1,1,1,1,1,1,
120867784084,1,2,1,1,1,1,
120871284084,1,1,1,1,1,1,
120871784084,1,2,1,1,1,1,
120872784084,1,1,1,1,1,1,
120875284084,1,1,1,1,1,1,
120875784084,1,1,1,1,1,1,
120877284084,1,2,1,1,1,1,
120878284084,1,2,1,1,1,1,
120878784084,1,1,1,1,1,1,
120879284084,1,1,1,1,1,1,
120880284084,1,1,1,1,1,1,
120881284084,1,1,1,1,1,1,
120882284084,1,1,1,1,1,1,
120883784084,1,2,1,1,1,1,
120884284084,1,1,1,1,1,1,
120885284084,1,1,1,1,1,1,
120885784084,1,1,1,1,1,1,
120886284084,1,1,1,1,1,1,
120886784084,1,2,1,1,1,1,
120887784084,1,1,1,1,1,1,
120888784084,1,1,1,1,1,1,
120889284084,1,1,1,1,1,1,
120889784084,1,2,1,1,1,1,
120890284084,1,2,1,1,1,1,
120892784084,1,2,1,1,1,1,
120893284084,1,2,1,1,1,1,
120895284084,1,1,1,1,1,1,
120895784084,1,1,1,1,1,1,
120896284084,1,1,1,1,1,1,
120897284084,1,1,1,1,1,1,
120897784084,1,2,1,1,1,1,
120901784084,1,1,1,1,1,1,
120902284084,1,1,1,1,1,1,
120903284084,1,1,1,1,1,1,
120905784084,1,1,1,1,1,1,
120906784084,1,1,1,1,1,1,
120907784084,1,1,1,1,1,1,
120909784084,1,1,1,1,1,1,
120910284084,1,1,1,1,1,1,
120910784084,1,2,1,1,1,1,
120911284084,1,2,1,1,1,1,
120912284084,1,1,1,1,1,1,
120912784084,1,1,1,1,1,1,
120913284084,1,1,1,1,1,1,
120914284084,1,1,1,1,1,1,
120914784084,1,1,1,1,1,1,
120915784084,1,1,1,1,1,1,
120916284084,1,1,1,1,1,1,
120916784084,1,1,1,1,1,1,
120918284084,1,1,1,1,1,1,
120919284084,1,2,1,1,1,1,
120921284084,1,2,1,1,1,1,
120921784084,1,2,1,1,1,1,
120922284084,1,1,1,1,1,1,
120922784084,1,1,1,1,1,1,
120923784084,1,2,1,1,1,1,
120924784084,1,1,1,1,1,1,
120925284084,1,1,1,1,1,1,
120926284084,1,1,1,1,1,1,
120926784084,1,2,1,1,1,1,
120927284084,1,1,1,1,1,1,
120927784084,1,1,1,1,1,1,
120928784084,1,1,1,1,1,1,
120929284084,1,2,1,1,1,1,
120930284084,1,1,1,1,1,1,
120930784084,1,1,1,1,1,1,
120931784084,1,1,1,1,1,1,
120932284084,1,2,1,1,1,1,
120933284084,1,1,1,1,1,1,
120933784084,1,1,1,1,1,1,
120936784084,1,2,1,1,1,1,
120938784084,1,1,1,1,1,1,
120939784084,1,1,1,1,1,1,
120940284084,1,2,1,1,1,1,
120940784084,1,2,1,1,1,1,
120941784084,1,2,1,1,1,1,
120942784084,1,1,1,1,1,1,
120943284084,1,2,1,1,1,1,
120943784084,1,1,1,1,1,1,
120944284084,1,1,1,1,1,1,
120944784084,1,1,1,1,1,1,
120946284084,1,1,1,1,1,1,
120947284084,1,1,1,1,1,1,
120947784084,1,1,1,1,1,1,
120950284084,1,1,1,1,1,1,
120951284084,1,2,1,1,1,1,
120952784084,1,1,1,1,1,1,
120953784084,1,1,1,1,1,1,
120954284084,1,1,1,1,1,1,
120955784084,1,1,1,1,1,1,
120958284084,1,1,1,1,1,1,
120958784084,1,1,1,1,1,1,
120959284084,1,1,1,1,1,1,
120960784084,1,1,1,1,1,1,
120961284084,1,1,1,1,1,1,
120963284084,1,1,1,1,1,1,
120963784084,1,1,1,1,1,1,
120964284084,1,1,1,1,1,1,
120965284084,1,1,1,1,1,1,
120966284084,1,1,1,1,1,1,
120966784084,1,2,1,1,1,1,
120967284084,1,1,1,1,1,1,
120967784084,1,1,1,1,1,1,
120968284084,1,1,1,1,1,1,
120968784084,1,1,1,1,1,1,
120969284084,1,2,1,1,1,1,
120970784084,1,1,1,1,1,1,
120972284084,1,1,1,1,1,1,
120974284084,1,1,1,1,1,1,
120975784084,1,2,1,1,1,1,
120976284084,1,1,1,1,1,1,
120977784084,1,1,1,1,1,1,
120978284084,1,1,1,1,1,1,
120980284084,1,1,1,1,1,1,
120981284084,1,1,1,1,1,1,
120982284084,1,2,1,1,1,1,
120982784084,1,2,1,1,1,1,
120983784084,1,1,1,1,1,1,
120984784084,1,1,1,1,1,1,
120985284084,1,1,1,1,1,1,
120985784084,1,2,1,1,1,1,
120988284084,1,1,1,1,1,1,
120991784084,1,1,1,1,1,1,
120992284084,1,1,1,1,1,1,
120992784084,1,1,1,1,1,1,
120993784084,1,1,1,1,1,1,
120994784084,1,1,1,1,1,1,
120995284084,1,1,1,1,1,1,
120996284084,1,1,1,1,1,1,
120996784084,1,1,1,1,1,1,
120997284084,1,2,1,1,1,1,
120997784084,1,2,1,1,1,1,
120999784084,1,1,1,1,1,1,
121000284084,1,1,1,1,1,1,
121001784084,1,1,1,1,1,1,
121002784084,1,1,1,1,1,1,
121008284084,1,1,1,1,1,1,
121010284084,1,1,1,1,1,1,
121011784084,1,1,1,1,1,1,
121014284084,1,1,1,1,1,1,
121016784084,1,2,1,1,1,1,
121017284084,1,2,1,1,1,1,
121017784084,1,2,1,1,1,1,
121018284084,1,2,1,1,1,1,
121019784084,1,2,1,1,1,1,
121020284084,1,2,1,1,1,1,
121020784084,1,1,1,1,1,1,
121021784084,1,1,1,1,1,1,
121022284084,1,1,1,1,1,1,
121022784084,1,1,1,1,1,1,
121023284084,1,2,1,1,1,1,
121024284084,1,1,1,1,1,1,
121024784084,1,1,1,1,1,1,
121025284084,1,2,1,1,1,1,
121025784084,1,1,1,1,1,1,
121026284084,1,2,1,1,1,1,
121026784084,1,2,2,1,1,1,
121028284084,1,1,1,1,1,1,
121028784084,1,1,1,1,1,1,
121030784084,1,1,1,1,1,1,
121031284084,1,1,1,1,1,1,
121032784084,1,1,1,1,1,1,
121033784084,1,1,1,1,1,1,
121036284084,1,2,1,1,1,1,
121036784084,1,1,1,1,1,1,
121037784084,1,2,1,1,1,1,
121039284084,1,2,1,1,1,1,
121040284084,1,1,1,1,1,1,
121042284084,1,2,1,1,1,1,
121042784084,1,2,1,1,1,1,
121043284084,1,2,1,1,1,1,
121043784084,1,2,1,1,1,1,
121044284084,1,1,1,1,1,1,
121045284084,1,1,1,1,1,1,
121046284084,1,1,1,1,1,1,
121046784084,1,2,1,1,1,1,
121047784084,1,1,1,1,1,1,
121048784084,1,1,1,1,1,1,
121049784084,1,1,1,1,1,1,
121050284084,1,1,1,1,1,1,
121052284084,1,1,1,1,1,1,
121052784084,1,1,1,1,1,1,
121053284084,1,1,1,1,1,1,
121053784084,1,2,1,1,1,1,
121055284084,1,1,1,1,1,1,
121055784084,1,1,1,1,1,1,
121057784084,1,1,1,1,1,1,
121058284084,1,1,1,1,1,1,
121060284084,1,1,1,1,1,1,
121061284084,1,1,1,1,1,1,
121061784084,1,1,1,1,1,1,
121062284084,1,2,1,1,1,1,
121062784084,1,1,1,1,1,1,
121063284084,1,1,1,1,1,1,
121064784084,1,1,1,1,1,1,
121066284084,1,2,1,1,1,1,
121066784084,1,1,1,1,1,1,
121067784084,1,1,1,1,1,1,
121068784084,1,1,1,1,1,1,
121069284084,1,1,1,1,1,1,
121071284084,1,1,1,1,1,1,
121071784084,1,1,1,1,1,1,
121072284084,1,2,1,1,1,1,
121072784084,1,2,1,1,1,1,
121073784084,1,1,1,1,1,1,
121075284084,1,1,1,1,1,1,
121076284084,1,1,1,1,1,1,
121076784084,1,1,1,1,1,1,
121077284084,1,2,1,1,1,1,
121077784084,1,2,1,1,1,1,
121078284084,1,2,1,1,1,1,
121079784084,1,1,1,1,1,1,
121080784084,1,1,1,1,1,1,
121081284084,1,1,1,1,1,1,
121082284084,1,1,1,1,1,1,
121082784084,1,1,1,1,1,1,
121083284084,1,2,1,1,1,1,
121084784084,1,2,1,1,1,1,
121085284084,1,1,1,1,1,1,
121086284084,1,2,1,1,1,1,
121087784084,1,1,1,1,1,1,
121088784084,1,1,1,1,1,1,
121089284084,1,1,1,1,1,1,
121089784084,1,1,1,1,1,1,
121091284084,1,1,1,1,1,1,
121091784084,1,2,1,1,1,1,
121093284084,1,1,1,1,1,1,
121094284084,1,1,1,1,1,1,
121094784084,1,1,1,1,1,1,
121095784084,1,1,1,1,1,1,
121096784084,1,1,1,1,1,1,
121097284084,1,1,1,1,1,1,
121097784084,1,1,1,1,1,1,
121099784084,1,1,1,1,1,1,
121100784084,1,1,1,1,1,1,
121101284084,1,1,1,1,1,1,
121101784084,1,1,1,1,1,1,
121102284084,1,1,1,1,1,1,
121103284084,1,1,1,1,1,1,
121103784084,1,1,1,1,1,1,
121104284084,1,1,1,1,1,1,
121104784084,1,2,1,1,1,1,
121105284084,1,1,1,1,1,1,
121105784084,1,1,1,1,1,1,
121106284084,1,1,1,1,1,1,
121106784084,1,1,1,1,1,1,
121107284084,1,2,1,1,1,1,
121107784084,1,1,1,1,1,1,
121108284084,1,1,1,1,1,1,
121109784084,1,1,1,1,1,1,
121111284084,1,2,1,1,1,1,
121111784084,1,1,1,1,1,1,
121112284084,1,2,1,1,1,1,
121112784084,1,1,1,1,1,1,
121113284084,1,1,1,1,1,1,
121114284084,1,1,1,1,1,1,
121114784084,1,2,1,1,1,1,
121118284084,1,1,1,1,1,1,
121118784084,1,1,1,1,1,1,
121119284084,1,2,1,1,1,1,
121119784084,1,2,1,1,1,1,
121120784084,1,1,1,1,1,1,
121121284084,1,1,1,1,1,1,
121121784084,1,2,1,1,1,1,
121123284084,1,1,1,1,1,1,
121126284084,1,1,1,1,1,1,
121128284084,1,2,1,1,1,1,
121130284084,1,2,1,1,1,1,
121130784084,1,1,1,1,1,1,
121131284084,1,1,1,1,1,1,
121132284084,1,1,1,1,1,1,
121132784084,1,2,1,1,1,1,
121134284084,1,1,1,1,1,1,
121135784084,1,2,1,1,1,1,
121136284084,1,2,2,1,1,1,
121137284084,1,1,1,1,1,1,
121138284084,1,1,1,1,1,1,
121138784084,1,1,1,1,1,1,
121139784084,1,1,1,1,1,1,
121141784084,1,2,1,1,1,1,
121142284084,1,2,1,1,1,1,
121142784084,1,1,1,1,1,1,
121143284084,1,1,1,1,1,1,
121144784084,1,1,1,1,1,1,
