,W-0,R-0,R-1,R-2,R-3,R-4,
121365267910,1,2,1,1,1,1,
121365767910,1,2,1,1,1,1,
121366767910,1,1,1,1,1,1,
121367767910,1,2,1,1,1,1,
121368767910,1,2,1,1,1,1,
121372267910,1,1,1,1,1,1,
121372767910,1,1,1,1,1,1,
121373767910,1,1,1,1,1,1,
121377767910,1,2,1,1,1,1,
121380267910,1,2,1,1,1,1,
121381267910,1,2,1,1,1,1,
121382767910,1,2,1,1,1,1,
121383267910,1,1,1,1,1,1,
121383767910,1,1,1,1,1,1,
121386767910,1,1,1,1,1,1,
121387267910,1,1,1,1,1,1,
121387767910,1,2,1,1,1,1,
121388267910,1,1,1,1,1,1,
121389267910,1,1,1,1,1,1,
121392267910,1,1,1,1,1,1,
121394267910,1,2,1,1,1,1,
121394767910,1,2,1,1,1,1,
121395267910,1,2,1,1,1,1,
121396767910,1,1,1,1,1,1,
121397267910,1,1,1,1,1,1,
121399767910,1,2,1,1,1,1,
121400767910,1,2,1,1,1,1,
121401267910,1,1,1,1,1,1,
121403267910,1,2,1,1,1,1,
121404267910,1,2,1,1,1,1,
121404767910,1,1,1,1,1,1,
121405767910,1,1,1,1,1,1,
121406767910,1,1,1,1,1,1,
121407267910,1,2,1,1,1,1,
121408767910,1,1,1,1,1,1,
121410267910,1,2,1,1,1,1,
121410767910,1,1,1,1,1,1,
121413267910,1,2,1,1,1,1,
121413767910,1,2,1,1,1,1,
121414267910,1,1,1,1,1,1,
121415267910,1,1,1,1,1,1,
121415767910,1,2,1,1,1,1,
121416267910,1,1,1,1,1,1,
121417767910,1,1,1,1,1,1,
121418267910,1,2,1,1,1,1,
121419267910,1,1,1,1,1,1,
121419767910,1,2,1,1,1,1,
121420767910,1,1,1,1,1,1,
121421267910,1,1,1,1,1,1,
121421767910,1,1,1,1,1,1,
121422267910,1,1,1,1,1,1,
121423767910,1,1,1,1,1,1,
121425767910,1,1,1,1,1,1,
121426767910,1,1,1,1,1,1,
121427267910,1,2,1,1,1,1,
121427767910,1,1,1,1,1,1,
121428267910,1,1,1,1,1,1,
121429767910,1,1,1,1,1,1,
121432267910,1,2,1,1,1,1,
121432767910,1,2,1,1,1,1,
121433267910,1,1,1,1,1,1,
121434267910,1,2,1,1,1,1,
121435267910,1,2,1,1,1,1,
121435767910,1,1,1,1,1,1,
121436267910,1,2,1,1,1,1,
121436767910,1,2,1,1,1,1,
121437767910,1,2,1,1,1,1,
121439267910,1,1,1,1,1,1,
121439767910,1,1,1,1,1,1,
121440267910,1,1,1,1,1,1,
121440767910,1,2,1,1,1,1,
121442267910,1,1,1,1,1,1,
121443267910,1,2,1,1,1,1,
121443767910,1,1,1,1,1,1,
121444267910,1,1,1,1,1,1,
121444767910,1,1,1,1,1,1,
121445767910,1,2,1,1,1,1,
121446267910,1,1,1,1,1,1,
121450267910,1,2,1,1,1,1,
121450767910,1,1,1,1,1,1,
121452767910,1,2,1,1,1,1,
121453267910,1,1,1,1,1,1,
121453767910,1,1,1,1,1,1,
121454267910,1,2,1,1,1,1,
121455767910,1,1,1,1,1,1,
121456767910,1,1,1,1,1,1,
121459267910,1,1,1,1,1,1,
121459767910,1,2,1,1,1,1,
121460267910,1,2,1,1,1,1,
121460767910,1,2,1,1,1,1,
121461767910,1,2,1,1,1,1,
121462267910,1,1,1,1,1,1,
121462767910,1,1,1,1,1,1,
121466267910,1,1,1,1,1,1,
121466767910,1,1,1,1,1,1,
121467767910,1,1,1,1,1,1,
121470267910,1,1,1,1,1,1,
121470767910,1,2,2,1,1,1,
121472267910,1,1,1,1,1,1,
121473267910,1,1,1,1,1,1,
121473767910,1,2,1,1,1,1,
121474267910,1,1,1,1,1,1,
121475267910,1,2,1,1,1,1,
121476267910,1,2,1,1,1,1,
121477267910,1,2,1,1,1,1,
121478767910,1,1,1,1,1,1,
121479267910,1,1,1,1,1,1,
121480267910,1,2,1,1,1,1,
121480767910,1,1,1,1,1,1,
121481267910,1,2,1,1,1,1,
121481767910,1,1,1,1,1,1,
121482767910,1,2,1,1,1,1,
121483767910,1,1,1,1,1,1,
121484267910,1,2,1,1,1,1,
121484767910,1,2,1,1,1,1,
121485267910,1,2,1,1,1,1,
121487767910,1,1,1,1,1,1,
121488267910,1,2,1,1,1,1,
121490267910,1,2,1,1,1,1,
121490767910,1,1,1,1,1,1,
121491267910,1,2,1,1,1,1,
121492267910,1,1,1,1,1,1,
121492767910,1,1,1,1,1,1,
121496767910,1,2,1,1,1,1,
121497267910,1,1,1,1,1,1,
121498267910,1,1,1,1,1,1,
121500767910,1,1,1,1,1,1,
121501767910,1,1,1,1,1,1,
121502767910,1,2,1,1,1,1,
121504767910,1,1,1,1,1,1,
121505267910,1,1,1,1,1,1,
121505767910,1,2,1,1,1,1,
121506267910,1,1,1,1,1,1,
121507267910,1,1,1,1,1,1,
121507767910,1,1,1,1,1,1,
121508267910,1,1,1,1,1,1,
121509267910,1,2,1,1,1,1,
121509767910,1,1,1,1,1,1,
121510767910,1,1,1,1,1,1,
121511267910,1,2,1,1,1,1,
121511767910,1,1,1,1,1,1,
121513267910,1,1,1,1,1,1,
121514267910,1,1,1,1,1,1,
121516267910,1,1,1,1,1,1,
121516767910,1,1,1,1,1,1,
121517267910,1,1,1,1,1,1,
121517767910,1,1,1,1,1,1,
121518767910,1,2,1,1,1,1,
121519767910,1,1,1,1,1,1,
121520267910,1,1,1,1,1,1,
121521267910,1,1,1,1,1,1,
