,W-0,R-0,R-1,R-2,R-3,R-4,
122555923933,1,2,1,1,1,1,
122556423933,1,2,2,2,1,2,
122557423933,1,2,1,1,1,1,
122558423933,1,2,2,1,1,1,
122559423933,1,2,1,1,1,1,
122562923933,1,2,1,1,1,1,
122563423933,1,2,1,2,2,2,
122564423933,1,2,1,1,1,1,
122568423933,1,2,1,2,1,2,
122570923933,1,2,1,1,1,1,
122571923933,1,2,2,2,1,2,
122573423933,1,2,2,2,1,1,
122573923933,1,2,1,1,1,1,
122574423933,1,2,2,2,1,1,
122577423933,1,2,2,1,1,1,
122577923933,1,2,1,1,1,1,
122578423933,1,2,2,2,2,1,
122578923933,1,2,2,1,1,1,
122579923933,1,2,2,1,2,2,
122582923933,1,2,2,1,1,1,
122584923933,1,2,2,2,2,2,
122585423933,1,2,2,2,1,2,
122585923933,1,2,2,2,2,2,
122587423933,1,2,2,1,1,1,
122587923933,1,2,2,2,2,2,
122590423933,1,2,1,2,1,1,
122591423933,1,2,2,2,2,1,
122591923933,1,2,2,1,1,1,
122593923933,1,2,2,1,1,1,
122594923933,1,2,1,1,1,1,
122595423933,1,2,1,1,1,1,
122596423933,1,2,2,1,1,1,
122597423933,1,2,2,1,1,1,
122597923933,1,2,1,1,1,1,
122599423933,1,2,1,1,1,1,
122600923933,1,2,2,1,1,1,
122601423933,1,2,1,1,1,1,
122603923933,1,2,1,1,1,1,
122604423933,1,2,1,1,1,1,
122604923933,1,2,2,1,1,1,
122605923933,1,2,2,1,1,1,
122606423933,1,2,2,2,2,1,
122606923933,1,2,2,2,2,2,
122608423933,1,2,1,1,1,1,
122608923933,1,2,1,1,1,1,
122609923933,1,2,1,1,1,1,
122610423933,1,2,2,1,1,1,
122611423933,1,2,2,1,1,1,
122611923933,1,2,2,2,2,1,
122612423933,1,2,1,2,1,1,
122612923933,1,2,2,1,1,1,
122614423933,1,2,2,2,2,1,
122616423933,1,2,1,2,2,1,
122617423933,1,2,1,1,1,1,
122617923933,1,2,1,1,1,1,
122618423933,1,2,2,1,1,2,
122618923933,1,2,2,1,1,1,
122620423933,1,2,1,1,1,1,
122622923933,1,2,1,1,1,1,
122623423933,1,2,1,1,1,1,
122623923933,1,2,1,1,2,1,
122624923933,1,2,1,1,1,1,
122625923933,1,2,2,1,1,1,
122626423933,1,2,1,1,1,1,
122626923933,1,2,1,1,1,1,
122627423933,1,2,2,1,1,1,
122628423933,1,2,2,2,1,2,
122629923933,1,2,1,1,1,1,
122630423933,1,2,2,1,1,1,
122630923933,1,2,1,1,1,1,
122631423933,1,2,1,1,1,1,
122632923933,1,2,2,1,1,1,
122633923933,1,2,1,1,1,2,
122634423933,1,2,2,1,1,1,
122634923933,1,2,2,1,1,1,
122635423933,1,2,2,2,2,2,
122636423933,1,2,1,1,1,1,
122636923933,1,2,1,2,1,1,
122640923933,1,2,2,1,1,1,
122641423933,1,2,1,1,1,1,
122643423933,1,2,1,1,1,1,
122643923933,1,2,1,1,1,1,
122644423933,1,2,1,2,1,2,
122644923933,1,2,1,1,1,1,
