,W-0,R-0,R-1,R-2,R-3,R-4,
124340861808,1,2,1,1,1,1,
124341361808,1,2,1,1,1,1,
124342361808,1,2,2,1,1,1,
124343361808,1,2,1,1,1,1,
124344361808,1,2,2,2,1,1,
124347861808,1,2,2,1,1,1,
124348361808,1,2,2,1,1,1,
124349361808,1,2,1,1,1,1,
124353361808,1,2,1,1,1,1,
124355861808,1,2,1,1,1,1,
124356861808,1,2,2,1,1,1,
124358361808,1,2,1,1,1,1,
124358861808,1,2,2,1,1,1,
124359361808,1,2,1,1,1,1,
124362361808,1,2,1,1,1,1,
124362861808,1,2,1,1,1,1,
124363361808,1,2,2,1,1,1,
124363861808,1,2,1,2,2,2,
124364861808,1,2,1,1,1,1,
124367861808,1,2,2,1,1,1,
124369861808,1,2,1,1,1,1,
124370361808,1,2,2,1,1,1,
124370861808,1,2,1,1,2,1,
124372361808,1,2,1,1,1,1,
124372861808,1,2,1,1,1,1,
124375361808,1,2,1,1,1,1,
124376361808,1,2,1,1,1,1,
124376861808,1,2,1,1,1,1,
124378861808,1,2,1,1,1,1,
124379861808,1,2,1,1,1,1,
124380361808,1,2,1,1,1,1,
124381361808,1,2,2,1,1,1,
124382361808,1,2,1,1,1,1,
124382861808,1,2,1,1,1,1,
124384361808,1,2,1,1,1,1,
124385861808,1,2,1,1,1,1,
124386361808,1,2,1,1,1,1,
124388861808,1,2,1,1,1,1,
124389361808,1,2,1,2,1,1,
124389861808,1,2,1,1,1,1,
124390861808,1,2,1,1,1,1,
124391361808,1,2,2,1,1,1,
124391861808,1,2,2,1,2,2,
124393361808,1,2,1,2,2,2,
124393861808,1,2,2,2,2,1,
124394861808,1,2,2,1,2,2,
124395361808,1,2,1,1,1,1,
124396361808,1,2,2,2,2,1,
124396861808,1,2,1,1,1,1,
124397361808,1,2,1,1,1,1,
124397861808,1,2,2,1,1,1,
124399361808,1,2,1,1,1,1,
124401361808,1,2,1,1,1,1,
124402361808,1,2,1,1,1,1,
124402861808,1,2,1,1,1,1,
124403361808,1,2,2,2,2,2,
124403861808,1,2,1,1,1,1,
124405361808,1,2,1,1,1,1,
124407861808,1,2,1,1,1,1,
124408361808,1,2,2,2,2,2,
124408861808,1,2,1,1,1,1,
124409861808,1,2,1,1,1,1,
124410861808,1,2,1,1,1,1,
124411361808,1,2,1,1,1,1,
124411861808,1,2,2,2,2,2,
124412361808,1,2,1,1,1,1,
124413361808,1,2,1,1,1,1,
124414861808,1,2,2,1,1,1,
124415361808,1,2,1,1,1,1,
124415861808,1,2,1,1,1,1,
124416361808,1,2,2,1,1,1,
124417861808,1,2,1,1,1,1,
124418861808,1,2,1,1,1,1,
124419361808,1,2,2,2,2,2,
124419861808,1,2,2,1,1,1,
124420361808,1,2,2,2,2,2,
124421361808,1,2,1,1,1,1,
124421861808,1,2,2,1,1,1,
124425861808,1,2,1,1,1,1,
124426361808,1,2,1,1,1,1,
124428361808,1,2,1,1,1,1,
124428861808,1,2,1,1,1,1,
124429361808,1,2,1,1,1,1,
124429861808,1,2,1,1,1,1,
124431361808,1,2,1,2,1,1,
124432361808,1,2,1,1,1,1,
124434861808,1,2,2,1,1,1,
124435361808,1,2,1,1,1,1,
124435861808,1,2,1,1,1,1,
124436361808,1,2,2,2,2,2,
124437361808,1,2,2,1,1,1,
124437861808,1,2,1,1,1,1,
124438361808,1,2,1,1,1,1,
