,W-0,R-0,R-1,R-2,R-3,R-4,
130890225805,1,2,1,1,1,1,
130890725805,1,2,1,1,1,1,
130891725805,1,2,1,2,1,1,
130892725805,1,2,1,1,1,1,
130893725805,1,2,1,1,1,1,
130897225805,1,1,1,1,1,1,
130897725805,1,2,1,1,1,1,
130898725805,1,2,2,1,1,1,
130902725805,1,1,1,1,1,1,
130905225805,1,2,2,1,1,1,
130906225805,1,2,1,1,1,1,
130907725805,1,2,1,1,1,1,
130908225805,1,2,2,1,1,1,
130908725805,1,2,1,1,1,1,
130911725805,1,2,1,1,1,1,
130912225805,1,2,2,2,1,1,
130912725805,1,2,2,1,1,1,
130913225805,1,2,1,1,1,1,
130914225805,1,2,1,1,1,1,
130917225805,1,1,1,1,2,1,
130919225805,1,1,1,1,1,1,
130919725805,1,1,1,1,1,1,
130920225805,1,2,1,1,1,1,
130921725805,1,1,1,1,1,1,
130922225805,1,1,1,2,1,1,
130924725805,1,2,1,2,2,1,
130925725805,1,2,1,1,1,1,
130926225805,1,2,1,2,2,2,
130928225805,1,2,1,1,1,1,
130929225805,1,2,2,1,1,1,
130929725805,1,2,2,1,1,1,
130930725805,1,2,1,1,1,1,
130931725805,1,1,1,1,1,1,
130932225805,1,2,1,1,1,1,
130933725805,1,2,1,1,1,1,
130935225805,1,2,2,2,2,1,
130935725805,1,1,1,1,1,1,
130938225805,1,2,1,1,1,1,
130938725805,1,2,2,1,1,1,
130939225805,1,2,2,1,1,1,
130940225805,1,2,1,1,1,1,
130940725805,1,2,2,1,1,1,
130941225805,1,2,2,1,1,1,
130942725805,1,2,1,1,1,1,
130943225805,1,2,1,1,1,1,
130944225805,1,1,1,1,1,1,
130944725805,1,2,1,1,1,1,
130945725805,1,2,1,1,1,1,
130946225805,1,2,2,1,1,1,
130946725805,1,2,1,1,1,1,
130947225805,1,1,2,2,1,1,
130948725805,1,2,1,1,1,1,
130950725805,1,1,1,1,1,1,
130951725805,1,2,1,1,1,1,
130952225805,1,2,1,1,1,1,
130952725805,1,2,2,1,1,1,
130953225805,1,2,1,2,2,2,
130954725805,1,2,1,1,1,1,
130957225805,1,2,2,1,1,1,
130957725805,1,1,1,1,1,1,
130958225805,1,1,2,2,2,1,
130959225805,1,2,1,1,1,1,
130960225805,1,2,2,2,2,1,
130960725805,1,1,2,1,1,1,
130961225805,1,2,1,1,1,1,
130961725805,1,2,1,1,1,1,
130962725805,1,1,1,1,1,1,
130964225805,1,2,2,1,1,1,
