,W-0,R-0,R-1,R-2,R-3,R-4,
132083732513,1,2,1,1,1,1,
132084232513,1,2,1,1,1,1,
132085232513,1,2,1,1,1,1,
132086232513,1,2,1,1,1,1,
132087232513,1,2,1,1,1,1,
132090732513,1,2,1,1,1,1,
132091232513,1,2,1,1,1,1,
132092232513,1,1,1,1,1,1,
132096232513,1,1,1,1,1,1,
132098732513,1,1,1,1,1,1,
132099732513,1,1,1,1,1,1,
132101232513,1,2,2,2,1,1,
132101732513,1,2,1,1,1,1,
132102232513,1,2,1,1,1,1,
132105232513,1,1,1,1,1,1,
132105732513,1,1,1,1,1,1,
132106232513,1,1,1,1,1,1,
132106732513,1,1,1,1,1,1,
132107732513,1,1,1,1,1,1,
132110732513,1,1,1,1,1,1,
132112732513,1,1,1,1,1,1,
132113232513,1,1,1,1,1,1,
132113732513,1,2,1,1,1,1,
132115232513,1,1,1,1,1,1,
132115732513,1,1,1,1,1,1,
132118232513,1,1,1,1,1,1,
132119232513,1,2,1,1,1,1,
132119732513,1,1,1,1,1,1,
132121732513,1,2,1,1,1,1,
132122732513,1,1,1,1,1,1,
132123232513,1,1,1,1,1,1,
132124232513,1,1,1,1,1,1,
132125232513,1,1,1,1,1,1,
132125732513,1,1,1,1,1,1,
132127232513,1,2,1,1,1,1,
132128732513,1,2,1,1,1,1,
132129232513,1,2,1,1,1,1,
132131732513,1,1,1,1,1,1,
132132232513,1,1,1,1,1,1,
132132732513,1,1,1,1,1,1,
132133732513,1,1,1,1,1,1,
132134232513,1,1,1,1,1,1,
132134732513,1,1,1,1,1,1,
132136232513,1,1,1,1,1,1,
132136732513,1,2,1,1,1,1,
132137732513,1,1,1,1,1,1,
132138232513,1,2,1,1,1,1,
132139232513,1,2,1,1,1,1,
132139732513,1,1,1,1,1,1,
132140232513,1,1,1,1,1,1,
132140732513,1,1,1,1,1,1,
132142232513,1,2,1,1,1,1,
132144232513,1,1,1,1,1,1,
132145232513,1,2,1,1,1,1,
132145732513,1,1,1,1,1,1,
132146232513,1,1,1,1,1,1,
132146732513,1,1,1,1,1,1,
132148232513,1,1,1,1,1,1,
132150732513,1,1,1,1,1,1,
132151232513,1,1,1,1,1,1,
132151732513,1,2,1,1,1,1,
132152732513,1,2,1,1,1,1,
132153732513,1,1,1,1,1,1,
132154232513,1,1,1,1,1,1,
132154732513,1,1,1,1,1,1,
132155232513,1,1,1,1,1,1,
132156232513,1,1,1,1,1,1,
132157732513,1,1,1,1,1,1,
132158232513,1,1,1,1,1,1,
132158732513,1,1,1,1,1,1,
132159232513,1,1,1,1,1,1,
132160732513,1,1,1,1,1,1,
132161732513,1,1,1,1,1,1,
132162232513,1,1,1,1,1,1,
132162732513,1,1,1,1,1,1,
132163232513,1,1,1,1,1,1,
132164232513,1,1,1,1,1,1,
132164732513,1,1,1,1,1,1,
132168732513,1,2,1,1,1,1,
132169232513,1,2,1,1,1,1,
132171232513,1,1,1,1,1,1,
132171732513,1,1,1,1,1,1,
132172232513,1,1,1,1,1,1,
132172732513,1,1,1,1,1,1,
132174232513,1,1,1,1,1,1,
132175232513,1,1,1,1,1,1,
132177732513,1,1,1,1,1,1,
132178232513,1,1,1,1,1,1,
132178732513,1,2,1,1,1,1,
132179232513,1,1,1,1,1,1,
132180232513,1,2,1,1,1,1,
132180732513,1,1,1,1,1,1,
132181232513,1,1,1,1,1,1,
132184732513,1,1,1,1,1,1,
132185232513,1,2,1,1,1,1,
132186232513,1,2,1,1,1,1,
132188732513,1,1,1,1,1,1,
132189232513,1,1,1,1,1,1,
132190732513,1,1,1,1,1,1,
132191732513,1,1,1,1,1,1,
132192232513,1,1,1,1,1,1,
132192732513,1,2,1,1,1,1,
132193732513,1,1,1,1,1,1,
132194732513,1,2,1,1,1,1,
132195732513,1,2,1,1,1,1,
132197232513,1,1,1,1,1,1,
132197732513,1,1,1,1,1,1,
132198732513,1,1,1,1,1,1,
132199232513,1,1,1,1,1,1,
132199732513,1,1,1,1,1,1,
132200232513,1,1,1,1,1,1,
132201232513,1,2,1,1,1,1,
132202232513,1,1,1,1,1,1,
132202732513,1,2,1,1,1,1,
132203232513,1,1,1,1,1,1,
132203732513,1,1,1,1,1,1,
132206232513,1,1,1,1,1,1,
132206732513,1,1,1,1,1,1,
132208732513,1,1,1,1,1,1,
132209232513,1,1,1,1,1,1,
132209732513,1,2,1,1,1,1,
132210732513,1,1,1,1,1,1,
132211232513,1,1,1,1,1,1,
132215232513,1,2,1,1,1,1,
132215732513,1,2,1,1,1,1,
132216732513,1,1,1,1,1,1,
132219232513,1,1,1,1,1,1,
132220232513,1,1,1,1,1,1,
132221232513,1,1,1,1,1,1,
132223232513,1,2,1,1,1,1,
132223732513,1,1,1,1,1,1,
132224232513,1,1,1,1,1,1,
132224732513,1,2,1,1,1,1,
132225732513,1,1,1,1,1,1,
132226232513,1,1,1,1,1,1,
132226732513,1,1,1,1,1,1,
132227732513,1,1,1,1,1,1,
132228232513,1,1,1,1,1,1,
132229232513,1,2,1,1,1,1,
132229732513,1,1,1,1,1,1,
132230232513,1,2,1,1,1,1,
132231732513,1,2,1,1,1,1,
132232732513,1,1,1,1,1,1,
132234732513,1,1,1,1,1,1,
132235232513,1,2,1,1,1,1,
132235732513,1,2,1,1,1,1,
132236232513,1,1,1,1,1,1,
132237232513,1,1,1,1,1,1,
132238232513,1,2,1,1,1,1,
132238732513,1,1,1,1,1,1,
132239732513,1,1,1,1,1,1,
132240232513,1,1,1,1,1,1,
132240732513,1,2,1,1,1,1,
132241232513,1,2,1,1,1,1,
132242232513,1,1,1,1,1,1,
132242732513,1,1,1,1,1,1,
132243732513,1,1,1,1,1,1,
132244232513,1,1,1,1,1,1,
132245232513,1,1,1,1,1,1,
132245732513,1,1,1,1,1,1,
132246732513,1,1,1,1,1,1,
132247232513,1,1,1,1,1,1,
132250232513,1,1,1,1,1,1,
132252232513,1,1,1,1,1,1,
132253232513,1,2,1,1,1,1,
132253732513,1,1,1,1,1,1,
132254232513,1,1,1,1,1,1,
132255232513,1,2,1,1,1,1,
132256232513,1,2,1,1,1,1,
132256732513,1,1,1,1,1,1,
132257232513,1,1,1,1,1,1,
132257732513,1,2,1,1,1,1,
132258232513,1,1,1,1,1,1,
132259732513,1,2,1,1,1,1,
132260732513,1,2,1,1,1,1,
132261232513,1,1,1,1,1,1,
132263732513,1,1,1,1,1,1,
132264732513,1,1,1,1,1,1,
132266232513,1,1,1,1,1,1,
132267232513,1,1,1,1,1,1,
132267732513,1,1,1,1,1,1,
132269232513,1,1,1,1,1,1,
132271732513,1,2,1,1,1,1,
132272232513,1,2,2,1,1,1,
132272732513,1,1,1,1,1,1,
132274232513,1,1,1,1,1,1,
132274732513,1,1,1,1,1,1,
132276732513,1,2,2,2,2,2,
132277232513,1,2,2,2,2,2,
132277732513,1,1,1,1,1,1,
132278732513,1,1,1,1,1,1,
132279732513,1,1,1,1,1,1,
132280232513,1,1,1,1,1,1,
132280732513,1,1,1,1,1,1,
132281232513,1,1,1,1,1,1,
132281732513,1,1,1,1,1,1,
132282232513,1,1,1,1,1,1,
132282732513,1,1,1,1,1,1,
132284232513,1,1,1,1,1,1,
132285732513,1,2,1,1,1,1,
132287732513,1,1,1,1,1,1,
132289232513,1,1,1,1,1,1,
132289732513,1,2,1,1,1,1,
132291232513,1,1,1,1,1,1,
132291732513,1,1,1,1,1,1,
132293732513,1,2,1,1,1,1,
132294732513,1,1,1,1,1,1,
132295732513,1,1,1,1,1,1,
132296232513,1,1,1,1,1,1,
132297232513,1,1,1,1,1,1,
132298232513,1,1,1,1,1,1,
132298732513,1,1,1,1,1,1,
132299232513,1,1,1,1,1,1,
132301732513,1,1,1,1,1,1,
132305232513,1,2,1,1,1,1,
132305732513,1,1,1,1,1,1,
132306232513,1,1,1,1,1,1,
132307232513,1,2,1,1,1,1,
132308232513,1,1,1,1,1,1,
132308732513,1,1,1,1,1,1,
132309732513,1,1,1,1,1,1,
132310232513,1,1,1,1,1,1,
132310732513,1,2,1,1,1,1,
132311232513,1,1,1,1,1,1,
132313232513,1,2,1,1,1,1,
132313732513,1,1,1,1,1,1,
132315232513,1,2,1,1,1,1,
132316232513,1,1,1,1,1,1,
132321732513,1,1,1,1,1,1,
132323732513,1,1,1,1,1,1,
132325232513,1,1,1,1,1,1,
132327732513,1,1,1,1,1,1,
132330232513,1,1,1,1,1,1,
132330732513,1,1,1,1,1,1,
132331232513,1,1,1,1,1,1,
132331732513,1,1,1,1,1,1,
132333232513,1,1,1,1,1,1,
132333732513,1,1,1,1,1,1,
132334232513,1,1,1,1,1,1,
132335232513,1,2,1,1,1,1,
132335732513,1,1,1,1,1,1,
132336232513,1,2,1,1,1,1,
132336732513,1,2,1,1,1,1,
132337732513,1,1,1,1,1,1,
132338232513,1,1,1,1,1,1,
132338732513,1,1,1,1,1,1,
132339232513,1,1,1,1,1,1,
132339732513,1,1,1,1,1,1,
132340232513,1,1,1,1,1,1,
132341732513,1,2,1,1,1,1,
132342232513,1,1,1,1,1,1,
132344232513,1,1,1,1,1,1,
132344732513,1,1,1,1,1,1,
132346232513,1,2,1,1,1,1,
132347232513,1,1,1,1,1,1,
132349732513,1,1,1,1,1,1,
132350232513,1,1,1,1,1,1,
132351232513,1,1,1,1,1,1,
132352732513,1,1,1,1,1,1,
132353732513,1,1,1,1,1,1,
132355732513,1,1,1,1,1,1,
132356232513,1,1,1,1,1,1,
132356732513,1,2,1,1,1,1,
132357232513,1,1,1,1,1,1,
132357732513,1,1,1,1,1,1,
132358732513,1,1,1,1,1,1,
132359732513,1,2,1,1,1,1,
132360232513,1,1,1,1,1,1,
132361232513,1,2,1,1,1,1,
132362232513,1,2,1,1,1,1,
132363232513,1,1,1,1,1,1,
132363732513,1,2,1,1,1,1,
132365732513,1,1,1,1,1,1,
132366232513,1,2,1,1,1,1,
132366732513,1,1,1,1,1,1,
132367232513,1,1,1,1,1,1,
132368732513,1,2,1,1,1,1,
132369232513,1,1,1,1,1,1,
132371232513,1,1,1,1,1,1,
132371732513,1,1,1,1,1,1,
132373732513,1,1,1,1,1,1,
132374732513,1,1,1,1,1,1,
132375232513,1,1,1,1,1,1,
132375732513,1,1,1,1,1,1,
132376232513,1,1,1,1,1,1,
132376732513,1,1,1,1,1,1,
132378232513,1,1,1,1,1,1,
132379732513,1,1,1,1,1,1,
132380232513,1,2,1,1,1,1,
132381232513,1,1,1,1,1,1,
132382232513,1,1,1,1,1,1,
132382732513,1,1,1,1,1,1,
132384732513,1,1,1,1,1,1,
132385232513,1,2,1,1,1,1,
132385732513,1,2,2,1,1,1,
132386232513,1,2,1,1,1,1,
132387232513,1,1,1,1,1,1,
132388732513,1,1,1,1,1,1,
132389732513,1,1,1,1,1,1,
132390232513,1,1,1,1,1,1,
132390732513,1,1,1,1,1,1,
132391232513,1,1,1,1,1,1,
132391732513,1,1,1,1,1,1,
132393232513,1,1,1,1,1,1,
132394232513,1,1,1,1,1,1,
132394732513,1,1,1,1,1,1,
