,W-0,R-0,R-1,R-2,R-3,R-4,
133872309984,1,1,1,1,1,1,
133872809984,1,1,1,1,1,1,
133873809984,1,2,1,1,1,1,
133874809984,1,1,1,1,1,1,
133875809984,1,2,2,2,2,2,
133879309984,1,1,1,1,1,1,
133879809984,1,1,1,1,1,1,
133880809984,1,1,1,1,1,1,
133884809984,1,1,1,1,1,1,
133887309984,1,1,1,1,1,1,
133888309984,1,1,1,1,1,1,
133889809984,1,1,1,1,1,1,
133890309984,1,1,1,1,1,1,
133890809984,1,1,1,1,1,1,
133893809984,1,1,1,1,1,1,
133894309984,1,1,1,1,1,1,
133894809984,1,1,1,1,1,1,
133895309984,1,1,1,1,1,1,
133896309984,1,1,1,1,1,1,
133899309984,1,1,1,1,1,1,
133901309984,1,1,1,1,1,1,
133901809984,1,1,1,1,1,1,
133902309984,1,1,1,1,1,1,
133903809984,1,1,1,1,1,1,
133904309984,1,1,1,1,1,1,
133906809984,1,1,1,1,1,1,
133907809984,1,1,1,1,1,1,
133908309984,1,1,1,1,1,1,
133910309984,1,1,1,1,1,1,
133911309984,1,1,1,1,1,1,
133911809984,1,1,1,1,1,1,
133912809984,1,1,1,1,1,1,
133913809984,1,2,1,1,1,1,
133914309984,1,1,1,1,1,1,
133915809984,1,2,1,1,1,1,
133917309984,1,1,1,1,1,1,
133917809984,1,1,1,1,1,1,
133920309984,1,1,1,1,1,1,
133920809984,1,1,1,1,1,1,
133921309984,1,1,1,1,1,1,
133922309984,1,1,1,1,1,1,
133922809984,1,1,1,1,1,1,
133923309984,1,1,1,1,1,1,
133924809984,1,1,1,1,1,1,
133925309984,1,1,1,1,1,1,
133926309984,1,1,1,1,1,1,
133926809984,1,1,1,1,1,1,
133927809984,1,1,1,1,1,1,
133928309984,1,1,1,1,1,1,
133928809984,1,1,1,1,1,1,
133929309984,1,2,1,1,1,1,
133930809984,1,1,1,1,1,1,
133932809984,1,1,1,1,1,1,
133933809984,1,1,1,1,1,1,
133934309984,1,1,1,1,1,1,
133934809984,1,1,1,1,1,1,
133935309984,1,1,1,1,1,1,
133936809984,1,1,1,1,1,1,
133939309984,1,2,1,1,1,1,
133939809984,1,1,1,1,1,1,
133940309984,1,2,1,1,1,1,
133941309984,1,2,1,1,1,1,
133942309984,1,2,1,1,1,1,
133942809984,1,1,1,1,1,1,
133943309984,1,1,1,1,1,1,
133943809984,1,1,1,1,1,1,
133944809984,1,2,1,1,1,1,
133946309984,1,1,1,1,1,1,
133946809984,1,1,1,1,1,1,
133947309984,1,1,1,1,1,1,
133947809984,1,1,1,1,1,1,
133949309984,1,1,1,1,1,1,
133950309984,1,2,1,1,1,1,
133950809984,1,1,1,1,1,1,
133951309984,1,1,1,1,1,1,
133951809984,1,1,1,1,1,1,
133952809984,1,1,1,1,1,1,
133953309984,1,1,1,1,1,1,
133957309984,1,1,1,1,1,1,
133957809984,1,2,1,1,1,1,
133959809984,1,1,1,1,1,1,
133960309984,1,1,1,1,1,1,
133960809984,1,1,1,1,1,1,
133961309984,1,1,1,1,1,1,
133962809984,1,1,1,1,1,1,
133963809984,1,2,1,1,1,1,
133966309984,1,1,1,1,1,1,
133966809984,1,1,1,1,1,1,
133967309984,1,1,1,1,1,1,
133967809984,1,1,1,1,1,1,
133968809984,1,1,1,1,1,1,
133969309984,1,1,1,1,1,1,
133969809984,1,1,1,1,1,1,
133973309984,1,1,1,1,1,1,
133973809984,1,2,1,1,1,1,
133974809984,1,1,1,1,1,1,
133977309984,1,1,1,1,1,1,
133977809984,1,1,1,1,1,1,
133979309984,1,1,1,1,1,1,
133980309984,1,1,1,1,1,1,
133980809984,1,1,1,1,1,1,
133981309984,1,1,1,1,1,1,
133982309984,1,1,1,1,1,1,
133983309984,1,1,1,1,1,1,
133984309984,1,2,1,1,1,1,
133985809984,1,1,1,1,1,1,
133986309984,1,1,1,1,1,1,
133987309984,1,1,1,1,1,1,
133987809984,1,2,1,1,1,1,
133988309984,1,1,1,1,1,1,
133988809984,1,1,1,1,1,1,
133989809984,1,1,1,1,1,1,
133990809984,1,1,1,1,1,1,
133991309984,1,1,1,1,1,1,
133991809984,1,1,1,1,1,1,
133992309984,1,2,1,1,1,1,
133994809984,1,1,1,1,1,1,
133995309984,1,1,1,1,1,1,
133997309984,1,1,1,1,1,1,
133997809984,1,1,1,1,1,1,
133998309984,1,2,1,1,1,1,
133999309984,1,1,1,1,1,1,
133999809984,1,2,1,1,1,1,
134003809984,1,2,1,1,1,1,
134004309984,1,2,1,1,1,1,
134005309984,1,2,1,1,1,1,
134007809984,1,1,1,1,1,1,
134008809984,1,1,1,1,1,1,
134009809984,1,1,1,1,1,1,
134011809984,1,2,1,1,1,1,
134012309984,1,2,1,1,1,1,
134012809984,1,1,1,1,1,1,
134013309984,1,1,1,1,1,1,
134014309984,1,1,1,1,1,1,
134014809984,1,1,1,1,1,1,
134015309984,1,1,1,1,1,1,
134016309984,1,1,1,1,1,1,
134016809984,1,1,1,1,1,1,
134017809984,1,2,1,1,1,1,
134018309984,1,1,1,1,1,1,
134018809984,1,1,1,1,1,1,
134020309984,1,1,1,1,1,1,
134021309984,1,1,1,1,1,1,
134023309984,1,1,1,1,1,1,
134023809984,1,2,1,1,1,1,
134024309984,1,1,1,1,1,1,
134024809984,1,1,1,1,1,1,
134025809984,1,1,1,1,1,1,
134026809984,1,1,1,1,1,1,
134027309984,1,1,1,1,1,1,
134028309984,1,1,1,1,1,1,
134028809984,1,1,1,1,1,1,
134029309984,1,1,1,1,1,1,
134029809984,1,2,1,1,1,1,
134030809984,1,1,1,1,1,1,
134031309984,1,1,1,1,1,1,
134032309984,1,1,1,1,1,1,
134032809984,1,1,1,1,1,1,
134033809984,1,1,1,1,1,1,
134034309984,1,2,1,1,1,1,
134035309984,1,1,1,1,1,1,
134035809984,1,2,1,1,1,1,
134038809984,1,1,1,1,1,1,
134040809984,1,1,1,1,1,1,
134041809984,1,1,1,1,1,1,
134042309984,1,1,1,1,1,1,
134042809984,1,1,1,1,1,1,
134043809984,1,1,1,1,1,1,
134044809984,1,1,1,1,1,1,
134045309984,1,1,1,1,1,1,
134045809984,1,1,1,1,1,1,
134046309984,1,1,1,1,1,1,
134046809984,1,2,1,1,1,1,
134048309984,1,1,1,1,1,1,
134049309984,1,2,1,1,1,1,
