,W-0,R-0,R-1,R-2,R-3,R-4,
134468328070,1,1,1,1,1,1,
134468828070,1,2,1,1,1,1,
134469828070,1,2,1,1,1,1,
134470828070,1,2,2,2,2,1,
134471828070,1,2,2,1,1,1,
134475328070,1,2,1,1,1,1,
134475828070,1,2,1,1,1,1,
134476828070,1,2,2,2,1,2,
134480828070,1,2,1,1,1,1,
134483328070,1,2,1,1,1,1,
134484328070,1,2,2,1,1,1,
134485828070,1,2,1,1,1,1,
134486328070,1,2,1,1,1,1,
134486828070,1,2,2,1,1,1,
134489828070,1,2,1,1,1,1,
134490328070,1,2,2,2,1,2,
134490828070,1,2,1,1,1,1,
134491328070,1,2,1,1,1,1,
134492328070,1,2,1,1,1,1,
134495328070,1,2,1,1,1,1,
134497328070,1,2,2,1,1,1,
134497828070,1,2,1,1,1,1,
134498328070,1,2,1,1,1,1,
134499828070,1,2,1,1,1,1,
134500328070,1,2,2,1,1,1,
134502828070,1,2,1,1,2,1,
134503828070,1,2,1,1,1,1,
134504328070,1,2,2,2,2,2,
134506328070,1,2,2,1,1,1,
134507328070,1,2,2,2,2,2,
134507828070,1,2,1,1,1,1,
134508828070,1,2,1,1,1,1,
134509828070,1,2,1,1,1,1,
134510328070,1,2,1,1,1,1,
134511828070,1,2,1,1,1,1,
134513328070,1,2,1,1,1,1,
134513828070,1,2,2,2,2,1,
134516328070,1,2,2,1,1,1,
134516828070,1,2,1,1,1,1,
134517328070,1,2,1,1,1,1,
134518328070,1,2,1,1,1,1,
134518828070,1,2,1,1,1,1,
134519328070,1,2,1,1,1,1,
134520828070,1,2,1,1,1,1,
134521328070,1,2,2,1,1,2,
134522328070,1,2,1,1,1,1,
134522828070,1,2,1,1,1,1,
134523828070,1,2,1,1,1,1,
134524328070,1,2,1,2,1,1,
134524828070,1,2,2,1,1,1,
134525328070,1,2,1,1,2,1,
134526828070,1,2,1,1,1,1,
134528828070,1,2,1,1,1,1,
134529828070,1,2,2,2,2,2,
134530328070,1,2,1,1,1,1,
134530828070,1,2,1,1,1,1,
134531328070,1,2,1,1,1,1,
134532828070,1,2,1,1,1,1,
134535328070,1,2,2,1,1,1,
134535828070,1,2,2,2,2,2,
134536328070,1,2,2,2,2,2,
134537328070,1,2,1,1,1,1,
134538328070,1,2,1,2,2,1,
134538828070,1,2,1,1,1,1,
134539328070,1,2,1,1,1,1,
134539828070,1,2,2,1,1,1,
134540828070,1,2,2,2,2,2,
134542328070,1,2,2,2,1,2,
134542828070,1,2,2,1,1,1,
134543328070,1,2,1,1,1,1,
134543828070,1,2,1,2,2,1,
134545328070,1,2,2,2,2,1,
134546328070,1,2,1,1,1,1,
134546828070,1,2,2,1,2,1,
134547328070,1,2,1,1,1,1,
134547828070,1,2,1,1,1,1,
134548828070,1,2,2,1,1,1,
134549328070,1,2,1,1,1,1,
134553328070,1,2,1,1,1,1,
134553828070,1,2,2,1,1,1,
134555828070,1,2,2,1,1,1,
134556328070,1,2,1,1,1,1,
134556828070,1,2,1,1,1,1,
134557328070,1,2,2,2,2,2,
134558828070,1,2,1,1,1,1,
134559828070,1,2,1,1,1,1,
134562328070,1,2,1,1,1,1,
134562828070,1,2,1,1,1,1,
134563328070,1,2,2,1,1,1,
134563828070,1,2,1,1,1,1,
134564828070,1,2,2,1,1,1,
134565328070,1,2,2,2,2,2,
134565828070,1,2,1,1,1,1,
134569328070,1,2,1,1,1,1,
134569828070,1,2,1,1,1,1,
134570828070,1,2,1,2,1,1,
134573328070,1,2,1,1,1,1,
134573828070,1,2,2,1,1,1,
134575328070,1,2,1,1,2,1,
134576328070,1,2,2,2,2,1,
134576828070,1,2,2,1,1,1,
134577328070,1,2,1,2,2,1,
134578328070,1,2,1,1,2,1,
134579328070,1,2,1,1,1,1,
134580328070,1,2,2,2,1,1,
134581828070,1,2,2,2,2,1,
134582328070,1,2,1,1,1,1,
134583328070,1,2,2,2,1,1,
134583828070,1,2,1,1,1,1,
134584328070,1,2,1,1,1,1,
134584828070,1,2,1,1,1,1,
134585828070,1,2,1,1,1,1,
