,W-0,R-0,R-1,R-2,R-3,R-4,
136258978304,1,2,1,1,1,1,
136259478304,1,2,1,1,1,1,
136260478304,1,2,1,1,1,1,
136261478304,1,2,1,1,1,1,
136262478304,1,2,1,2,1,2,
136265978304,1,2,1,1,1,1,
136266478304,1,2,2,1,1,1,
136267478304,1,2,2,1,1,1,
136271478304,1,2,1,1,1,1,
136273978304,1,2,1,1,1,1,
136274978304,1,2,2,2,2,2,
136276478304,1,2,1,1,1,1,
136276978304,1,2,1,1,1,1,
136277478304,1,2,1,1,1,1,
136280478304,1,2,2,1,1,1,
136280978304,1,2,2,1,1,1,
136281478304,1,2,2,1,1,1,
136281978304,1,2,1,1,1,1,
136282978304,1,2,2,1,1,1,
136285978304,1,2,1,1,1,1,
136287978304,1,2,1,1,1,1,
136288478304,1,2,1,1,1,1,
136288978304,1,2,1,1,1,1,
136290478304,1,2,2,1,1,1,
136290978304,1,2,2,1,1,1,
136293478304,1,2,1,1,1,1,
136294478304,1,2,2,1,2,1,
136294978304,1,2,2,2,2,2,
136296978304,1,2,1,1,1,1,
136297978304,1,2,2,1,1,1,
136298478304,1,2,1,1,1,1,
136299478304,1,2,2,1,1,1,
136300478304,1,2,1,1,1,1,
136300978304,1,2,1,1,1,1,
136302478304,1,2,1,1,1,1,
136303978304,1,2,1,1,1,1,
136304478304,1,2,1,1,1,1,
136306978304,1,2,1,1,1,1,
136307478304,1,2,1,2,1,1,
136307978304,1,2,1,1,1,1,
136308978304,1,2,2,2,2,2,
136309478304,1,2,2,2,1,1,
136309978304,1,2,1,1,1,1,
136311478304,1,2,1,1,1,1,
136311978304,1,2,1,1,1,1,
136312978304,1,2,1,1,1,1,
136313478304,1,2,2,1,1,1,
136314478304,1,2,2,1,1,1,
136314978304,1,2,1,2,1,2,
136315478304,1,2,2,1,2,2,
136315978304,1,2,1,1,1,1,
136317478304,1,2,1,1,1,1,
136319478304,1,2,1,1,1,1,
136320478304,1,2,1,1,1,1,
136320978304,1,2,1,1,1,1,
136321478304,1,2,2,2,1,2,
136321978304,1,2,1,1,1,1,
136323478304,1,2,1,1,1,1,
136325978304,1,2,1,1,1,1,
136326478304,1,2,1,1,1,1,
136326978304,1,2,1,1,1,1,
136327978304,1,2,1,1,1,1,
136328978304,1,2,1,1,1,1,
136329478304,1,2,1,1,1,1,
136329978304,1,2,1,1,1,1,
136330478304,1,2,1,1,1,1,
136331478304,1,2,1,1,1,1,
136332978304,1,2,2,1,1,1,
136333478304,1,2,1,1,1,1,
136333978304,1,2,1,1,1,1,
136334478304,1,2,1,1,1,1,
136335978304,1,2,1,1,1,1,
136336978304,1,2,1,1,1,1,
136337478304,1,2,1,1,1,1,
136337978304,1,2,1,1,1,1,
136338478304,1,2,1,1,1,1,
136339478304,1,2,1,1,1,1,
136339978304,1,2,1,1,1,1,
136343978304,1,2,2,2,2,1,
136344478304,1,2,2,2,1,1,
136346478304,1,2,1,1,1,1,
136346978304,1,2,2,1,1,1,
136347478304,1,2,2,2,1,1,
136347978304,1,2,1,1,1,1,
136349478304,1,2,2,2,1,2,
136350478304,1,2,1,1,1,1,
136352978304,1,2,1,1,1,1,
136353478304,1,2,2,1,1,1,
136353978304,1,2,2,2,1,1,
136354478304,1,2,1,1,1,1,
136355478304,1,2,1,1,1,1,
136355978304,1,2,1,1,1,1,
136356478304,1,2,2,2,2,2,
136359978304,1,2,1,1,1,1,
136360478304,1,2,1,2,1,1,
136361478304,1,2,1,1,1,1,
136363978304,1,2,2,1,1,1,
136364478304,1,2,1,1,1,1,
136365978304,1,2,1,1,1,1,
136366978304,1,2,1,1,2,1,
136367478304,1,2,1,1,1,1,
136367978304,1,2,1,1,1,1,
136368978304,1,2,1,1,1,1,
136369978304,1,2,1,1,1,1,
136370978304,1,2,1,1,1,1,
136372478304,1,2,1,1,1,1,
136372978304,1,2,2,2,1,1,
136373978304,1,2,1,1,1,1,
136374478304,1,2,1,1,1,1,
136374978304,1,2,1,1,1,1,
136375478304,1,2,1,1,1,1,
136376478304,1,2,1,1,1,1,
136377478304,1,2,2,2,2,1,
136377978304,1,2,1,1,1,1,
136378478304,1,2,1,1,1,1,
136378978304,1,2,1,1,1,1,
136381478304,1,2,2,1,1,1,
136381978304,1,2,2,1,1,1,
136383978304,1,2,1,1,1,1,
136384478304,1,2,2,1,1,1,
136384978304,1,2,1,1,1,1,
136385978304,1,2,1,1,1,1,
136386478304,1,2,2,2,2,2,
136390478304,1,2,2,1,1,1,
136390978304,1,2,2,2,1,1,
136391978304,1,2,2,2,2,2,
136394478304,1,2,1,1,1,1,
136395478304,1,2,1,1,1,1,
136396478304,1,2,1,1,1,1,
136398478304,1,2,2,1,1,1,
136398978304,1,2,2,2,2,2,
136399478304,1,2,2,1,1,1,
136399978304,1,2,1,1,1,1,
136400978304,1,2,2,1,1,1,
136401478304,1,2,1,1,1,1,
136401978304,1,2,1,1,1,1,
136402978304,1,2,1,1,1,1,
136403478304,1,2,1,1,1,1,
136404478304,1,2,1,1,1,1,
136404978304,1,2,1,1,1,1,
136405478304,1,2,2,1,1,1,
136406978304,1,2,1,1,1,1,
136407978304,1,2,1,1,1,1,
136409978304,1,2,1,1,1,1,
136410478304,1,2,2,1,1,1,
136410978304,1,2,1,1,1,1,
136411478304,1,2,1,1,1,1,
136412478304,1,2,1,1,2,2,
136413478304,1,2,2,1,1,1,
136413978304,1,2,1,1,1,1,
136414978304,1,2,1,1,1,1,
136415478304,1,2,2,1,1,1,
136415978304,1,2,2,2,2,1,
136416478304,1,2,1,1,1,1,
136417478304,1,2,1,1,1,1,
136417978304,1,2,2,1,1,2,
136418978304,1,2,2,2,2,1,
136419478304,1,2,1,1,1,1,
136420478304,1,2,2,2,1,2,
136420978304,1,2,1,1,2,1,
136421978304,1,2,1,1,1,1,
136422478304,1,2,1,1,2,2,
136425478304,1,2,1,1,1,1,
136427478304,1,2,1,1,1,1,
136428478304,1,2,1,1,1,1,
136428978304,1,2,1,1,1,1,
136429478304,1,2,1,1,1,1,
136430478304,1,2,1,1,1,1,
136431478304,1,2,2,2,2,2,
136431978304,1,2,1,1,1,1,
136432478304,1,2,2,2,2,1,
136432978304,1,2,1,1,1,1,
136433478304,1,2,1,1,1,1,
136434978304,1,2,1,1,1,1,
136435978304,1,2,2,1,1,1,
136436478304,1,2,1,1,1,1,
136438978304,1,2,1,1,1,1,
136439978304,1,2,1,1,1,1,
136441478304,1,2,2,1,1,1,
136442478304,1,2,1,1,1,1,
136442978304,1,2,1,1,1,1,
136444478304,1,2,1,1,1,1,
