,W-0,R-0,R-1,R-2,R-3,R-4,
113033712228,1,2,1,1,1,1,
113034212228,1,1,2,1,1,1,
113035212228,1,2,1,2,2,2,
113036212228,1,2,1,1,1,1,
113037212228,1,2,1,1,1,1,
113040712228,1,1,1,1,1,1,
113041212228,1,2,1,1,1,1,
113042212228,1,1,1,1,1,1,
113046212228,1,1,1,1,2,1,
113048712228,1,2,2,1,1,1,
113049712228,1,2,2,1,1,1,
113051212228,1,2,2,1,1,1,
113051712228,1,2,1,1,1,1,
113052212228,1,2,2,1,1,1,
113055212228,1,2,1,1,1,1,
113055712228,1,1,1,1,1,1,
113056212228,1,2,1,1,1,1,
113056712228,1,2,1,1,1,1,
113057712228,1,1,1,1,1,1,
113060712228,1,1,1,1,1,1,
113062712228,1,2,1,1,1,1,
113063212228,1,2,1,1,1,1,
113063712228,1,2,1,1,1,1,
113065212228,1,1,1,1,1,2,
113065712228,1,2,1,1,1,1,
113068212228,1,2,2,1,1,2,
113069212228,1,2,1,1,1,1,
113069712228,1,1,2,2,1,2,
113071712228,1,2,1,1,1,1,
113072712228,1,2,2,2,2,1,
113073212228,1,2,1,1,1,1,
113074212228,1,2,1,1,1,1,
113075212228,1,2,1,1,1,1,
113075712228,1,1,1,1,1,1,
113077212228,1,2,2,1,1,1,
113078712228,1,1,2,1,2,2,
113079212228,1,2,2,1,1,1,
113081712228,1,2,2,1,1,1,
113082212228,1,2,1,1,1,1,
113082712228,1,2,1,1,1,1,
113083712228,1,2,1,1,1,1,
113084212228,1,2,1,2,1,1,
113084712228,1,2,2,2,1,2,
113086212228,1,2,2,1,2,1,
113086712228,1,1,2,1,1,1,
113087712228,1,2,1,1,1,1,
113088212228,1,2,1,1,1,1,
113089212228,1,2,1,1,1,1,
113089712228,1,2,1,1,1,1,
113090212228,1,1,1,1,1,1,
113090712228,1,1,1,1,1,1,
113092212228,1,1,2,1,1,1,
113094212228,1,2,1,1,1,1,
113095212228,1,2,2,2,2,2,
113095712228,1,2,1,1,1,1,
113096212228,1,2,1,1,1,1,
113096712228,1,1,1,1,1,1,
113098212228,1,2,2,1,1,1,
113100712228,1,1,2,1,1,1,
113101212228,1,2,2,2,2,2,
113101712228,1,2,1,1,1,1,
113102712228,1,2,1,1,1,1,
113103712228,1,2,1,1,1,1,
113104212228,1,1,2,1,1,1,
113104712228,1,1,2,2,1,2,
113105212228,1,2,1,1,1,1,
113106212228,1,2,1,1,1,1,
113107712228,1,2,2,1,1,1,
113108212228,1,1,1,1,1,1,
113108712228,1,1,1,1,1,1,
113109212228,1,2,1,1,1,1,
113110712228,1,2,2,1,1,1,
113111712228,1,2,2,1,1,1,
113112212228,1,2,2,1,1,1,
113112712228,1,1,1,1,2,2,
113113212228,1,2,2,2,2,1,
113114212228,1,2,1,1,1,1,
113114712228,1,2,1,1,1,1,
113118712228,1,1,2,2,1,1,
113119212228,1,2,1,1,1,1,
113121212228,1,2,1,1,1,1,
113121712228,1,1,1,1,1,1,
113122212228,1,2,2,2,2,2,
113122712228,1,2,1,1,1,1,
113124212228,1,2,2,1,1,1,
113125212228,1,1,1,1,1,1,
113127712228,1,2,1,1,1,1,
113128212228,1,2,1,2,1,1,
113128712228,1,1,1,2,1,1,
113129212228,1,2,1,1,2,2,
113130212228,1,2,2,1,1,1,
113130712228,1,1,2,1,1,1,
113131212228,1,2,2,1,1,2,
113134712228,1,2,1,1,1,1,
113135212228,1,2,1,1,1,1,
113136212228,1,2,1,1,1,1,
113138712228,1,1,2,1,1,1,
113139212228,1,1,1,1,1,2,
113140712228,1,2,1,1,1,1,
113141712228,1,2,1,1,1,1,
113142212228,1,2,1,1,1,1,
113142712228,1,2,1,1,1,1,
113143712228,1,2,1,1,1,1,
113144712228,1,2,1,1,1,1,
113145712228,1,2,1,1,1,1,
113147212228,1,2,1,2,2,1,
113147712228,1,1,2,1,1,1,
113148712228,1,2,1,1,1,1,
113149212228,1,2,1,1,1,1,
113149712228,1,2,2,1,1,1,
113150212228,1,2,1,1,1,1,
113151212228,1,2,1,1,1,1,
113152212228,1,1,2,1,1,1,
113152712228,1,2,1,1,1,1,
113153212228,1,1,1,1,1,1,
113153712228,1,1,2,1,1,1,
113156212228,1,1,1,1,1,1,
113156712228,1,1,2,1,1,1,
113158712228,1,2,1,1,1,1,
113159212228,1,2,1,1,1,1,
113159712228,1,2,1,1,1,1,
113160712228,1,2,1,1,1,1,
113161212228,1,2,2,1,1,1,
113165212228,1,2,1,1,1,1,
113165712228,1,2,2,1,1,1,
113166712228,1,2,1,1,1,1,
113169212228,1,2,2,1,1,1,
113170212228,1,2,1,2,1,1,
113171212228,1,2,1,1,1,1,
113173212228,1,1,1,1,1,1,
113173712228,1,2,1,1,1,1,
