,W-0,R-0,R-1,R-2,R-3,R-4,
114818559309,1,2,1,1,1,1,
114819059309,1,2,1,1,1,1,
114820059309,1,1,1,1,1,1,
114821059309,1,1,1,1,1,1,
114822059309,1,1,1,1,1,1,
114825559309,1,1,1,1,1,1,
114826059309,1,1,1,1,1,1,
114827059309,1,1,1,1,1,1,
114831059309,1,2,1,1,1,1,
114833559309,1,1,1,1,1,1,
114834559309,1,1,1,1,1,1,
114836059309,1,1,1,1,1,1,
114836559309,1,1,1,1,1,1,
114837059309,1,2,1,1,1,1,
114840059309,1,1,1,1,1,1,
114840559309,1,2,1,1,1,1,
114841059309,1,1,1,1,1,1,
114841559309,1,1,1,1,1,1,
114842559309,1,1,1,1,1,1,
114845559309,1,1,1,1,1,1,
114847559309,1,1,1,1,1,1,
114848059309,1,1,1,1,1,1,
114848559309,1,2,1,1,1,1,
114850059309,1,1,1,1,1,1,
114850559309,1,1,1,1,1,1,
114853059309,1,2,1,1,1,1,
114854059309,1,1,1,1,1,1,
114854559309,1,1,1,1,1,1,
114856559309,1,1,1,1,1,1,
114857559309,1,2,1,1,1,1,
114858059309,1,2,1,1,1,1,
114859059309,1,1,1,1,1,1,
114860059309,1,1,1,1,1,1,
114860559309,1,1,1,1,1,1,
114862059309,1,1,1,1,1,1,
114863559309,1,1,1,1,1,1,
114864059309,1,2,1,1,1,1,
114866559309,1,1,1,1,1,1,
114867059309,1,2,1,1,1,1,
114867559309,1,2,1,1,1,1,
114868559309,1,2,1,1,1,1,
114869059309,1,1,1,1,1,1,
114869559309,1,2,1,1,1,1,
114871059309,1,2,2,2,2,2,
114871559309,1,2,2,2,2,2,
114872559309,1,2,2,2,2,2,
114873059309,1,2,2,2,1,1,
114874059309,1,2,2,2,2,2,
114874559309,1,2,1,1,1,1,
114875059309,1,1,1,1,1,1,
114875559309,1,1,1,1,1,1,
114877059309,1,1,1,1,1,1,
114879059309,1,1,1,1,1,1,
114880059309,1,1,1,1,1,1,
114880559309,1,1,1,1,1,1,
114881059309,1,1,1,1,1,1,
114881559309,1,1,1,1,1,1,
114883059309,1,1,1,1,1,1,
114885559309,1,2,1,1,1,1,
114886059309,1,1,1,1,1,1,
114886559309,1,1,1,1,1,1,
114887559309,1,1,1,1,1,1,
114888559309,1,1,1,1,1,1,
114889059309,1,1,1,1,1,1,
114889559309,1,2,1,1,1,1,
114890059309,1,2,1,1,1,1,
114891059309,1,1,1,1,1,1,
114892559309,1,1,1,1,1,1,
114893059309,1,1,1,1,1,1,
114893559309,1,1,1,1,1,1,
114894059309,1,1,1,1,1,1,
114895559309,1,1,1,1,1,1,
114896559309,1,1,1,1,1,1,
114897059309,1,1,1,1,1,1,
114897559309,1,1,1,1,1,1,
114898059309,1,1,1,1,1,1,
114899059309,1,2,1,1,1,1,
114899559309,1,1,1,1,1,1,
114903559309,1,1,1,1,1,1,
114904059309,1,1,1,1,1,1,
114906059309,1,1,1,1,1,1,
114906559309,1,1,1,1,1,1,
114907059309,1,1,1,1,1,1,
114907559309,1,1,1,1,1,1,
114909059309,1,1,1,1,1,1,
114910059309,1,2,1,1,1,1,
114912559309,1,2,1,1,1,1,
114913059309,1,2,1,1,1,1,
114913559309,1,1,1,1,1,1,
114914059309,1,2,1,1,1,1,
114915059309,1,1,1,1,1,1,
114915559309,1,1,1,1,1,1,
114916059309,1,2,1,1,1,1,
114919559309,1,1,1,1,1,1,
114920059309,1,2,1,1,1,1,
114921059309,1,1,1,1,1,1,
114923559309,1,1,1,1,1,1,
114924059309,1,1,1,1,1,1,
114925559309,1,1,1,1,1,1,
114926559309,1,1,1,1,1,1,
114927059309,1,1,1,1,1,1,
114927559309,1,1,1,1,1,1,
114928559309,1,2,1,1,1,1,
114929559309,1,1,1,1,1,1,
114930559309,1,1,1,1,1,1,
114932059309,1,1,1,1,1,1,
114932559309,1,1,1,1,1,1,
114933559309,1,1,1,1,1,1,
114934059309,1,1,1,1,1,1,
114934559309,1,2,1,1,1,1,
114935059309,1,1,1,1,1,1,
114936059309,1,1,1,1,1,1,
114937059309,1,2,1,1,1,1,
114937559309,1,1,1,1,1,1,
114938059309,1,1,1,1,1,1,
114938559309,1,1,1,1,1,1,
114941059309,1,1,1,1,1,1,
114941559309,1,1,1,1,1,1,
114943559309,1,1,1,1,1,1,
114944059309,1,1,1,1,1,1,
114944559309,1,1,1,1,1,1,
114945559309,1,1,1,1,1,1,
114946059309,1,1,1,1,1,1,
114950059309,1,1,1,1,1,1,
114950559309,1,1,1,1,1,1,
114951559309,1,1,1,1,1,1,
114954059309,1,1,1,1,1,1,
114955059309,1,1,1,1,1,1,
114956059309,1,1,1,1,1,1,
114958059309,1,1,1,1,1,1,
114958559309,1,1,1,1,1,1,
114959059309,1,1,1,1,1,1,
114959559309,1,2,1,1,1,1,
114960559309,1,1,1,1,1,1,
114961059309,1,1,1,1,1,1,
114961559309,1,1,1,1,1,1,
114962559309,1,1,1,1,1,1,
114963059309,1,1,1,1,1,1,
114964059309,1,1,1,1,1,1,
114964559309,1,1,1,1,1,1,
114965059309,1,1,1,1,1,1,
114966559309,1,1,1,1,1,1,
114967559309,1,1,1,1,1,1,
114969559309,1,1,1,1,1,1,
114970059309,1,1,1,1,1,1,
114970559309,1,1,1,1,1,1,
114971059309,1,2,1,1,1,1,
114972059309,1,1,1,1,1,1,
114973059309,1,1,1,1,1,1,
114973559309,1,1,1,1,1,1,
114974559309,1,1,1,1,1,1,
114975059309,1,1,1,1,1,1,
114975559309,1,2,1,1,1,1,
114976059309,1,1,1,1,1,1,
114977059309,1,2,1,1,1,1,
114977559309,1,1,1,1,1,1,
114978559309,1,1,1,1,1,1,
114979059309,1,1,1,1,1,1,
114980059309,1,1,1,1,1,1,
114980559309,1,1,1,1,1,1,
114981559309,1,1,1,1,1,1,
114982059309,1,2,1,1,1,1,
114985059309,1,1,1,1,1,1,
114987059309,1,2,1,1,1,1,
114988059309,1,1,1,1,1,1,
114988559309,1,1,1,1,1,1,
114989059309,1,1,1,1,1,1,
114990059309,1,1,1,1,1,1,
114991059309,1,1,1,1,1,1,
114991559309,1,1,1,1,1,1,
114992059309,1,2,1,1,1,1,
114992559309,1,1,1,1,1,1,
114993059309,1,1,1,1,1,1,
114994559309,1,1,1,1,1,1,
114995559309,1,1,1,1,1,1,
114996059309,1,1,1,1,1,1,
114998559309,1,1,1,1,1,1,
114999559309,1,1,1,1,1,1,
115001059309,1,1,1,1,1,1,
115002059309,1,1,1,1,1,1,
115002559309,1,1,1,1,1,1,
115004059309,1,1,1,1,1,1,
115006559309,1,1,1,1,1,1,
115007059309,1,1,1,1,1,1,
115007559309,1,1,1,1,1,1,
115009059309,1,2,1,1,1,1,
115009559309,1,1,1,1,1,1,
115011559309,1,1,1,1,1,1,
115012059309,1,1,1,1,1,1,
115012559309,1,1,1,1,1,1,
115013559309,1,1,1,1,1,1,
115014559309,1,1,1,1,1,1,
115015059309,1,1,1,1,1,1,
115015559309,1,1,1,1,1,1,
115016059309,1,1,1,1,1,1,
115016559309,1,1,1,1,1,1,
115017059309,1,1,1,1,1,1,
115017559309,1,1,1,1,1,1,
115019059309,1,1,1,1,1,1,
115020559309,1,1,1,1,1,1,
115022559309,1,2,1,1,1,1,
115024059309,1,1,1,1,1,1,
115024559309,1,1,1,1,1,1,
115026059309,1,1,1,1,1,1,
115026559309,1,1,1,1,1,1,
115028559309,1,1,1,1,1,1,
115029559309,1,2,1,1,1,1,
115030559309,1,1,1,1,1,1,
115031059309,1,2,1,1,1,1,
115032059309,1,1,1,1,1,1,
115033059309,1,1,1,1,1,1,
115033559309,1,2,2,2,2,2,
115034059309,1,2,1,1,1,1,
115036559309,1,1,1,1,1,1,
115040059309,1,1,1,1,1,1,
115040559309,1,1,1,1,1,1,
115041059309,1,1,1,1,1,1,
115042059309,1,1,1,1,1,1,
115043059309,1,1,1,1,1,1,
115043559309,1,1,1,1,1,1,
115044559309,1,1,1,1,1,1,
115045059309,1,1,1,1,1,1,
115045559309,1,1,1,1,1,1,
115046059309,1,1,1,1,1,1,
115048059309,1,1,1,1,1,1,
115048559309,1,1,1,1,1,1,
115050059309,1,1,1,1,1,1,
115051059309,1,1,1,1,1,1,
115056559309,1,2,1,1,1,1,
115058559309,1,1,1,1,1,1,
