,W-0,R-0,R-1,R-2,R-3,R-4,
116008260623,1,2,1,1,1,1,
116008760623,1,2,1,1,1,1,
116009760623,1,1,1,1,1,1,
116010760623,1,2,1,1,1,1,
116011760623,1,2,2,2,2,2,
116015260623,1,1,1,1,1,1,
116015760623,1,1,1,1,1,1,
116016760623,1,1,1,1,1,1,
116020760623,1,2,1,1,1,1,
116023260623,1,1,1,1,1,1,
116024260623,1,1,1,1,1,1,
116025760623,1,1,1,1,1,1,
116026260623,1,1,1,1,1,1,
116026760623,1,1,1,1,1,1,
116029760623,1,1,1,1,1,1,
116030260623,1,2,1,1,1,1,
116030760623,1,1,1,1,1,1,
116031260623,1,1,1,1,1,1,
116032260623,1,2,1,1,1,1,
116035260623,1,1,1,1,1,1,
116037260623,1,1,1,1,1,1,
116037760623,1,1,1,1,1,1,
116038260623,1,1,1,1,1,1,
116039760623,1,1,1,1,1,1,
116040260623,1,1,1,1,1,1,
116042760623,1,2,1,1,1,1,
116043760623,1,1,1,1,1,1,
116044260623,1,1,1,1,1,1,
116046260623,1,1,1,1,1,1,
116047260623,1,1,1,1,1,1,
116047760623,1,1,1,1,1,1,
116048760623,1,1,1,1,1,1,
116049760623,1,1,1,1,1,1,
116050260623,1,1,1,1,1,1,
116051760623,1,1,1,1,1,1,
116053260623,1,1,1,1,1,1,
116053760623,1,2,1,1,1,1,
116056260623,1,1,1,1,1,1,
116056760623,1,2,1,1,1,1,
116057260623,1,1,1,1,1,1,
116058260623,1,1,1,1,1,1,
116058760623,1,1,1,1,1,1,
116059260623,1,1,1,1,1,1,
116060760623,1,1,1,1,1,1,
116061260623,1,1,1,1,1,1,
116062260623,1,1,1,1,1,1,
116062760623,1,1,1,1,1,1,
116063760623,1,1,1,1,1,1,
116064260623,1,2,1,1,1,1,
116064760623,1,1,1,1,1,1,
116065260623,1,2,1,1,1,1,
116066760623,1,1,1,1,1,1,
116068760623,1,1,1,1,1,1,
116069760623,1,2,1,1,1,1,
116070260623,1,1,1,1,1,1,
116070760623,1,2,1,1,1,1,
116071260623,1,1,1,1,1,1,
116072760623,1,2,1,1,1,1,
116075260623,1,1,1,1,1,1,
116075760623,1,1,1,1,1,1,
116076260623,1,2,1,1,1,1,
116077260623,1,1,1,1,1,1,
116078260623,1,2,1,1,1,1,
