,W-0,R-0,R-1,R-2,R-3,R-4,
117198045793,1,2,1,1,1,1,
117198545793,1,2,2,1,1,1,
117199545793,1,2,2,1,1,1,
117200545793,1,2,2,2,1,2,
117201545793,1,2,1,1,1,1,
117205045793,1,2,1,1,2,2,
117205545793,1,2,1,1,1,1,
117206545793,1,2,1,1,1,1,
117210545793,1,2,1,1,1,1,
117213045793,1,2,1,1,1,1,
117214045793,1,2,1,1,1,1,
117215545793,1,2,2,1,1,1,
117216045793,1,2,1,1,1,1,
117216545793,1,2,2,1,1,1,
117219545793,1,2,1,1,1,1,
117220045793,1,2,1,1,1,1,
117220545793,1,2,2,2,2,2,
117221045793,1,2,2,1,1,1,
117222045793,1,2,1,1,1,1,
117225045793,1,2,1,1,1,1,
117227045793,1,2,1,1,1,1,
117227545793,1,2,1,1,1,1,
117228045793,1,2,2,2,2,2,
117229545793,1,2,1,1,1,1,
117230045793,1,2,2,1,2,1,
117232545793,1,2,1,1,1,1,
117233545793,1,2,1,1,1,1,
117234045793,1,2,1,1,1,1,
117236045793,1,2,1,1,1,1,
117237045793,1,2,2,1,1,1,
117237545793,1,2,1,1,1,1,
117238545793,1,2,1,1,1,1,
117239545793,1,2,2,1,1,1,
117240045793,1,2,1,1,1,1,
117241545793,1,2,1,1,1,1,
117243045793,1,2,2,1,1,1,
117243545793,1,2,2,1,1,1,
117246045793,1,2,1,1,1,1,
117246545793,1,2,1,1,1,1,
117247045793,1,2,1,1,1,1,
117248045793,1,2,2,1,1,1,
117248545793,1,2,1,1,1,1,
117249045793,1,2,2,1,1,1,
117250545793,1,2,1,1,1,1,
117251045793,1,2,1,1,1,1,
117252045793,1,2,1,1,1,1,
117252545793,1,2,2,1,1,1,
117253545793,1,2,1,1,1,1,
117254045793,1,2,1,1,1,1,
117254545793,1,2,1,1,1,1,
117255045793,1,2,1,1,1,1,
117256545793,1,2,1,1,1,1,
117258545793,1,2,2,2,1,2,
117259545793,1,2,2,1,1,1,
117260045793,1,2,1,1,1,1,
117260545793,1,2,1,1,1,1,
117261045793,1,2,2,2,2,1,
117262545793,1,2,1,2,1,1,
117265045793,1,2,1,2,1,2,
117265545793,1,2,2,2,2,2,
117266045793,1,2,2,1,1,1,
117267045793,1,2,1,1,1,1,
117268045793,1,2,2,1,2,2,
117268545793,1,2,1,1,1,1,
117269045793,1,2,1,2,1,2,
117269545793,1,2,2,2,2,2,
117270545793,1,2,2,1,2,1,
117272045793,1,2,2,2,2,2,
117272545793,1,2,1,1,1,1,
117273045793,1,2,2,1,1,1,
117273545793,1,2,1,1,1,1,
117275045793,1,2,2,1,1,1,
117276045793,1,2,1,2,1,1,
117276545793,1,2,1,1,1,1,
117277045793,1,2,1,1,2,1,
117277545793,1,2,2,1,1,1,
117278545793,1,2,1,1,1,1,
117279045793,1,2,1,1,1,1,
117283045793,1,2,1,1,1,1,
117283545793,1,2,1,1,1,1,
117285545793,1,2,2,2,2,2,
117286045793,1,2,1,1,1,1,
117286545793,1,2,2,1,1,1,
117287045793,1,2,2,1,1,1,
117288545793,1,2,1,1,1,1,
117289545793,1,2,1,1,1,1,
117292045793,1,2,2,2,1,1,
117292545793,1,2,1,1,1,1,
117293045793,1,2,2,2,2,1,
117293545793,1,2,2,1,1,1,
117294545793,1,2,1,1,1,1,
117295045793,1,2,2,2,2,2,
117295545793,1,2,2,2,2,2,
117299045793,1,2,1,1,1,1,
117299545793,1,2,2,2,1,2,
117300545793,1,2,1,1,1,1,
117303045793,1,2,1,1,1,1,
117303545793,1,2,1,1,2,2,
117305045793,1,2,2,2,2,2,
117306045793,1,2,1,1,2,2,
117306545793,1,2,2,2,1,2,
117307045793,1,2,1,1,1,1,
117308045793,1,2,1,1,1,1,
117309045793,1,2,2,2,2,1,
117310045793,1,2,1,1,1,1,
117311545793,1,2,1,1,1,1,
117312045793,1,2,2,1,1,1,
117313045793,1,2,1,1,1,1,
117313545793,1,2,1,1,1,1,
117314045793,1,2,1,1,1,1,
117314545793,1,2,1,1,1,1,
117315545793,1,2,2,1,1,1,
117316545793,1,2,1,1,1,2,
117317045793,1,2,1,1,1,1,
117317545793,1,2,2,1,1,1,
117318045793,1,2,2,2,2,1,
117320545793,1,2,1,1,1,1,
117321045793,1,2,1,1,1,1,
117323045793,1,2,1,1,1,1,
117323545793,1,2,2,1,1,1,
117324045793,1,2,1,1,1,1,
117325045793,1,2,1,1,1,1,
117325545793,1,2,1,1,1,1,
117329545793,1,2,1,1,1,1,
117330045793,1,2,1,1,1,1,
117331045793,1,2,1,1,1,1,
117333545793,1,2,2,1,1,1,
117334545793,1,2,1,1,1,1,
117335545793,1,2,2,2,1,1,
117337545793,1,2,2,1,1,1,
117338045793,1,2,2,1,1,1,
117338545793,1,2,2,2,1,1,
117339045793,1,2,2,1,1,1,
117340045793,1,2,2,2,2,1,
117340545793,1,2,1,1,1,1,
117341045793,1,2,1,1,1,1,
117342045793,1,2,1,1,1,1,
117342545793,1,2,1,1,1,1,
117343545793,1,2,1,1,1,1,
117344045793,1,2,1,1,1,1,
117344545793,1,2,2,2,2,2,
117346045793,1,2,1,1,1,1,
117347045793,1,2,2,1,1,1,
117349045793,1,2,1,1,1,1,
117349545793,1,2,1,2,2,2,
117350045793,1,2,1,1,1,1,
117350545793,1,2,2,2,1,1,
117351545793,1,2,2,1,1,1,
117352545793,1,2,1,1,1,1,
117353045793,1,2,1,1,1,1,
117354045793,1,2,2,1,1,1,
117354545793,1,2,1,1,1,1,
117355045793,1,2,1,1,1,1,
117355545793,1,2,1,1,1,1,
117356545793,1,2,1,1,1,1,
117357045793,1,2,1,1,1,1,
117358045793,1,2,1,1,1,1,
117358545793,1,2,2,1,1,1,
117359545793,1,2,2,2,2,2,
117360045793,1,2,1,1,1,1,
117361045793,1,2,1,1,1,1,
117361545793,1,2,1,1,1,1,
117364545793,1,2,1,1,1,1,
117366545793,1,2,2,1,1,1,
117367545793,1,2,1,2,2,1,
117368045793,1,2,1,1,1,1,
117368545793,1,2,1,1,1,1,
117369545793,1,2,2,1,1,1,
117370545793,1,2,1,1,1,1,
117371045793,1,2,2,1,1,1,
117371545793,1,2,1,1,1,1,
117372045793,1,2,1,1,1,1,
117372545793,1,2,1,1,1,1,
117374045793,1,2,2,1,1,1,
117375045793,1,2,1,1,1,1,
117375545793,1,2,1,1,1,1,
117378045793,1,2,1,1,1,1,
117379045793,1,2,1,1,1,1,
117380545793,1,2,1,1,1,1,
117381545793,1,2,1,1,1,1,
117382045793,1,2,2,1,1,1,
117383545793,1,2,1,1,1,1,
117386045793,1,2,2,1,1,1,
117386545793,1,2,1,1,1,1,
117387045793,1,2,1,1,1,1,
117388545793,1,2,2,2,2,2,
117389045793,1,2,1,1,1,1,
117391045793,1,2,1,1,1,1,
117391545793,1,2,2,1,1,1,
117392045793,1,2,2,1,1,1,
117393045793,1,2,1,1,1,1,
117394045793,1,2,1,1,1,1,
117394545793,1,2,1,1,1,1,
117395045793,1,2,1,1,1,1,
117395545793,1,2,1,1,2,2,
117396045793,1,2,2,2,2,2,
117396545793,1,2,2,1,1,1,
117397045793,1,2,1,1,1,1,
117398545793,1,2,1,1,1,1,
117400045793,1,2,1,1,1,1,
