,W-0,R-0,R-1,R-2,R-3,R-4,
118388926706,1,2,2,1,1,1,
118389426706,1,2,2,1,2,1,
118390426706,1,2,1,1,1,1,
118391426706,1,2,1,1,1,1,
118392426706,1,2,1,1,1,1,
118395926706,1,1,1,1,1,1,
118396426706,1,2,1,2,2,1,
118397426706,1,2,2,1,1,1,
118401426706,1,2,1,1,1,1,
118403926706,1,2,1,1,1,1,
118404926706,1,1,1,1,1,1,
118406426706,1,2,1,1,1,1,
118406926706,1,2,2,2,1,1,
118407426706,1,1,1,1,1,1,
118410426706,1,2,1,1,1,1,
118410926706,1,2,2,1,1,1,
118411426706,1,2,2,1,1,1,
118411926706,1,2,1,1,1,1,
118412926706,1,2,1,1,1,1,
118415926706,1,1,1,1,1,1,
118417926706,1,2,2,2,1,1,
118418426706,1,2,1,2,1,2,
118418926706,1,2,1,1,1,1,
118420426706,1,2,2,1,1,1,
118420926706,1,2,1,1,1,1,
118423426706,1,2,2,1,1,1,
118424426706,1,2,1,1,1,1,
118424926706,1,2,2,1,1,1,
118426926706,1,2,1,1,1,1,
118427926706,1,2,1,1,1,1,
118428426706,1,2,1,1,1,1,
118429426706,1,2,2,1,1,1,
118430426706,1,2,1,1,1,1,
118430926706,1,2,2,2,1,1,
118432426706,1,2,1,1,1,1,
118433926706,1,2,2,1,1,1,
118434426706,1,2,1,1,1,1,
118436926706,1,1,1,1,1,1,
118437426706,1,2,1,1,1,1,
118437926706,1,2,1,1,1,1,
118438926706,1,2,1,1,1,1,
118439426706,1,2,2,2,2,2,
118439926706,1,2,1,1,1,1,
118441426706,1,2,1,1,1,1,
118441926706,1,2,2,1,1,1,
118442926706,1,2,2,1,2,2,
118443426706,1,2,1,1,1,1,
118444426706,1,2,2,1,1,1,
118444926706,1,2,1,1,1,1,
118445426706,1,2,2,1,1,1,
118445926706,1,2,1,1,1,1,
118447426706,1,2,1,1,1,1,
118449426706,1,2,1,1,1,1,
118450426706,1,2,1,1,1,1,
118450926706,1,2,2,2,1,1,
118451426706,1,2,1,2,1,2,
118451926706,1,2,1,1,2,1,
118453426706,1,2,1,1,1,1,
118455926706,1,2,1,1,1,1,
118456426706,1,2,2,1,1,1,
118456926706,1,2,1,1,1,1,
118457926706,1,2,2,2,2,2,
118458926706,1,1,1,1,1,1,
118459426706,1,2,2,1,2,2,
