,W-0,R-0,R-1,R-2,R-3,R-4,
124937279935,21882,12457,3244,5151,8566,11011,
124937779935,33292,14356,5131,6817,6994,9018,
124938779935,19334,12416,3209,5285,7181,9205,
124939779935,56261,23631,14501,4975,7237,9142,
124940779935,43511,1849,4048,5141,6992,9036,
124944279935,14296,12038,2942,5246,6954,9141,
124944779935,12280,1523,3027,5439,7008,8912,
124945779935,53968,12716,14432,5201,6939,9939,
124949779935,21556,12203,3199,4967,7060,9029,
124952279935,26910,11962,2833,4855,6814,8925,
124953279935,46205,11972,3050,5031,7125,8906,
124954779935,39944,12064,2921,4953,7156,20144,
124955279935,36307,12454,3524,4873,6932,8885,
124955779935,41326,12257,2779,4974,6878,9007,
124958779935,23035,1483,13890,4947,6859,8844,
124959279935,37981,1316,2812,4896,6876,8835,
124959779935,13165,12383,2983,4835,6872,8893,
124960279935,50158,11786,2959,15988,17830,8779,
124961279935,17402,12127,2854,5012,6893,8998,
124964279935,49951,23486,3242,5032,7061,9023,
124966279935,66207,1440,14219,4838,6983,9005,
124966779935,47483,1233,3005,4934,7305,8819,
124967279935,23490,14488,14597,16018,7006,8983,
124968779935,36823,12111,2952,4778,6915,8830,
124969279935,13351,12463,3262,5037,7005,9018,
124971779935,45515,12831,15202,5702,7297,8774,
124972779935,96049,34230,40488,52443,40920,41821,
124973279935,15779,12241,2909,4999,29002,8961,
124975279935,18647,12441,2936,4943,6872,8953,
124976279935,37260,1958,3054,4926,6961,9100,
124976779935,80413,13430,13950,4801,17718,30884,
124977779935,19372,12339,2959,4759,7241,8909,
124978779935,9384,12390,3021,4965,7032,9195,
124979279935,35639,12417,13835,4884,7165,8980,
124980779935,24479,12416,13997,26823,17994,9133,
124982279935,49572,12647,13959,5050,7057,9257,
124982779935,30958,12438,3256,4937,6891,8965,
124985279935,12035,1644,2918,4933,6985,8947,
124985779935,37694,12211,2992,4751,7002,8875,
124986279935,25366,12182,3043,5021,6984,8877,
124987279935,38044,1469,3254,4828,6849,8853,
124987779935,42322,1424,2934,4894,6939,9232,
124988279935,12172,12966,2757,4811,6997,9211,
124989779935,23818,12422,13947,4888,6794,9129,
124990279935,30886,11977,3156,5057,7113,9037,
124991279935,31870,12650,3245,5020,7518,9198,
124991779935,36445,1456,2801,5456,6791,8762,
124992779935,41457,12418,3048,4966,7031,8902,
124993279935,50004,1698,3165,4919,7196,9100,
124993779935,43675,12203,2958,4833,6818,8790,
124994279935,40393,12060,2865,4924,6950,8961,
124995779935,34874,11900,2899,4969,6903,9449,
124997779935,43798,12275,3235,5013,6956,8956,
124998779935,29853,44903,3106,4728,6701,8868,
124999279935,27593,12754,13925,5044,6943,8944,
124999779935,58369,12172,2930,4838,18485,19779,
125000279935,22388,12219,2989,4849,6882,8998,
125001779935,235592,11897,2896,4897,6777,8785,
125004279935,29361,23255,14318,5123,17952,8960,
125004779935,25406,12343,2779,5105,6840,8820,
125005279935,25232,12455,2870,4993,7115,8918,
125006279935,43417,13732,3285,4717,6850,8821,
125007279935,34147,1306,2989,4893,6847,8945,
125007779935,42535,12391,3045,4942,6882,8949,
125008279935,52402,12291,3184,5025,6805,8914,
125008779935,34598,12181,3205,4900,6928,8777,
125009779935,29166,12290,3154,5041,7261,9135,
125011279935,39543,1317,2869,4788,6822,8797,
125011779935,95689,11800,2848,4788,6800,8731,
125012279935,46823,12215,3507,5182,7049,8965,
125012779935,32731,1429,3158,16234,17934,8802,
125014279935,46018,12340,24739,4868,7178,8734,
125015279935,32657,12061,13975,5011,6898,8903,
125015779935,36824,12820,13855,4966,6812,8858,
125016279935,28866,12232,13797,4866,6965,9064,
125016779935,16175,12218,13694,4858,17595,8766,
125017779935,10744,11592,3235,4857,6943,8943,
125018279935,66436,12354,13966,5555,6764,19752,
125022279935,60511,1473,2912,4889,6849,9126,
125022779935,29830,12447,2974,4881,6865,8870,
125024779935,18749,12226,3020,4786,6809,8712,
125025279935,21440,11997,2800,4852,6836,8756,
125025779935,54283,12946,13979,5029,6985,9184,
125026279935,39049,11822,2684,4837,6704,8885,
125027779935,55044,11859,2852,5176,7061,8953,
125028779935,45803,1272,14360,4807,6753,8783,
125031279935,10353,1576,13764,4756,6806,8907,
125031779935,25189,1542,2986,16734,6846,8717,
125032279935,166535,12310,2814,4857,7330,8808,
125032779935,19294,1460,2885,4792,6805,8784,
125033779935,77019,19656,19969,26672,28952,19783,
125034279935,22318,1467,3177,4756,6773,8775,
125034779935,102595,23214,2933,26828,7054,8962,
125038279935,41599,22893,2742,4810,7110,8932,
125038779935,33738,12518,2867,15700,17800,9107,
125039779935,23820,1800,13968,4759,17788,8868,
125042279935,13480,12040,2951,5260,6955,8938,
125042779935,45354,11906,3159,4965,6859,8874,
125044279935,39499,12175,13754,4744,6854,8857,
125045279935,12024,12008,2904,4977,6831,8844,
125045779935,32765,11801,3034,4864,7312,8910,
125046279935,13683,12376,2946,4975,6928,8825,
125047279935,32504,1362,13905,4782,6877,8931,
125048279935,29112,11688,2922,4842,6859,8744,
125049279935,62535,23167,2844,4904,6878,8704,
125050779935,22831,12222,2746,4730,6926,8917,
125051279935,38265,12032,2950,4873,6689,8869,
125052279935,17532,12212,2929,4956,6936,8967,
125052779935,26038,12263,5933,6361,6743,8793,
125053279935,62613,12226,3001,4998,6957,9145,
125053779935,38845,1478,13915,4780,6847,8830,
125054779935,11707,12609,3184,4987,6942,9224,
125055779935,18603,12218,2902,4866,6738,8802,
125056279935,28742,11996,2839,4849,7005,8907,
125056779935,50946,12246,2759,15553,17604,19691,
125057279935,35864,12440,3103,4904,6885,8771,
125059779935,46984,4916,13758,15998,6763,8807,
125060279935,16798,11811,2883,4751,6767,9032,
125062279935,11372,1394,13761,5053,6882,8885,
125062779935,58538,12419,2946,15944,6963,8941,
125063279935,239321,1783,3364,4798,6808,8804,
125064279935,45975,11979,2912,5017,6945,9010,
125064779935,78342,12833,2982,4877,7197,9161,
125068779935,11239,11984,2782,4842,6870,8967,
125069279935,9180,1445,2898,4981,7040,9049,
125070279935,300000,11996,2799,4783,6872,8872,
125072779935,30455,23050,2819,4923,6823,19766,
125073779935,35501,12227,2922,15786,17651,8815,
125074779935,46222,12514,14280,5029,6916,8913,
125076779935,287830,12389,2962,4997,6758,8766,
125077279935,300000,12430,3116,5180,7133,9233,
125077779935,188890,12589,3264,4955,6796,9195,
125078279935,135306,1478,2820,4827,6780,8945,
125079279935,115635,11990,2955,4997,6981,8916,
125079779935,29411,11639,2692,4689,6718,8755,
125080279935,10969,12284,2797,4868,7031,9203,
125081279935,40724,12182,3126,4953,6811,8818,
125081779935,21417,1315,2849,4809,6804,8776,
125082779935,17055,12214,24884,4994,7026,31005,
125083279935,237367,12180,2753,4695,6949,8722,
125083779935,35986,11865,2856,4835,6934,8832,
125085279935,44727,11890,13924,4951,7274,8784,
125086279935,195530,12237,2985,4901,6803,8823,
125088279935,44964,11956,2914,4871,6891,19650,
125088779935,20508,12015,2943,4920,6913,8817,
125089279935,24867,12029,13958,4707,7270,9004,
125089779935,29121,12020,13853,4759,6806,8773,
125090779935,51308,34910,13830,16013,18008,19514,
125091779935,30334,12191,13725,15552,6818,8939,
125092279935,11499,12122,2873,4843,6796,8757,
125093279935,25576,11750,2905,4755,6782,8745,
125093779935,105552,12118,2869,4744,6817,8870,
125094279935,223804,23171,2999,4870,18023,8970,
125094779935,19544,12158,2944,4922,7161,9216,
125095779935,300000,12217,2866,4773,6910,8966,
125096279935,20308,11952,13897,15736,17838,8987,
125097279935,47215,12698,2694,15574,6793,19673,
125097779935,56038,12577,3119,4888,6899,8790,
125098779935,46021,11935,2854,5107,7000,19773,
125099279935,21354,1451,3028,5280,6905,8859,
125100279935,62521,12112,14136,4879,6958,8960,
125100779935,31866,12042,2927,4748,6775,8813,
125103779935,9875,12203,2951,4898,6724,8791,
125105779935,48317,22848,2828,26385,6773,8800,
125106779935,44839,1325,3037,4708,6767,8784,
125107279935,9673,12182,2879,4697,7065,9153,
125107779935,53285,11657,2948,4874,6928,9016,
125108779935,43192,1230,2800,5164,6963,8892,
125109779935,33475,1410,13548,4862,6810,8745,
125110279935,31741,11892,2897,4715,17444,8765,
125110779935,41542,12201,2897,15818,6789,8845,
125111279935,34274,12906,3114,4813,6950,8950,
125111779935,26635,12141,2796,5010,6821,8871,
125113279935,41459,11858,2928,4753,6823,8799,
125114279935,48221,11904,13599,4793,6892,8834,
125114779935,23845,1411,2844,4810,6773,8831,
125117279935,18815,1285,2919,5308,6766,8723,
125118279935,26360,12146,2950,4834,6854,8980,
125119779935,45153,12374,14285,4862,17785,19899,
