,W-0,R-0,R-1,R-2,R-3,R-4,
126126696843,31648,12430,3081,5080,6930,8976,
126127196843,97937,2010,3432,7351,8373,9597,
126128196843,36439,1547,3270,5092,7139,9035,
126129196843,31985,1424,3725,4941,6954,9002,
126130196843,49753,12743,11068,10946,10837,10670,
126133696843,64713,12489,3090,4976,6962,9115,
126134196843,18361,1477,3205,4876,6991,8882,
126135196843,25037,1553,3306,5240,7137,9109,
126139196843,21710,12117,3129,5101,6992,8983,
126141696843,300000,1352,2912,4874,6827,8889,
126142696843,19120,11964,3329,5050,6863,8842,
126144196843,35615,13592,3297,5131,7356,8924,
126144696843,32505,12039,3201,4971,7006,8961,
126145196843,36259,12299,2976,4923,7015,9126,
126148196843,36080,13748,3410,4994,7524,8986,
126148696843,13573,12008,2958,4900,6900,9285,
126149196843,65202,1789,3058,5206,7003,9121,
126149696843,20843,1465,2889,5069,6859,8994,
126150696843,25260,12243,2972,4944,7042,8856,
126153696843,40075,1593,2978,4950,6894,9006,
126155696843,90251,1808,3006,5064,6899,9049,
126156196843,28817,1781,3130,5063,6971,8794,
126156696843,27478,1537,2903,4911,6793,8829,
126158196843,NULL,NULL,NULL,NULL,NULL,NULL,
126158696843,300000,1490,2782,4794,6874,8984,
126161196843,15917,1581,3028,4907,6805,8897,
126162196843,48913,1372,3596,9348,10233,9083,
126162696843,22795,1453,2892,5100,7117,9033,
126164696843,56117,1304,2894,4861,6868,8977,
126165696843,39574,1454,3013,4891,6791,8844,
126166196843,36834,11941,3397,5071,7052,9134,
126167196843,22065,12493,3107,5051,7503,9239,
126168196843,45962,12332,2995,4851,6815,9049,
126168696843,17943,12017,3101,5015,6905,8921,
126170196843,49848,12114,3012,4976,6948,8875,
126171696843,45152,12126,2836,4740,6769,8918,
126172196843,14863,11948,2823,5059,6961,8841,
126174696843,300000,12307,3058,5212,8768,9102,
126175196843,NULL,NULL,NULL,NULL,NULL,NULL,
126175696843,244434,74155,75314,73907,70007,69264,
126176696843,300000,1646,3008,5440,7249,8817,
126177196843,300000,1905,3522,4874,6958,9825,
126177696843,197974,91994,84979,87873,91478,89445,
126179196843,300000,165654,164532,165256,165028,165408,
126179696843,185782,12881,3063,5017,7045,9137,
126180696843,106825,1462,2813,4898,6787,8792,
126181196843,144242,12487,3198,5045,7118,9209,
126182196843,220425,12545,3247,5088,7034,9088,
126182696843,37427,1473,2906,4906,6976,8925,
126183196843,34685,11976,2965,4937,6911,8826,
126183696843,21477,1652,3321,5103,6896,8967,
126185196843,27009,1394,2925,4935,6783,8765,
126187196843,12418,12547,2897,4848,6797,8869,
126188196843,145068,1610,3102,5113,7086,9145,
126188696843,137451,2110,2938,5035,6806,8850,
126189196843,113124,12267,3083,5290,6925,9029,
126189696843,98688,12274,3124,5104,6955,8939,
126191196843,39004,11923,3074,4795,6754,8751,
126193696843,164781,12235,2901,4865,6806,8789,
126194196843,54505,12480,2964,4785,6889,8892,
126194696843,28896,1704,2876,5316,6954,8837,
126195696843,13256,1517,2907,4987,6859,8903,
126196696843,16228,12143,2950,4980,6797,8873,
126197196843,109361,12115,3075,5047,6900,8934,
126197696843,39203,1543,3096,4956,6889,8981,
126198196843,37990,1493,3025,4926,6961,9143,
126199196843,31942,12046,2898,4927,6818,8746,
126200696843,7806,12270,2901,5226,7605,8835,
126201196843,33942,1544,3034,5331,6890,8795,
126201696843,26586,12381,3934,4918,6896,8811,
126202196843,24900,11942,2950,5014,6815,8914,
126203696843,36915,1607,2917,4892,6748,8998,
126204696843,45153,1577,2898,4809,6822,8780,
126205196843,23391,12083,3085,5049,6785,9227,
126205696843,18544,11995,3006,4930,6769,8862,
126206196843,27823,11755,3270,4857,6937,8787,
126207196843,37445,1474,3053,4878,6739,8864,
126207696843,17869,1773,3002,4959,7020,8996,
126211696843,46478,11824,2988,4971,6749,8847,
126212196843,33569,1412,3346,4890,7019,8880,
126214196843,29881,1643,2869,5334,6759,8905,
126214696843,26673,12304,2817,4924,7004,8929,
126215196843,20906,1468,2957,5022,6768,8970,
126215696843,72024,2051,2907,4836,6720,9006,
126217196843,28333,11755,3095,4758,6988,8929,
126218196843,40981,1409,2965,4803,6739,8764,
126220696843,30668,1555,2950,4999,6770,8800,
126221196843,11422,12348,3028,4886,6722,8929,
126221696843,25751,1498,2975,4924,7011,9007,
126222196843,12506,1646,2834,4829,6914,8955,
126223196843,65353,11799,3001,4953,6749,8875,
126223696843,23715,1443,3119,4821,6787,8788,
126224196843,177383,12119,3008,5092,6770,8980,
126227696843,24799,11744,2847,4892,6957,8777,
126228196843,28412,11958,2857,4939,6835,8765,
126229196843,69971,11968,3022,4852,6981,8909,
126231696843,30846,11903,2993,4827,6749,8774,
126232196843,23109,12203,3084,5336,6910,8831,
126233696843,17318,12031,2881,5025,7117,9059,
126234696843,47440,1578,2889,5342,7119,9581,
126235196843,52459,12015,3087,4902,7319,8897,
126235696843,14668,12211,3060,4803,6860,9083,
126236696843,15877,11886,2955,4781,6786,8758,
126237696843,23319,1520,3058,5033,6805,8886,
126238696843,18899,1736,2903,4731,6818,9381,
126240196843,18139,12116,2851,5084,6922,8971,
126240696843,27685,1417,2955,4865,6866,9006,
126241696843,58102,11846,2878,4778,6825,8875,
126242196843,21098,11804,2935,5023,6906,8829,
126242696843,36388,11732,2976,4883,7013,8892,
126243196843,33516,2111,3819,5010,6815,8974,
126244196843,29513,1329,2781,5562,6842,8908,
126245196843,131037,12400,3010,5367,6721,8974,
126245696843,16336,1322,2919,4975,6954,8856,
126246196843,26612,11859,3084,4924,6873,9200,
126246696843,18563,1607,3234,5286,6885,8885,
126249196843,9324,12005,2948,4880,6795,8918,
126249696843,16720,1664,2982,4976,6850,8880,
126251696843,44081,4831,4986,5020,6796,8738,
126252196843,30397,11715,2855,4983,6797,9809,
126252696843,22995,11842,2959,4775,6799,8884,
126253696843,18603,1617,3077,5108,6843,9154,
126254196843,39098,1488,2966,4884,6917,8799,
126258196843,16031,11986,2851,4801,6857,8971,
126258696843,36791,1421,2755,4846,6737,8770,
126259696843,38479,1424,3143,4925,6714,8742,
126262196843,29201,1756,2949,8501,9534,9039,
126263196843,14057,12281,2947,4977,6957,8990,
126264196843,16282,11740,2927,4926,6814,8751,
126266196843,65152,1573,3100,4971,6870,9323,
126266696843,38841,12150,2883,4828,6871,9005,
126267196843,36502,11697,2734,4860,6791,8807,
126267696843,17353,11871,2793,4772,6725,8839,
126268696843,8798,1640,2799,4900,6838,9291,
