,W-0,R-0,R-1,R-2,R-3,R-4,
127913385541,84450,12638,3036,5148,7014,9012,
127913885541,48255,12569,3166,5124,7368,9068,
127914885541,39355,1630,3435,4867,6833,8925,
127915885541,27640,1571,3063,5082,7284,8962,
127916885541,34378,12199,3914,4900,6916,8956,
127920385541,60967,1398,3004,5050,7109,10187,
127920885541,41847,1373,3032,5029,6995,9224,
127921885541,38578,12925,3224,5082,7033,9010,
127925885541,38408,1552,2967,4915,6904,8993,
127928385541,28027,1785,3038,5000,7071,8843,
127929385541,17650,1930,3160,4987,6990,9064,
127930885541,79952,12079,2956,4872,6928,8958,
127931385541,26760,1620,2859,4898,6930,8815,
127931885541,7140,1301,2886,4921,6879,8934,
127934885541,23118,1851,3083,4799,6885,8893,
127935385541,31784,1669,3079,4945,6820,8857,
127935885541,18656,1682,3030,4997,6953,8855,
127936385541,28619,1426,2951,4894,6811,8890,
127937385541,64314,1566,3054,5023,6859,8947,
127940385541,17658,1867,2988,4935,6929,8900,
127942385541,54763,1799,3088,4816,6822,9012,
127942885541,17798,1693,2945,5009,6821,8784,
127943385541,27821,1535,2963,5161,6852,8896,
127944885541,50042,9118,9606,8802,9458,9297,
127945385541,23203,1615,3110,5050,7104,8965,
127947885541,300000,12567,3204,5044,6883,8990,
127948885541,97092,12289,3145,5156,7057,9096,
127949385541,54510,11993,3030,4906,6807,8797,
127951385541,62966,1538,3104,5062,6989,9242,
127952385541,24540,1557,3023,4951,6868,8943,
127952885541,52784,1529,2988,4950,6922,8889,
127953885541,48159,1433,2915,5159,7029,8850,
127954885541,28623,12329,2953,5162,6747,8859,
127955385541,102273,57364,56777,56912,57137,57447,
127956885541,44378,1552,2823,4873,6881,8879,
127958385541,14710,12110,2831,4804,6847,9610,
127958885541,46825,7730,7607,7436,7179,8888,
127961385541,99937,1798,3108,5171,7034,9185,
127961885541,79013,1246,3039,5074,7023,8806,
127962385541,21643,1402,2959,4914,6830,8910,
127963385541,30835,1419,2833,5020,6909,8895,
127963885541,15439,2031,3457,5006,7399,8949,
127964385541,36142,1539,2786,5121,6754,8786,
127965885541,34867,1455,3038,4953,6860,8814,
127966385541,66600,32822,32705,32629,33185,33046,
127967385541,45822,1531,2975,5078,7085,9041,
127967885541,49810,11998,3225,4972,6846,8870,
127968885541,40825,1745,2956,4787,6836,8885,
127969385541,16371,12781,3160,4990,7046,8823,
127969885541,35827,1394,3000,4963,6917,8986,
127970385541,52787,1970,3278,5060,7054,9127,
127971885541,26971,1579,2763,4940,6907,8976,
127973885541,30686,12160,2993,4988,6930,8812,
127974885541,48726,4822,4547,5040,7216,8714,
127975385541,35941,1789,2978,4882,6865,8857,
127975885541,56235,1340,3018,4813,6877,8830,
127976385541,31540,1746,3097,5022,6860,8788,
127977885541,50093,1646,2947,4998,6776,8931,
127980385541,100555,1337,2884,4814,6860,8752,
127980885541,45600,1534,2855,5073,7053,8899,
127981385541,36988,1238,2811,4847,6798,8907,
127982385541,44555,1320,2939,4757,6931,8908,
127983385541,149958,1443,2864,4826,7004,8835,
127983885541,93217,1891,2849,4749,6936,8980,
127984385541,40726,1719,2931,4845,6819,8890,
127984885541,124965,11986,2936,4822,6920,8865,
127985885541,30908,1321,2896,4810,6769,8836,
127987385541,59074,1508,2960,4892,6792,8915,
127987885541,33105,1440,2905,4931,7242,8833,
127988385541,19687,1541,3058,4974,7025,8874,
127988885541,46649,1704,3198,4986,6933,8874,
127990385541,41790,1443,2851,4927,6820,8837,
127991385541,29995,1726,2991,5047,7260,8886,
127991885541,19273,1449,2874,4815,6777,8840,
127992385541,12090,1703,3186,5154,6963,8816,
127992885541,50421,4867,3232,4993,7292,8859,
127993885541,36095,1633,3052,4989,6870,8761,
127994385541,33774,1869,2744,4805,6870,8968,
127998385541,51146,1279,2945,5039,7337,8870,
127998885541,22799,1707,3126,5157,10074,10326,
128000885541,17575,1641,2925,5551,7336,9118,
128001385541,44141,1234,2883,4782,6859,8741,
128001885541,25026,1359,2778,4852,6797,8766,
128002385541,27813,2026,2782,4655,6689,8735,
128003885541,24215,1292,2862,5005,6881,8844,
128004885541,12257,1848,3515,4875,6868,8933,
128007385541,10803,1668,3023,4998,7010,8802,
128007885541,48272,5695,5828,15968,6877,9124,
