,W-0,R-0,R-1,R-2,R-3,R-4,
129105057067,17343,12840,3093,7262,7112,9057,
129105557067,14565,13540,2980,5201,7144,9697,
129106557067,38853,12845,3129,5037,6881,9045,
129107557067,43488,400281,387478,394761,387566,386861,
129108557067,21740,23544,26630,4931,18131,8871,
129112057067,53105,12451,3220,5106,7139,9203,
129112557067,23404,12282,13681,4975,6837,8830,
129113557067,11314,12271,3184,5125,7139,8853,
129117557067,17115,12104,3066,5154,6896,8871,
129120057067,37396,12042,2927,4884,6860,9015,
129121057067,49995,13264,3103,5241,7044,8858,
129122557067,43808,12467,14068,5142,7053,8876,
129123057067,23237,11792,3066,4904,9104,8875,
129123557067,20268,12077,3182,4907,6813,8883,
129126557067,43532,12460,3166,5132,7071,8984,
129127057067,16372,12268,14076,4909,6904,8885,
129127557067,48788,12152,13698,16046,17916,9147,
129128057067,46302,12120,14132,16042,6845,8913,
129129057067,37887,12203,2718,4976,6765,8775,
129132057067,148907,71043,68858,70781,73064,67336,
129134057067,166574,12292,3076,5005,6914,8852,
129134557067,33227,12255,2885,59990,7071,20117,
129135057067,49375,12896,14111,4776,6976,9015,
129136557067,37341,12763,3285,5088,6832,8871,
129137057067,51818,12191,3038,4823,6876,9164,
129139557067,20714,12278,14067,4980,6794,8976,
129140557067,41594,121768,122984,125019,148342,130782,
129141057067,67094,12642,3245,5092,7004,9748,
129143057067,34250,12246,2878,5015,7020,8847,
129144057067,47200,11866,13853,4852,6753,8765,
129144557067,19289,12293,3013,4886,6806,9010,
129145557067,37327,12132,3039,5083,6909,9071,
129146557067,37257,12388,25697,15839,28968,19894,
129147057067,51729,12160,2921,5034,7002,9074,
129148557067,24063,12182,3102,5113,6931,8928,
129150057067,43540,12785,13991,5075,7005,9300,
129150557067,16160,12461,14151,5203,7147,9139,
129153057067,15786,12153,14206,4973,6848,8804,
129153557067,32571,12296,2795,5004,6881,8879,
129154057067,34116,12023,3071,5056,7033,8913,
129155057067,21442,12098,3107,4843,6893,8926,
129155557067,72782,12198,13893,5023,6908,8913,
129156057067,48152,67092,35931,5441,40206,20056,
129157557067,57270,12137,24818,5098,17698,8809,
129158057067,45196,11906,2787,4873,6834,8825,
129159057067,17443,12689,3031,4895,6891,8818,
129159557067,16024,12145,2974,4920,6885,8919,
129160557067,16747,12127,2906,5110,6989,9139,
129161057067,37689,11978,2855,4923,6716,8839,
129161557067,48459,12215,3146,5165,6859,8808,
129162057067,24160,12130,14027,4967,6822,8822,
129163557067,32192,11894,3057,4797,6764,8803,
129165557067,35698,33832,2761,37341,6885,19966,
129166557067,24476,11878,2776,4757,6839,8796,
129167057067,23426,12193,2849,5106,7247,8816,
129167557067,9560,11875,2863,4989,6771,8822,
129168057067,36448,12054,2983,15747,17998,20038,
129169557067,300000,11589,2972,4884,6746,8791,
129172057067,85930,12042,3006,15661,6837,8857,
129172557067,15547,12249,13673,5306,17726,20090,
129173057067,7911,12055,2916,4838,6813,9207,
129174057067,183352,23021,14047,27635,17841,19828,
129175057067,126791,12011,2854,4862,6775,9003,
129175557067,13571,12331,13754,4888,6866,8841,
129176057067,34504,12212,2877,4872,6840,8756,
129176557067,18659,12258,2931,4846,6798,8845,
129177557067,45309,11986,3096,4751,6701,9167,
129179057067,44507,12170,14006,15530,7038,9060,
129179557067,60243,11819,2796,4830,6916,9162,
129180057067,24098,12061,2852,4873,6866,8984,
129180557067,28332,12214,2863,5104,6976,8792,
129182057067,11421,12217,13709,4883,6977,8863,
129183057067,17189,11806,2844,15748,17870,20048,
129183557067,8338,12121,3078,4837,6772,8850,
129184057067,34452,13108,3008,4810,6746,9028,
129184557067,44275,23694,13986,15899,17447,19577,
129185557067,34029,12020,3076,4901,6752,8875,
129186057067,14634,11988,3267,4877,6737,9348,
129190057067,60029,12524,14018,4923,6886,9094,
129190557067,6980,11861,3107,4883,6772,8785,
129192557067,9736,12149,3068,5014,7386,9025,
129193057067,48277,12170,2932,4785,6995,9090,
129193557067,51653,12021,13775,4845,6755,8776,
129194057067,44195,16182,15473,16076,7081,8710,
129195557067,13891,14645,3007,4788,6715,9007,
129196557067,40885,12013,2751,4756,7108,8741,
129199057067,21348,12271,25105,4930,17900,31746,
129199557067,58591,11610,13789,15800,17756,9094,
129200057067,67493,12238,2974,5090,6990,8922,
129200557067,106120,12127,3391,5066,6757,8795,
129201557067,33131,12423,2814,4930,6769,8751,
129202057067,64389,12239,3121,27540,7443,8992,
129202557067,56457,22862,13723,15643,17790,19822,
129206057067,19456,12403,2828,4847,6908,9485,
129206557067,23128,12705,2863,5220,6885,8870,
129207557067,36411,11681,2865,4782,6749,8814,
129210057067,19821,11988,2825,4874,6834,8877,
129210557067,34595,11978,2907,4788,6762,9039,
129212057067,40045,12097,2982,4890,6770,8886,
129213057067,41367,12704,13500,5321,6862,8730,
129213557067,59689,11839,4004,4758,6855,8983,
129214057067,8968,11933,2840,4727,7258,8781,
129215057067,158696,12068,2890,48533,6807,8778,
129216057067,20305,12301,13626,5070,6984,9382,
129217057067,16176,12101,2780,4900,6790,8841,
129218557067,31765,11874,13832,4886,6757,8706,
129219057067,47839,12087,3216,5574,6928,9729,
129220057067,28182,11914,3092,4820,6919,8877,
129220557067,35066,12138,2845,4823,6824,8869,
129221057067,49782,12083,2911,4888,7685,9217,
129221557067,21624,11758,2893,4777,6789,8838,
129222557067,14818,12090,3237,4821,6812,8788,
129223557067,10802,11894,2911,5093,6807,8758,
129224057067,25581,13015,3070,4843,7308,8915,
129224557067,53013,12332,2980,4915,6866,9083,
129225057067,13172,12185,13845,16143,6760,19744,
129227557067,22622,12072,14078,4901,7062,8871,
129228057067,52242,11930,13677,15480,18746,19678,
129230057067,37417,12044,2800,4804,6792,8745,
129230557067,32706,12019,14139,15885,17710,9051,
129231057067,24267,44719,13791,59229,28224,30828,
129232057067,59481,12449,2801,4860,6824,8776,
129232557067,33118,11894,2714,4821,6711,8784,
129236557067,47821,12050,14090,4895,7097,8778,
129237057067,45626,12056,36001,5036,10369,22059,
129238057067,70084,34243,36492,27458,29109,30672,
129240557067,24792,23652,46477,37467,6814,19658,
129241557067,31859,12163,3009,4833,6796,8990,
129242557067,23074,11910,2831,4919,6887,8831,
129244557067,36464,12067,13895,5095,6880,8866,
129245057067,29372,12316,2980,4985,6889,8973,
129245557067,9554,12172,3067,4820,6828,9400,
129246057067,36252,12302,2891,5431,7036,8881,
129247057067,37437,11905,13896,4967,6788,9037,
129247557067,53163,12129,2990,4796,6881,8970,
129248057067,44885,11975,3020,5431,6885,8775,
129249057067,24414,11863,3005,5010,6905,8721,
129249557067,10314,12232,2865,5047,6923,8843,
129250557067,29196,12099,3060,4835,17847,8869,
129251057067,15286,11981,13657,16119,6906,8973,
129251557067,7401,12107,2810,4886,6793,8836,
129253057067,24859,12235,13909,4866,6776,8807,
129254057067,38241,12432,13730,5047,7085,8832,
129256057067,300000,12214,2869,4748,6878,8783,
129256557067,104787,46300,2883,27807,7108,9072,
129257057067,22016,12052,46606,16069,17997,8921,
129257557067,89212,47905,48913,49142,51047,52665,
129258557067,17890,12440,3135,4838,7081,8881,
129259557067,13575,12138,2851,4782,6748,8892,
129260057067,39906,12104,2827,4734,6763,8854,
129261057067,14295,11995,13759,4826,6816,8784,
129261557067,35672,12229,13867,15696,6981,8896,
129262057067,39212,12032,13629,4991,6871,9052,
129262557067,31793,12015,14411,4884,6982,8921,
129263557067,38816,11699,13718,15552,17562,19501,
129264057067,64807,12084,2838,4797,6903,8859,
129265057067,147226,23199,24718,37388,6887,52839,
129265557067,42080,12090,3172,4772,6874,8775,
129266557067,172215,121928,122766,125185,116234,117578,
129267057067,34402,12119,2850,4975,7058,9091,
129268057067,163073,23051,2792,4851,6675,30332,
129268557067,235114,34256,35859,4835,17666,8857,
129271557067,41048,11902,2909,4749,6807,8969,
129273557067,62109,12120,3090,4972,6869,8811,
129274557067,300000,12216,2832,4916,7005,20080,
129275057067,300000,45155,46599,37856,53102,42041,
129275557067,300000,12098,3109,4871,6716,9016,
129276557067,300000,11776,2768,4715,6710,8708,
129277557067,132133,12167,2855,5107,7082,52225,
129278057067,25843,12138,2872,5024,6881,8928,
129278557067,13660,11499,14233,4857,6699,9041,
129279057067,24258,12060,2801,4785,6777,8769,
129279557067,146869,12003,2917,4876,6803,8823,
129281057067,161806,12682,3427,5223,7221,9207,
129282057067,12557,23585,3083,15736,6774,30358,
129282557067,33640,12102,14129,5110,6911,8964,
129285057067,50707,12297,2916,5038,6808,9045,
129286057067,12855,11893,2982,4814,7392,8886,
129287557067,31650,11983,13653,15588,6700,8766,
129288557067,31288,12237,2895,4995,6877,8893,
129289057067,37055,22349,24740,26270,28187,30527,
129290557067,36104,12062,13881,15616,17615,19591,
129293057067,26825,11770,2851,5245,6767,8746,
129293557067,79494,11802,2918,5366,6745,8722,
129294057067,31302,12041,3133,4849,6706,9788,
