,W-0,R-0,R-1,R-2,R-3,R-4,
130294732350,55491,12057,3234,6861,7061,10571,
130295232350,31247,12315,14113,5148,7001,9252,
130296232350,32250,12340,2928,4924,7067,8989,
130297232350,73133,12544,2964,5105,7175,9127,
130298232350,47530,45926,14041,5006,7205,42875,
130301732350,54364,12585,3039,5062,7082,9294,
130302232350,34818,12505,2996,4926,7529,9012,
130303232350,36748,12935,24936,15913,29507,19762,
130307232350,16212,12356,2982,4880,6918,8853,
130309732350,11902,12825,3037,15918,17867,8870,
130310732350,47394,12199,2858,4861,7015,8902,
130312232350,49796,12470,2945,4999,6952,8850,
130312732350,21799,12218,14077,4910,6861,9606,
130313232350,30055,12167,2861,4855,6795,8963,
130316232350,85162,12091,2886,4848,6911,8999,
130316732350,14286,12808,14031,5093,6887,8940,
130317232350,11700,12053,18988,4807,6949,9001,
130317732350,28504,23284,13894,15796,17787,8957,
130318732350,51391,12080,2861,4795,6988,9278,
130321732350,17189,12841,25030,4946,28768,8854,
130323732350,30508,12386,13948,4887,6835,8864,
130324232350,51316,11859,2894,5106,7237,8824,
130324732350,31814,12265,2993,4907,6806,9419,
130326232350,43237,11999,3023,4913,6890,8877,
130326732350,23865,11928,3376,4858,6766,8848,
130329232350,30250,13523,2993,4909,18382,9310,
130330232350,20578,12023,3459,5121,7048,8991,
130330732350,40572,11775,2958,4883,6883,8915,
130332732350,43514,12338,14029,17414,17745,19749,
130333732350,248620,12138,14237,16325,18232,42498,
130334232350,19794,12216,3031,4899,7206,8950,
130335232350,32948,12249,13973,4891,6929,9040,
130336232350,120294,12100,2909,4875,6836,8919,
130336732350,49296,12547,3126,5009,7019,9046,
130338232350,37935,11975,2879,4958,6979,8996,
130339732350,19208,12513,3047,5435,6917,9124,
130340232350,29487,12205,13846,15860,6826,8857,
130342732350,12033,12258,2933,4831,6916,8934,
130343232350,43942,12253,13649,4845,6794,8906,
130343732350,42175,12042,14028,5035,6890,8986,
130344732350,49594,12240,13894,15884,7602,8973,
130345232350,52912,12830,14098,4875,6944,20358,
130345732350,35563,12039,2925,4829,6864,8835,
130347232350,21042,11859,3080,4865,6789,9009,
130347732350,24258,12284,2862,4842,6848,8919,
130348732350,41204,11868,2806,4859,6894,8876,
130349232350,50606,12150,2881,4828,6895,8838,
130350232350,29730,12193,2996,4999,6887,8835,
130350732350,15910,23221,24983,16085,6842,9014,
130351232350,36719,11808,2896,4821,6806,8847,
130351732350,29400,11824,2933,4953,6913,9023,
130353232350,16432,12542,3101,5125,7015,9621,
130355232350,30017,11912,2934,4880,6805,8812,
130356232350,31320,12055,2894,4899,6933,9230,
130356732350,17573,11808,3005,4821,6846,8766,
130357232350,9568,23135,13741,15777,6855,19587,
130357732350,42259,12008,3113,4832,6843,8902,
130359232350,165977,12272,3433,5387,6827,8819,
130361732350,13880,12643,14119,4855,6972,8909,
130362232350,29062,12011,2921,4901,6817,9101,
130362732350,26072,12108,2981,4924,7035,8989,
130363732350,62763,34529,25117,26894,29292,31149,
130364732350,26965,12100,2883,4854,7144,9241,
130365232350,75930,12265,3124,16195,7156,9169,
130365732350,38022,37548,2900,15523,17518,41492,
130366232350,16360,12014,13742,4805,6975,8846,
130367232350,18598,12406,2807,4867,6826,8767,
130368732350,35715,12058,13839,4913,17921,19882,
130369232350,27150,12154,2887,4846,6920,8822,
130369732350,42880,12104,2877,4762,7137,8953,
130370232350,40416,11991,2942,4870,6823,8881,
130371732350,10377,12177,2958,15913,17996,8861,
130372732350,28958,12106,2897,15773,17786,19837,
130373232350,15550,12082,14028,4762,6982,8939,
130373732350,7989,11806,2892,4845,6862,8879,
130374232350,33818,11881,2957,4930,6909,8863,
130375232350,36602,12090,2957,5095,6903,8903,
130375732350,45246,12133,13913,4771,6828,8866,
130379732350,28146,11507,2896,4781,6784,8757,
130380232350,34207,12064,2924,4813,6781,8796,
130382232350,23032,12164,2911,4841,7018,8973,
130382732350,40477,12005,13868,4798,6841,8873,
130383232350,12921,11977,2816,4788,6828,8805,
130383732350,28256,11649,2897,5055,6780,8795,
130385232350,34519,12096,2933,5006,6948,8799,
130386232350,46695,12094,13917,4808,6838,9196,
130388732350,26583,12058,13761,4879,17763,9004,
130389232350,59225,44777,14172,4952,41108,9044,
130389732350,25815,12321,2992,5121,6835,8904,
130390232350,47567,11959,13756,19714,9287,10085,
130391232350,143387,12105,13742,15844,17696,8852,
130391732350,108183,45374,46903,52265,51994,53925,
130392232350,104900,12506,13739,4817,6776,8945,
130395732350,32812,11733,2924,4787,7615,8882,
130396232350,48081,12181,3031,5196,6865,8924,
130397232350,85984,11804,2907,4928,6827,8778,
130399732350,15751,12065,2990,4872,6981,9000,
130400232350,19837,12271,13780,4778,6840,8785,
130401732350,41032,11814,2876,4718,6827,8802,
130402732350,37395,11978,3047,4859,6861,9032,
130403232350,17439,11787,2759,4895,6839,8714,
130403732350,32637,12227,3104,15714,6823,8760,
130404732350,40126,12490,13801,4811,17696,9105,
130405732350,7400,11984,13791,4744,6791,8817,
130406732350,14417,11889,2928,4908,7030,9013,
130408232350,53559,23468,13925,4969,17862,8956,
130408732350,20096,12035,2991,4792,6740,9148,
130409732350,49992,12240,2833,4883,6891,8761,
130410232350,22872,11962,2846,4852,6744,9023,
130410732350,51056,23125,13832,15828,17757,20017,
130411232350,47034,12330,14125,4814,6948,9158,
130412232350,39536,12259,3488,4817,6909,8997,
130413232350,17935,12183,13967,4824,6985,9148,
130413732350,38931,12329,13547,26369,17889,19733,
130414232350,57002,12012,14047,15764,6906,20155,
130414732350,51725,12045,3265,4844,6955,8849,
130417232350,18364,12394,14355,4880,6827,9114,
130417732350,162788,23183,13781,4833,18025,19929,
130419732350,99406,11883,2891,4847,6801,9241,
130420232350,22282,12296,2932,4894,6837,8756,
130420732350,44887,12015,2968,4823,6925,8848,
130421732350,24205,11826,13865,4803,6854,8816,
130422232350,30966,11923,2918,4807,6788,9034,
130426232350,54548,12401,3206,4937,7192,9040,
130426732350,18807,11900,2914,4806,6771,8789,
