,W-0,R-0,R-1,R-2,R-3,R-4,
136854094986,4102,14259,5762,6091,9673,9417,
136854594986,3541,13361,14179,18294,7106,10610,
136855594986,31257,12357,4965,5303,7076,8898,
136856594986,4161,12636,3220,5114,9243,8945,
136857594986,4062,12115,13989,4906,7162,8917,
136861094986,2578,1239,14154,4931,7072,8842,
136861594986,3719,12365,3173,5141,7110,8963,
136862594986,5313,1600,3215,4972,6938,8780,
136866594986,3635,1548,3046,4876,6918,9094,
136869094986,3936,12266,3001,4823,6839,9107,
136870094986,3779,1627,3118,4959,6918,9124,
136871594986,2780,12154,13973,4811,6855,8870,
136872094986,3640,11850,13828,4949,17789,19988,
136872594986,3628,11776,2962,4875,6966,9055,
136875594986,4402,1915,3002,4796,6884,8933,
136876094986,4289,12793,3467,4915,6909,8993,
136876594986,5209,11938,3234,4901,6996,8779,
136877094986,4355,12719,3068,4801,6836,8910,
136878094986,3705,11725,3062,4836,6972,8902,
136881094986,5489,12054,2873,6365,6759,8870,
136883094986,3600,1559,3070,4970,6914,9105,
136883594986,2531,12184,14106,4828,6749,8857,
136884094986,3768,11879,2878,4746,6774,8897,
136885594986,5215,1677,14108,4917,7096,8955,
136886094986,80535,12180,2798,4860,7104,8915,
136888594986,3808,22812,2809,4934,6840,8910,
136889594986,3619,12173,2946,4915,6948,8934,
136890094986,5509,12466,13806,5806,7064,8885,
136892094986,4723,12406,13917,4945,17663,9099,
136893094986,16273,12535,3094,5111,7009,9664,
136893594986,3449,11969,13942,15831,6925,8941,
136894594986,10245,1577,14094,4886,6921,8794,
136895594986,3629,12110,3136,4787,6973,9429,
136896094986,6635,12152,14203,16312,7152,9068,
136897594986,60515,12355,2840,4781,6828,8764,
136899094986,4622,12376,3240,5227,6849,8853,
136899594986,4470,13726,3123,4887,6811,8841,
136902094986,3703,1642,3089,4976,7175,8944,
136902594986,3321,12144,3055,4966,6906,8951,
136903094986,3610,12118,2958,4981,6913,8845,
136904094986,4165,12062,2830,38168,6833,19966,
136904594986,3934,12220,3133,5336,6915,9374,
136905094986,4172,11817,2904,4933,6817,9092,
136906594986,5318,11864,13951,5165,6868,9074,
136907094986,3847,1481,3292,15945,7105,8888,
136908094986,3662,33674,2895,4711,6868,19772,
136908594986,3635,12342,13864,5857,6789,20166,
136909594986,4556,12261,2870,4939,6870,8826,
136910094986,3553,12250,13570,15678,18070,8933,
136910594986,3661,1517,3097,4861,6775,8740,
136911094986,3674,12216,2722,4891,6801,8708,
136912594986,5095,11871,13967,4710,7196,9097,
136914594986,2851,12233,3104,4959,7221,8907,
136915594986,5189,12654,14224,4822,6809,8921,
136916094986,27374,12103,2886,4696,6751,8757,
136916594986,76225,11868,25133,27103,17757,30887,
136917094986,5123,11924,13763,4862,6877,8733,
136918594986,3553,12170,2879,4880,6872,8891,
136921094986,3769,1735,3532,4861,6810,8958,
136921594986,5275,11916,14553,4984,7056,8967,
136922094986,3596,11711,2855,5140,6826,8745,
136923094986,3537,12339,2835,5080,6897,8983,
136924094986,3679,1372,3005,4812,6905,8845,
136924594986,4629,12343,13630,4806,6819,8707,
136925094986,3615,12176,3170,4961,6941,8866,
136925594986,3684,1570,2898,4817,18081,8884,
136926594986,3576,11969,2944,4842,6810,9011,
136928094986,3772,1459,3109,4773,6954,8898,
136928594986,4484,13655,13562,4944,6934,8897,
136929094986,4431,11885,2840,4915,6886,8693,
136929594986,3109,11708,2829,4899,6781,8867,
136931094986,3656,1338,2844,4933,6906,9005,
136932094986,3676,12279,3001,4880,6926,8840,
136932594986,9561,11874,3059,4743,8328,9733,
136933094986,3596,1305,3007,4882,6787,8914,
136933594986,3574,12095,14290,4790,6859,8898,
136934594986,3859,1490,3254,5013,6914,9071,
136935094986,3703,1338,13890,4787,6807,8736,
136939094986,3903,12076,2892,4786,6833,8864,
136939594986,5160,12278,2985,15897,6817,8865,
136941594986,22187,12127,2859,4942,6856,8799,
136942094986,3593,12159,3003,4891,6838,8661,
136942594986,3788,11779,2995,5152,6914,8783,
136943094986,4142,11667,13560,4891,6809,8874,
136944594986,3698,12271,2959,4886,6845,9072,
136945594986,3493,12164,2730,27006,6752,19723,
136948094986,4121,12512,3083,5067,7002,8786,
136948594986,4495,12158,14237,6105,6969,8822,
136949094986,12245,11789,13561,8831,17752,9437,
136949594986,3686,11930,3100,4971,6789,8888,
136950594986,3705,1519,2948,4739,6892,8962,
136951094986,14469,12251,14192,5181,6828,8931,
136951594986,4731,12137,13832,4901,6851,19808,
136955094986,5299,12247,3386,4892,6764,8984,
136955594986,3942,11732,2953,4836,6814,8729,
136956594986,4543,11970,13807,4855,6735,8965,
136959094986,3491,12243,3002,5578,6857,8898,
136959594986,3516,12244,2813,4746,7139,8857,
136961094986,6407,1288,13695,4860,6846,8946,
136962094986,3914,11862,3054,4849,6932,9056,
136962594986,3568,12383,3124,27119,7060,19906,
136963094986,71885,13398,13864,4856,6906,8842,
136964094986,11514,9274,24429,26586,17585,63430,
136965094986,2632,12060,2808,4782,6748,8881,
136966094986,3645,12049,2973,4898,6690,8882,
136967594986,7774,12249,14175,15826,7059,8803,
136968094986,3156,11945,2930,4744,6791,8713,
136969094986,3570,12333,3343,5091,7074,8885,
136969594986,3685,12186,2980,4984,7313,9223,
136970094986,3491,12286,2799,4731,6967,19684,
136970594986,3137,11980,3480,4815,6827,8895,
136971594986,24698,12114,13675,4778,6837,8739,
136972594986,2567,12201,2757,4999,6928,8825,
136973094986,3915,12734,2948,4838,6951,8866,
136973594986,3591,11700,3012,4772,6781,8969,
136974094986,3551,12154,2965,4956,6791,8940,
136976594986,3843,1812,13679,4951,6857,8873,
136977094986,3634,11634,13695,4909,6822,8799,
136979094986,6417,11812,3262,4830,11415,11140,
136979594986,3446,11705,2901,5159,6891,8806,
136980094986,3598,1388,13625,4703,6766,8823,
136981094986,4428,12424,3469,4931,6877,8886,
136981594986,12954,12595,13813,15723,6908,19836,
136985594986,3878,1395,14202,4993,6842,8906,
136986094986,3668,11718,3269,5001,7071,9050,
136987094986,3731,1240,3145,5207,6874,8751,
136989594986,3502,1378,3104,4904,6879,8801,
136990594986,3626,11927,2824,4738,6714,8734,
136991594986,8438,12159,3063,5116,6804,8891,
136993594986,5439,12717,14154,5003,8700,8952,
136994094986,103653,1531,2946,4995,6968,9313,
136994594986,4676,12222,13720,4877,6856,9079,
136995094986,3474,11933,2903,4800,6806,8870,
136996094986,4869,11879,13878,4985,6769,8738,
136996594986,3668,12141,3785,4889,6941,8956,
136997094986,2474,11887,2898,4841,6792,9936,
136998094986,3558,12168,2996,15660,17697,8997,
136998594986,3992,12206,2944,4837,6829,8958,
136999594986,3840,12122,2981,15655,17918,8812,
137000094986,3551,1467,3156,4752,6789,8855,
137000594986,15323,11871,4286,5357,6771,8763,
137002094986,3499,1400,3077,4779,17831,8791,
137003094986,4122,1795,13980,4876,6745,8759,
137005094986,3763,12193,2925,4887,6853,8801,
137005594986,3939,12241,3354,15771,6881,8795,
137006094986,4806,12400,3058,4964,6820,8887,
137006594986,3911,12527,15085,4813,6992,9137,
137007594986,3610,12190,2842,4810,7343,9047,
137008594986,5149,12394,2841,15887,6967,19670,
137009094986,16801,22958,13712,16391,17868,19499,
137010094986,5281,12159,13915,5082,6863,9097,
137010594986,3538,11807,13705,4784,17725,8855,
137011094986,3927,12192,3057,4813,6916,8841,
137011594986,6638,14543,14614,15763,6912,8857,
137012594986,3844,12161,2877,4932,6905,9089,
137013094986,3782,12141,2897,5192,7593,8783,
137014094986,3409,1367,3229,4953,6975,8939,
137014594986,3744,12393,2998,4977,7149,9240,
137015594986,93533,11922,2852,4768,6837,8904,
137016094986,5913,12004,2980,4828,6984,12641,
137017094986,3518,1357,2960,4958,7251,8995,
137017594986,3824,1816,3100,4971,6950,8825,
137020594986,3470,12137,3133,4954,6868,8858,
137022594986,3728,12094,13501,4848,6976,8740,
137023594986,3868,12352,3242,4894,6824,8706,
137024094986,8635,1561,13635,4812,6796,8865,
137024594986,3930,12430,3165,4941,7216,8935,
137025594986,3145,1299,2795,4913,28729,8861,
137026594986,3936,12176,14303,5008,6911,9205,
137027094986,7625,1433,3185,5079,6920,8698,
137027594986,3480,1292,2783,4759,6866,8829,
137028094986,3720,12497,3157,4934,6984,9214,
137028594986,3381,11814,2779,4725,7643,9246,
137030094986,3147,11726,2845,4788,6792,8818,
137031094986,2657,12076,7355,7876,7751,19527,
137031594986,3853,11887,3128,4927,6875,9790,
137034094986,4319,13071,13717,5145,17591,8748,
137035094986,4754,1272,13680,4932,6882,8864,
137036594986,3688,1471,2933,4724,17704,8825,
137037594986,3509,11897,2858,5076,6772,8671,
137038094986,3772,11761,2881,5130,6883,8666,
137039594986,4434,12328,13923,4953,6972,8985,
137042094986,3585,12115,2961,4896,7049,8855,
137042594986,6479,11761,13705,15825,6976,8974,
137043094986,4953,12103,2905,4849,6832,8898,
137044594986,2504,12126,2987,4961,6890,8769,
137045094986,4380,12116,13820,5122,6826,8805,
137047094986,4470,11907,3434,4874,6733,19717,
137047594986,4918,12882,14153,5082,6865,9067,
137048094986,3617,12162,2827,4770,6802,9287,
137049094986,3752,11927,3241,4867,6951,9147,
137050094986,3926,12113,2841,4961,6787,8832,
137050594986,4525,12452,3114,5011,6923,8993,
137051094986,3856,12220,3517,4798,6844,8759,
137051594986,3480,12361,3214,5087,7498,9149,
137052094986,6172,1406,13666,4785,6851,8805,
137052594986,4131,12597,2926,4984,6858,9123,
137053094986,4190,1748,3111,4929,6799,8933,
137054594986,24911,12008,3013,5234,6903,8684,
137056094986,4357,12191,2998,4812,6834,8895,
137058094986,4716,11613,2843,4666,6766,8724,
137059594986,3956,12391,2940,4776,6784,9009,
137060094986,3865,12101,2992,4742,6770,9056,
137061594986,3995,11923,2983,4862,6787,8850,
137062094986,5062,12946,2938,6373,6829,8780,
137064094986,5110,12191,14215,15899,17619,8876,
137065094986,3971,12129,13770,4772,6868,8945,
137066094986,3712,1525,2937,4819,6764,8836,
137066594986,5164,1595,14163,4913,6917,9324,
137067594986,3809,12273,2934,4805,6884,8982,
137068594986,4759,12333,13947,5052,6779,19949,
137069094986,3692,1419,2840,4802,6900,20177,
137069594986,4062,1666,3390,4855,6835,8863,
137072094986,3501,12233,13689,26674,17614,8817,
137075594986,4656,12208,2793,4907,6768,9091,
137076094986,117289,24267,14523,5165,7253,9299,
137076594986,4181,12793,2925,5327,7135,19727,
137077594986,13978,12147,3565,4768,6925,9097,
137078594986,24878,27001,28494,26650,28684,30373,
137079094986,4729,11834,14234,5216,6708,8865,
137080094986,4895,13146,25159,5923,18158,8792,
137080594986,3420,22775,13908,4814,6824,8828,
137081094986,3646,1273,2873,4698,6810,8736,
137081594986,3547,12082,3200,4825,6803,8818,
137083594986,3747,12252,2950,4694,6753,8840,
137084094986,3895,1786,3153,4764,6895,8827,
137085594986,3654,11982,3136,4988,6888,8844,
137086594986,207606,12266,3087,15757,7157,20231,
137092094986,3668,12313,3180,4948,7236,8793,
137094094986,3633,11698,2920,4711,6812,8790,
137095594986,3699,11975,3000,4803,6808,8752,
137098094986,3824,11892,2953,4798,6772,8708,
137100594986,3524,11994,13991,4873,6787,8696,
137101094986,4435,12403,3225,4870,6909,8988,
137101594986,5182,1309,13892,4926,17671,8724,
137102094986,3668,1409,3065,4750,6754,8969,
137103594986,5002,1301,3273,4872,17692,19779,
