,W-0,R-0,R-1,R-2,R-3,R-4,
138640901167,4660,2585,3046,5214,7153,9294,
138641401167,4235,1963,3180,5114,6994,8993,
138642401167,5422,1626,3384,5121,7107,9021,
138643401167,4053,12223,3635,5136,7094,8991,
138644401167,3747,1467,3242,5055,7044,9381,
138647901167,4428,12074,2957,5533,7191,9125,
138648401167,3623,1478,3010,4986,7052,9055,
138649401167,3749,1676,3045,5011,7195,9015,
138653401167,9996,1538,2983,5059,7438,9008,
138655901167,3917,1590,3150,4927,6974,8941,
138656901167,5357,12067,3021,5088,6941,8998,
138658401167,16766,1479,3078,4806,7226,9478,
138658901167,4525,1913,3025,5013,7019,9038,
138659401167,5155,11980,3360,5317,6905,8985,
138662401167,3615,1465,3213,5350,7017,9030,
138662901167,2649,1274,2990,5069,6778,8899,
138663401167,3951,1760,3019,4923,6784,9066,
138663901167,12048,1284,2816,4970,6797,9507,
138664901167,4603,1809,3000,5117,7200,9015,
138667901167,5302,1658,2994,5035,6820,8773,
138669901167,11009,1483,3050,4978,6825,8887,
138670401167,4622,12637,2771,4944,7517,8887,
138670901167,3778,1504,3220,5332,7092,8991,
138672401167,3680,1685,2871,5023,6890,9349,
138672901167,3754,2119,2944,5062,7025,9000,
138675401167,17952,11993,3006,5206,6781,8883,
138676401167,39590,47244,46463,46176,46607,46826,
138676901167,8629,1755,3337,5098,7411,9233,
138678901167,3659,1489,2794,4758,6800,8965,
138679901167,4023,1658,3228,5264,6986,8996,
138680401167,3397,1741,2979,4982,6782,9038,
138681401167,4610,12209,3036,5097,7031,9072,
138682401167,13047,11894,3043,5023,6763,8809,
138682901167,4612,1533,3461,5018,6774,9008,
138684401167,3984,11956,3127,6530,6968,8909,
138685901167,3724,1679,2960,4972,6787,8782,
138686401167,3913,1625,3037,4932,6808,8940,
138688901167,6809,1549,2794,5071,7177,9079,
138689401167,3460,1674,3224,4751,6948,8955,
138689901167,4112,1368,2867,5021,6791,8925,
138690901167,3880,1589,3109,4867,6964,8987,
138691401167,4534,11900,3255,5083,6960,9021,
138691901167,11056,6468,17008,16807,7202,9206,
138693401167,3633,1634,2829,5066,6735,8884,
138693901167,3992,1547,3197,4810,6813,8825,
138694901167,4128,1872,3025,5006,6982,8976,
138695401167,3688,11977,3033,4987,6749,8789,
138696401167,3693,1570,2802,4772,6989,8949,
138696901167,4759,1461,2958,5055,6949,8817,
138697401167,4999,1494,2792,4789,6752,8757,
138697901167,3486,1551,3065,5157,7013,8810,
138699401167,4889,1662,2997,5065,6832,8994,
138701401167,3637,1378,3031,4943,6793,8792,
138702401167,3715,1591,2884,5064,6885,8787,
138702901167,4238,1649,3113,5167,6816,8757,
138703401167,3722,1601,2909,5042,7016,9343,
138703901167,3789,1542,3077,4775,6778,8974,
138705401167,3299,1477,3037,4880,6993,8735,
138707901167,63560,11995,3015,4948,7088,8956,
138708401167,3658,1493,2809,4980,6931,9069,
138708901167,3755,1621,3157,5091,6970,9056,
138709901167,3680,11804,2939,4831,6905,8773,
138710901167,29926,11935,2980,4960,6711,8749,
138711401167,8639,5583,5387,5723,6780,8902,
138711901167,4076,12070,3055,5101,6768,8972,
138712401167,3681,12010,2888,4904,6916,8957,
138713401167,3526,1373,2968,5004,6813,8767,
138714901167,3785,1300,2978,5083,6903,8905,
138715401167,6002,12072,7585,6579,6712,8874,
138715901167,3713,11894,2881,4769,6819,9014,
138716401167,13278,1527,2995,4965,6985,8778,
138717901167,3549,1479,2769,4724,6717,8740,
138718901167,5228,11995,3019,5213,7550,8718,
138719401167,3950,12032,3053,4876,6694,8743,
138719901167,3783,1627,2770,4924,6944,8765,
138720401167,3924,1602,3429,5085,6831,8794,
138721401167,4481,12036,3001,4949,6711,8933,
138721901167,3787,1287,3133,4710,6757,8726,
138725901167,3675,1499,2991,4978,6945,9039,
138726401167,3780,1542,2969,5086,6963,8965,
138728401167,3602,1426,2817,4824,6734,9038,
138728901167,5189,11992,2927,4882,6695,8956,
138729401167,3677,1831,3237,4799,6725,8780,
138729901167,3603,1518,3183,4699,6933,9008,
138731401167,3917,1535,2971,4965,6832,8832,
