,W-0,R-0,R-1,R-2,R-3,R-4,
139236698589,3654,1831,3205,5069,7004,9102,
139237198589,4778,13603,3104,5183,6908,9002,
139238198589,4857,2025,3296,5674,7389,9251,
139239198589,156062,1392,3203,5204,7665,8875,
139240198589,4172,12193,3068,5147,6919,8932,
139243698589,3651,1594,3110,4820,6790,8924,
139244198589,2962,1335,2790,4875,6908,8822,
139245198589,5265,1375,3019,4987,6967,9040,
139249198589,4680,11945,3004,5006,6960,8984,
139251698589,3690,1829,2978,4861,6822,8915,
139252698589,3627,1208,3262,4765,6819,8792,
139254198589,3643,1387,3109,4854,6786,8838,
139254698589,4543,1823,2884,4918,6893,8851,
139255198589,73074,1377,2930,4857,6807,8882,
139258198589,4130,2153,3250,4892,6993,9099,
139258698589,3614,1353,3148,4847,6799,8831,
139259198589,4182,1261,3506,5049,7098,8926,
139259698589,5216,12202,2981,4835,6886,8904,
139260698589,5273,1346,3140,4840,7080,8860,
139263698589,3844,1775,2992,4909,6865,8924,
139265698589,3566,1336,2878,4781,7073,9048,
139266198589,3901,12283,3099,5170,7075,8881,
139266698589,3652,1644,2849,4920,6906,8865,
139268198589,3841,1584,3001,5057,7221,8979,
139268698589,3739,1664,2924,4813,6799,8819,
139271198589,3615,1549,2780,4801,6783,8815,
139272198589,3650,1568,2861,4733,6754,8967,
139272698589,3694,1746,3064,4813,6819,8779,
139274698589,61175,1611,3099,5047,7019,8935,
139275698589,3923,12178,3608,4828,6766,8944,
139276198589,9072,1557,2918,5058,6770,9271,
139277198589,3811,1675,3010,4907,6797,8818,
139278198589,4137,1672,3396,4970,6900,9109,
139278698589,3666,1364,3018,5004,7094,8750,
139280198589,3644,1395,4075,4854,6795,8786,
139281698589,3528,1518,2939,4822,6746,8911,
139282198589,5384,12195,3093,4797,7016,9064,
139284698589,3611,1456,2785,4941,7033,8860,
139285198589,77059,1362,3001,5034,6899,8971,
139285698589,3857,11998,3339,4932,6970,8935,
139286698589,4831,1760,3028,5200,6796,8830,
139287198589,6612,1541,2981,5166,7023,9037,
139287698589,12905,13119,3197,4957,7187,8922,
139289198589,10292,1389,3023,4822,6976,8916,
139289698589,5221,1624,2893,4956,6904,8925,
139290698589,3600,1387,2900,4808,6701,8860,
139291198589,3717,11966,2923,4974,6938,8949,
139292198589,5322,1810,2945,5021,6976,9164,
139292698589,4221,12195,3167,5177,7017,8909,
139293198589,4988,1674,2947,4825,7729,8711,
139293698589,5828,1367,3269,4892,7024,8909,
139295198589,76027,1382,2997,4879,6935,8878,
139297198589,4142,11940,2935,5025,7358,9031,
139298198589,3582,1471,2932,4800,6729,8840,
139298698589,4625,11947,2921,5189,6904,8934,
139299198589,3345,11850,3067,5302,6924,8843,
139299698589,12526,12046,2932,4798,7602,8870,
139301198589,3831,1688,2971,4814,6829,8829,
139303698589,3553,1365,2926,4785,6722,8772,
139304198589,6140,12742,3391,5300,7122,8895,
139304698589,17557,12532,3050,4942,6873,8808,
139305698589,3553,11641,3055,4800,6893,8836,
139306698589,4053,1613,2932,4778,6713,8844,
139307198589,3882,12096,3006,4824,6929,8963,
139307698589,168755,1385,2881,4962,6804,8899,
139308198589,3563,1337,2923,4790,6767,8701,
139309198589,4475,2026,2794,4908,6750,8895,
139310698589,3611,1327,2948,4775,6940,8786,
139311198589,3690,1508,2886,5171,7096,8854,
139311698589,3719,1582,2997,4961,6876,8813,
139312198589,3647,1383,2936,4870,6697,8794,
139313698589,3623,1570,2879,4882,6714,8708,
139314698589,5116,1342,2877,4745,7053,8689,
139315198589,76682,11919,3002,4884,6985,8827,
139315698589,3602,1362,2794,4848,6736,8874,
139316198589,7591,1455,3018,4815,6992,8789,
139317198589,3895,11968,3069,4865,6778,8876,
139317698589,4611,11613,2783,4792,6913,8747,
139321698589,3613,1520,3295,4800,6802,8827,
139322198589,4592,1533,2974,4948,6950,8916,
139324198589,4406,12291,3037,4729,7168,8739,
139324698589,3263,11937,2868,4918,10688,10076,
139325198589,70176,1367,2915,4881,6816,8837,
139325698589,5757,12816,2860,4938,6870,8784,
139327198589,5578,12754,3298,4893,6752,8816,
139328198589,5141,1491,2943,4940,6920,8880,
139330698589,3755,1671,3152,4984,6923,8950,
139331198589,3644,1471,3047,4885,6714,8817,
139331698589,5639,12225,3292,4881,6929,8845,
139332198589,5640,12015,3096,4842,6867,8723,
139333198589,4667,12373,2776,5003,7040,9010,
139333698589,4761,1660,2891,4945,6953,9044,
139334198589,7599,1309,2818,4777,6810,8718,
139337698589,4134,1745,3041,4910,6767,8965,
139338198589,3088,12245,2810,4746,6758,8693,
139339198589,3654,1261,2902,4756,6694,8795,
139341698589,3839,12003,2977,4742,6755,9018,
139342198589,3852,1700,2886,4962,6882,8736,
139343698589,3582,1482,2955,4891,6719,8740,
139344698589,3301,12098,2973,4905,6952,8913,
139345198589,4986,1616,2941,4794,6764,8848,
139345698589,5153,1612,2884,4950,6915,8812,
139346698589,4054,12099,2958,4867,7099,8939,
139347698589,3639,1593,2857,4852,6897,9059,
139348698589,3601,1605,3117,4918,6740,8915,
139350198589,4555,12524,2948,4851,6989,8868,
139350698589,5125,1611,2965,4956,6824,8752,
139351698589,4612,1581,3975,4935,6964,8738,
139352198589,3889,1576,2940,4880,6755,8793,
139352698589,3675,1686,2990,5015,6811,8722,
139353198589,5347,1639,3045,5108,6731,8901,
139354198589,4559,2134,3038,4894,6730,8923,
139355198589,24015,12056,3041,4887,7127,8698,
