,W-0,R-0,R-1,R-2,R-3,R-4,
141021119107,4080,4833,7603,5070,9469,11204,
141021619107,4636,13607,14145,5050,6959,9040,
141022619107,17764,23101,36466,18975,85343,20062,
141023619107,3717,12275,3188,5085,7063,10752,
141024619107,24447,14156,14635,5060,7076,9370,
141028119107,3532,12169,3152,4958,6837,8786,
141028619107,3556,12125,2986,4934,6840,8949,
141029619107,23953,12246,3024,5017,6885,9010,
141033619107,4662,12430,14776,5071,7044,9148,
141036119107,3254,12030,3003,5147,6934,8769,
141037119107,5047,12303,13816,4816,7032,9062,
141038619107,3811,12200,3063,5153,7090,9067,
141039119107,4580,12698,14010,5164,7143,9025,
141039619107,3953,12375,3010,4945,6935,8966,
141042619107,3725,12356,3127,5026,6976,8972,
141043119107,8017,12250,13845,15859,17847,19768,
141043619107,4892,12958,14343,5165,7238,8822,
141044119107,3719,12223,3227,4801,6998,8859,
141045119107,4844,12102,14340,5109,6809,9049,
141048119107,3688,12191,3380,5009,6880,8774,
141050119107,3967,12462,3250,4984,6837,8828,
141050619107,6000,12097,3101,4797,6969,9038,
141051119107,4223,12035,13743,15885,17719,9397,
141052619107,3593,12863,3132,4881,7020,8782,
141053119107,4961,12286,4679,5543,6866,8980,
141055619107,3718,12460,3172,4841,6879,9122,
141056619107,3605,12214,2870,4857,6781,9002,
141057119107,3796,12319,14183,5136,6979,9069,
141059119107,3494,12577,3005,5191,7073,8944,
141060119107,14524,12180,2990,4925,6967,8807,
141060619107,3467,12273,3079,5006,7052,8931,
141061619107,5747,12569,14097,5031,7098,9234,
141062619107,3713,12265,3093,4888,7062,8873,
141063119107,3700,12048,2808,5069,7020,8955,
141064619107,3290,12119,3067,4971,6986,9041,
141066119107,4017,12299,3313,4932,7081,9214,
141066619107,3683,12041,2851,4949,6840,8766,
141069119107,3026,12047,2829,4767,6827,8876,
141069619107,3817,12227,3011,4813,6815,8979,
141070119107,3883,12584,3106,5121,7092,10075,
141071119107,4709,12010,3384,5141,6886,9133,
141071619107,3709,11976,24717,4822,18161,8848,
141072119107,3931,12691,3011,15817,6837,20051,
141073619107,3856,12272,3226,4890,6999,8941,
141074119107,5477,12655,24964,16090,6994,20293,
141075119107,3682,12001,13871,4948,6809,8816,
141075619107,3690,12074,13749,15778,7454,9131,
141076619107,4722,23728,14022,4876,7007,31130,
141077119107,3636,12217,2994,5050,6942,19800,
141077619107,5329,12121,13880,5078,6955,9047,
141078119107,4135,12351,3251,5124,6939,8871,
141079619107,3759,12474,2747,5068,7004,9014,
141081619107,3166,11854,14018,4997,7014,8957,
141082619107,4113,12162,14020,4932,6880,9194,
141083119107,7318,18112,17868,5738,9072,9228,
141083619107,4008,13143,3580,5032,7143,9035,
141084119107,4776,23444,14098,16060,7063,20035,
141085619107,3649,12236,3039,4879,7755,8761,
141088119107,93161,23546,14228,4948,18533,64334,
141088619107,4616,12302,14255,5669,6966,8856,
141089119107,3969,12091,2890,4997,6837,8828,
141090119107,4272,11838,5217,4934,6870,8842,
141091119107,5846,12001,13869,5159,6939,8988,
141091619107,3617,12134,3070,4882,6854,8875,
141092119107,3569,12070,2966,15821,6847,8861,
141092619107,8509,33824,13957,15678,28658,8881,
141093619107,4854,12250,13978,5106,6975,8829,
141095119107,4128,12155,3106,4940,6978,8819,
141095619107,4641,12127,13884,5691,7946,8782,
141096119107,126820,12434,3145,4865,7043,9039,
141096619107,4124,12128,3162,5034,7063,8751,
141098119107,3675,12039,2962,4742,6949,8854,
141099119107,4745,12302,14019,5047,6770,8757,
141099619107,3752,12055,13981,4784,17803,8764,
141100119107,5164,12103,14031,5005,6949,8880,
141100619107,5394,12704,14285,5019,7014,9043,
141101619107,2738,12272,3108,5038,6972,8884,
141102119107,4423,12094,3091,4964,6988,9016,
141106119107,3876,11743,2809,4749,6935,8742,
141106619107,7890,12293,13815,4853,6861,9288,
141108619107,3227,12141,2981,4819,6785,8955,
141109119107,5105,11864,14446,4976,18375,19825,
141109619107,14378,22845,13882,15806,17563,19950,
141110119107,10458,16341,16638,16536,17809,9096,
141111619107,4049,22810,3072,16125,6962,9033,
141112619107,4313,12078,13740,4837,6942,8804,
141115119107,3637,11888,14526,16284,17695,8943,
141115619107,39011,45095,46123,37678,41504,41869,
141116119107,8488,12377,2969,4885,6954,8948,
141116619107,3525,12348,2871,4854,7084,8960,
141117619107,3777,33735,46492,15663,6813,20116,
141118119107,3600,12028,13830,4932,6846,8873,
141118619107,25738,12055,2884,15584,6935,8889,
141122119107,5284,12152,14043,16040,7088,8866,
141122619107,2501,11769,13636,4856,6966,8750,
141123619107,7132,23038,14064,4847,6981,19631,
141126119107,3360,12132,2882,4754,6934,8824,
141126619107,3815,12265,3309,15872,18053,9017,
141128119107,3788,12306,2831,4727,7124,8842,
141129119107,4045,12451,2985,5004,6761,9127,
141129619107,4453,11944,13864,4819,6785,8696,
141130119107,5156,11969,13787,4967,6879,19974,
141131119107,3684,12029,3132,4951,6853,8684,
141132119107,3985,12557,2960,4979,7070,8947,
141133119107,3572,11678,2928,4825,6774,8883,
141134619107,3941,12163,3111,5098,7064,9166,
141135119107,3167,11773,2827,4747,6833,8846,
141136119107,3704,12086,3214,4840,6936,8793,
141136619107,3765,12321,3052,15844,6848,8710,
141137119107,5699,15539,5485,4831,6962,9077,
141137619107,7845,22999,13661,15528,17654,19599,
141138619107,3648,11928,13831,4883,7563,8671,
141139619107,5854,12538,13949,5032,6878,8821,
141140119107,3215,22962,24655,38115,28935,30222,
141140619107,5241,12291,13742,4746,17721,8837,
141141119107,7220,12609,3002,4941,7010,8847,
141143619107,10663,12071,14026,4991,7037,9068,
141144119107,4769,12150,13987,5057,7045,8873,
141146119107,3456,12044,2816,4961,6882,8872,
141146619107,3741,12158,2938,4892,6812,9021,
141147119107,4067,12030,3439,4965,7837,9323,
141148119107,14538,22693,24503,27509,17943,19561,
141148619107,52258,55397,56861,59037,60795,52437,
141152619107,3536,12130,14046,15892,6797,8868,
141153119107,3526,12214,2960,4843,6986,8739,
141154119107,5156,11875,13563,5027,7086,20072,
141156619107,3669,11969,13763,5145,6843,8821,
141157619107,11870,12092,2807,5361,7564,8786,
141158619107,5119,11977,13818,5424,7021,9163,
141160619107,3656,12693,3112,5107,7093,8875,
141161119107,3941,11969,2823,4964,6988,9171,
141161619107,2968,11555,2804,4733,6737,8776,
141162119107,3781,12194,3270,4971,6818,8796,
141163119107,4934,11734,3686,4792,6765,8855,
141163619107,3796,11827,2813,4854,6940,8805,
141164119107,4736,11949,13872,5010,17871,8817,
141165119107,3512,11964,2953,4931,6864,8763,
141165619107,3602,12113,3226,4818,6822,8828,
141166619107,5998,23476,6474,17606,17749,8739,
141167119107,3795,12572,3065,15937,7057,8976,
141167619107,4425,12041,2754,4754,8119,8756,
141169119107,3615,11953,13806,4735,6742,8826,
141170119107,3499,11862,2968,4824,6707,8691,
141172119107,5110,12203,14018,15679,17826,19614,
141172619107,9169,11859,13601,15630,17815,8977,
141173119107,3682,12030,2870,5010,6768,8938,
141173619107,7484,12131,3045,4886,6975,8962,
141174619107,14074,12610,14207,5598,6927,9023,
141175619107,3529,12058,3012,5025,7054,9070,
141176119107,69816,12216,2840,4801,6797,8856,
141177119107,2730,11836,2942,4890,6864,8736,
141177619107,7386,12411,13801,15737,17677,8733,
