,W-0,R-0,R-1,R-2,R-3,R-4,
141616724412,3423,15822,5512,5332,9934,10798,
141617224412,5145,13065,14319,5221,7015,8927,
141618224412,2817,12376,3560,7713,7009,9141,
141619224412,14804,23746,24752,4920,17878,20168,
141620224412,4240,12979,3113,5291,7127,9103,
141623724412,3722,12656,3091,5033,7013,8921,
141624224412,5263,12378,15116,5102,6802,9046,
141625224412,22518,23299,25092,26883,28759,31664,
141629224412,3762,12884,3095,5070,7034,8984,
141631724412,3782,12473,13883,16220,7007,8997,
141632724412,63040,12380,2919,5101,6887,8892,
141634224412,3574,12228,2810,4971,7044,8994,
141634724412,3794,12587,3077,4874,6907,8994,
141635224412,5144,11955,13835,4873,6753,9081,
141638224412,3760,12791,3310,5154,7097,8929,
141638724412,3795,12393,3110,5093,6842,8855,
141639224412,13194,12638,3054,4994,6909,8907,
141639724412,5214,12240,14102,5047,7055,8965,
141640724412,5707,12518,2923,4945,6862,8844,
141643724412,5177,16566,5960,5679,7040,9029,
141645724412,5064,12354,13760,4896,6840,8915,
141646224412,3556,12279,2882,4831,6839,9132,
141646724412,3837,12390,13885,4765,6852,8915,
141648224412,3758,12351,2812,4869,6890,8824,
141648724412,5186,12494,25270,4883,6945,9205,
141651224412,3777,12653,13737,4814,6763,8846,
141652224412,184985,12912,3023,5166,6972,9087,
141652724412,3686,12242,3140,4868,6884,8807,
141654724412,3668,12486,2906,5003,6885,8847,
141655724412,3780,12432,3151,4876,6904,9001,
141656224412,9650,34721,14763,32841,42542,20208,
141657224412,104805,12215,2892,4948,7041,8915,
141658224412,3853,12136,2930,4931,6842,8814,
141658724412,3674,11942,3146,4916,6963,8804,
141660224412,3233,12103,2893,5031,6845,8886,
141661724412,14039,12042,2797,4798,6943,8855,
141662224412,3502,12211,3159,15761,6886,8933,
141664724412,20835,23161,24786,26871,28650,21675,
141665224412,4020,12942,13870,5070,6886,8910,
141665724412,3770,12412,2938,4962,6975,8873,
141666724412,3435,11830,2952,4804,7166,9182,
141667224412,3644,12221,2883,5087,6981,8944,
141667724412,3678,23192,25046,15928,7015,8862,
141669224412,11941,12080,3310,4932,6817,8771,
141669724412,3907,12422,13846,4796,6885,9089,
141670724412,3503,12053,13796,15684,6838,8943,
141671224412,3868,12045,3300,4751,6816,8839,
141672224412,14377,12370,3202,5142,6895,8845,
141672724412,3953,12463,13723,15817,7252,8933,
141673224412,3827,12646,3025,5050,7448,8933,
141673724412,12820,12511,13775,4933,6790,8784,
141675224412,3859,23158,13932,4939,18342,30691,
141677224412,4066,12833,3429,5115,7010,8933,
141678224412,4927,12410,14076,4804,6833,8706,
141678724412,3670,12149,2991,4875,6755,9501,
141679224412,3800,12120,3033,4956,7021,8883,
141679724412,3554,12247,2908,5843,17796,8802,
141681224412,4035,12366,3187,4896,7023,8950,
141683724412,3820,12147,13804,4996,6890,8804,
141684224412,3830,12137,13815,15810,6870,19864,
141684724412,3626,12254,2837,4715,6837,8959,
141685724412,3823,12303,13985,4924,7051,8879,
141686724412,15137,12234,13783,15850,18519,19879,
141687224412,70711,12188,2903,4926,6915,8826,
141687724412,3807,12216,2984,4815,6873,8935,
141688224412,20348,12091,13742,15800,6822,8828,
141689224412,3762,12400,14010,4753,6915,8897,
141690724412,3812,12138,2974,4835,6816,8762,
141691224412,3945,12059,13741,5005,7081,9056,
141691724412,5480,12553,13732,4821,6861,8877,
141692224412,4494,12003,3354,5002,6889,8739,
141693724412,3819,11986,2881,4855,6939,8907,
141694724412,3538,12426,3667,4767,6886,8817,
141695224412,3900,12178,13810,4751,7006,9241,
141695724412,3837,12385,3065,5005,7121,8957,
141696224412,3538,11923,3103,4939,6827,8814,
141697224412,3777,12259,2939,4813,6903,8809,
141697724412,3486,11995,2789,4757,6728,8771,
141701724412,3536,12146,2754,4783,6734,8797,
141702224412,6059,11928,13767,5223,6836,8761,
141704224412,6461,12181,13988,4889,6912,8893,
141704724412,3834,12369,3207,4957,7105,8818,
141705224412,5750,12587,24976,4869,6776,41874,
141705724412,3972,12346,3142,4888,6848,8855,
141707224412,3551,12133,2947,4853,6839,8902,
141708224412,3850,12269,3043,4820,28698,19997,
141710724412,3392,12046,2921,4927,6805,8867,
141711224412,11785,12672,25528,26856,17804,22334,
141711724412,4582,11901,13802,4960,7126,8877,
141712224412,4491,11883,3226,4956,6892,8864,
141713224412,21787,12325,3036,4849,6860,9387,
141713724412,3671,12277,2937,5113,6907,8893,
141714224412,3673,12400,2953,5003,6796,8948,
141717724412,6442,12311,2985,4857,6961,9077,
141718224412,3717,11965,2926,4954,7011,8954,
141719224412,3641,12140,13863,15759,17849,19910,
141721724412,3957,12919,14164,5078,7149,8775,
141722224412,4511,12953,13752,4911,6862,9434,
141723724412,3587,12046,24682,15658,28402,8860,
141724724412,4323,11812,13644,4796,6884,8722,
141725224412,3812,12339,14257,5109,18016,9063,
141725724412,3729,12241,2950,5091,6939,8796,
141726724412,2795,12838,2982,4850,6915,8901,
141727724412,4582,13402,13779,4964,6847,8862,
141728724412,3095,11873,2835,5904,6939,8811,
141730224412,3676,12278,2836,5337,6808,8779,
141730724412,6465,12045,3087,4845,6831,8845,
141731724412,14091,12409,3281,5196,6893,8946,
141732224412,3773,12234,2888,4753,6795,8815,
141732724412,9383,13512,14159,15742,18155,19972,
141733224412,10726,12428,2937,4917,6857,8840,
141734224412,5261,22708,13983,15827,17774,19864,
141735224412,69798,12083,3006,4818,6818,8869,
141735724412,4028,11891,13814,4804,6792,8941,
141736224412,14447,11765,2831,4854,7060,8916,
141736724412,4390,16183,5985,4740,6776,8821,
141739224412,3802,12256,3038,4887,6741,8745,
141739724412,3935,12198,13780,5062,6933,9084,
141741724412,9258,12161,2934,5056,6923,8989,
141742224412,3159,23268,2919,4876,6814,20036,
141742724412,3664,12374,13945,4988,6980,8820,
141743724412,88095,12123,2979,15893,17839,19747,
141744224412,5058,12246,13825,4928,6829,8835,
141748224412,3856,11831,13534,26140,17482,8774,
141748724412,3926,12814,2997,16443,18722,8939,
141749724412,23315,23518,13775,4809,6816,8932,
141752224412,3435,12227,2880,4904,6950,8952,
141753224412,3789,12432,2947,4899,6915,20396,
141754224412,10810,15681,5422,5153,6799,9052,
141756224412,11863,12206,2884,5100,6949,8903,
141756724412,3549,22828,2865,4797,17752,19667,
141757224412,2538,12133,3221,5121,6892,8792,
141757724412,3879,11855,2983,4912,6855,8844,
141758724412,3674,12250,2842,4755,6741,8929,
141759224412,3534,12046,2742,4899,17810,9027,
141759724412,3846,12202,13895,4879,6963,8900,
141760724412,3747,12643,2936,5145,6901,8892,
141761224412,5286,12735,3075,5233,6735,8736,
141762224412,3894,12359,2917,4776,6883,8768,
141762724412,3891,12176,13800,15718,7133,9093,
141763224412,3418,12210,3045,4773,6816,8852,
141764724412,3546,11779,2863,4733,7049,8773,
141765724412,3482,11972,2912,4971,6906,8888,
141767724412,7223,11850,2979,4875,7016,9495,
141768224412,8666,12276,7645,8742,8478,8938,
141768724412,3842,12443,14181,4853,6893,8826,
141769224412,3726,11934,2884,4957,6819,9036,
141770224412,5212,12784,13795,5000,6864,19779,
141771224412,3454,12108,3024,4989,6939,8950,
141771724412,3566,11702,2966,4790,6793,8810,
141772724412,4849,11835,13647,5092,6946,8855,
141773224412,3668,12161,2924,4811,6928,8875,
141773724412,3692,12586,3035,4791,6827,8688,
141774224412,3733,11769,2871,15859,17709,19525,
141775224412,3042,11509,2836,4738,6723,8748,
141775724412,3922,12176,3001,4757,6997,9049,
141776724412,3727,12015,2927,4801,6841,8853,
141777224412,3813,12033,13704,15838,6816,8813,
141778224412,41076,12846,14146,5076,7090,9465,
141778724412,3800,11945,3033,4911,6910,8931,
141779724412,9547,11875,2868,9234,8824,9083,
141780224412,3766,12301,2813,4971,6821,8851,
141783224412,3679,12164,2843,4862,6846,8878,
141785224412,3766,11763,2879,4987,6725,8713,
141786224412,4412,12356,3335,4750,6728,9059,
141786724412,3856,12498,3043,4894,6934,8908,
141787224412,3761,12285,2873,4908,7221,8934,
141788224412,3556,12007,3073,4825,6755,8775,
141789224412,4043,12349,13948,5102,17824,19892,
141789724412,3424,11893,3094,4811,6796,8938,
141790224412,4456,12314,3103,15744,18169,8840,
141790724412,4106,11916,3040,4949,6730,8825,
141791224412,6158,12945,2957,5003,6950,8936,
141792724412,3956,11872,13713,4756,6890,8830,
141793724412,3450,11837,3020,15754,17834,8838,
141794224412,6642,12136,13819,15556,17436,8923,
141796724412,3805,12050,13748,4802,6907,8854,
141797724412,3647,11948,14386,4915,7002,8826,
141799224412,3700,12019,2891,4809,6786,9249,
141800224412,8701,12450,3230,5325,7294,8996,
141800724412,3583,12156,2898,4785,7077,8879,
141802224412,3832,12003,2853,5057,6876,8852,
141804724412,3749,12306,3004,4927,6754,8752,
141805224412,3428,11910,3070,4940,6978,8754,
141805724412,3517,11983,2884,4847,6781,8763,
141807224412,3047,11930,2820,4910,6760,8788,
141807724412,4019,12053,3313,4833,6837,8774,
141809724412,88008,89353,95327,92859,96853,97199,
141810224412,3388,12279,2930,4911,6984,8862,
141810724412,3786,11961,2877,4777,6826,8898,
141811724412,3577,12083,2905,4897,6787,8911,
141812724412,3904,12505,2956,4794,6976,8770,
141813224412,3680,11979,3086,4875,6850,8801,
141813724412,3458,11887,2964,4808,7000,8940,
141814224412,3689,12300,3065,4875,6878,8833,
141814724412,4921,11783,13527,4989,6743,8775,
141815224412,5323,12260,13961,4858,6811,8789,
141815724412,3727,12076,3325,4884,7078,8977,
141817224412,3775,11846,14053,4933,6914,8762,
141818724412,3629,12007,2963,4833,6721,8840,
141820724412,3792,11910,3345,5539,17679,8821,
141822224412,2971,12393,2757,15782,6933,8883,
141822724412,30584,12434,2917,4857,6746,8919,
141824224412,32990,34306,57319,37446,50257,62965,
141824724412,4496,12231,3022,5347,6927,8791,
141826724412,4887,12294,13844,4795,6796,8852,
141827724412,3626,12334,2787,4773,7527,8840,
141828724412,5692,11847,13732,4810,7022,8907,
141829224412,3908,12211,2846,4934,6982,8954,
141830224412,3565,12425,13864,4898,6751,8912,
141831224412,5052,11947,13635,4927,6792,8831,
141831724412,3583,13256,2920,4871,6840,8871,
141832224412,3735,12047,2890,4826,7176,8861,
141834724412,3773,12001,13869,4849,6763,9125,
141838224412,NULL,NULL,NULL,NULL,NULL,NULL,
141838724412,3525,12279,3198,4817,6846,8784,
141839224412,2434,12558,2715,4807,6764,9040,
141840224412,4893,12464,14178,5084,6862,9521,
141841224412,2764,11573,2844,4719,6869,8802,
141841724412,3646,12339,3026,4868,6873,8901,
141842724412,3512,11916,2847,4707,6832,8835,
141843224412,3053,11856,2843,5491,7548,8727,
141843724412,5911,23034,13776,15523,6850,19806,
141844224412,3519,12241,2913,4875,7093,8976,
141846224412,3580,12230,3028,4788,6760,8756,
141846724412,4957,12320,13698,5099,6978,8900,
141848224412,3819,12402,2782,4850,6870,8950,
141849224412,4976,12055,13782,4826,6918,8847,
141854724412,3887,12136,2822,4749,6969,8854,
141856724412,3731,12432,13734,15938,18219,8923,
141858224412,4570,12223,13566,4758,6785,8883,
141860724412,3701,12103,2771,4915,6995,8949,
141863224412,4172,11910,3082,4921,6840,8784,
141863724412,3500,11808,2817,4886,6884,8870,
141864224412,3577,11899,13812,4805,6967,8846,
141864724412,10936,12405,3206,4783,6913,8837,
141866224412,43320,87911,67747,47883,50324,73506,
141866724412,3718,12333,2836,4770,6765,8896,
141867224412,3498,12101,2898,4783,6784,8833,
141868224412,3745,11689,13671,5054,6753,8735,
141868724412,5060,12403,13997,5310,7027,9123,
141869224412,300000,11674,2772,4722,6764,8724,
141869724412,157662,165474,166441,157756,160502,160954,
141870724412,4787,11671,13700,4832,6890,8952,
141871224412,169122,22675,2907,4746,6796,8833,
141871724412,3471,22496,2736,15777,6906,8855,
141872224412,89473,23509,13827,26479,17982,20137,
141872724412,5111,12917,13835,4905,6780,19970,
141873224412,3709,34161,24688,4754,6828,8955,
141874724412,3328,12371,2850,15581,6963,8828,
141875224412,73314,11647,13536,4830,6776,8772,
141877224412,127058,22585,13967,37285,39302,41905,
141877724412,3497,36999,25701,4803,6774,25909,
141879224412,3773,12014,3058,5199,6775,8845,
141880224412,3643,11940,13766,4945,6873,8910,
141882724412,5156,12015,13664,4909,8531,8934,
141883224412,4434,55177,2758,4812,6850,30551,
141884224412,300000,694957,727207,690998,696740,699077,
141885724412,3886,12380,3169,4849,6918,8817,
141886724412,2949,11756,2842,4749,6746,8738,
141888724412,4918,12219,13527,4738,28270,40888,
141889224412,4372,12133,3325,4955,6963,8848,
141889724412,57820,66000,58306,58979,60803,62785,
141890224412,3751,11999,2832,4926,17653,8732,
141890724412,3697,11966,2890,4795,6789,9512,
141891724412,3553,12098,2926,4832,6838,8848,
141892724412,3888,11925,3474,4822,6908,9004,
141893224412,3559,11966,2879,48026,6930,8829,
141894224412,4907,11766,13663,4760,6696,8728,
141895224412,76270,77371,100770,101790,93146,84725,
141896224412,5123,12133,13550,4781,6733,8693,
141896724412,3059,12084,2870,4854,6790,8722,
141898724412,4928,12455,14439,4764,6873,8698,
141899224412,3460,12130,2895,4801,6951,8885,
141899724412,176692,12278,2871,4835,6798,8754,
141900224412,22651,12181,2964,4994,6926,8961,
141901724412,4145,12120,4460,5182,6913,8986,
141902224412,3003,11819,2826,4781,6785,8884,
141904224412,3009,11909,2766,4888,6755,8770,
141904724412,3829,12077,3024,4844,6873,8915,
141906724412,3393,11939,2888,4699,6767,8785,
141907724412,11084,12133,14068,16261,7026,8854,
141908224412,3880,12247,2966,4984,6967,9043,
141908724412,3910,12133,2737,15854,17749,8954,
141909224412,3550,12297,13914,15973,6944,19952,
141909724412,2798,12797,2879,5642,6854,8801,
141911224412,3627,12138,2875,4742,17582,19458,
141912724412,3839,12167,2918,4771,6830,9038,
141913224412,3745,11950,2761,4754,6935,8861,
141914224412,3763,12145,3193,4761,6929,8807,
141915224412,3871,12075,3326,4846,6818,8817,
141915724412,3840,11923,13755,4827,6784,8970,
141917724412,3488,11890,2853,4747,6733,8710,
141918224412,3687,11887,2983,4942,6823,8825,
141918724412,4542,23379,13717,15546,6926,19794,
141919224412,3726,11928,2924,4824,6810,8826,
141920224412,3497,11825,2947,4848,6786,8803,
141921724412,3560,12264,2863,4801,7049,8931,
141922724412,3622,12127,2899,4812,6898,8865,
141923224412,4818,12101,13709,15825,6943,8904,
141923724412,3806,11757,3051,4853,6734,8810,
141924224412,5138,11887,13861,4957,6892,8838,
141924724412,3698,33728,2930,15770,29189,9040,
141926224412,3499,12011,2766,4781,6757,8803,
141927224412,4157,12117,3581,4809,6739,19840,
141927724412,4069,22757,14188,16131,6790,41098,
141928724412,4374,12495,13928,4829,6778,8796,
141929224412,3584,11771,3116,4837,6825,8791,
141929724412,3798,12145,3095,4950,6820,8942,
141931224412,3854,66269,24650,4922,17870,19869,
141931724412,3544,11538,13728,4815,6824,8774,
141932724412,3956,12321,3761,5762,6899,8847,
141934224412,3472,11856,2849,4793,6789,8784,
141935224412,70813,77220,77855,69416,82185,74279,
141935724412,3702,11935,2918,4903,6790,8889,
141936224412,3975,12053,3057,4825,6777,8893,
141937724412,4037,11876,3456,4816,6920,8934,
141938224412,3861,12037,3455,4857,6915,8949,
141939724412,3428,11980,2861,4742,6802,8805,
141940724412,3747,12121,2965,4753,6825,8985,
141941224412,4472,11844,13648,4789,6732,8750,
141942224412,4508,12142,4404,4949,6817,8786,
141943224412,3693,22952,14046,5044,6912,8756,
141943724412,13051,11903,13863,4927,6770,8718,
141944224412,3782,11989,2940,4899,6850,8910,
141946224412,6016,11857,2842,4706,6814,8777,
141947224412,3966,11959,3447,4894,6904,8828,
141947724412,2996,12115,2808,4769,6897,8878,
141948224412,5149,23331,35847,4844,6858,9196,
141948724412,3528,12301,2915,4807,6795,9035,
141949724412,3570,11955,24154,15456,17479,19776,
141950224412,4032,11795,13686,4929,6877,8908,
141950724412,3690,11928,2892,4663,6827,8806,
141951224412,3645,11973,2935,5140,6875,8740,
141951724412,4052,11915,3114,4754,6700,8884,
141952224412,3739,12031,2903,5195,6925,8963,
141952724412,3529,12097,13540,15477,17508,19662,
141953224412,3527,22560,13885,4776,6714,8668,
141953724412,3470,11920,2868,4846,6808,8799,
141954224412,3527,12019,2827,4731,6747,8826,
141954724412,3830,11747,3215,4747,7183,8830,
141956224412,4799,11810,13425,4685,6722,8830,
141957724412,10500,12021,2872,4735,6761,8760,
141958224412,104157,110319,121725,124295,125791,117435,
141958724412,3902,44402,13582,4744,6717,8737,
141959224412,3758,11794,2806,5041,6890,8983,
141959724412,3776,11934,2923,4807,6866,8747,
141960724412,3333,12813,2823,4763,7061,8805,
141961224412,6947,12299,14108,15962,6872,8901,
141964724412,4144,12506,3872,5140,6804,9040,
141965224412,3311,11880,2809,4760,6793,8821,
141965724412,4156,12186,13930,5038,17890,8977,
141966224412,3808,11728,2923,4832,6855,8741,
141967224412,3466,11827,2759,4860,6820,8743,
141967724412,37748,22638,24396,26401,28248,19727,
141968224412,6532,11826,2910,4847,7304,8851,
141969724412,3439,11992,3038,4815,17571,19483,
141972724412,2414,12424,13780,4854,6986,8869,
141974724412,9636,11869,2937,4784,6978,9435,
141976724412,2694,12033,2921,4779,6980,8798,
141977224412,81209,87744,79136,80904,84254,84908,
141977724412,3529,11768,2898,5086,6717,8693,
141978724412,5062,11690,13549,4699,6792,8823,
