,W-0,R-0,R-1,R-2,R-3,R-4,
118984972490,88755,2711,48096,6265,8467,8982,
118985472490,2036,27572,27207,5050,10003,50895,
118986472490,32346,12618,36571,6962,18376,19939,
118987472490,110620,12321,3061,4908,6993,9016,
118988472490,1988,12756,3310,4925,7037,8970,
118991972490,84100,94090,93815,85351,86408,87873,
118992472490,1677,12694,2910,6217,7336,9204,
118993472490,1672,11878,3031,4916,29791,9197,
118997472490,1788,13000,2978,4991,6801,8978,
118999972490,1644,12495,2976,5067,6954,9146,
119000972490,1733,1483,3034,5004,7021,8919,
119002472490,5802,12410,16885,16434,18027,9092,
119002972490,2748,11964,13929,5916,6878,8980,
119003472490,1356,12260,2914,4881,7388,8895,
119006472490,1413,1664,2906,4886,6811,8867,
119006972490,1365,1800,2998,5119,7039,9074,
119007472490,1722,12379,2884,4887,6899,8929,
119007972490,1744,12363,3092,5380,6796,9026,
119008972490,1787,11912,3189,4800,6933,8865,
119011972490,1660,1413,3175,4797,6826,19409,
119013972490,1827,12379,2901,4769,7424,9112,
119014472490,10625,12232,2814,4792,6914,8983,
119014972490,101140,34700,3061,17958,7082,9035,
119016472490,1593,12573,2855,5071,6947,9001,
119016972490,1612,12248,2923,4971,6905,8994,
119019472490,7139,1341,13777,4819,6899,8801,
119020472490,2810,13289,14104,5004,7004,9262,
119020972490,1672,23291,14201,16356,6989,8897,
119022972490,1715,12240,3152,4837,6944,8905,
119023972490,1423,1696,3271,4771,6927,8902,
119024472490,1850,12475,3302,5250,7002,9166,
119025472490,1696,12281,13860,5018,6917,9129,
119026472490,1650,12189,13908,4850,6811,8841,
119026972490,1709,11854,3263,4838,6822,8757,
119028472490,8631,12385,3067,5744,7459,8953,
119029972490,1600,12325,2902,4970,7305,9076,
119030472490,1710,12104,2998,5124,6983,8853,
119032972490,1568,12233,13810,4991,6873,8888,
119033472490,1585,12396,3015,5159,7322,9233,
119033972490,1654,1828,3061,5349,6846,8739,
119034972490,1558,12146,3014,5200,6883,8877,
119035472490,1843,12772,13879,4830,17783,8790,
119035972490,1982,1834,2921,4810,6817,9330,
119037472490,2926,12219,14100,4839,6867,8751,
119037972490,1301,1465,2828,4843,6818,8813,
119038972490,1635,12452,2952,5065,6980,9234,
119039472490,1360,1607,13902,4813,6762,8794,
119040472490,1674,12664,3201,15936,6934,8894,
119040972490,1824,12563,13780,4828,6964,8796,
119041472490,1360,1625,2857,4963,7238,8979,
119041972490,3708,1377,2950,4752,6953,9054,
119043472490,8770,1428,2880,4700,6835,9157,
119045472490,1704,12064,3110,5430,6857,8837,
119046472490,1781,12389,3140,5323,6781,8794,
119046972490,1365,22685,2984,4907,17725,8825,
119047472490,2111,12684,13672,4911,6760,8898,
119047972490,1586,22952,2758,15675,6828,19975,
119049472490,12687,12857,2889,5041,6843,8971,
119051972490,1740,12114,13962,16007,18119,19666,
119052472490,1601,12139,2820,4981,6764,9085,
119052972490,136966,12298,14240,4907,6932,8880,
119053972490,48575,1318,2830,4767,6871,8904,
119054972490,1423,12114,2789,4773,6776,8823,
119055472490,1462,1657,13796,4981,6959,8842,
119055972490,64185,12040,2774,4776,6811,8772,
119056472490,1400,12165,2822,5046,6802,8850,
119057472490,36787,12126,2936,4902,6851,8972,
119058972490,1942,12239,2866,15622,6866,8762,
119059472490,1379,1629,13987,4842,6779,19710,
119059972490,1450,12277,2763,4771,7671,8983,
119060472490,1388,11818,13889,4802,6834,8877,
119061972490,1576,12379,14053,4843,6949,9443,
119062972490,1418,12058,2977,4816,6879,8999,
119063472490,1345,1654,13787,4926,18425,8927,
119063972490,1275,1556,2777,4767,6956,8873,
119064472490,1801,12726,13829,4795,6748,8959,
119065472490,15261,12395,13816,15797,6797,19762,
119065972490,1651,12163,2724,4848,6747,9432,
119069972490,1761,1891,13953,5008,6897,9013,
119070472490,1643,12286,3037,4778,6810,9041,
119072472490,2470,13133,13612,4972,6762,8739,
119072972490,1841,12015,2955,4914,6892,8844,
119073472490,1444,12333,2812,4780,7059,9298,
119073972490,1623,11697,2880,4819,6831,8879,
119075472490,1828,12631,3031,5024,6953,9045,
119076472490,1774,12467,2939,5118,7049,8969,
119078972490,1409,1679,13733,4849,7061,8911,
119079472490,1773,12234,2856,4817,6848,8733,
119079972490,1869,11866,4319,5735,18182,8813,
119080472490,1714,12188,2895,4929,7068,8923,
119081472490,14228,12292,2902,4811,6717,8769,
119081972490,1236,1456,2796,4835,6946,19665,
119082472490,1390,1776,2819,4859,6737,9120,
119085972490,2487,12701,2916,5077,6937,8987,
119086472490,1316,11958,3053,4900,6824,8804,
119087472490,1822,12005,3054,5036,17777,8918,
119089972490,164021,172671,172464,173332,168672,168808,
119090472490,1800,11982,3177,4814,7233,9013,
119091972490,1593,12456,2757,4842,6801,8770,
119092972490,1462,12148,3219,4886,6782,8712,
119093472490,1616,11673,14226,4867,6745,8801,
119093972490,1642,12613,13946,15844,6853,19938,
119094972490,2694,2161,14267,5025,6840,20398,
119095972490,1355,12239,13706,4779,17673,19634,
119096972490,1323,11945,13768,4899,6883,8877,
119098472490,1392,11775,13731,4794,6923,8778,
119098972490,1476,1702,2852,4912,6917,8795,
119099972490,1840,12573,3268,4960,6902,8952,
119100472490,1556,1407,2681,4681,6736,8678,
119100972490,1623,12250,2990,4729,6779,8781,
119101472490,1222,1385,2865,15841,6801,8760,
119102472490,1541,12270,2901,4810,6799,8814,
119103472490,1293,1504,2982,4734,6679,8844,
119103972490,1561,11929,2825,4981,6834,8851,
119104472490,1257,1404,2935,4999,6857,9156,
119104972490,1468,11935,2897,4680,6868,8804,
119107472490,1589,12150,2786,5022,6788,8660,
119107972490,1576,1336,13656,4803,6926,8813,
119109972490,1256,11751,2934,15781,6831,8790,
119110472490,1313,1490,3638,5353,7015,8804,
119110972490,1700,12652,2869,4920,6926,9003,
119111972490,1614,11836,2976,4854,6870,8889,
119112472490,1575,12393,2926,4795,6723,9026,
119116472490,1541,12709,3042,4874,6819,8805,
119116972490,7099,12260,3041,5078,6966,8792,
119117972490,1818,12611,3203,4727,6807,8786,
119120472490,1348,1677,3076,4924,6785,8764,
119121472490,1310,1454,2969,4732,6844,9659,
119122472490,1919,13438,2905,5106,6871,8831,
119124472490,5632,12137,3002,4886,6867,8993,
119124972490,1299,11937,2891,4961,6822,8986,
119125472490,1296,1558,3080,4760,6732,8692,
119125972490,4628,1272,2950,4809,6944,9044,
119126972490,1427,1624,3016,5129,6897,9092,
119127472490,1349,11864,2807,4796,6784,8783,
119127972490,1222,1353,13614,4819,6897,8801,
