,W-0,R-0,R-1,R-2,R-3,R-4,
120175647479,2567,12495,3146,5274,7033,8977,
120176147479,1887,1693,3001,4896,7227,9044,
120177147479,1677,1928,3010,5015,6977,9020,
120178147479,1439,1724,3138,5055,6982,9374,
120179147479,49393,1731,3247,5130,6979,9096,
120182647479,1757,1489,2970,4980,7014,9734,
120183147479,1466,1799,2882,4866,6843,8939,
120184147479,1753,12262,3208,4957,7055,8896,
120188147479,1989,2386,2941,5020,6994,8996,
120190647479,2062,1786,3234,4956,6898,8938,
120191647479,1736,1478,3002,4884,6833,8853,
120193147479,1448,1706,2803,4993,6964,9035,
120193647479,1837,12253,3102,4788,6873,8748,
120194147479,1285,1507,2872,4896,6940,8966,
120197147479,1409,1743,3149,5008,6854,8982,
120197647479,1367,12037,2857,5151,6990,8941,
120198147479,1636,1398,3264,4922,6886,8884,
120198647479,1397,1673,2953,4807,6940,8872,
120199647479,1381,1727,2914,4832,6777,8852,
120202647479,1452,12005,2983,4923,6906,8900,
120204647479,1495,1710,2998,4789,6921,9048,
120205147479,4506,4339,14718,4964,6973,9039,
120205647479,1445,11908,2880,5050,6839,9863,
120207147479,1867,12366,3270,4867,7052,9170,
120207647479,1666,11694,2937,4763,6942,8799,
120210147479,2035,2157,3003,4925,6759,8858,
120211147479,2493,12144,3122,5106,6962,8802,
120211647479,4619,1344,2989,4901,6787,8915,
120213647479,1582,1403,2864,4787,6767,8807,
120214647479,1633,11933,2920,4752,6803,8889,
120215147479,27978,1426,3141,5163,7099,8968,
120216147479,1594,1297,2878,4939,6827,8839,
120217147479,1279,1623,2871,4884,6865,9012,
120217647479,1240,1435,2974,5001,7052,8934,
120219147479,1767,1409,2961,4812,6757,9260,
120220647479,1441,1696,3139,4980,6943,8954,
120221147479,1474,1785,2971,4848,7055,9018,
120223647479,1331,1646,2759,4838,6938,9145,
120224147479,1657,1327,2891,4824,6864,9173,
120224647479,1601,12179,3183,5028,6948,8935,
120225647479,2437,12687,2796,4840,6933,9055,
120226147479,1769,12142,3000,4851,6855,8915,
120226647479,1231,1445,2899,4891,6981,8938,
120228147479,1451,11998,3005,4999,6945,9020,
120228647479,1579,1399,2886,4935,6919,8897,
120229647479,6673,12066,3058,5042,7012,8808,
120230147479,1225,1395,2871,4809,7334,8868,
120231147479,4910,1447,3038,5801,6846,8791,
120231647479,1669,11873,2830,4746,6805,8806,
120232147479,1501,1369,2921,4900,6907,8971,
120232647479,2476,1975,2948,4761,6794,8957,
120234147479,1830,12086,3231,4781,6899,8997,
120236147479,1262,1508,3017,4908,6856,8930,
120237147479,1192,1459,3128,4948,6809,8939,
120237647479,1560,1284,2883,4961,6821,8758,
120238147479,1786,11904,2869,5734,6740,8787,
120238647479,1247,1449,3215,5079,6855,8883,
120240147479,1678,12129,2990,4974,6885,8926,
120242647479,1733,2081,2924,4989,6875,8723,
120243147479,1509,12176,2898,4800,6768,8786,
120243647479,1449,1695,3980,5784,6847,9023,
120244647479,12319,1435,2921,5187,6802,8911,
120245647479,1414,11906,3002,4872,6788,9114,
120246147479,2047,1744,3050,5078,7468,8954,
120246647479,300000,1398,2925,5070,7115,9032,
120247147479,223167,225258,225669,225390,224963,225184,
120248147479,1730,12183,2894,5164,7091,8908,
120249647479,1297,1505,2971,4880,6896,8951,
120250147479,1466,1670,2994,5030,7066,9028,
120250647479,1911,1684,2833,4844,6815,8950,
120251147479,1609,11963,3234,5115,6960,8988,
120252647479,1576,12696,3263,4945,7051,8858,
120253647479,1252,1449,3296,4974,6718,8876,
120254147479,16898,1503,3077,5148,7073,8917,
120254647479,1701,1408,3015,4935,6907,8838,
120255147479,1292,1454,2931,4941,6863,8873,
120256147479,1178,1433,2843,4799,6874,8884,
120256647479,4001,1629,3280,4804,6766,8849,
120260647479,1722,1974,3073,5094,6999,8938,
120261147479,1268,1454,3032,4912,6832,8801,
120263147479,1778,12002,2938,4931,7022,8943,
120263647479,1976,1711,2928,4951,6967,9238,
120264147479,1187,1371,2830,4836,6927,8863,
120264647479,1508,12851,2749,4719,6765,8846,
120266147479,1685,11859,3124,4994,6981,8887,
120267147479,1252,1432,3401,5111,6967,8859,
120269647479,14820,1517,2926,5008,6875,8687,
120270147479,1398,1671,3207,4769,6906,8827,
120270647479,1178,1451,2900,4773,6927,8926,
120271147479,9219,1256,2750,4688,7186,9096,
120272147479,1610,1450,2870,5056,6881,8820,
120272647479,276350,1397,2921,5011,6989,8949,
120273147479,14261,11912,2895,4899,6863,8910,
120276647479,1674,1486,3032,5663,6768,8812,
120277147479,1359,1735,2937,5206,7185,8983,
120278147479,13925,1337,2873,4807,6729,8760,
120280647479,1448,1671,2876,5312,6997,8912,
