,W-0,R-0,R-1,R-2,R-3,R-4,
121959673533,41036,45264,46963,46785,46345,46601,
121960173533,1932,12196,2985,4961,7343,8919,
121961173533,1689,13021,3003,5161,6953,9126,
121962173533,1401,1710,2936,5200,6907,8833,
121963173533,1856,12235,3073,4924,6802,8944,
121966673533,1322,1570,2961,5059,7344,9033,
121967173533,1822,1520,2964,6145,7052,8931,
121968173533,1946,1997,3132,5007,6875,8999,
121972173533,1650,1432,3023,5269,6930,8876,
121974673533,1246,1439,2911,4811,6761,8793,
121975673533,2041,1846,3049,4841,7014,9084,
121977173533,1752,12119,2897,6559,6978,8938,
121977673533,1388,1639,2954,4955,6908,8954,
121978173533,1350,1686,3091,4958,6960,9003,
121981173533,2105,1431,3092,4876,6783,8904,
121981673533,1919,12151,3143,5117,6817,8778,
121982173533,1664,1423,2953,4815,6859,8863,
121982673533,1645,11907,2939,4892,7514,8933,
121983673533,1579,1360,2982,4859,6812,8780,
121986673533,1714,1840,3121,4973,6908,8966,
121988673533,1594,11915,3131,4947,6898,8768,
121989173533,1321,1599,2847,5059,6879,8907,
121989673533,1752,12015,3070,5130,7055,8783,
121991173533,2307,2122,3034,4981,7087,9330,
121991673533,15414,1737,2967,4880,6862,8990,
121994173533,1415,1804,2883,4891,7285,8828,
121995173533,6568,1640,2945,4973,6878,8823,
121995673533,1653,1836,3221,4824,6829,8823,
121997673533,1857,12358,3399,4910,7074,8921,
121998673533,1949,1712,3152,5379,6966,8945,
121999173533,10940,1574,2790,4802,6810,8868,
122000173533,1923,1584,3005,5029,7409,9251,
122001173533,1222,1595,2845,4666,6898,8861,
122001673533,1407,1671,3186,4807,6883,8906,
122003173533,1333,1606,2915,4864,6797,8820,
122004673533,1312,1588,2923,4976,6851,8927,
122005173533,1841,1704,3220,4925,7465,8776,
122007673533,1176,1390,2807,4845,6792,8791,
122008173533,1388,1699,2975,4937,6910,8923,
122008673533,1731,11993,2765,4907,6823,8865,
122009673533,1787,1593,3147,4960,6981,8827,
122010173533,1560,11866,2788,4867,6892,8884,
122010673533,1309,2404,2991,4811,6798,8868,
122012173533,1658,12042,2969,4827,6849,9168,
122012673533,1900,12248,2850,4981,6902,8922,
122013673533,1694,11842,2996,4826,6714,8750,
122014173533,1645,1416,2752,4878,6854,8836,
122015173533,1868,1720,3121,5115,7076,8909,
122015673533,177093,1708,3185,4879,6758,8715,
122016173533,1315,1448,3071,4911,6713,8800,
122016673533,1783,1618,3016,4926,6855,8796,
122018173533,1984,1818,2980,5023,7942,8964,
122020173533,1208,1370,3294,4937,6843,8850,
122021173533,10409,1341,2954,4781,6704,9105,
122021673533,1460,2409,3402,4918,7367,9009,
122022173533,1432,1730,2891,4758,6732,8820,
122022673533,1716,2719,3262,4952,6971,8764,
122024173533,1371,1622,3106,5024,6816,8809,
122026673533,2540,2322,2818,4824,6747,8867,
122027173533,1503,11744,2860,5245,6855,8905,
122027673533,1817,1688,2888,4781,6931,8764,
122028673533,1329,1576,2763,4901,7054,9456,
122029673533,1200,1344,2830,4801,6938,8873,
122030173533,1362,1585,2894,4778,6714,9178,
122030673533,1450,1797,3062,5014,7047,9141,
122031173533,1856,12117,3146,4856,6874,8816,
122032173533,1807,1649,2969,4949,6791,8738,
122033673533,1904,12355,2980,4889,6801,8861,
122034173533,21786,1773,3305,4832,6742,8711,
122034673533,1178,1400,2813,4877,6823,9170,
122035173533,1558,1416,2768,4924,6837,8755,
122036673533,1642,1793,3148,4934,6901,8915,
122037673533,1687,1868,3015,4771,6768,8899,
122038173533,1152,1285,2879,4934,7053,9058,
122038673533,1228,1540,3149,4877,6755,8733,
122039173533,1346,1530,3097,4969,6763,8852,
122040173533,1808,1653,3043,5036,6800,8891,
122040673533,1161,1278,2788,4899,6983,8966,
122044673533,1544,1368,2971,4848,6739,8702,
122045173533,1611,11750,3034,4747,6766,8846,
122047173533,1715,1394,3320,4716,6844,8734,
122047673533,1456,11817,2972,4865,6708,8870,
122048173533,1386,1267,2821,4702,6929,8768,
122048673533,1626,2357,2933,4870,6767,8694,
122050173533,1204,1388,3057,4925,6806,8870,
122051173533,1618,11751,2816,4723,6747,8823,
122053673533,1564,11930,2789,4678,6745,8739,
122054173533,8617,1545,2996,4864,7075,8828,
122054673533,1699,1568,2878,5019,6811,8798,
122055173533,1884,1588,2936,4779,6998,8964,
122056173533,1807,12162,3733,4814,6771,8863,
122056673533,18205,1581,3168,5241,6805,9013,
122057173533,1663,1435,2976,4896,6849,8924,
122060673533,1601,1848,2878,4695,6999,8942,
122061173533,1654,1392,2835,4798,6727,8788,
122062173533,2528,12337,3119,4953,6844,9113,
122064673533,1328,1672,2969,4885,6799,8738,
122065173533,1407,1641,3526,4728,6773,8801,
122066673533,1424,11759,2774,4671,6838,8794,
122067673533,2360,1947,2869,4839,6972,8777,
122068173533,1239,1464,2758,4719,6804,8826,
122068673533,1667,1386,2845,4814,6857,8813,
122069673533,3754,13702,13961,5049,6901,9800,
122070673533,1525,1386,2834,4803,6739,8725,
122071673533,1716,1917,2880,4650,6783,8868,
122073173533,1655,12296,3357,4862,6946,8756,
122073673533,5069,1222,2875,4709,6799,8783,
122074673533,1208,1622,2955,4848,6888,8888,
122075173533,1354,1560,3058,5549,7060,8960,
122075673533,203933,2447,3354,4771,6891,9117,
122076173533,1211,1600,2907,4830,6993,9039,
122077173533,1409,1643,2981,4799,7576,9635,
122078173533,1712,1419,3077,4817,6828,8850,
122078673533,1884,12145,3018,4934,6790,8925,
122079173533,1296,1613,3189,4806,6776,8871,
122079673533,1446,1331,2936,4776,6711,9027,
122082173533,1808,1968,2806,5054,6997,8813,
122082673533,89621,90225,89197,90087,89342,89867,
122084673533,1959,1925,2734,5783,7081,10304,
122085173533,1389,11917,3018,4892,6807,8845,
122085673533,1769,12062,3033,4778,7117,8897,
122086673533,1231,1383,3022,4882,6965,8958,
122087173533,1389,1637,2965,4968,6784,8776,
122091173533,229315,1250,2859,4820,6802,9250,
122091673533,175791,1786,3084,4816,7039,8920,
122092673533,1164,1592,3041,4733,6805,8707,
122095173533,1377,1262,2828,4990,7295,8787,
122096173533,2138,12560,3211,4763,6767,8823,
122097173533,1612,11807,2896,4860,6729,8716,
122099173533,1980,1830,3192,5084,6755,8874,
122099673533,1410,1795,3167,4771,7095,9072,
122100173533,54334,1240,2741,4735,6736,8818,
122100673533,1634,1431,2972,4915,6808,8816,
122101673533,1260,1453,2821,5003,6850,8788,
122102173533,1431,1640,3019,5067,6857,8902,
122102673533,1254,1625,2921,4863,7009,8916,
122103673533,1372,1687,2845,4829,6853,8713,
122104173533,1421,1274,2998,4838,6756,8777,
122105173533,1287,1425,2957,4890,6745,8849,
122105673533,3663,1400,2852,4890,6755,8776,
122106173533,1376,1613,2956,4731,6753,8894,
122107673533,1960,12510,2768,4755,6758,8687,
122108673533,1608,12043,2820,5024,6955,9013,
122110673533,1455,1585,2832,4764,6765,8753,
122111173533,1714,11756,2883,4907,7109,9684,
122111673533,1347,1744,2753,4731,6782,8770,
122112173533,1191,1392,2925,4827,6788,8776,
122113173533,1793,12038,2854,4944,6768,8805,
122114173533,1193,1415,2804,4806,6732,8744,
122114673533,1763,1646,3190,4921,6800,8818,
122115673533,1537,1770,2892,4689,6712,8789,
122116173533,43660,1410,2938,5053,6930,8974,
122116673533,1417,1669,2659,4842,6737,8706,
122117173533,1235,1519,2942,4957,6874,8848,
122118173533,1280,1565,2974,4916,6868,8731,
122118673533,2402,2030,3106,4974,7001,9017,
122119673533,1366,1627,2971,5012,6873,8773,
122120173533,1290,1539,3056,4973,6788,8958,
122121173533,10255,1502,2802,4756,6850,8832,
122121673533,1767,1763,2948,4977,6822,8952,
122122673533,1426,11752,2817,5021,6885,8797,
122123173533,1369,1652,2827,4982,6822,8772,
122126173533,1274,11599,2884,4734,6977,8859,
122128173533,178118,1304,3137,4846,6710,8737,
122129173533,1366,1714,2965,5020,7018,9040,
122129673533,1436,11993,2827,4973,6901,8876,
122130173533,1447,11983,2868,4767,6789,8840,
