,W-0,R-0,R-1,R-2,R-3,R-4,
123150780648,1656,3690,3187,6803,11926,11755,
123151280648,2488,13241,16988,16559,7072,10170,
123152280648,1831,12563,3055,4986,7090,9536,
123153280648,1801,12249,3449,5127,7044,9061,
123154280648,1844,12442,3196,6854,7433,8883,
123157780648,243040,258045,261564,276203,267548,254854,
123158280648,1758,12530,13891,4913,6775,8951,
123159280648,1931,23473,14570,26858,17868,9097,
123163280648,1860,12480,2877,5094,6973,9021,
123165780648,1700,12317,2856,4874,6842,8809,
123166780648,1694,12480,13816,4950,6914,8912,
123168280648,2015,13346,2935,5089,6868,8920,
123168780648,1727,12340,2983,4926,7122,8976,
123169280648,2020,12600,14113,4949,6935,9066,
123172280648,1623,12238,2944,5279,6835,8770,
123172780648,1527,34074,46447,4962,39495,41890,
123173280648,1596,12201,2939,4853,6823,9011,
123173780648,2806,12642,14097,5033,7033,9021,
123174780648,1586,13176,6740,10037,9780,9467,
123177780648,11749,12534,3058,4809,6817,9131,
123179780648,1882,12561,14260,16393,6744,9019,
123180280648,1659,12204,13800,4863,6944,9060,
123180780648,1574,12278,2896,4847,7048,9056,
123182280648,1705,12289,3146,4896,7058,9062,
123182780648,1525,12139,3113,4989,7025,9089,
123185280648,1457,12325,3234,4909,6971,8924,
123186280648,1525,11894,13802,6799,7812,9128,
123186780648,1787,12471,13751,15611,17963,20107,
123188780648,1686,12434,3110,5412,7166,8981,
123189780648,1434,12261,3095,16180,17794,9093,
123190280648,1592,12227,3128,4912,6972,8917,
123191280648,14770,12287,2950,4983,6886,9174,
123192280648,1666,12227,2898,5050,6843,8827,
123192780648,1492,12529,3012,5117,6936,9251,
123194280648,6996,12024,14027,4978,17674,9003,
123195780648,10925,11957,3201,4990,7026,9323,
123196280648,1829,12318,13851,4987,18548,9062,
123198780648,1748,12319,2888,4916,6798,8839,
123199280648,1476,12673,3108,5717,6829,8886,
123199780648,1560,11660,3330,4901,7086,9066,
123200780648,1858,12395,13908,5015,6894,8920,
123201280648,1691,12532,3042,4855,6891,9067,
123201780648,1858,12480,3203,5239,6787,8727,
123203280648,1619,12229,3495,4830,6924,9055,
123203780648,1465,33620,35560,5019,6955,8932,
123204780648,1276,12208,2932,6176,7046,8889,
123205280648,1831,12269,13977,4822,6924,8740,
123206280648,1744,12485,3070,5117,6776,8927,
123206780648,1570,12435,2890,5164,6780,8822,
123207280648,1535,11910,3118,5003,7009,8949,
123207780648,2432,12980,3069,4912,6848,9129,
123209280648,1780,12318,2989,5104,7080,9090,
123211280648,1725,12590,14113,16294,7170,20696,
123212280648,9774,11968,13535,4730,6816,8812,
123212780648,1865,12496,3162,4886,7030,9052,
123213280648,1679,12094,4074,5310,6890,8731,
123213780648,1261,12028,2862,4873,6916,8739,
123215280648,1293,11860,2900,4821,6954,8881,
123217780648,1426,12036,3276,4831,6789,8797,
123218280648,14974,11992,2879,4817,6995,8856,
123218780648,1445,23424,3223,15906,6833,8680,
123219780648,1533,12430,13912,15862,6988,8915,
123220780648,1778,12620,3145,5112,6975,9165,
123221280648,1897,12900,14082,4920,6910,8843,
123221780648,1489,13484,13939,4984,7169,9032,
