,W-0,R-0,R-1,R-2,R-3,R-4,
124340861808,23833,12500,5484,5183,7080,10768,
124341361808,1769,13954,3181,7449,7161,9160,
124342361808,1425,12048,14112,4968,6959,8948,
124343361808,1592,12387,4055,6675,7070,8895,
124344361808,1864,12748,14804,16141,7363,9491,
124347861808,1978,12573,14343,4978,7488,9037,
124348361808,1859,12460,14319,5037,6941,9606,
124349361808,1475,13649,2998,4933,6894,9047,
124353361808,1924,12247,3164,4935,7023,8992,
124355861808,1409,12057,2891,4965,6966,8980,
124356861808,1539,11988,13803,4915,6948,8875,
124358361808,1717,12033,3288,4970,6975,8915,
124358861808,2557,12695,14624,5037,6991,8986,
124359361808,1440,12572,2970,4927,6883,8908,
124362361808,1342,11979,2874,5051,7034,8862,
124362861808,1766,12523,3053,5003,6902,8914,
124363361808,1617,12054,13933,5324,7017,9248,
124363861808,10496,12456,2852,16409,18113,20142,
124364861808,1306,12118,2945,5003,6854,8984,
124367861808,1457,12611,14020,5115,6933,8959,
124369861808,1822,12315,3366,5106,6984,9013,
124370361808,1736,11875,14112,4855,7042,8838,
124370861808,1544,12415,2863,4992,18060,9108,
124372361808,1717,12106,3491,4935,6943,9021,
124372861808,1380,13465,3404,4869,6973,8866,
124375361808,1612,12594,3063,5021,6978,9041,
124376361808,1384,12430,2990,4879,6966,8917,
124376861808,1873,12070,3322,4958,6879,8884,
124378861808,1399,12580,3064,5172,7114,9109,
124379861808,1649,12462,3017,5034,7890,9123,
124380361808,1703,12456,3162,5061,6911,8930,
124381361808,1496,13016,14422,4927,7001,8942,
124382361808,1648,12292,2894,4920,6897,8824,
124382861808,1812,12449,2988,5089,6957,9061,
124384361808,1707,12145,3089,5048,6937,9070,
124385861808,1663,12715,3023,5003,7000,8951,
124386361808,1541,12161,3044,4991,7062,9012,
124388861808,3103,12445,3566,5151,7295,9284,
124389361808,11745,12601,2893,16257,6937,8894,
124389861808,1578,12123,2914,4968,7075,8989,
124390861808,1503,12456,3263,5026,7167,9078,
124391361808,3121,11999,13778,4857,6872,8905,
124391861808,1582,33987,24841,4890,18069,30959,
124393361808,13731,23098,2885,15877,17866,41656,
124393861808,6078,12400,14311,16284,18305,8845,
124394861808,1643,12572,14191,4967,17772,19854,
124395361808,1509,11984,2894,4869,6824,8792,
124396361808,6438,12328,13983,15947,17931,9018,
124396861808,1478,12020,3097,5562,6811,8924,
124397361808,1404,12355,3072,4867,6911,8942,
124397861808,1613,12232,13979,4945,6823,9069,
124399361808,2501,12653,3258,5156,7188,9167,
124401361808,1520,12189,3015,4861,6803,8868,
124402361808,1594,12172,3159,5139,7499,9109,
124402861808,1724,12899,3053,5072,6797,8983,
124403361808,12187,23407,13775,15707,17889,19920,
124403861808,1530,12243,3058,4999,6951,9027,
124405361808,300000,12149,2907,4943,6981,8879,
124407861808,1421,12932,2905,4850,6896,8977,
124408361808,1989,13155,25156,16317,18156,31368,
124408861808,1517,12421,2865,4986,6940,8898,
124409861808,1917,12469,2924,4847,6900,8921,
124410861808,2378,12563,3185,4964,7052,9078,
124411361808,1558,12155,2999,4866,7611,8925,
124411861808,90537,100365,101052,93129,93849,96268,
124412361808,23496,12868,3147,5012,6977,9067,
124413361808,1398,11876,2841,4807,6837,8857,
124414861808,1793,12328,13969,4918,6978,9021,
124415361808,59237,12055,3063,4977,7000,8805,
124415861808,85360,12633,3281,5022,7186,9043,
124416361808,1783,12032,13914,5037,6887,8887,
124417861808,1895,12867,3173,5103,7028,8952,
124418861808,27660,12094,2793,5010,6883,8939,
124419361808,8173,11977,13815,15972,17806,20085,
124419861808,1625,23374,26000,4965,6898,8892,
124420361808,1446,99850,35471,37970,105106,106341,
124421361808,1558,11987,3091,5086,7076,8978,
124421861808,1670,12318,13722,5019,6950,8937,
124425861808,1740,12346,3015,4909,7053,8908,
124426361808,1541,12397,2903,4958,7003,8877,
124428361808,1657,11914,3053,4908,6937,9025,
124428861808,1808,12055,4430,5010,7025,8845,
124429361808,1421,12001,2851,4870,6888,8869,
124429861808,8687,12119,2901,5031,6831,9237,
124431361808,1519,12128,2902,16021,6858,8826,
124432361808,1323,11785,2858,4823,6715,8791,
124434861808,3495,12086,13592,4997,6851,8912,
124435361808,1504,12054,3157,4949,6929,8862,
124435861808,1738,12329,2978,5074,6859,8786,
124436361808,9106,12166,13927,16252,17808,19673,
124437361808,1509,11876,13855,4790,6809,9100,
124437861808,1710,11985,3327,5325,6920,8846,
124438361808,1430,12095,3069,4876,6799,8884,
124441861808,1658,11582,3051,4912,6892,9080,
124442361808,1447,11895,13783,4911,6890,8945,
124443361808,1531,12187,2880,4750,6788,8891,
124445861808,1535,11759,2855,4685,6816,8829,
124446361808,1715,12403,13915,5281,6843,9135,
124447861808,13451,12270,14387,15606,6882,19738,
124448861808,1732,12117,13588,4861,7157,8917,
124449361808,5526,11980,2915,4830,6821,8780,
124449861808,1408,12122,3032,4883,6684,8826,
124450861808,1624,11917,3004,4826,6868,8653,
124451861808,10335,13319,3084,16140,7222,20161,
124452861808,1382,11989,3002,4879,7110,8860,
124454361808,1281,22687,25246,16419,17690,8944,
124454861808,1408,11950,2927,4799,6866,8853,
124455861808,1253,23015,3320,4963,6846,20101,
124456361808,1405,12129,3287,4945,6858,8776,
124456861808,1467,12103,3093,5140,6799,9373,
124457361808,1519,12062,13888,4926,6795,8825,
124458361808,1521,12387,2835,4883,6979,8889,
124459361808,1352,23999,2984,16040,17829,8902,
124459861808,1475,12097,3005,4827,6911,8807,
124460361808,6860,11772,2756,4917,7074,8863,
124460861808,64065,11986,2925,4904,6868,8798,
124463361808,1475,12865,13858,5040,17752,8906,
124463861808,1633,12262,2912,4903,6815,8876,
124465861808,1476,11961,3117,5062,6791,8830,
124466361808,1571,14623,3253,5023,7104,8945,
124466861808,1495,12590,3354,4808,6673,9001,
124467861808,300000,11768,2945,4910,6855,8740,
124468361808,111835,138478,132895,123933,125829,118449,
124472361808,1247,12025,2911,16021,40025,9051,
124472861808,63442,12704,14177,27171,18304,30597,
124473861808,1472,12009,13522,4971,6880,8841,
124476361808,1545,12326,2954,4901,6959,8916,
124477361808,1848,12462,2959,4843,6851,8829,
124478361808,29042,11839,13600,4858,6783,8873,
124480361808,1439,12225,3040,4947,6995,8912,
124480861808,300000,22531,24828,27096,17605,19981,
124481361808,1350,44535,13684,15680,18028,19820,
124481861808,1357,33820,3115,4955,17833,19999,
124482861808,1441,12172,2907,4947,7011,8969,
124483361808,10990,12132,13631,16017,18510,20056,
124483861808,1502,12058,2950,4897,6925,8902,
124484861808,1625,12029,3029,4928,6898,9109,
124485361808,1458,12121,2926,4933,6871,8855,
124486361808,1364,12058,13830,4960,6912,8950,
124486861808,46059,12984,2946,4912,6826,8844,
124487361808,1514,12253,3100,4829,6754,8915,
124488861808,58885,12150,3310,4897,6811,63639,
124489861808,25107,12604,3005,4995,7051,8882,
124491861808,1509,12144,2951,4940,6923,8840,
124492361808,1471,12133,3155,4801,6958,8917,
124492861808,1965,12508,13860,5000,7074,8908,
124493361808,1630,12361,3015,16185,6887,8979,
124494361808,1545,23133,2903,27128,6972,20041,
124495361808,1412,12234,14116,4991,6908,9095,
124495861808,1504,12051,2852,4914,6943,8857,
124496861808,1364,12014,2940,5111,7054,8821,
124497361808,1581,12421,2939,5271,7008,9039,
124497861808,1661,12900,3339,4935,7132,8870,
124498361808,1511,12034,2961,4955,6943,8978,
124499361808,1445,12051,14565,4854,6879,8791,
124499861808,12737,12287,2973,4879,6822,8805,
124500861808,1396,12088,14131,4928,6965,8947,
124501361808,7162,12420,3191,5141,6919,8822,
124502361808,1469,12140,2972,4824,6760,8991,
124502861808,1724,12253,13673,4992,6950,8905,
124503861808,1504,12058,2954,5041,7067,8842,
124504361808,49156,44713,35538,48710,39304,30802,
124507361808,1706,12326,2930,4944,6954,8883,
124509361808,1514,11897,2986,4975,6966,9014,
124510361808,1616,12156,14044,4853,6849,8877,
124510861808,1539,12116,3052,4916,7102,8690,
124511361808,4656,12373,2932,4979,7029,9019,
124512361808,1479,22968,24790,15887,17621,30938,
124513361808,1305,11740,13777,4838,6812,8804,
124513861808,1307,23470,14866,15991,18119,9078,
124514361808,1463,11917,2821,4806,6781,8747,
124514861808,1272,12872,2859,5348,6894,8797,
124515361808,8551,22975,2995,15851,17581,9138,
124516861808,1457,12400,14161,4854,18053,9387,
124517861808,1730,12311,2787,4791,6756,8815,
124518361808,1402,12067,2859,4969,7023,8896,
124520861808,1452,12117,3184,4888,6821,8865,
124521861808,1691,12147,3252,4889,6914,8841,
124523361808,5818,11816,13783,16002,6884,8836,
124524361808,1436,11961,2983,4997,6856,8841,
124524861808,1272,12615,2932,4891,6780,8865,
124526361808,1415,12016,2914,4929,6805,8820,
124528861808,3139,12078,2957,5044,6812,8977,
124529361808,1341,12061,13618,4677,17948,19816,
124529861808,13876,12845,46564,15754,17624,51925,
124531361808,1374,11924,2840,4775,6926,8875,
124531861808,1427,12079,13695,4881,6805,8952,
124533861808,1502,12291,2832,4915,6875,8966,
124534361808,1473,12029,3047,4917,6973,9011,
124534861808,1459,12039,2851,4810,6751,8901,
124535861808,1398,12257,2991,4889,6789,8807,
124536861808,1573,11985,2906,4912,6839,8902,
124537361808,1873,12343,14094,5140,7382,19628,
124537861808,1457,11832,3048,4768,7060,8806,
124538361808,1436,12156,13661,15539,6897,8885,
124538861808,1536,12079,13897,4904,6796,8796,
124539361808,1464,13266,2911,4877,6868,8880,
124539861808,1358,11936,2826,4848,6872,8804,
124541361808,1453,11782,14461,4947,6997,8855,
124542861808,1583,12422,3096,4922,6880,8843,
124544861808,1640,12017,13820,4995,6929,9062,
124546361808,1559,12361,3303,5377,6995,9016,
124546861808,1788,12112,3122,5153,39863,19779,
124548361808,1526,12263,3106,5012,7011,8927,
124548861808,1607,12484,3069,4903,6950,9188,
124550861808,1681,12379,2774,4765,6839,8900,
124551861808,1357,12130,2875,16166,7031,8850,
124552861808,10269,12386,3102,5316,7254,9184,
124553361808,1256,11898,2849,4842,6766,8841,
124554361808,10387,12373,14071,16369,17747,20317,
124555361808,1455,12151,2951,5060,7012,9118,
124555861808,1425,12039,2940,5419,6805,8940,
124556361808,1691,12689,2912,4954,6817,9126,
124558861808,1547,11791,13745,4871,6905,8905,
124562361808,1421,12178,2807,5008,6867,8941,
124562861808,1340,12006,2930,5087,6840,8918,
124563361808,1477,12120,2888,4811,6915,8811,
124564361808,1533,12860,3288,5030,6868,8905,
124565361808,3316,12170,3091,4888,6856,8764,
124565861808,17023,12289,13829,4889,6809,9029,
124566861808,1425,11964,3079,4985,6993,8957,
124567361808,127500,12334,3160,27501,7189,31440,
124567861808,285969,12026,14112,4942,6875,8774,
124568361808,1315,11929,2852,4846,6991,8868,
124570361808,1613,12073,2909,5151,6810,8848,
124570861808,1372,12023,2780,4941,6883,8825,
